TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20140101,23.548,1.0,20.38,2.572,1.0,26.013,3.788,1.0,25.984,23.148,1.481,28.189,3.37,23.548,1.0,20.38,2.572,1.0,26.013,3.788,1.0,484.173,345.833,1.0,287.732,345.833,1.0,373.859,1.0,400.763,373.859,1.0,407.559,1.0,447.398,407.559,1.0,8.241,1.0,9.152,8.241,1.0,92.52,92.56,0.979167,0.0,0.0,0.979167,1.004,2.14,0.979167,0.373617021277,0.979166666667,254.042553191,0.979166666667,40.2553191489,0.979166666667,431.234042553,0.979166666667,371.325,1.0,-9999,-9999,-9999,-9999,-4.6684,0.0,69.4406,1.0,-9999,-9999,-9999,11.5779,-9999,46.9906,1.0,-9999,-9999,-9999,4.78258,-9999,-9999,-9999,21,27,21,27,0.471061,1.0,0.666733,0.721426,1.02214,0.979167,0.756382,0.805007,0.672908,0.989063,0.0721064,-0.710384,0.471061,0.493694,0.742989,0.951036,1.02214,1.02214,0.979167,1.0,0.979167,1.0,0.979167,0.979167,0.979167,7.4402,2.30089,1.0,1.08396,1.24041,-4.97982,5.16079,1.0,0.770631,0.771386,8.61604,3.02347,0.952381,1.30764,1.43999,-4.95029,5.23179,1.0,0.802927,0.803651,5.43151,7.40997,7.50268,7.9619,8.48976,8.61604,8.61604,0.952381,1.0,0.952381,1.0,0.952381,0.952381,0.952381,-5.44151,-4.98964,-4.97982,-4.95228,-4.94927,-4.92144,-4.91974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.68001,7.82443,7.55713,0.0712138,6.86345,7.08727,7.09918,7.64814,7.82443,7.92783,8.11222,6.70852,6.80229,6.88366,0.0476433,6.46603,6.59572,6.62812,6.80229,7.09225,7.34796,7.36923,5.16183,5.16183,5.02982,0.110693,3.88905,4.61778,4.65834,5.16183,5.52875,5.53964,6.18233,5.97574,5.97492,5.88046,0.0631856,5.00062,5.67248,5.69386,5.96978,6.12965,6.15978,6.53153,-9999,-9999
20140102,24.118,1.0,22.084,1.05,1.0,25.699,2.02,1.0,25.953,23.87,1.464,27.573,2.799,24.118,1.0,22.084,1.05,1.0,25.699,2.02,1.0,484.125,341.521,1.0,279.109,341.521,1.0,395.521,1.0,409.484,395.521,1.0,421.669,1.0,457.658,421.669,1.0,6.492,1.0,7.991,6.492,1.0,92.633,92.698,1.0,0.156,0.0,1.0,0.784,2.059,1.0,0.387659574468,0.979166666667,260.0625,1.0,38.5833333333,1.0,437.625,1.0,363.946,1.0,-9999,-9999,-9999,-9999,-2.78148,0.0,69.0522,1.0,-9999,-9999,-9999,10.5641,-9999,61.8611,1.0,-9999,-9999,-9999,5.03512,-9999,-9999,-9999,21,27,21,27,0.371033,1.0,0.812331,0.849263,0.786603,1.0,0.88251,0.916619,0.567785,1.0,0.0366849,0.211151,0.316104,0.339554,0.592945,0.786603,0.81155,0.81155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.02102,3.88383,1.0,1.46385,1.56154,-6.38071,6.08205,1.0,0.800231,0.800613,9.87015,4.59116,1.0,1.63008,1.71834,-6.32922,6.07671,1.0,0.823609,0.82398,8.76553,8.86485,8.94904,9.49323,9.87015,9.95211,9.95211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-6.38071,-6.37866,-6.37418,-6.35022,-6.32922,-6.32922,-6.28809,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.84474,7.94083,7.69484,0.0723762,6.94547,7.2095,7.22062,7.78773,7.94083,8.08513,8.25563,7.1086,7.15423,7.12843,0.0722084,6.41286,6.75954,6.83847,7.00862,7.31799,7.69752,7.91608,5.19835,5.19835,5.06541,0.111476,3.91657,4.65045,4.69129,5.19835,5.56787,5.57883,6.22607,6.12598,6.12516,6.03315,0.0614606,5.21487,5.83133,5.85191,6.12025,6.26973,6.30456,6.66851,-9999,-9999
20140103,25.028,1.0,21.919,2.248,1.0,27.447,3.064,1.0,27.101,24.621,1.635,29.03,3.205,25.028,1.0,21.919,2.248,1.0,27.447,3.064,1.0,484.066,343.812,1.0,286.698,343.812,1.0,394.958,1.0,418.202,394.958,1.0,428.119,1.0,467.913,428.119,1.0,6.451,1.0,9.379,6.451,1.0,92.465,92.503,1.0,0.0,0.0,1.0,0.763,1.497,1.0,0.24625,1.0,258.354166667,1.0,37.9166666667,1.0,441.5,1.0,375.26,1.0,-9999,-9999,-9999,-9999,7.23308,0.0,80.5022,1.0,-9999,-9999,-9999,9.98635,-9999,59.3653,1.0,-9999,-9999,-9999,4.69999,-9999,-9999,-9999,21,27,21,27,0.0447783,0.958333,0.699158,0.857542,0.496445,0.958333,0.823607,0.961709,-0.256177,0.954688,0.0924191,-1.16729,-0.543862,-0.534971,-0.395153,0.0447783,0.449228,0.496445,0.958333,0.9375,0.9375,0.958333,0.958333,0.958333,0.958333,7.77245,2.81911,1.0,1.14446,1.45848,-5.96853,5.31611,0.925926,0.801429,0.816289,8.4869,2.54896,1.0,1.44013,1.70039,-5.75044,5.61263,0.925926,0.858016,0.871913,5.0436,6.59419,6.60137,6.85867,7.77245,8.40235,8.4869,1.0,0.952381,0.952381,1.0,1.0,1.0,1.0,-6.06053,-6.06053,-6.04202,-5.99713,-5.9126,-5.75044,-5.75044,0.925926,0.925926,0.925926,0.925926,0.925926,0.925926,0.925926,8.21613,8.11674,7.96326,0.0761875,7.05752,7.38061,7.46275,8.08526,8.2588,8.39049,8.50045,7.76235,7.6203,8.2255,0.0847386,7.33583,7.58403,7.68928,8.33656,8.62911,8.73312,9.04431,5.22263,5.19947,5.23354,0.0907416,4.56185,4.68446,4.71213,5.16146,5.59589,5.68879,6.42246,6.23242,6.25245,6.25889,0.0501765,5.77838,5.97636,5.9769,6.21957,6.44281,6.48084,6.93677,-9999,-9999
20140104,26.485,1.0,23.504,1.829,1.0,28.803,3.865,1.0,27.31,24.566,1.793,29.444,3.426,26.485,1.0,23.504,1.829,1.0,28.803,3.865,1.0,483.995,343.208,1.0,285.668,343.208,1.0,416.229,1.0,418.045,416.229,1.0,439.14,1.0,467.729,439.14,1.0,8.366,1.0,9.551,8.366,1.0,92.3,92.326,1.0,0.0,0.0,1.0,0.765,1.652,1.0,0.288333333333,1.0,268.6875,1.0,37.6666666667,1.0,452.541666667,1.0,373.035,1.0,-9999,-9999,-9999,-9999,15.5863,0.0,106.007,1.0,-9999,-9999,-9999,12.9736,-9999,52.4869,1.0,-9999,-9999,-9999,4.36057,-9999,-9999,-9999,21,27,21,27,-0.559272,0.958333,0.685334,0.741403,0.0648185,0.958333,0.76823,0.818641,-0.285283,0.958854,0.0432779,-0.725064,-0.559272,-0.445985,-0.312352,-0.0433562,0.00639805,0.0885457,0.979167,0.958333,0.958333,0.958333,0.979167,0.9375,0.958333,5.81647,1.26732,1.0,1.01409,1.10722,-5.48204,5.20304,0.925926,0.869689,0.907873,6.84036,3.4856,1.0,1.23672,1.31416,-5.20923,5.2259,0.925926,0.898258,0.935276,4.639,5.69821,5.81647,6.12328,6.50388,6.58717,6.84036,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-5.4849,-5.48396,-5.36228,-5.29766,-5.16859,-4.96291,-4.83332,0.925926,0.925926,0.888889,0.925926,0.925926,0.888889,0.962963,8.75419,8.38824,8.29933,0.0816742,7.24252,7.54582,7.84035,8.58182,8.70703,8.7109,8.79729,8.70874,8.32342,8.58178,0.0618026,7.94873,8.10509,8.27459,8.70874,8.94311,9.01618,9.06726,5.25724,5.18636,5.56491,0.120311,4.43374,4.43697,5.01366,5.61449,5.95626,6.54247,6.80863,5.61209,5.67557,5.8694,0.0667798,5.2645,5.26618,5.58449,5.88466,6.08292,6.38343,6.59053,-9999,-9999
20140105,27.113,1.0,24.727,0.774,1.0,28.969,2.811,1.0,27.094,24.835,1.311,28.852,2.521,27.113,1.0,24.727,0.774,1.0,28.969,2.811,1.0,483.911,342.917,1.0,292.701,342.917,1.0,418.062,1.0,420.962,418.062,1.0,449.066,1.0,471.161,449.066,1.0,6.825,1.0,7.849,6.825,1.0,92.281,92.317,1.0,2.394,0.0,1.0,0.955,1.579,1.0,0.337234042553,0.979166666667,266.666666667,1.0,37.5416666667,1.0,456.229166667,1.0,368.506,1.0,-9999,-9999,-9999,-9999,13.7937,0.0,97.0933,1.0,-9999,-9999,-9999,13.1068,-9999,70.3391,1.0,-9999,-9999,-9999,4.63703,-9999,-9999,-9999,21,27,21,27,-0.96468,1.0,0.662597,0.798548,-1.07242,1.0,0.737607,0.861804,-1.11805,1.0,0.0533895,-1.6546,-1.62122,-1.35342,-1.07242,-0.810821,-0.72983,-0.63941,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.49654,1.95851,1.0,0.970702,1.36883,-5.92773,6.71572,1.0,0.847648,0.849474,5.21923,2.32302,1.0,1.1676,1.51483,-5.89662,6.66343,1.0,0.878671,0.880433,4.08614,4.15361,4.69886,5.21923,5.78141,6.08382,6.26451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-6.01268,-6.00797,-5.98532,-5.97327,-5.92773,-5.89662,-5.88466,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.12121,7.94843,7.82096,0.080776,6.75124,7.16243,7.39461,7.94726,8.24967,8.34658,8.4804,9.51281,9.02085,8.94159,0.0773951,8.10466,8.16496,8.71895,8.9795,9.50983,9.51281,9.56848,5.31693,5.25039,5.73996,0.129353,4.5152,4.6289,5.10022,5.58059,6.47182,6.71109,6.73553,6.55962,6.6143,6.88494,0.07379,6.13655,6.28177,6.53794,6.77394,7.32436,7.49208,7.50165,-9999,-9999
20140106,24.928,1.0,23.637,0.719,1.0,25.933,1.3,1.0,26.027,24.206,0.914,27.443,2.106,24.928,1.0,23.637,0.719,1.0,25.933,1.3,1.0,483.816,262.396,1.0,254.405,262.396,1.0,408.604,1.0,417.326,408.604,1.0,463.622,1.0,466.883,463.622,1.0,4.707,1.0,6.652,4.707,1.0,92.394,92.441,1.0,0.513,0.0,1.0,1.019,1.816,1.0,0.40125,1.0,197.729166667,1.0,30.0416666667,1.0,442.229166667,1.0,365.14,1.0,-9999,-9999,-9999,-9999,-1.05271,0.0,78.9037,1.0,-9999,-9999,-9999,13.1886,-9999,60.7995,1.0,-9999,-9999,-9999,4.92796,-9999,-9999,-9999,21,27,21,27,-1.65283,1.0,0.850068,0.920694,-1.59629,1.0,0.992167,1.05331,-1.67259,1.0,0.0460625,-2.00307,-1.96963,-1.9085,-1.65283,-1.5176,-1.26235,-1.2327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.15563,5.19814,1.0,1.34296,1.55251,-7.61926,7.29544,1.0,1.01477,1.01477,6.28017,5.50548,1.0,1.61366,1.79183,-7.61926,7.29544,1.0,1.14625,1.14625,5.38419,5.45785,5.59249,6.15563,6.45349,7.01572,7.08101,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-7.61926,-7.61926,-7.61926,-7.61926,-7.61926,-7.61926,-7.61926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.24066,6.7531,6.41754,0.0933556,5.38256,5.87546,5.97329,6.27723,6.93297,7.04003,7.12177,8.49396,8.34939,8.09565,0.0527598,7.29106,7.87853,7.91662,8.09831,8.38412,8.46371,8.49396,5.29841,5.29068,5.63809,0.0732958,4.94916,5.17758,5.29068,5.38769,6.02399,6.09355,6.35616,6.87558,6.87195,7.08997,0.0462807,6.58617,6.81791,6.87195,6.91338,7.42136,7.42618,7.48116,-9999,-9999
20140107,23.295,1.0,21.37,1.178,1.0,24.792,2.26,1.0,25.053,23.085,1.021,26.583,2.355,23.295,1.0,21.37,1.178,1.0,24.792,2.26,1.0,483.708,294.878,0.958333,295.454,302.158,0.958333,382.479,1.0,395.068,382.479,1.0,430.215,0.958333,440.698,429.72,0.958333,5.926,1.0,6.943,5.926,1.0,92.422,92.46,1.0,0.0,0.0,1.0,1.306,1.675,1.0,0.382708333333,1.0,199.854166667,1.0,33.75,1.0,431.020833333,1.0,366.65,1.0,-9999,-9999,-9999,-9999,-5.90666,0.0,97.761,1.0,-9999,-9999,-9999,12.7699,-9999,58.4333,1.0,-9999,-9999,-9999,4.48435,-9999,-9999,-9999,21,27,21,27,-2.37197,0.958333,0.762381,0.883114,-1.716,1.0,0.895217,1.00004,-2.60617,0.99375,0.0825284,-3.49637,-3.01219,-3.00809,-2.76732,-2.36814,-2.12075,-1.6675,1.0,1.0,1.0,1.0,0.979167,1.0,1.0,6.12869,2.12785,0.952381,1.1206,1.39574,-8.8303,7.62192,0.962963,0.972716,0.987385,7.59569,3.90412,1.0,1.50919,1.72337,-8.84753,7.56765,1.0,0.987025,1.00148,4.47766,5.13219,5.14845,5.71606,6.55497,6.79632,7.70253,1.0,1.0,1.0,1.0,0.952381,0.952381,1.0,-9.27059,-9.18666,-9.18666,-9.15203,-8.84753,-8.84753,-8.8303,1.0,1.0,1.0,1.0,1.0,1.0,0.962963,4.7356,5.70516,5.25789,0.124692,4.1251,4.35144,4.39241,5.26159,5.80088,6.18356,6.26978,7.46838,7.42116,7.86613,0.113778,7.06662,7.15973,7.38234,7.62147,8.62808,8.86767,9.19574,4.70379,4.65193,4.97683,0.0518964,4.4613,4.55972,4.70379,5.06118,5.1756,5.20533,5.28851,7.63661,7.38569,7.65267,0.0368011,7.297,7.38569,7.40407,7.67409,7.88065,7.90001,7.94338,-9999,-9999
20140108,23.392,1.0,21.38,1.561,1.0,24.957,1.711,1.0,23.945,22.315,0.5,25.213,1.766,23.392,1.0,21.38,1.561,1.0,24.957,1.711,1.0,483.587,202.021,1.0,238.872,202.021,1.0,410.695,1.0,400.274,410.695,1.0,457.176,1.0,446.823,457.176,1.0,4.636,1.0,4.386,4.636,1.0,92.496,92.546,0.979167,8.627,0.2,0.979167,1.536,1.482,0.979167,0.482340425532,0.979166666667,161.382978723,0.979166666667,23.6595744681,0.979166666667,431.446808511,0.979166666667,371.731,1.0,-9999,-9999,-9999,-9999,-11.3243,0.0,117.051,1.0,-9999,-9999,-9999,13.5411,-9999,35.0032,1.0,-9999,-9999,-9999,4.2474,-9999,-9999,-9999,21,27,21,27,-0.871659,1.0,0.784619,1.01023,-0.485794,1.0,0.860656,1.07036,-1.25134,0.99375,0.104696,-2.18316,-1.72472,-1.70349,-1.38593,-0.871659,-0.452019,-0.254755,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,6.34097,2.848,1.0,1.18245,1.82193,-6.42515,8.77491,1.0,0.980295,0.980612,7.14119,3.17873,1.0,1.40277,1.97206,-6.3865,8.82785,1.0,0.991756,0.992069,3.39327,4.4434,4.47985,5.18857,6.34097,7.21559,7.72492,1.0,1.0,1.0,1.0,1.0,1.0,0.857143,-6.44488,-6.43302,-6.42706,-6.41069,-6.3865,-6.38317,-6.3748,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.71471,4.92297,4.43994,0.156338,3.06129,3.29518,3.31206,4.64681,5.19617,5.55383,5.63282,5.57073,5.40876,5.69631,0.102758,4.84208,4.99868,5.27712,5.40876,5.96526,6.5821,6.9498,3.58996,3.38933,3.81559,0.116061,2.60776,2.77646,2.84883,4.28568,4.34468,4.35353,4.40013,6.36863,6.10747,6.21151,0.0437714,5.72362,5.82544,5.85831,6.36863,6.40739,6.41831,6.44651,-9999,-9999
20140109,23.506,1.0,22.167,0.53,1.0,24.547,1.664,1.0,23.91,22.603,0.298,24.927,1.517,23.506,1.0,22.167,0.53,1.0,24.547,1.664,1.0,483.453,229.0,1.0,234.121,229.0,1.0,410.25,1.0,401.967,410.25,1.0,453.391,1.0,448.814,453.391,1.0,5.16,1.0,4.177,5.16,1.0,92.613,92.678,1.0,12.133,1.4,1.0,1.821,1.555,1.0,0.463333333333,1.0,179.875,1.0,25.9583333333,1.0,432.6875,1.0,377.326,1.0,-9999,-9999,-9999,-9999,-13.0706,0.0,116.536,1.0,-9999,-9999,-9999,14.5264,-9999,33.8594,1.0,-9999,-9999,-9999,4.42835,-9999,-9999,-9999,21,27,21,27,-2.89186,1.0,0.922561,0.954829,-2.70862,1.0,0.988203,1.01839,-3.15223,1.0,0.0437431,-3.52216,-3.35014,-3.33266,-3.24189,-2.89186,-2.85788,-2.62932,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.33145,4.37162,1.0,1.57623,1.63003,-8.32309,8.34854,1.0,0.997475,1.00265,4.70288,4.46032,1.0,1.74434,1.7931,-8.29806,8.36088,1.0,1.01262,1.01771,3.19115,3.56315,3.57554,3.61671,4.33145,4.39381,4.86019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-8.52469,-8.51678,-8.5127,-8.39832,-8.32309,-8.31338,-8.28457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.69274,4.05464,3.42846,0.14935,2.07052,2.29094,2.35061,3.86003,4.2939,4.33697,4.45227,6.96629,6.76326,6.57984,0.133857,5.42066,5.60079,5.68327,6.73481,7.29042,7.54229,7.68797,2.86766,2.64699,3.01749,0.119831,1.6016,1.96737,2.1238,3.32587,3.6455,3.64782,3.67104,7.03503,6.57362,6.75805,0.0484075,6.23926,6.27981,6.45979,6.88242,7.02437,7.02555,7.03503,-9999,-9999
20140110,24.532,1.0,23.572,1.54,1.0,25.278,2.244,1.0,24.564,23.124,0.524,25.685,1.584,24.532,1.0,23.572,1.54,1.0,25.278,2.244,1.0,483.305,189.984,1.0,221.186,189.984,1.0,418.917,1.0,410.098,418.917,1.0,444.952,1.0,458.381,444.952,1.0,5.3,1.0,5.449,5.3,1.0,92.68,92.735,1.0,2.896,3.4,1.0,1.947,1.568,1.0,0.403958333333,1.0,152.583333333,1.0,23.1458333333,1.0,434.583333333,1.0,368.085,1.0,-9999,-9999,-9999,-9999,0.0587757,0.0,106.26,1.0,-9999,-9999,-9999,14.8338,-9999,30.4678,1.0,-9999,-9999,-9999,4.26917,-9999,-9999,-9999,21,27,21,27,-4.21727,1.0,1.07838,1.37282,-4.17075,1.0,1.04525,1.34694,-4.62102,0.994792,0.11573,-5.54078,-5.49977,-5.48829,-4.21727,-4.10819,-3.8007,-3.64719,1.0,1.0,1.0,1.0,1.0,0.979167,0.979167,3.30862,3.85956,1.0,1.90338,2.37065,-9.79819,7.11591,1.0,1.10518,1.17274,3.46169,3.87334,1.0,1.81206,2.29797,-9.83756,7.04139,1.0,1.10461,1.17221,0.558529,0.635305,0.641209,3.22589,3.35576,3.46169,3.6998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9.9266,-9.91043,-9.90099,-9.83756,-9.79234,-9.1258,-9.09636,1.0,1.0,1.0,1.0,1.0,0.962963,0.962963,1.717,3.23429,2.44828,0.149509,1.06035,1.33805,1.42363,2.51574,3.34824,3.35263,3.68647,7.79465,7.40505,7.07106,0.0665166,6.38157,6.58292,6.67923,7.05905,7.40505,7.54509,7.79465,2.5674,2.45914,2.61487,0.0493204,2.12414,2.25364,2.38006,2.5674,2.95843,2.96299,3.02756,6.55251,6.25406,6.31754,0.0257336,6.09457,6.17527,6.22057,6.23951,6.51762,6.51989,6.55251,-9999,-9999
