TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20090101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-17.438,-19.455,2.795,-14.36,4.041,-17.438,0.0,-19.455,2.795,0.0,-14.36,4.041,0.0,146.018,214.073,0.645833,88.72,88.607,0.645833,-9999,-9999,155.745,155.745,0.0,-9999,-9999,148.335,148.335,0.0,-9999,-9999,0.623,0.623,0.0,88.017,88.017,0.0,0.0,0.0,0.0,2.91,2.91,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,75.9323,0.0,93.5682,-9999,-9999,-9999,-9999,22.0741,0.0,26.7098,-9999,-9999,-9999,-9999,11.0,3,29,19,0,0,-0.192635,0.0,-9999,-9999,0.187915,0.0,-9999,-9999,-0.191347,0.0,0.021661,-0.463991,-0.339877,-0.246057,-0.192635,-0.129771,-0.0826819,-0.0299722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15065,1.42408,0.0,-9999,-9999,-2.22521,1.18367,0.0,-9999,-9999,1.75146,1.63973,0.0,-9999,-9999,-2.2158,1.17796,0.0,-9999,-9999,0.775126,0.936008,1.09268,1.15065,1.25092,1.33742,1.46739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.36764,-2.33927,-2.31266,-2.22521,-2.22521,-2.22521,-2.2158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.713052,0.6824,0.483522,0.0308693,0.163407,0.313213,0.373877,0.489848,0.564182,0.590233,0.6824,0.923767,0.494485,0.67487,0.0377513,0.407969,0.438655,0.494485,0.639387,0.737185,0.843948,1.02817,0.00242897,0.00346751,0.404134,0.118754,0.000637422,0.00132295,0.00144732,0.00312119,0.201525,1.44896,2.11716,1.29016,1.22371,1.86578,0.143099,1.12653,1.19881,1.22406,1.24871,2.82676,3.24307,3.28631,-9999,-9999
20090102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-16.825,-18.979,2.531,-13.536,3.952,-16.825,0.0,-18.979,2.531,0.0,-13.536,3.952,0.0,146.644,252.597,0.645833,89.811,89.664,0.645833,-9999,-9999,166.88,166.88,0.0,-9999,-9999,160.658,160.658,0.0,-9999,-9999,0.559,0.559,0.0,87.866,87.866,0.0,0.0,0.0,0.0,2.731,2.731,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,90.7668,0.0,113.195,-9999,-9999,-9999,-9999,27.5037,0.0,33.6876,-9999,-9999,-9999,-9999,11.0,3,29,19,0,0,0.0811225,0.0,-9999,-9999,0.371966,0.0,-9999,-9999,0.0593422,0.0,0.0162426,-0.121509,-0.0702489,-0.00971252,0.0767286,0.113925,0.126208,0.216128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0716,1.64257,0.0,-9999,-9999,-1.4381,1.69308,0.0,-9999,-9999,1.53416,1.89031,0.0,-9999,-9999,-1.43607,1.68992,0.0,-9999,-9999,0.824894,0.838366,0.926715,1.0716,1.1405,1.20492,1.38874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.70959,-1.68021,-1.65699,-1.4381,-1.4381,-1.4381,-1.43607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.745393,0.718754,0.512822,0.0319114,0.177186,0.336645,0.394073,0.52564,0.602761,0.625982,0.718754,0.755106,0.346789,0.45348,0.0325686,0.185139,0.255202,0.301261,0.424988,0.536788,0.582009,0.729279,0.00289795,0.00407661,0.422976,0.123445,0.000773797,0.00160331,0.00175319,0.00366955,0.223099,1.52171,2.19609,1.29832,1.23189,1.87405,0.143147,1.13437,1.20688,1.23195,1.25692,2.83554,3.2517,3.29494,-9999,-9999
20090103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-16.324,-17.656,1.655,-14.291,2.964,-16.324,0.0,-17.656,1.655,0.0,-14.291,2.964,0.0,147.33,199.561,0.645833,85.325,85.153,0.645833,-9999,-9999,168.358,168.358,0.0,-9999,-9999,162.294,162.294,0.0,-9999,-9999,0.446,0.446,0.0,87.683,87.683,0.0,0.0,0.0,0.0,2.719,2.719,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,73.0562,0.0,92.1918,-9999,-9999,-9999,-9999,18.6968,0.0,23.3245,-9999,-9999,-9999,-9999,11.0,3,29,19,0,0,-0.428551,0.0,-9999,-9999,-0.0443221,0.0,-9999,-9999,-0.403866,0.0,0.018197,-0.530477,-0.512079,-0.496009,-0.428551,-0.393592,-0.311132,-0.151791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905872,2.02668,0.0,-9999,-9999,-2.42594,1.34409,0.0,-9999,-9999,1.51932,2.16143,0.0,-9999,-9999,-2.42686,1.34529,0.0,-9999,-9999,0.802951,0.837171,0.887486,0.9154,1.03338,1.13576,1.45948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.64383,-2.59716,-2.51699,-2.42686,-2.42594,-2.42594,-2.42594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.771262,0.74451,0.529945,0.033061,0.181149,0.346664,0.408201,0.541824,0.622691,0.648103,0.74451,1.1789,0.788832,0.933811,0.0320993,0.684951,0.701092,0.790321,0.885339,1.03319,1.11243,1.1789,0.00224981,0.00334768,0.435445,0.127545,0.000562987,0.00117148,0.00128546,0.00301336,0.22128,1.57588,2.26611,1.26419,1.19755,1.84025,0.143144,1.1014,1.17299,1.19892,1.22249,2.80108,3.21832,3.26156,-9999,-9999
20090104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-18.437,-19.48,1.569,-16.844,2.204,-18.437,0.0,-19.48,1.569,0.0,-16.844,2.204,0.0,148.074,214.073,0.645833,90.915,90.69,0.645833,-9999,-9999,161.213,161.213,0.0,-9999,-9999,154.386,154.386,0.0,-9999,-9999,0.32,0.32,0.0,87.621,87.621,0.0,0.0,0.0,0.0,3.071,3.071,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,75.9323,0.0,96.9477,-9999,-9999,-9999,-9999,22.0741,0.0,27.5472,-9999,-9999,-9999,-9999,11.0,3,29,19,0,0,-0.192635,0.0,-9999,-9999,0.187915,0.0,-9999,-9999,-0.191347,0.0,0.021661,-0.463991,-0.339877,-0.246057,-0.192635,-0.129771,-0.0826819,-0.0299722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15065,1.42408,0.0,-9999,-9999,-2.22521,1.18367,0.0,-9999,-9999,1.75146,1.63973,0.0,-9999,-9999,-2.2158,1.17796,0.0,-9999,-9999,0.775126,0.936008,1.09268,1.15065,1.25092,1.33742,1.46739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.36764,-2.33927,-2.31266,-2.22521,-2.22521,-2.22521,-2.2158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658711,0.616699,0.425892,0.0295967,0.131225,0.262371,0.337134,0.413945,0.503029,0.532846,0.616699,0.869425,0.428784,0.61724,0.036536,0.375897,0.391314,0.430457,0.584141,0.669177,0.766301,0.94873,0.000839216,0.0013981,0.369731,0.111377,0.000184412,0.000383872,0.000430829,0.00124363,0.142671,1.32108,1.99444,1.30697,1.24049,1.88316,0.143285,1.14255,1.21534,1.24028,1.26556,2.84584,3.26197,3.30523,-9999,-9999
20090105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-18.985,-20.981,2.166,-15.939,3.591,-18.985,0.0,-20.981,2.166,0.0,-15.939,3.591,0.0,148.877,252.597,0.645833,93.727,93.459,0.645833,-9999,-9999,149.818,149.818,0.0,-9999,-9999,141.775,141.775,0.0,-9999,-9999,0.398,0.398,0.0,87.705,87.705,0.0,0.0,0.0,0.0,3.498,3.498,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,90.7668,0.0,115.926,-9999,-9999,-9999,-9999,27.5037,0.0,34.3345,-9999,-9999,-9999,-9999,11.0,3,29,19,0,0,0.0811225,0.0,-9999,-9999,0.371966,0.0,-9999,-9999,0.0593422,0.0,0.0162426,-0.121509,-0.0702489,-0.00971252,0.0767286,0.113925,0.126208,0.216128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0716,1.64257,0.0,-9999,-9999,-1.4381,1.69308,0.0,-9999,-9999,1.53416,1.89031,0.0,-9999,-9999,-1.43607,1.68992,0.0,-9999,-9999,0.824894,0.838366,0.926715,1.0716,1.1405,1.20492,1.38874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.70959,-1.68021,-1.65699,-1.4381,-1.4381,-1.4381,-1.43607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.631684,0.590743,0.409368,0.02833,0.128197,0.253625,0.322948,0.398905,0.482489,0.510425,0.590743,0.641397,0.218777,0.350026,0.0298529,0.112633,0.17596,0.218777,0.317295,0.428228,0.475004,0.593588,0.00125701,0.00191283,0.356557,0.107017,0.000307166,0.00063926,0.000703512,0.0017218,0.145735,1.2657,1.91886,1.32882,1.26238,1.90522,0.143395,1.1635,1.23693,1.26139,1.28753,2.86914,3.28475,3.32803,-9999,-9999
20090106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-17.881,-19.444,1.468,-15.495,2.731,-17.881,0.0,-19.444,1.468,0.0,-15.495,2.731,0.0,149.737,199.561,0.645833,91.758,91.453,0.645833,-9999,-9999,159.379,159.379,0.0,-9999,-9999,152.357,152.357,0.0,-9999,-9999,0.319,0.319,0.0,87.68,87.68,0.0,0.0,0.0,0.0,4.05,4.05,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,73.0562,0.0,93.3372,-9999,-9999,-9999,-9999,18.6968,0.0,23.185,-9999,-9999,-9999,-9999,11.0,3,29,19,0,0,-0.428551,0.0,-9999,-9999,-0.0443221,0.0,-9999,-9999,-0.403866,0.0,0.018197,-0.530477,-0.512079,-0.496009,-0.428551,-0.393592,-0.311132,-0.151791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905872,2.02668,0.0,-9999,-9999,-2.42594,1.34409,0.0,-9999,-9999,1.51932,2.16143,0.0,-9999,-9999,-2.42686,1.34529,0.0,-9999,-9999,0.802951,0.837171,0.887486,0.9154,1.03338,1.13576,1.45948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.64383,-2.59716,-2.51699,-2.42686,-2.42594,-2.42594,-2.42594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.688446,0.651008,0.454405,0.0304392,0.145545,0.28605,0.35624,0.449245,0.537219,0.561892,0.651008,1.09609,0.695331,0.858271,0.0302502,0.593199,0.655357,0.726425,0.814244,0.96414,1.01321,1.09262,0.00132117,0.0020564,0.387463,0.115577,0.00031469,0.000654674,0.00072271,0.00185095,0.166382,1.38906,2.0651,1.31339,1.24686,1.88996,0.143398,1.1486,1.22162,1.24646,1.27197,2.8536,3.26972,3.313,-9999,-9999
20090107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-15.776,-17.677,2.687,-12.873,3.74,-15.776,0.0,-17.677,2.687,0.0,-12.873,3.74,0.0,150.656,214.073,0.645833,91.532,91.201,0.645833,-9999,-9999,163.971,163.971,0.0,-9999,-9999,157.439,157.439,0.0,-9999,-9999,0.466,0.466,0.0,87.573,87.573,0.0,0.0,0.0,0.0,2.969,2.969,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,75.9323,0.0,97.0438,-9999,-9999,-9999,-9999,22.0741,0.0,27.3824,-9999,-9999,-9999,-9999,11.0,3,29,19,0,0,-0.192635,0.0,-9999,-9999,0.187915,0.0,-9999,-9999,-0.191347,0.0,0.021661,-0.463991,-0.339877,-0.246057,-0.192635,-0.129771,-0.0826819,-0.0299722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15065,1.42408,0.0,-9999,-9999,-2.22521,1.18367,0.0,-9999,-9999,1.75146,1.63973,0.0,-9999,-9999,-2.2158,1.17796,0.0,-9999,-9999,0.775126,0.936008,1.09268,1.15065,1.25092,1.33742,1.46739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.36764,-2.33927,-2.31266,-2.22521,-2.22521,-2.22521,-2.2158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800805,0.781247,0.563377,0.0337069,0.201158,0.377272,0.428799,0.587655,0.667694,0.687364,0.781247,1.01152,0.593332,0.754725,0.04022,0.445509,0.525671,0.574955,0.719401,0.83622,0.944414,1.13348,0.00367977,0.00511129,0.455318,0.131489,0.000995502,0.00206016,0.00225227,0.00460075,0.260842,1.64661,2.33088,1.31262,1.246,1.88956,0.143491,1.14772,1.22076,1.2457,1.27114,2.85389,3.27021,3.3135,-9999,-9999
20090108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19.164,-20.283,1.733,-17.456,1.76,-19.164,0.0,-20.283,1.733,0.0,-17.456,1.76,0.0,151.632,252.597,0.645833,90.233,89.842,0.645833,-9999,-9999,155.442,155.442,0.0,-9999,-9999,148.0,148.0,0.0,-9999,-9999,0.338,0.338,0.0,87.705,87.705,0.0,0.0,0.0,0.0,4.422,4.422,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,90.7668,0.0,117.311,-9999,-9999,-9999,-9999,27.5037,0.0,34.5141,-9999,-9999,-9999,-9999,11.0,3,29,19,0,0,0.0811225,0.0,-9999,-9999,0.371966,0.0,-9999,-9999,0.0593422,0.0,0.0162426,-0.121509,-0.0702489,-0.00971252,0.0767286,0.113925,0.126208,0.216128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0716,1.64257,0.0,-9999,-9999,-1.4381,1.69308,0.0,-9999,-9999,1.53416,1.89031,0.0,-9999,-9999,-1.43607,1.68992,0.0,-9999,-9999,0.824894,0.838366,0.926715,1.0716,1.1405,1.20492,1.38874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.70959,-1.68021,-1.65699,-1.4381,-1.4381,-1.4381,-1.43607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.620513,0.574557,0.392799,0.0283412,0.11665,0.236785,0.309586,0.388088,0.463036,0.497002,0.574557,0.630226,0.202592,0.333457,0.0299788,0.0958725,0.155165,0.202592,0.294053,0.414778,0.455781,0.568972,0.000594205,0.00103018,0.348153,0.105793,0.00012457,0.000259301,0.000298865,0.000908571,0.121897,1.23612,1.89955,1.30498,1.23808,1.88271,0.143684,1.13996,1.21292,1.23823,1.26327,2.84843,3.2652,3.30851,-9999,-9999
20090109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19.668,-20.838,2.52,-17.883,2.604,-19.668,0.0,-20.838,2.52,0.0,-17.883,2.604,0.0,152.667,199.561,0.645833,95.961,95.517,0.645833,-9999,-9999,149.733,149.733,0.0,-9999,-9999,141.682,141.682,0.0,-9999,-9999,0.398,0.398,0.0,87.695,87.695,0.0,0.0,0.0,0.0,6.464,6.464,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,73.0562,0.0,95.5049,-9999,-9999,-9999,-9999,18.6968,0.0,23.3071,-9999,-9999,-9999,-9999,11.0,3,29,19,0,0,-0.428551,0.0,-9999,-9999,-0.0443221,0.0,-9999,-9999,-0.403866,0.0,0.018197,-0.530477,-0.512079,-0.496009,-0.428551,-0.393592,-0.311132,-0.151791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905872,2.02668,0.0,-9999,-9999,-2.42594,1.34409,0.0,-9999,-9999,1.51932,2.16143,0.0,-9999,-9999,-2.42686,1.34529,0.0,-9999,-9999,0.802951,0.837171,0.887486,0.9154,1.03338,1.13576,1.45948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.64383,-2.59716,-2.51699,-2.42686,-2.42594,-2.42594,-2.42594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.595379,0.548789,0.374365,0.0273377,0.110443,0.224425,0.293518,0.368048,0.440571,0.474914,0.548789,1.00302,0.593111,0.778231,0.0281236,0.499545,0.618246,0.650835,0.739168,0.882484,0.914992,0.992155,0.000613447,0.00104175,0.334762,0.101919,0.000131813,0.000274284,0.000311815,0.000922926,0.115875,1.18264,1.83265,1.3464,1.27984,1.92367,0.143662,1.18011,1.25414,1.27833,1.30511,2.88995,3.30542,3.34874,-9999,-9999
20090110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-18.052,-19.423,0.635,-15.959,1.94,-18.052,0.0,-19.423,0.635,0.0,-15.959,1.94,0.0,153.758,214.073,0.645833,92.462,92.037,0.645833,-9999,-9999,163.792,163.792,0.0,-9999,-9999,157.241,157.241,0.0,-9999,-9999,0.483,0.483,0.0,87.163,87.163,0.0,0.0,0.0,0.0,4.947,4.947,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,75.9323,0.0,98.602,-9999,-9999,-9999,-9999,22.0741,0.0,27.3245,-9999,-9999,-9999,-9999,11.0,3,29,19,0,0,-0.192635,0.0,-9999,-9999,0.187915,0.0,-9999,-9999,-0.191347,0.0,0.021661,-0.463991,-0.339877,-0.246057,-0.192635,-0.129771,-0.0826819,-0.0299722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15065,1.42408,0.0,-9999,-9999,-2.22521,1.18367,0.0,-9999,-9999,1.75146,1.63973,0.0,-9999,-9999,-2.2158,1.17796,0.0,-9999,-9999,0.775126,0.936008,1.09268,1.15065,1.25092,1.33742,1.46739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.36764,-2.33927,-2.31266,-2.22521,-2.22521,-2.22521,-2.2158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.678857,0.638896,0.443315,0.0302666,0.138899,0.27583,0.349441,0.433936,0.524074,0.551728,0.638896,0.889571,0.450981,0.634662,0.0370978,0.383521,0.402729,0.450981,0.601881,0.689806,0.787647,0.971324,0.000984865,0.00161014,0.381134,0.114329,0.000221295,0.000460555,0.000511987,0.0014379,0.153691,1.36586,2.04457,1.31816,1.2516,1.89526,0.143535,1.15312,1.22629,1.25106,1.27674,2.85994,3.27627,3.31959,-9999,-9999
