TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
200901,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-16.401,-17.923,2.325,-14.187,3.127,-16.401,0.0,-17.923,2.325,0.0,-14.187,3.127,0.0,163.629,221.819,0.634409,101.609,101.334,0.634409,-9999,-9999,163.829,163.829,0.0,-9999,-9999,157.282,157.282,0.0,-9999,-9999,0.691,0.691,0.0,87.167,87.167,0.0,0.008,0.008,0.0,4.617,4.617,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,79.7899,0.0,83.539,-9999,22.7361,0.0,23.8045,-9999,3.0,3,28.4516,19.5484,0.0,0.0,-0.168637,0.0,-9999,-9999,0.172371,0.0,-9999,-9999,-0.179034,0.0,0.01636,-0.363841,-0.274172,-0.230789,-0.180428,-0.151258,-0.13027,0.0101184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10528,1.63789,0.0,-9999,-9999,-2.00675,1.39003,0.0,-9999,-9999,1.65845,1.86708,0.0,-9999,-9999,-2.00458,1.3879,0.0,-9999,-9999,0.900383,0.966913,1.04009,1.12822,1.15443,1.18153,1.50853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.19341,-2.19341,-2.14807,-2.00818,-2.00818,-2.00818,-2.00458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.768992,0.751481,0.545899,0.0321297,0.200349,0.369886,0.412585,0.568283,0.645221,0.66078,0.751481,0.978392,0.57911,0.724933,0.033194,0.475382,0.520283,0.572583,0.719542,0.79105,0.86467,1.01498,0.00603677,0.00755074,0.442163,0.126198,0.00185253,0.00357982,0.00402018,0.00679662,0.275291,1.58233,2.24061,1.40152,1.33365,1.99395,0.147438,1.23072,1.30704,1.33112,1.35953,2.98524,3.41213,3.4567,-9999,-9999
200902,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9.345,-11.259,2.99,-7.015,3.887,-9.345,0.0,-11.259,2.99,0.0,-7.015,3.887,0.0,225.682,223.167,0.589286,141.511,141.293,0.589286,-9999,-9999,185.633,185.633,0.0,-9999,-9999,181.412,181.412,0.0,-9999,-9999,2.002,2.002,0.0,86.799,86.799,0.0,0.157,0.157,0.0,4.054,4.054,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,80.3059,0.0,95.6648,-9999,22.9277,0.0,27.3127,-9999,3.0,3,26.2857,21.7143,0.0,0.0,-0.159394,0.0,-9999,-9999,0.179,0.0,-9999,-9999,-0.170125,0.0,0.0162569,-0.351968,-0.267793,-0.216985,-0.170695,-0.142478,-0.124265,0.0187645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32587,1.46143,0.0,-9999,-9999,-1.94163,1.39404,0.0,-9999,-9999,1.91344,1.66243,0.0,-9999,-9999,-1.93169,1.39456,0.0,-9999,-9999,1.10199,1.16312,1.26122,1.32587,1.36949,1.39867,1.74733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.10463,-2.0975,-2.02993,-1.95436,-1.95436,-1.94526,-1.93169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13694,1.18836,0.92621,0.0433777,0.412609,0.656571,0.73377,0.933068,1.07542,1.11725,1.17066,1.33916,1.00936,1.09633,0.0427671,0.681607,0.861813,0.946771,1.05176,1.23196,1.3123,1.52263,0.0289508,0.0323552,0.68506,0.17803,0.0100388,0.0181164,0.0208894,0.0291238,0.688387,2.43795,3.0927,1.71089,1.64094,2.34821,0.158828,1.5233,1.60977,1.62911,1.6687,3.41593,3.87528,3.92389,-9999,-9999
200903,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-4.018,-6.124,2.538,-1.988,3.367,-4.018,0.0,-6.124,2.538,0.0,-1.988,3.367,0.0,311.911,221.351,0.530914,194.521,194.299,0.530914,-9999,-9999,206.63,206.63,0.0,-9999,-9999,204.648,204.648,0.0,-9999,-9999,3.291,3.291,0.0,86.804,86.804,0.0,0.579,0.579,0.0,4.564,4.564,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,79.6971,0.0,102.904,-9999,22.6272,0.0,29.216,-9999,3.0,3,23.4839,24.5161,0.0,0.0,-0.177039,0.0,-9999,-9999,0.164879,0.0,-9999,-9999,-0.18589,0.0,0.0162564,-0.364874,-0.282655,-0.232372,-0.188038,-0.161268,-0.1403,0.00618871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58018,1.26838,0.0,-9999,-9999,-1.84818,1.43004,0.0,-9999,-9999,2.22997,1.41474,0.0,-9999,-9999,-1.82515,1.43385,0.0,-9999,-9999,1.32074,1.39062,1.52775,1.58018,1.63546,1.67664,2.05215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.08426,-1.9484,-1.91462,-1.87118,-1.86648,-1.84023,-1.82515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.405,1.52202,1.23667,0.0521102,0.609417,0.894493,0.998468,1.21908,1.46838,1.5072,1.59836,1.62076,1.35714,1.42256,0.0507597,0.893388,1.15349,1.23806,1.36496,1.62076,1.6933,1.97063,0.0763685,0.0775013,0.896173,0.214653,0.0296656,0.0501793,0.0592314,0.0697609,1.13574,3.07954,3.68472,2.05333,1.97661,2.76764,0.178407,1.84121,1.93977,1.95316,2.00801,3.96654,4.48299,4.53752,-9999,-9999
200904,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.931,1.891,2.626,7.243,4.019,4.931,0.0,1.891,2.626,0.0,7.243,4.019,0.0,397.868,224.601,0.472222,207.289,207.085,0.472222,-9999,-9999,256.643,256.643,0.0,-9999,-9999,259.997,259.997,0.0,-9999,-9999,5.097,5.097,0.0,86.834,86.834,0.0,1.69,1.69,0.0,3.988,3.988,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,79.9185,0.0,107.969,-9999,22.7582,0.0,30.7461,-9999,2.0,3,20.6667,27.3333,0.0,0.0,-0.168655,0.0,-9999,-9999,0.171853,0.0,-9999,-9999,-0.178624,0.0,0.0162893,-0.360503,-0.27511,-0.225942,-0.180021,-0.151975,-0.131857,0.0114547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76295,1.12724,0.0,-9999,-9999,-1.62083,1.56725,0.0,-9999,-9999,2.4664,1.26198,0.0,-9999,-9999,-1.5756,1.58532,0.0,-9999,-9999,1.42315,1.51201,1.7102,1.77297,1.82782,1.87337,2.25999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.94972,-1.67316,-1.67316,-1.6419,-1.61601,-1.6118,-1.5756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82028,2.06643,1.78344,0.0683878,1.00357,1.20594,1.54218,1.69944,2.08247,2.30061,2.38385,2.02964,1.89458,1.96206,0.0667168,1.2798,1.51522,1.74037,1.85141,2.28916,2.47283,2.75028,0.258631,0.237492,1.32588,0.269032,0.111654,0.178107,0.213773,0.234708,2.17903,4.1056,4.55452,2.03262,1.93289,2.82419,0.199855,1.78495,1.89539,1.90743,1.97225,4.17919,4.74162,4.79803,-9999,-9999
200905,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.87,9.414,2.928,14.995,4.362,12.87,0.0,9.414,2.928,0.0,14.995,4.362,0.0,459.677,254.873,0.421371,245.113,244.914,0.421371,-9999,-9999,286.734,286.734,0.0,-9999,-9999,293.299,293.299,0.0,-9999,-9999,10.116,10.116,0.0,86.725,86.725,0.0,1.117,1.117,0.0,4.056,4.056,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.9499,0.143145,79.8596,0.0,102.846,-9999,22.5199,0.0,29.0018,-9999,1.0,3,18.2258,29.7742,0.0,0.0,-0.11981,0.0,-9999,-9999,0.110799,0.0,-9999,-9999,-0.12928,0.0,0.0127478,-0.257638,-0.228275,-0.188292,-0.117684,-0.103806,-0.0579969,-0.0179054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89557,0.728942,0.0,-9999,-9999,-1.34491,1.77861,0.0,-9999,-9999,2.42658,0.798777,0.0,-9999,-9999,-1.31827,1.76125,0.0,-9999,-9999,1.59029,1.63361,1.85914,1.9499,2.11487,2.11487,2.26292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.68943,-1.42688,-1.40743,-1.36804,-1.35145,-1.35137,-1.31827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14622,2.51162,2.26114,0.0850116,1.38517,1.48476,2.03802,2.10143,2.61612,3.03404,3.08119,2.33494,2.40082,2.39042,0.0804437,1.61238,1.71303,2.15783,2.23814,2.73261,3.09029,3.34215,0.597586,0.507867,1.81396,0.307466,0.280971,0.427232,0.457145,0.540213,3.3339,4.93136,5.20963,1.5876,1.42966,2.47142,0.229721,1.26801,1.39597,1.40005,1.48753,4.10411,4.64495,4.68493,-9999,-9999
200906,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.466,12.31,2.022,17.197,3.623,15.466,0.0,12.31,2.022,0.0,17.197,3.623,0.0,486.271,279.434,0.395833,252.17,252.117,0.395833,-9999,-9999,309.523,309.523,0.0,-9999,-9999,318.519,318.519,0.0,-9999,-9999,9.828,9.828,0.0,86.107,86.107,0.0,2.394,2.394,0.0,4.326,4.326,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.9372,0.0,80.2288,0.0,103.321,-9999,22.0639,0.0,28.4146,-9999,1.0,3,17.0,31.0,0.0,0.0,-0.0559478,0.0,-9999,-9999,0.0147479,0.0,-9999,-9999,-0.0613829,0.0,0.0126133,-0.173284,-0.156437,-0.148448,-0.0590705,-0.00162931,0.0259284,0.0661385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07184,0.173971,0.0,-9999,-9999,-1.21965,1.85687,0.0,-9999,-9999,2.24467,0.168086,0.0,-9999,-9999,-1.20894,1.81629,0.0,-9999,-9999,1.7912,1.83989,1.9452,2.09445,2.37244,2.52091,2.52091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.53885,-1.29499,-1.28822,-1.24083,-1.23671,-1.23661,-1.20894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24579,2.64995,2.41387,0.0908492,1.49315,1.57202,2.20116,2.22754,2.78502,3.27248,3.3054,2.40223,2.6352,2.47525,0.0818973,1.6462,1.7453,2.25711,2.31393,2.76944,3.18667,3.41254,0.746448,0.621828,1.99525,0.318308,0.358798,0.538847,0.559724,0.674581,3.74105,5.18625,5.40637,1.68448,1.52846,2.61027,0.238778,1.36435,1.49325,1.50079,1.58569,4.30288,4.87226,4.91469,-9999,-9999
200907,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.372,16.245,2.069,21.159,3.582,19.429,0.0530914,16.396,2.019,0.141577,21.159,3.582,0.0,473.163,284.344,0.405242,230.24,230.07,0.405242,-9999,-9999,342.72,342.72,0.0,-9999,-9999,355.258,356.566,0.0530914,-9999,-9999,10.767,10.923,0.0530914,86.375,86.375,0.0,2.108,2.108,0.0,2.837,2.837,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.0894,0.0530914,80.5801,0.053091,110.469,1.02846,22.255,0.053091,30.5099,0.551142,1.0,2,17.4516,30.5484,6.64516,11.129,-0.0442298,0.0530914,0.0581001,0.106586,0.0374352,0.0530914,0.056976,0.105977,-0.0479042,0.0530914,0.0122105,-0.152221,-0.141281,-0.133077,-0.0491168,0.00903287,0.0374352,0.0748748,0.0530914,0.0530914,0.0530914,0.0530914,0.0530914,0.0530914,0.0530914,2.07235,0.149207,0.141577,0.112558,0.332913,-1.2514,1.83128,0.0,0.05898,0.0658278,2.24958,0.147021,0.141577,0.112476,0.332885,-1.22876,1.81068,0.0,0.0563811,0.0635097,1.80229,1.85647,1.9434,2.09555,2.34106,2.48308,2.48308,0.141577,0.141577,0.141577,0.141577,0.141577,0.141577,0.141577,-1.56662,-1.31804,-1.31204,-1.27494,-1.26036,-1.25957,-1.22876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38905,2.85157,2.64151,0.100003,1.59539,1.70816,2.40081,2.42512,3.03469,3.6323,3.64086,2.53033,2.81414,2.68941,0.0915567,1.73902,1.86039,2.4616,2.52161,3.00478,3.52961,3.66609,1.02657,0.830443,2.30159,0.332321,0.509516,0.747503,0.752385,0.927326,4.3948,5.55591,5.68579,1.44115,1.29561,2.34658,0.231237,1.15253,1.26487,1.27494,1.34767,3.99803,4.5342,4.56949,-9999,-9999
200908,17.906,0.952957,13.555,2.976,1.0,20.927,4.532,0.923248,18.286,15.261,2.096,20.387,3.599,17.829,0.952957,13.555,2.976,1.0,20.803,4.438,0.923248,422.774,254.031,0.956317,221.845,248.197,0.956317,-9999,-9999,331.085,331.085,0.0,355.092,0.952957,342.381,354.277,0.952957,10.467,0.952957,10.014,10.252,0.952957,86.814,86.709,0.920699,1.563,2.751,0.920699,2.792,2.7,0.920699,0.202437555261,0.920698924731,127.003253653,0.900537634409,487.078939821,0.920698924731,383.648,0.952957,17.966,0.952957,19.079,0.952957,10.8079,0.952957,63.2587,0.952285,86.7228,0.491113,26.067,0.952285,35.7359,0.342497,0.914651,1,19.6452,28.3548,19.6452,28.3226,-0.0236695,0.948925,0.0369409,0.0543727,0.00872287,0.946909,0.034683,0.0528647,0.00305856,0.945833,0.00595863,-0.0534694,-0.026405,-0.0228476,-0.00552763,0.0300085,0.0533889,0.0649936,0.950941,0.946237,0.946237,0.950269,0.943548,0.943548,0.935484,1.4051,1.41121,1.0,0.0666906,0.0952625,-1.01586,1.70193,0.916534,0.0386654,0.0466462,1.42606,1.29841,1.0,0.0619408,0.0919999,-0.976893,1.70386,0.913197,0.0368539,0.045156,1.3356,1.35424,1.37237,1.42606,1.4709,1.49029,1.51592,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.02064,-1.01586,-1.01255,-0.993352,-0.973774,-0.963672,-0.931956,0.916534,0.916534,0.918759,0.903064,0.907513,0.907513,0.894125,1.50966,1.70467,1.7176,0.0255159,1.52004,1.55042,1.60442,1.63669,1.83653,1.97111,1.99256,1.56713,1.69595,1.71455,0.0202954,1.55807,1.60384,1.6222,1.64332,1.806,1.91042,1.93921,0.941431,0.763856,1.0807,0.0760689,0.466277,0.687566,0.689474,0.85045,1.68303,1.71528,1.77145,1.24851,1.11556,1.34091,0.0496354,0.988331,1.08867,1.09586,1.16285,1.74919,1.76977,1.77997,-9999,-9999
200909,11.702,1.0,7.914,3.345,1.0,15.027,4.398,1.0,12.844,10.471,2.33,14.907,3.509,11.702,1.0,7.914,3.345,1.0,15.027,4.398,1.0,346.047,183.404,1.0,184.886,183.404,1.0,-9999,-9999,299.053,299.053,0.0,313.149,1.0,306.931,313.149,1.0,7.096,1.0,7.911,7.096,1.0,87.099,86.976,1.0,1.15,1.194,1.0,3.549,3.338,1.0,0.230299305556,1.0,92.38678125,1.0,352.552002778,1.0,367.449,1.0,12.513,1.0,12.615,1.0,-0.0309499,1.0,32.7502,1.0,45.8589,0.439707,33.2634,1.0,46.5775,0.455199,0.999306,1,22.2333,25.7667,22.2333,25.7667,-0.149685,0.997222,0.0237002,0.0279817,-0.153096,0.996528,0.0234128,0.0277387,-0.17069,0.996146,0.00238592,-0.202812,-0.188487,-0.180513,-0.166847,-0.160874,-0.158737,-0.148473,0.99375,0.997222,0.99375,0.996528,0.996528,0.996528,0.997222,0.293309,0.785178,1.0,0.0371043,0.0437099,-0.482314,1.10439,0.994769,0.0280193,0.0308441,0.28825,0.770019,1.0,0.0367315,0.0433938,-0.483589,1.0989,0.993535,0.0276031,0.0304665,0.222001,0.23794,0.247711,0.261356,0.278056,0.284149,0.294243,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.513641,-0.507385,-0.500312,-0.493437,-0.484665,-0.481595,-0.480216,0.988498,0.994769,0.988498,0.994769,0.993535,0.993535,0.993535,0.282864,0.325245,0.31764,0.00259784,0.28869,0.2935,0.307632,0.320212,0.327129,0.332938,0.341484,0.470611,0.47834,0.488331,0.00227943,0.465007,0.474479,0.479428,0.486365,0.495081,0.502217,0.518087,0.449881,0.444497,0.371826,0.0108114,0.24977,0.298118,0.329457,0.349777,0.435142,0.44401,0.456903,0.663667,0.598886,0.57506,0.00588281,0.51825,0.524924,0.543792,0.565673,0.6007,0.614361,0.620278,-9999,-9999
200910,3.751,1.0,0.55,3.371,1.0,7.233,4.121,1.0,4.072,2.066,2.488,6.264,3.441,3.751,1.0,0.55,3.371,1.0,7.233,4.121,1.0,257.92,134.801,1.0,144.188,134.801,1.0,-9999,-9999,246.871,246.871,0.0,259.337,1.0,249.183,259.337,1.0,4.764,1.0,4.905,4.764,1.0,87.1,87.011,1.0,0.861,0.967,1.0,3.672,4.06,1.0,0.264294061237,0.997311827957,56.2040362903,1.0,259.052942876,1.0,368.312,1.0,4.605,1.0,10.583,1.0,-6.31669,1.0,15.5949,1.0,22.4365,0.257899,27.8613,1.0,40.0842,0.415914,1.0,1,25.0968,22.9032,25.0968,22.9032,0.34,1.0,0.0135492,0.0137627,0.338185,0.999328,0.013543,0.0137567,0.338329,0.999345,0.000450561,0.334362,0.335709,0.336575,0.338734,0.340147,0.340539,0.34175,0.999328,0.999328,0.999328,0.997984,1.0,1.0,1.0,-0.11646,0.362965,1.0,0.0196452,0.0201694,0.813068,0.826088,1.0,0.0168931,0.0179387,-0.118026,0.360955,1.0,0.0196284,0.0201531,0.811088,0.827726,0.998656,0.0168963,0.0179417,-0.118629,-0.117593,-0.116514,-0.114518,-0.111068,-0.108456,-0.105549,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.797393,0.799592,0.800836,0.810687,0.811607,0.811662,0.812416,0.997312,0.995968,0.995968,0.998656,1.0,1.0,1.0,0.00402116,0.00503135,0.00539401,0.000132296,0.00404598,0.00448432,0.00465168,0.00528709,0.00611786,0.00628539,0.00681829,-0.337729,-0.333154,-0.332935,0.000516996,-0.337249,-0.33661,-0.335523,-0.333257,-0.33119,-0.330226,-0.329067,0.459702,0.486449,0.46949,0.00412377,0.428379,0.432347,0.449439,0.48044,0.486495,0.497045,0.506531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
