TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20130101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.765,5.811,1.064,5.663,0.243,5.765,0.0,5.811,1.064,0.0,5.663,0.243,0.0,63.774,-9999,-9999,1.235,1.235,0.0,-9999,-9999,341.284,341.284,0.0,-9999,-9999,351.453,351.453,0.0,-9999,-9999,0.856,0.856,0.0,100.004,100.004,0.0,5.924,5.924,0.0,3.984,3.984,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,107.762,0.0,59.038,-9999,-9999,-9999,-9999,12.8464,0.0,6.85007,-9999,-9999,-9999,-9999,11.0,3,33,15,0,0,-0.778654,0.0,-9999,-9999,-0.778654,0.0,-9999,-9999,-0.969887,0.0,0.0440132,-1.41352,-1.34823,-1.33318,-0.778654,-0.778654,-0.778654,-0.707856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5896,3.03864,0.0,-9999,-9999,-5.89824,1.11659,0.0,-9999,-9999,1.5896,3.03864,0.0,-9999,-9999,-5.89824,1.11659,0.0,-9999,-9999,0.867522,0.912777,0.931422,1.5896,1.5896,1.5896,1.68884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.26738,-6.16014,-6.16014,-5.89824,-5.89824,-5.89824,-5.89824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0752,2.10432,2.0249,0.0243531,1.68337,1.82857,2.02013,2.06407,2.10432,2.12803,2.17391,2.88596,2.88297,2.99478,0.0377459,2.82585,2.83038,2.84273,2.88002,3.14504,3.18354,3.44303,2.06696,2.06696,2.68585,0.143566,1.95518,2.06696,2.06696,2.06696,3.92019,4.00646,4.07741,0.0329818,0.0329818,0.0474785,0.00335216,0.030294,0.0329818,0.0329818,0.0329818,0.0754046,0.0761185,0.0824432,-9999,-9999
20130102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.294,3.247,0.733,3.397,0.54,3.294,0.0,3.247,0.733,0.0,3.397,0.54,0.0,64.3353,-9999,-9999,20.042,20.042,0.0,-9999,-9999,300.345,300.345,0.0,-9999,-9999,302.943,302.943,0.0,-9999,-9999,0.33,0.33,0.0,101.209,101.209,0.0,0.538,0.538,0.0,3.635,3.635,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,68.8548,0.0,39.177,-9999,-9999,-9999,-9999,16.0549,0.0,8.90008,-9999,-9999,-9999,-9999,11.0,3,33,15,0,0,-0.312535,0.0,-9999,-9999,-0.312535,0.0,-9999,-9999,-0.515531,0.0,0.0482202,-1.02727,-0.928829,-0.924437,-0.312535,-0.312535,-0.312535,-0.272684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56261,2.43201,0.0,-9999,-9999,-4.4015,2.39783,0.0,-9999,-9999,1.56261,2.43201,0.0,-9999,-9999,-4.4015,2.39783,0.0,-9999,-9999,1.07833,1.0847,1.10911,1.56261,1.56261,1.56261,1.61847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.6078,-5.237,-5.237,-4.4015,-4.4015,-4.4015,-4.4015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7991,1.83299,1.74135,0.0262201,1.37665,1.51969,1.74238,1.78621,1.83299,1.85405,1.87605,2.149,2.14552,2.25688,0.0428091,1.91612,2.08358,2.09529,2.13983,2.308,2.4841,2.76483,1.96944,1.96944,2.5586,0.136702,1.86293,1.96944,1.96944,1.96944,3.73523,3.81743,3.88503,0.46937,0.46937,0.625583,0.0361545,0.439089,0.46937,0.46937,0.46937,0.932065,0.938067,0.996626,-9999,-9999
20130103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.057,5.415,1.274,7.469,0.592,6.057,0.0,5.415,1.274,0.0,7.469,0.592,0.0,64.952,-9999,-9999,6.229,6.229,0.0,-9999,-9999,337.254,337.254,0.0,-9999,-9999,346.678,346.678,0.0,-9999,-9999,0.329,0.329,0.0,101.714,101.714,0.0,5.54,5.54,0.0,5.004,5.004,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,97.7188,0.0,57.3478,-9999,-9999,-9999,-9999,15.6383,0.0,8.9995,-9999,-9999,-9999,-9999,11.0,3,33,15,0,0,-0.980125,0.0,-9999,-9999,-0.980125,0.0,-9999,-9999,-1.03405,0.0,0.0185463,-1.23266,-1.18598,-1.17427,-0.980125,-0.980125,-0.980125,-0.862023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07975,2.93771,0.0,-9999,-9999,-5.39784,1.66967,0.0,-9999,-9999,1.07975,2.93771,0.0,-9999,-9999,-5.39784,1.66967,0.0,-9999,-9999,0.940589,0.94724,0.962711,1.07975,1.07975,1.07975,1.24529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.8704,-5.73901,-5.73901,-5.39784,-5.39784,-5.39784,-5.39784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.10975,2.13806,2.06091,0.0239629,1.72484,1.86946,2.05512,2.09893,2.13806,2.16208,2.21142,3.12108,3.11818,3.09496,0.0205039,2.90759,3.00535,3.06137,3.07344,3.11344,3.12502,3.32264,2.07767,2.07767,2.69983,0.14432,1.96531,2.07767,2.07767,2.07767,3.9405,4.02722,4.09854,0.160307,0.160307,0.225055,0.014975,0.148043,0.160307,0.160307,0.160307,0.350527,0.35349,0.380377,-9999,-9999
20130104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.958,5.952,1.228,5.972,0.73,5.958,0.0,5.952,1.228,0.0,5.972,0.73,0.0,65.6234,-9999,-9999,7.993,7.993,0.0,-9999,-9999,321.928,321.928,0.0,-9999,-9999,328.518,328.518,0.0,-9999,-9999,0.559,0.559,0.0,102.114,102.114,0.0,5.253,5.253,0.0,4.692,4.692,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,107.762,0.0,65.1692,-9999,-9999,-9999,-9999,12.8464,0.0,7.66414,-9999,-9999,-9999,-9999,11.0,3,33,15,0,0,-0.778654,0.0,-9999,-9999,-0.778654,0.0,-9999,-9999,-0.969887,0.0,0.0440132,-1.41352,-1.34823,-1.33318,-0.778654,-0.778654,-0.778654,-0.707856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5896,3.03864,0.0,-9999,-9999,-5.89824,1.11659,0.0,-9999,-9999,1.5896,3.03864,0.0,-9999,-9999,-5.89824,1.11659,0.0,-9999,-9999,0.867522,0.912777,0.931422,1.5896,1.5896,1.5896,1.68884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.26738,-6.16014,-6.16014,-5.89824,-5.89824,-5.89824,-5.89824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09756,2.12621,2.04809,0.0241381,1.70951,1.85453,2.04273,2.08662,2.12621,2.15013,2.19814,2.9078,2.90486,3.01798,0.0376611,2.84867,2.85313,2.86528,2.90426,3.17106,3.20798,3.46443,2.07424,2.07424,2.69535,0.144078,1.96206,2.07424,2.07424,2.07424,3.93398,4.02056,4.09176,0.201224,0.201224,0.278744,0.0179314,0.186409,0.201224,0.201224,0.201224,0.429438,0.432841,0.464203,-9999,-9999
20130105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.31,4.34,1.437,4.245,0.334,4.31,0.0,4.34,1.437,0.0,4.245,0.334,0.0,66.3496,-9999,-9999,18.58,18.58,0.0,-9999,-9999,320.002,320.002,0.0,-9999,-9999,326.236,326.236,0.0,-9999,-9999,0.11,0.11,0.0,102.481,102.481,0.0,0.328,0.328,0.0,1.908,1.908,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,68.8548,0.0,44.7463,-9999,-9999,-9999,-9999,16.0549,0.0,10.3421,-9999,-9999,-9999,-9999,11.0,3,33,15,0,0,-0.312535,0.0,-9999,-9999,-0.312535,0.0,-9999,-9999,-0.515531,0.0,0.0482202,-1.02727,-0.928829,-0.924437,-0.312535,-0.312535,-0.312535,-0.272684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56261,2.43201,0.0,-9999,-9999,-4.4015,2.39783,0.0,-9999,-9999,1.56261,2.43201,0.0,-9999,-9999,-4.4015,2.39783,0.0,-9999,-9999,1.07833,1.0847,1.10911,1.56261,1.56261,1.56261,1.61847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.6078,-5.237,-5.237,-4.4015,-4.4015,-4.4015,-4.4015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.912,1.94401,1.85714,0.0254935,1.50113,1.64531,1.85588,1.89981,1.94401,1.96616,1.99778,2.25983,2.25655,2.37267,0.0424213,2.04024,2.19799,2.20908,2.25612,2.43364,2.60805,2.87369,2.00981,2.00981,2.61128,0.139543,1.90112,2.00981,2.00981,2.00981,3.81179,3.89568,3.96467,0.438604,0.438604,0.587101,0.034366,0.409862,0.438604,0.438604,0.438604,0.878116,0.883921,0.940122,-9999,-9999
20130106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.383,4.245,0.605,4.687,0.281,4.383,0.0,4.245,0.605,0.0,4.687,0.281,0.0,67.1311,-9999,-9999,4.755,4.755,0.0,-9999,-9999,343.855,343.855,0.0,-9999,-9999,354.5,354.5,0.0,-9999,-9999,0.0,0.0,0.0,102.171,102.171,0.0,1.609,1.609,0.0,2.248,2.248,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,97.7188,0.0,68.1525,-9999,-9999,-9999,-9999,15.6383,0.0,10.8683,-9999,-9999,-9999,-9999,11.0,3,33,15,0,0,-0.980125,0.0,-9999,-9999,-0.980125,0.0,-9999,-9999,-1.03405,0.0,0.0185463,-1.23266,-1.18598,-1.17427,-0.980125,-0.980125,-0.980125,-0.862023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07975,2.93771,0.0,-9999,-9999,-5.39784,1.66967,0.0,-9999,-9999,1.07975,2.93771,0.0,-9999,-9999,-5.39784,1.66967,0.0,-9999,-9999,0.940589,0.94724,0.962711,1.07975,1.07975,1.07975,1.24529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.8704,-5.73901,-5.73901,-5.39784,-5.39784,-5.39784,-5.39784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91898,1.95098,1.86401,0.0255367,1.50722,1.65191,1.86277,1.90678,1.95098,1.9732,2.00518,2.93439,2.93111,2.89807,0.0222466,2.68785,2.78816,2.85563,2.8785,2.92574,2.93614,3.13955,2.01313,2.01313,2.6156,0.139776,1.90426,2.01313,2.01313,2.01313,3.81809,3.90212,3.97121,0.124065,0.124065,0.175742,0.0119509,0.114346,0.124065,0.124065,0.124065,0.275672,0.278101,0.299941,-9999,-9999
20130107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.289,2.582,0.65,1.646,0.202,2.289,0.0,2.582,0.65,0.0,1.646,0.202,0.0,67.9682,-9999,-9999,11.028,11.028,0.0,-9999,-9999,326.871,326.871,0.0,-9999,-9999,334.375,334.375,0.0,-9999,-9999,0.134,0.134,0.0,102.544,102.544,0.0,0.297,0.297,0.0,1.782,1.782,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,107.762,0.0,80.0183,-9999,-9999,-9999,-9999,12.8464,0.0,9.15771,-9999,-9999,-9999,-9999,11.0,3,33,15,0,0,-0.778654,0.0,-9999,-9999,-0.778654,0.0,-9999,-9999,-0.969887,0.0,0.0440132,-1.41352,-1.34823,-1.33318,-0.778654,-0.778654,-0.778654,-0.707856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5896,3.03864,0.0,-9999,-9999,-5.89824,1.11659,0.0,-9999,-9999,1.5896,3.03864,0.0,-9999,-9999,-5.89824,1.11659,0.0,-9999,-9999,0.867522,0.912777,0.931422,1.5896,1.5896,1.5896,1.68884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.26738,-6.16014,-6.16014,-5.89824,-5.89824,-5.89824,-5.89824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69071,1.72608,1.63093,0.0266941,1.26146,1.40226,1.63376,1.67727,1.72608,1.74378,1.75952,2.50837,2.50473,2.60082,0.0391872,2.43561,2.44106,2.45233,2.47669,2.72228,2.78269,3.07208,1.92832,1.92832,2.50496,0.13381,1.82404,1.92832,1.92832,1.92832,3.65725,3.73774,3.80392,0.273751,0.273751,0.37619,0.0236979,0.254091,0.273751,0.273751,0.273751,0.575697,0.580081,0.62089,-9999,-9999
20130108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.598,4.375,0.703,5.09,0.255,4.598,0.0,4.375,0.703,0.0,5.09,0.255,0.0,68.8607,-9999,-9999,2.984,2.984,0.0,-9999,-9999,349.519,349.519,0.0,-9999,-9999,361.212,361.212,0.0,-9999,-9999,0.0,0.0,0.0,101.961,101.961,0.0,6.916,6.916,0.0,2.004,2.004,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,68.8548,0.0,52.3596,-9999,-9999,-9999,-9999,16.0549,0.0,11.7321,-9999,-9999,-9999,-9999,11.0,3,33,15,0,0,-0.312535,0.0,-9999,-9999,-0.312535,0.0,-9999,-9999,-0.515531,0.0,0.0482202,-1.02727,-0.928829,-0.924437,-0.312535,-0.312535,-0.312535,-0.272684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56261,2.43201,0.0,-9999,-9999,-4.4015,2.39783,0.0,-9999,-9999,1.56261,2.43201,0.0,-9999,-9999,-4.4015,2.39783,0.0,-9999,-9999,1.07833,1.0847,1.10911,1.56261,1.56261,1.56261,1.61847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.6078,-5.237,-5.237,-4.4015,-4.4015,-4.4015,-4.4015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94314,1.97471,1.88885,0.0253647,1.53421,1.67904,1.88708,1.9311,1.97471,1.99716,2.03125,2.29049,2.28725,2.40438,0.0423242,2.07371,2.22945,2.24041,2.28725,2.467,2.64124,2.90385,2.02158,2.02158,2.62663,0.140371,1.91225,2.02158,2.02158,2.02158,3.83411,3.91849,3.98788,0.0787003,0.0787003,0.112315,0.00777337,0.0724183,0.0787003,0.0787003,0.0787003,0.177203,0.178818,0.193235,-9999,-9999
20130109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.012,4.801,0.535,5.476,0.303,5.012,0.0,4.801,0.535,0.0,5.476,0.303,0.0,69.8087,-9999,-9999,1.734,1.734,0.0,-9999,-9999,350.691,350.691,0.0,-9999,-9999,362.601,362.601,0.0,-9999,-9999,0.0,0.0,0.0,101.361,101.361,0.0,9.781,9.781,0.0,2.474,2.474,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,97.7188,0.0,75.5737,-9999,-9999,-9999,-9999,15.6383,0.0,11.6302,-9999,-9999,-9999,-9999,11.0,3,33,15,0,0,-0.980125,0.0,-9999,-9999,-0.980125,0.0,-9999,-9999,-1.03405,0.0,0.0185463,-1.23266,-1.18598,-1.17427,-0.980125,-0.980125,-0.980125,-0.862023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07975,2.93771,0.0,-9999,-9999,-5.39784,1.66967,0.0,-9999,-9999,1.07975,2.93771,0.0,-9999,-9999,-5.39784,1.66967,0.0,-9999,-9999,0.940589,0.94724,0.962711,1.07975,1.07975,1.07975,1.24529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.8704,-5.73901,-5.73901,-5.39784,-5.39784,-5.39784,-5.39784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98946,2.02023,1.93642,0.025051,1.58571,1.73089,1.93368,1.97772,2.02023,2.04313,2.08123,3.00351,3.00036,2.97048,0.0216774,2.76707,2.86668,2.93206,2.94975,2.9952,3.00607,3.20741,2.03791,2.03791,2.64794,0.14152,1.92769,2.03791,2.03791,2.03791,3.86508,3.95015,4.0201,0.0460708,0.0460708,0.0660756,0.00462594,0.0423491,0.0460708,0.0460708,0.0460708,0.104646,0.105621,0.114286,-9999,-9999
20130110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.121,1.103,2.057,1.162,0.891,1.121,0.0,1.103,2.057,0.0,1.162,0.891,0.0,70.8122,-9999,-9999,8.705,8.705,0.0,-9999,-9999,310.779,310.779,0.0,-9999,-9999,315.307,315.307,0.0,-9999,-9999,0.162,0.162,0.0,100.535,100.535,0.0,2.978,2.978,0.0,3.633,3.633,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,107.762,0.0,84.1014,-9999,-9999,-9999,-9999,12.8464,0.0,9.64445,-9999,-9999,-9999,-9999,11.0,3,33,15,0,0,-0.778654,0.0,-9999,-9999,-0.778654,0.0,-9999,-9999,-0.969887,0.0,0.0440132,-1.41352,-1.34823,-1.33318,-0.778654,-0.778654,-0.778654,-0.707856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5896,3.03864,0.0,-9999,-9999,-5.89824,1.11659,0.0,-9999,-9999,1.5896,3.03864,0.0,-9999,-9999,-5.89824,1.11659,0.0,-9999,-9999,0.867522,0.912777,0.931422,1.5896,1.5896,1.5896,1.68884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.26738,-6.16014,-6.16014,-5.89824,-5.89824,-5.89824,-5.89824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57087,1.60734,1.51009,0.0268338,1.14118,1.27769,1.51429,1.55705,1.60734,1.61821,1.63127,2.38976,2.386,2.47998,0.0395592,2.31484,2.32043,2.3271,2.35708,2.60065,2.66332,2.95508,1.87842,1.87842,2.43986,0.130302,1.77683,1.87842,1.87842,1.87842,3.56259,3.641,3.70547,0.220645,0.220645,0.306811,0.0199306,0.204209,0.220645,0.220645,0.220645,0.474171,0.477997,0.513098,-9999,-9999
