TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_4,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_4_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20050101,3.178,1.0,2.843,2.148,1.0,3.991,1.399,1.0,3.524,3.135,1.837,4.467,0.647,3.178,1.0,2.843,2.148,1.0,3.991,1.399,1.0,47.2478,13.359,1.0,7.275,13.359,1.0,-9999,-9999,300.7,300.7,0.0,294.441,1.0,318.19,294.441,1.0,0.758,1.0,0.512,0.758,1.0,100.39,100.052,1.0,1.483,0.77,1.0,4.114,4.114,0.0,-9999,0.0,-5.0316303617,0.979166666667,-9999,0.0,-9999,-9999,1.248,1.405,2.31,1.608,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-3.97371,1.0,0.381887,0.0,0.188349,0.172414,0.331709,-9999,-9999,-13.6066,0.0,-6.71085,-11.8188,-6.14308,-9999,-9999,5.0,1,34,14,0,0,1.54891,0.0,-9999,-9999,1.54891,0.0,-9999,-9999,1.55056,0.0,0.0163855,1.38911,1.46044,1.47897,1.54411,1.58692,1.61534,1.76179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.70473,0.422078,0.0,-9999,-9999,0.97743,0.408329,0.0,-9999,-9999,1.70473,0.422078,0.0,-9999,-9999,0.97743,0.408329,0.0,-9999,-9999,1.51746,1.60572,1.63088,1.70473,1.75728,1.77285,1.87176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.904264,0.923223,0.925569,0.966146,0.97743,1.03149,1.27513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31788,2.31788,2.35157,0.0182928,2.21516,2.23536,2.24302,2.33016,2.4203,2.4616,2.51753,0.768974,0.768974,0.801007,0.00999157,0.744702,0.747994,0.752226,0.778854,0.831344,0.840509,0.89389,2.28622,2.30635,2.18946,0.0604868,1.06074,2.23622,2.23748,2.29789,2.35787,2.35994,2.44273,0.273476,0.272861,0.23937,0.00684628,0.122892,0.214667,0.21498,0.256358,0.273188,0.274486,0.276152,-9999,-9999
20050102,2.813,1.0,2.909,1.642,1.0,2.58,0.385,1.0,3.032,3.127,1.051,2.801,0.292,2.813,1.0,2.909,1.642,1.0,2.58,0.385,1.0,47.7737,9.82,1.0,14.044,9.82,1.0,-9999,-9999,265.056,265.056,0.0,288.542,1.0,285.299,288.542,1.0,1.249,1.0,1.418,1.249,1.0,99.008,98.951,1.0,4.186,1.56,1.0,7.205,7.205,0.0,-9999,0.0,-14.2494029167,1.0,-9999,0.0,-9999,-9999,1.897,2.254,2.724,2.421,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-7.98062,-9999,0.412344,0.0,0.203371,0.186164,0.358165,-9999,-9999,-14.4815,0.0,-7.14234,-12.5787,-6.53806,-9999,-9999,5.0,1,34,14,0,0,1.43491,0.0,-9999,-9999,1.43491,0.0,-9999,-9999,1.4499,0.0,0.0158186,1.32207,1.38087,1.40234,1.43387,1.44531,1.49834,1.6909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53051,0.206255,0.0,-9999,-9999,1.02387,0.503179,0.0,-9999,-9999,1.53051,0.206255,0.0,-9999,-9999,1.02387,0.503179,0.0,-9999,-9999,1.39946,1.47104,1.49634,1.53202,1.55562,1.57628,1.71531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.969332,0.989782,0.993118,0.99822,1.02577,1.1223,1.42089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27572,2.27572,2.29871,0.0159805,2.17869,2.19487,2.20364,2.27572,2.36528,2.38986,2.45916,0.840811,0.840811,0.84881,0.00902611,0.781855,0.785721,0.795829,0.849148,0.886811,0.903437,0.945101,2.25918,2.27771,2.16525,0.0613696,1.01526,2.20835,2.20984,2.26893,2.34103,2.34308,2.42528,0.220258,0.218676,0.19211,0.00572672,0.0925749,0.17248,0.17277,0.209023,0.220015,0.22116,0.222594,-9999,-9999
20050103,4.359,1.0,4.337,1.956,1.0,4.413,0.824,1.0,4.336,4.312,1.955,4.393,0.751,4.359,1.0,4.337,1.956,1.0,4.413,0.824,1.0,48.3515,15.569,1.0,16.931,15.569,1.0,-9999,-9999,279.04,279.04,0.0,295.2,1.0,298.203,295.2,1.0,1.708,1.0,1.982,1.708,1.0,100.261,100.231,1.0,1.822,2.38,1.0,6.339,6.339,0.0,-9999,0.0,-16.5788458333,1.0,-9999,0.0,-9999,-9999,1.468,1.526,2.369,1.649,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-2.79437,-9999,0.287399,0.0,0.141747,0.129754,0.249636,-9999,-9999,-12.1892,0.0,-6.01178,-10.5876,-5.50315,-9999,-9999,5.0,1,34,14,0,0,1.14322,0.0,-9999,-9999,1.14322,0.0,-9999,-9999,1.16059,0.0,0.0107043,1.08431,1.11538,1.12047,1.14322,1.15304,1.19955,1.32695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.30236,0.258011,0.0,-9999,-9999,0.614229,0.411839,0.0,-9999,-9999,1.30236,0.258011,0.0,-9999,-9999,0.614229,0.411839,0.0,-9999,-9999,1.22587,1.26601,1.27287,1.30756,1.31968,1.3426,1.39338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.593341,0.603752,0.603898,0.606626,0.61595,0.702638,1.00023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45127,2.45127,2.51337,0.0252652,2.33179,2.35349,2.37519,2.45155,2.59313,2.67618,2.69691,1.30805,1.30805,1.35278,0.0185994,1.21641,1.23048,1.23415,1.31178,1.42393,1.50559,1.59095,2.37539,2.40041,2.2684,0.0584785,1.18837,2.32773,2.32906,2.37539,2.41671,2.41883,2.50233,0.308932,0.308617,0.270693,0.00764391,0.141787,0.242641,0.242981,0.288775,0.308617,0.310042,0.311894,-9999,-9999
20050104,7.2,1.0,6.967,0.826,1.0,7.764,0.13,1.0,7.0,6.873,0.721,7.308,0.098,7.2,1.0,6.967,0.826,1.0,7.764,0.13,1.0,48.9813,3.281,1.0,3.392,3.281,1.0,-9999,-9999,329.474,329.474,0.0,321.872,1.0,344.743,321.872,1.0,1.385,1.0,1.095,1.385,1.0,100.067,99.952,1.0,3.018,1.41,1.0,6.415,6.415,0.0,-9999,0.0,-7.53759205625,1.0,-9999,0.0,-9999,-9999,5.177,4.427,3.32,4.019,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,2.66994,-9999,0.309353,0.0,0.152575,0.139666,0.268706,-9999,-9999,-13.0608,0.0,-6.44165,-11.3446,-5.89665,-9999,-9999,5.0,1,34,14,0,0,1.09955,0.0,-9999,-9999,1.09955,0.0,-9999,-9999,1.144,0.0,0.0261052,1.0849,1.08815,1.08815,1.10102,1.10313,1.12318,1.49407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10054,0.319317,0.0,-9999,-9999,0.960112,0.116048,0.0,-9999,-9999,1.10054,0.319317,0.0,-9999,-9999,0.960112,0.116048,0.0,-9999,-9999,1.08545,1.08978,1.08988,1.10253,1.10541,1.12487,1.34101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.948345,0.948345,0.948345,0.960112,0.960112,0.979097,1.67956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77696,2.77696,2.91976,0.0468969,2.61416,2.65033,2.6886,2.76659,3.06168,3.21994,3.47241,1.67741,1.67741,1.77576,0.0354685,1.526,1.56218,1.57871,1.66084,1.92919,1.96511,2.12841,2.58618,2.62347,2.45698,0.0525674,1.53496,2.49119,2.54479,2.54792,2.57189,2.60174,2.64051,0.0873819,0.0858043,0.075702,0.00244045,0.0321922,0.0680636,0.0681855,0.0835757,0.087276,0.0878184,0.0885325,-9999,-9999
20050105,4.992,1.0,4.685,0.351,1.0,5.74,0.5,1.0,5.03,4.834,0.325,5.504,0.421,4.992,1.0,4.685,0.351,1.0,5.74,0.5,1.0,49.6636,12.134,1.0,14.537,12.134,1.0,-9999,-9999,280.866,280.866,0.0,303.944,1.0,299.887,303.944,1.0,1.455,1.0,1.615,1.455,1.0,100.391,100.333,1.0,1.125,0.58,1.0,4.968,4.968,0.0,-9999,0.0,-19.5964320833,1.0,-9999,0.0,-9999,-9999,3.179,3.444,3.749,3.579,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-5.58605,-9999,0.709435,0.0,0.349898,0.320294,0.616219,-9999,-9999,-27.5359,0.0,-13.5809,-23.9178,-12.4319,-9999,-9999,5.0,1,34,14,0,0,1.9091,0.0,-9999,-9999,1.9091,0.0,-9999,-9999,1.9035,0.0,0.00987562,1.77176,1.85204,1.90472,1.9091,1.90981,1.93225,2.02065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24121,0.217087,0.0,-9999,-9999,0.864587,0.669134,0.0,-9999,-9999,2.24121,0.217087,0.0,-9999,-9999,0.864587,0.669134,0.0,-9999,-9999,2.07547,2.17325,2.2405,2.24121,2.24121,2.24121,2.32498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.813361,0.841128,0.85186,0.864587,0.866949,0.941103,1.0297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52265,2.52265,2.5993,0.0290587,2.39432,2.41682,2.44394,2.52265,2.68541,2.7895,2.84534,0.613557,0.613557,0.695802,0.0261832,0.511517,0.538935,0.5499,0.627178,0.768766,0.874723,1.07358,2.42342,2.45105,2.31079,0.0575269,1.25448,2.37699,2.37845,2.42342,2.44865,2.45013,2.53456,0.257894,0.2568,0.225405,0.0065576,0.112781,0.20224,0.202553,0.242953,0.257617,0.258887,0.260502,-9999,-9999
20050106,5.632,1.0,5.678,1.032,1.0,5.521,0.766,1.0,5.509,5.558,0.851,5.391,0.676,5.632,1.0,5.678,1.032,1.0,5.521,0.766,1.0,50.3987,24.068,1.0,17.964,24.068,1.0,-9999,-9999,290.905,290.905,0.0,306.876,1.0,309.151,306.876,1.0,1.606,1.0,1.429,1.606,1.0,100.353,100.283,1.0,4.576,2.64,1.0,5.998,5.998,0.0,-9999,0.0,-3.93830220833,1.0,-9999,0.0,-9999,-9999,3.493,3.431,3.651,3.449,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-2.7451,-9999,0.612145,0.0,0.301914,0.27637,0.531713,-9999,-9999,-17.7133,0.0,-8.73633,-15.3859,-7.99718,-9999,-9999,5.0,1,34,14,0,0,1.53513,0.0,-9999,-9999,1.53513,0.0,-9999,-9999,1.54047,0.0,0.0141662,1.40936,1.46305,1.50357,1.53513,1.54298,1.632,1.73827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75201,0.392218,0.0,-9999,-9999,0.817097,0.749128,0.0,-9999,-9999,1.75201,0.392218,0.0,-9999,-9999,0.817097,0.749128,0.0,-9999,-9999,1.58495,1.65323,1.71188,1.75201,1.75936,1.77037,1.82424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.799557,0.803537,0.807263,0.818376,0.825149,1.09255,1.31283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59619,2.59619,2.69144,0.0339776,2.45799,2.48271,2.51469,2.59619,2.7931,2.89399,3.02301,1.06105,1.06105,1.15096,0.0280893,0.97776,0.994494,1.00428,1.0659,1.2278,1.3598,1.53172,2.47077,2.50118,2.35321,0.0561108,1.33391,2.42102,2.42578,2.47077,2.47864,2.49468,2.56527,0.401321,0.404433,0.354104,0.0092012,0.208622,0.316533,0.316853,0.367217,0.401321,0.403801,0.408031,-9999,-9999
20050107,9.062,1.0,8.854,0.341,1.0,9.569,0.248,1.0,8.682,8.593,0.494,8.897,0.295,9.062,1.0,8.854,0.341,1.0,9.569,0.248,1.0,51.1869,3.221,1.0,2.013,3.221,1.0,-9999,-9999,358.575,358.575,0.0,337.18,1.0,371.598,337.18,1.0,1.377,1.0,1.055,1.377,1.0,99.828,99.656,1.0,5.042,10.07,1.0,7.785,7.785,0.0,-9999,-9999,1.30196285417,1.0,-9999,-9999,-9999,-9999,6.82,5.698,4.326,5.156,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,7.08831,1.0,0.475085,0.0,0.234315,0.21449,0.412661,-9999,-9999,-17.0238,0.0,-8.39623,-14.7869,-7.68586,-9999,-9999,5.0,1,34,14,0,0,1.06366,0.0,-9999,-9999,1.06366,0.0,-9999,-9999,1.06366,0.0,3.55556e-17,1.06366,1.06366,1.06366,1.06366,1.06366,1.06366,1.06366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0381,0.129685,0.0,-9999,-9999,0.993168,0.0479587,0.0,-9999,-9999,1.0381,0.129685,0.0,-9999,-9999,0.993168,0.0479587,0.0,-9999,-9999,1.0381,1.0381,1.0381,1.0381,1.0381,1.0381,1.0381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993168,0.993168,0.993168,0.993168,0.993168,0.993168,0.993168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9933,2.9933,3.19899,0.064356,2.79992,2.85051,2.89662,2.95859,3.33771,3.61542,4.05265,1.92964,1.92964,2.13533,0.064356,1.73625,1.78685,1.83296,1.89492,2.27405,2.55176,2.98899,2.72117,2.76682,2.57954,0.0479797,1.74029,2.59528,2.63036,2.68033,2.69334,2.72117,2.76341,0.0891007,0.0872804,0.0770821,0.00252573,0.0319371,0.0693211,0.0694451,0.0847389,0.0889906,0.0895635,0.0903288,-9999,-9999
20050108,7.36,1.0,7.222,1.636,1.0,7.696,0.977,1.0,6.806,6.679,1.523,7.115,0.197,7.36,1.0,7.222,1.636,1.0,7.696,0.977,1.0,52.0283,5.656,1.0,6.56,5.656,1.0,-9999,-9999,323.89,323.89,0.0,319.195,1.0,339.59,319.195,1.0,2.091,1.0,1.2,2.091,1.0,98.516,98.31,0.958333,7.949,1.01,0.979167,10.056,10.056,0.0,-9999,0.0,-6.68207230435,0.958333333333,-9999,0.0,-9999,-9999,6.008,6.0,5.358,5.928,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-5.23369,-9999,0.351584,0.0,0.173403,0.158732,0.305388,-9999,-9999,-13.7181,0.0,-6.76584,-11.9156,-6.19342,-9999,-9999,5.0,1,34,14,0,0,1.10181,0.0,-9999,-9999,1.10181,0.0,-9999,-9999,1.10781,0.0,0.0053012,1.07127,1.08582,1.08618,1.10412,1.10713,1.11701,1.20203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12687,0.209065,0.0,-9999,-9999,0.903641,0.149569,0.0,-9999,-9999,1.12687,0.209065,0.0,-9999,-9999,0.903641,0.149569,0.0,-9999,-9999,1.08871,1.10832,1.1088,1.12892,1.1337,1.14123,1.14455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.895417,0.895851,0.895851,0.90452,0.906254,0.910878,1.19508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79591,2.79591,2.94544,0.0487482,2.63019,2.66778,2.7068,2.7831,3.08634,3.26426,3.5319,1.69409,1.69409,1.83763,0.0455544,1.54437,1.58186,1.60573,1.67743,1.96341,2.15269,2.46062,2.59736,2.63541,2.46738,0.0519931,1.56077,2.49756,2.55444,2.55667,2.58252,2.60839,2.64727,0.139017,0.137219,0.120809,0.0037574,0.0544803,0.108556,0.108751,0.133793,0.138855,0.139652,0.140663,-9999,-9999
20050109,5.935,1.0,5.876,1.134,1.0,6.079,0.659,1.0,5.571,5.619,0.922,5.456,0.658,5.935,1.0,5.876,1.134,1.0,6.079,0.659,1.0,52.9232,22.433,1.0,17.831,22.433,1.0,-9999,-9999,294.487,294.487,0.0,306.511,1.0,312.457,306.511,1.0,1.849,1.0,1.552,1.849,1.0,99.841,99.785,1.0,5.805,8.98,1.0,7.047,7.047,0.0,-9999,0.0,1.29922860417,1.0,-9999,0.0,-9999,-9999,4.084,4.231,4.795,4.385,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-4.76782,-9999,0.20109,0.0,0.0991789,-9999,-9999,-9999,-9999,-10.1924,0.0,-5.02694,-9999,-9999,-9999,-9999,5.0,2,34,14,0,0,0.97546,0.0,-9999,-9999,0.97546,0.0,-9999,-9999,0.986269,0.0,0.00771987,0.928955,0.952504,0.953258,0.979066,0.98583,1.01533,1.07587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13527,0.17935,0.0,-9999,-9999,0.465776,0.506591,0.0,-9999,-9999,1.13527,0.17935,0.0,-9999,-9999,0.465776,0.506591,0.0,-9999,-9999,1.079,1.10358,1.10446,1.13742,1.14796,1.15864,1.16179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.448781,0.458948,0.461602,0.466887,0.469221,0.533104,0.792306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63105,2.63105,2.73527,0.0363831,2.48815,2.51505,2.54824,2.63105,2.85468,2.94232,3.10824,1.65559,1.65559,1.749,0.0314254,1.53564,1.56251,1.57383,1.65326,1.84948,1.98106,2.17928,2.49313,2.52486,2.37328,0.0554334,1.37202,2.43466,2.44883,2.48981,2.49364,2.51863,2.57972,0.364388,0.367132,0.32162,0.00831513,0.19143,0.287368,0.287661,0.333759,0.364388,0.36656,0.370357,-9999,-9999
20050110,9.085,1.0,8.527,1.291,1.0,10.44,0.206,1.0,8.819,8.498,1.016,9.599,0.179,9.085,1.0,8.527,1.291,1.0,10.44,0.206,1.0,53.8716,7.684,1.0,6.425,7.684,1.0,-9999,-9999,341.286,341.286,0.0,335.36,1.0,355.643,335.36,1.0,1.834,1.0,1.491,1.834,1.0,99.785,99.665,1.0,4.389,2.96,1.0,7.307,7.307,0.0,-9999,0.0,-0.647995458333,1.0,-9999,0.0,-9999,-9999,6.939,6.153,5.118,5.769,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,3.6424,-9999,0.583125,0.0,0.287601,-9999,-9999,-9999,-9999,-17.1422,0.0,-8.45461,-9999,-9999,-9999,-9999,4.0,2,34,14,0,0,1.12069,0.0,-9999,-9999,1.12069,0.0,-9999,-9999,1.12958,0.0,0.00531523,1.11626,1.11626,1.11626,1.12182,1.12291,1.12467,1.2075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06404,0.129648,0.0,-9999,-9999,1.11858,0.078153,0.0,-9999,-9999,1.06404,0.129648,0.0,-9999,-9999,1.11858,0.078153,0.0,-9999,-9999,1.05801,1.05801,1.05801,1.06559,1.06707,1.06946,1.18214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11858,1.11858,1.11858,1.11858,1.11858,1.11858,1.11858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99625,2.99625,3.20446,0.0650631,2.80216,2.85313,2.89943,2.96108,3.34355,3.62451,4.07253,1.87557,1.87557,2.07488,0.0617315,1.6859,1.73688,1.77476,1.84039,2.2217,2.50231,2.95627,2.72221,2.768,2.58083,0.0477225,1.74535,2.59629,2.63062,2.68137,2.69396,2.72221,2.76463,0.178815,0.177035,0.155707,0.00473116,0.0729458,0.139837,0.140082,0.170945,0.178613,0.179589,0.180798,-9999,-9999
