TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_4,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_4_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
200501,3.156,1.0,2.846,1.221,1.0,3.791,0.754,1.0,3.141,2.906,1.045,3.616,0.572,3.156,1.0,2.846,1.221,1.0,3.791,0.754,1.0,62.9189,23.162,0.977823,19.173,23.154,0.977823,-9999,-9999,276.672,276.672,0.0,280.803,0.977823,296.018,280.899,0.977823,1.263,1.0,1.191,1.263,1.0,100.182,100.117,0.998656,2.099,2.012,0.998656,4.832,4.834,0.0114247,-9999,-9999,-5.97936294771,0.997311827957,-9999,-9999,-9999,-9999,2.017,2.29,2.972,2.438,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-5.80271,1.0,0.399271,0.16129,-9999,0.0319055,-14.2802,0.16129,-9999,0.395252,-9999,-9999,32.5161,15.4839,14.7742,7.3871,1.31397,0.122984,0.0211285,0.0296784,1.31621,0.122984,0.0210597,0.0296296,1.32525,0.11754,0.00735839,1.26845,1.30022,1.30605,1.31397,1.32257,1.3419,1.44247,0.137769,0.136425,0.120968,0.122984,0.104167,0.102151,0.0954301,1.51935,0.261712,0.139308,0.0252495,0.0488574,0.753028,0.565006,0.0930977,0.034362,0.0715147,1.51935,0.261712,0.139308,0.0251326,0.048797,0.753028,0.565006,0.0930977,0.0343525,0.0715102,1.41488,1.46759,1.48774,1.51948,1.5428,1.55124,1.61832,0.0821735,0.113391,0.113391,0.139308,0.139308,0.139308,0.139308,0.691977,0.717941,0.722734,0.748007,0.795013,0.843378,1.00142,0.0607211,0.0796964,0.0872865,0.0893027,0.131048,0.131048,0.134843,2.24141,2.31915,2.36049,0.0199341,2.21465,2.23491,2.24358,2.32939,2.42851,2.48162,2.52612,1.10033,1.00294,1.03524,0.0154901,0.913654,0.922373,0.925481,1.02162,1.10033,1.13016,1.19418,2.28232,2.30272,2.18644,0.0594258,1.08449,2.23273,2.23393,2.29438,2.35091,2.35329,2.43555,0.293145,0.374225,0.327999,0.00847256,0.195763,0.293097,0.293256,0.340871,0.371596,0.373649,0.377327,-9999,-9999
200502,-0.211,1.0,-0.584,1.187,1.0,0.359,0.929,1.0,-0.695,-1.385,1.232,0.29,1.011,-0.211,1.0,-0.584,1.187,1.0,0.359,0.929,1.0,124.641,52.608,1.0,47.425,52.608,1.0,-9999,-9999,250.913,250.913,0.0,254.917,1.0,272.247,254.917,1.0,0.941,1.0,0.909,0.941,1.0,100.896,100.782,0.954613,1.46,1.389,1.0,3.713,3.684,1.0,0.279029687203,0.947916666667,3.29893795134,1.0,262.217152431,0.964285714286,387.388,1.0,0.135,0.435,1.194,0.541,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-6.28101,-9999,0.316898,1.0,-9999,0.0275514,-8.07868,1.0,-9999,0.271523,-9999,-9999,28.4286,19.5714,28.4286,19.5714,0.728814,0.99628,0.0155521,0.023579,0.730043,0.99628,0.0154075,0.0234838,0.736012,0.99202,0.00255765,0.720145,0.721942,0.724852,0.729357,0.735493,0.757387,0.772761,0.999256,0.999256,0.999256,0.99628,0.985863,0.985119,0.974702,0.922932,0.274364,1.0,0.0193996,0.045321,0.364124,0.476322,0.991071,0.0235996,0.0531467,0.922932,0.274364,1.0,0.0192259,0.0452469,0.364124,0.476322,0.991071,0.0233686,0.0530446,0.834899,0.886594,0.896983,0.923864,0.947498,0.968512,1.0119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.296637,0.325749,0.339536,0.362822,0.390276,0.420988,0.485837,0.936139,0.964427,0.966412,0.991071,0.998214,0.998214,0.998214,1.03347,1.04858,1.05544,0.00358701,1.01387,1.03497,1.03966,1.04843,1.06934,1.08484,1.09676,0.331952,0.318534,0.319429,0.00168442,0.293725,0.311134,0.314098,0.318534,0.326414,0.327807,0.333882,0.991535,1.03504,1.01023,0.00682838,0.938453,0.964214,0.97631,1.01043,1.04319,1.05084,1.07254,0.22719,0.268462,0.250554,0.00299066,0.221902,0.231302,0.233194,0.244186,0.268555,0.272792,0.275471,-9999,-9999
200503,1.527,1.0,0.54,1.62,1.0,2.429,1.836,1.0,0.955,-0.322,1.459,2.226,1.821,1.527,1.0,0.54,1.62,1.0,2.429,1.836,1.0,224.533,118.271,1.0,96.903,118.271,1.0,-9999,-9999,260.159,260.159,0.0,259.367,1.0,280.779,259.367,1.0,1.467,1.0,1.284,1.467,1.0,100.658,100.623,0.930108,1.24,1.576,1.0,3.19,3.286,0.872984,0.245514907354,0.766801075269,46.3453907995,1.0,348.186120972,1.0,386.703,0.991263,2.179,2.123,2.188,2.008,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-3.45287,-9999,0.0018619,0.990591,0.00752179,0.0371076,0.135546,0.990591,0.547588,0.284562,1.0,2,23.871,24.129,23.871,24.129,0.356395,0.971774,0.0144984,0.0236827,0.356048,0.971774,0.0143851,0.0236135,0.352404,0.953948,0.00332646,0.334105,0.335842,0.338107,0.345632,0.356048,0.373294,0.397414,0.983199,0.981183,0.978495,0.949597,0.971774,0.922715,0.907258,1.15857,0.260632,0.991935,0.018137,0.0772277,-0.409913,1.15493,0.952417,0.0212253,0.0522376,1.15857,0.260632,0.991935,0.0179053,0.0771736,-0.409913,1.15493,0.952417,0.0211344,0.0522007,1.03714,1.08603,1.09736,1.16032,1.19465,1.23616,1.27716,0.889275,0.897759,0.921921,0.946481,0.997312,0.997312,0.997312,-0.496186,-0.467959,-0.450057,-0.413246,-0.394185,-0.372497,-0.321897,0.90017,0.93175,0.939456,0.949936,0.964204,0.967926,0.979605,1.29142,1.37993,1.37266,0.00796735,1.27361,1.33301,1.33915,1.37993,1.40946,1.42901,1.44359,1.05656,1.02388,1.02026,0.00563438,0.943428,0.996281,0.999636,1.02425,1.04889,1.05617,1.06274,1.92074,2.23726,1.92844,0.0654698,1.3553,1.42954,1.45609,2.09924,2.2626,2.30645,2.36441,1.15944,1.33186,1.16802,0.0265714,0.934625,0.962818,0.991887,1.16761,1.32997,1.34804,1.36708,-9999,-9999
200504,7.229,1.0,4.86,1.366,1.0,8.808,2.45,1.0,6.928,5.026,1.427,8.192,2.296,7.229,1.0,4.86,1.366,1.0,8.808,2.45,1.0,339.341,170.035,1.0,166.887,170.035,1.0,-9999,-9999,282.812,282.812,0.0,295.077,1.0,301.684,295.077,1.0,3.195,1.0,2.901,3.195,1.0,100.667,100.718,1.0,1.195,1.345,1.0,2.948,3.808,0.999306,0.273207687648,0.999305555556,94.1909939065,0.686111111111,377.532687778,1.0,387.317,1.0,7.649,7.296,6.613,6.99,0.872222,0.869444,0.869444,0.872917,-9999,-9999,-9999,-9999,-9999,-9999,-1.25795,-9999,-0.438051,0.999306,-1.76966,0.0661232,26.9714,0.998611,108.96,0.3585,0.569444,1,19.0667,28.9333,19.0667,28.9333,-1.10377,0.975,0.0213545,0.032268,-1.11948,0.961111,0.0214999,0.0323644,-1.1187,0.963663,0.00426396,-1.18741,-1.14376,-1.13419,-1.12141,-1.09845,-1.09538,-1.08529,0.940278,0.942361,0.95625,0.959722,0.976389,0.976389,0.979167,0.884288,0.242085,0.929372,0.0193442,0.077987,-2.36168,2.31019,0.979147,0.0316697,0.0499919,0.884288,0.242085,0.929372,0.0194009,0.0780011,-2.36168,2.31019,0.979147,0.0319052,0.0501415,0.719531,0.814608,0.849576,0.878589,0.94362,0.965708,0.996804,0.856947,0.891462,0.910583,0.938034,0.962086,0.965692,0.965692,-2.44086,-2.40687,-2.38472,-2.36157,-2.3398,-2.32951,-2.29875,0.967966,0.970397,0.975017,0.980429,0.986246,0.987395,0.989581,0.991275,0.909627,0.95754,0.00946611,0.866577,0.885544,0.906789,0.967463,0.991275,1.00557,1.07603,2.0169,2.0291,2.07623,0.00977545,2.01033,2.01898,2.02924,2.06958,2.09031,2.15239,2.18086,0.892268,1.02218,1.00385,0.015402,0.864007,0.875776,0.892268,1.02218,1.08125,1.10735,1.14409,2.08248,2.17204,2.17607,0.0108955,2.07793,2.08768,2.10576,2.17596,2.22552,2.23774,2.27537,-9999,-9999
200505,10.548,1.0,8.037,1.19,1.0,11.647,2.427,1.0,10.159,7.958,1.143,11.128,2.075,10.548,1.0,8.037,1.19,1.0,11.647,2.427,1.0,433.871,213.282,1.0,208.306,213.282,1.0,-9999,-9999,305.26,305.26,0.0,325.627,1.0,322.398,325.627,1.0,3.565,1.0,3.239,3.565,1.0,100.513,100.543,1.0,2.836,2.538,1.0,2.975,3.791,0.958333,0.252641574652,0.934811827957,-9999,-9999,463.294685701,1.0,384.972,0.997984,12.492,11.827,10.931,11.388,0.611559,0.612903,0.612903,0.612903,-9999,-9999,-9999,-9999,-9999,-9999,2.33124,-9999,6.09642,0.997312,19.7088,0.245707,43.3695,0.997312,140.207,0.536337,2.0,2,14.8065,33.1935,14.8065,33.1935,-1.60411,0.982527,0.0258205,0.0427361,-1.6061,0.981183,0.0260454,0.0428723,-1.56873,0.97915,0.00424199,-1.61114,-1.60536,-1.59887,-1.56175,-1.55178,-1.53725,-1.5295,0.981183,0.981183,0.977823,0.983871,0.962366,0.985215,0.988575,1.20427,0.300405,0.991398,0.0282825,0.0980025,-2.75334,2.75574,0.97652,0.0336965,0.0840628,1.20427,0.300405,0.991398,0.0285205,0.0980715,-2.75334,2.75574,0.97652,0.0339914,0.0841814,1.05349,1.1443,1.17814,1.22288,1.28888,1.33196,1.40695,0.967411,0.987097,0.991398,0.991398,0.993548,0.993548,0.993548,-2.85355,-2.79069,-2.76291,-2.7325,-2.67759,-2.63666,-2.56419,0.943351,0.968755,0.971632,0.97756,0.980556,0.980556,0.982455,1.40961,1.35719,1.40517,0.0102207,1.31507,1.35263,1.37051,1.39726,1.41087,1.42629,1.4827,2.97809,2.96328,2.9739,0.0078448,2.92562,2.9471,2.95032,2.96324,2.97484,2.97958,3.02011,1.32152,1.25137,1.29032,0.0148216,1.14603,1.17399,1.23068,1.29474,1.32152,1.37526,1.46549,2.81919,2.92179,2.87953,0.0161713,2.71078,2.7564,2.78602,2.87521,2.94385,3.00245,3.04638,-9999,-9999
200506,13.598,1.0,10.88,1.393,1.0,14.528,2.374,1.0,13.554,11.156,1.166,14.375,2.327,13.598,1.0,10.88,1.393,1.0,14.528,2.374,1.0,479.383,225.01,1.0,235.445,225.01,1.0,-9999,-9999,322.783,322.783,0.0,347.454,1.0,338.569,347.454,1.0,4.373,1.0,4.632,4.373,1.0,100.741,100.793,1.0,1.327,1.801,1.0,3.144,3.324,0.974306,0.277643798563,0.974305555556,135.553160288,1.0,488.949091979,1.0,378.085,1.0,16.507,15.447,14.136,14.874,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,3.17563,-9999,10.9396,1.0,26.5377,0.28363,43.5016,1.0,105.528,0.438282,0.833333,1,12.3,35.7,12.3,35.7,-1.57921,0.975694,0.0251521,0.0769427,-1.58433,0.974306,0.0254296,0.0770339,-1.56929,0.977691,0.0121167,-1.75206,-1.62226,-1.60869,-1.58433,-1.53279,-1.47683,-1.44847,0.952083,0.96875,0.972222,0.974306,0.985417,0.988194,0.990278,1.57101,0.303332,0.967949,0.030031,0.122641,-2.58395,2.95553,0.976614,0.0309024,0.0864931,1.57101,0.303332,0.967949,0.0304257,0.122738,-2.58395,2.95553,0.976614,0.0312361,0.0866129,1.337,1.49382,1.55172,1.5946,1.68587,1.73164,1.77884,0.904487,0.967949,0.967949,0.981838,0.989744,0.989744,1.0,-2.76986,-2.64965,-2.62383,-2.58308,-2.53598,-2.48809,-2.44373,0.946905,0.966402,0.971058,0.976614,0.987831,0.990608,0.996296,2.16346,2.13654,2.18209,0.0115033,2.10033,2.11212,2.1216,2.16256,2.21846,2.24356,2.28207,3.81369,3.72087,3.75138,0.0151036,3.62225,3.65535,3.66333,3.71434,3.82767,3.85855,3.91211,1.58532,1.57258,1.55627,0.0286469,1.3032,1.35626,1.37948,1.5258,1.62906,1.74394,1.86888,3.03867,2.95882,3.11422,0.0245577,2.93392,2.96422,2.97598,3.07001,3.19168,3.24133,3.45364,-9999,-9999
200507,16.637,1.0,13.973,1.205,1.0,17.637,2.28,1.0,16.448,14.367,1.109,17.235,2.025,16.637,1.0,13.973,1.205,1.0,17.637,2.28,1.0,458.304,185.866,1.0,196.621,185.866,1.0,-9999,-9999,349.695,349.695,0.0,380.124,1.0,363.403,380.124,1.0,4.798,1.0,4.629,4.798,1.0,100.396,100.469,1.0,2.848,2.503,0.999328,2.606,1.854,0.999328,0.285033106984,0.999327956989,111.125084573,1.0,404.79364011,0.998655913978,379.589,1.0,19.124,18.384,17.469,17.996,1.0,1.0,1.0,1.0,21.386,21.811,21.867,0.998656,0.998656,0.998656,-0.607011,1.0,14.394,0.94086,41.1447,0.236341,24.328,1.0,69.541,0.330537,0.784946,1,13.2903,34.7097,13.2903,34.5806,-2.32635,0.833333,0.0402879,0.0438846,-2.32637,0.833333,0.0404457,0.0440296,-2.33143,0.835971,0.00276187,-2.36791,-2.35073,-2.34629,-2.32956,-2.31873,-2.31593,-2.30838,0.797043,0.83871,0.839382,0.831317,0.817876,0.829973,0.877688,3.29801,0.280741,0.836022,0.0326115,0.053808,-4.39182,5.36461,0.833552,0.0522623,0.116092,3.29801,0.280741,0.836022,0.033255,0.0542004,-4.39182,5.36461,0.833552,0.0524191,0.116163,3.22032,3.27199,3.29498,3.31696,3.34605,3.35759,3.45714,0.779806,0.817057,0.823969,0.836022,0.83871,0.83871,0.87788,-4.5923,-4.5155,-4.45868,-4.41616,-4.35838,-4.30817,-4.25312,0.793232,0.810018,0.825066,0.833552,0.850444,0.874558,0.885758,3.88319,3.74576,3.81496,0.0138142,3.73196,3.74576,3.77255,3.79345,3.81761,3.84054,3.97515,6.08166,6.07214,6.1464,0.0137461,6.06604,6.07214,6.08204,6.13225,6.15899,6.1941,6.28376,3.51888,3.51243,3.53023,0.0144601,3.35474,3.4094,3.47897,3.5253,3.57754,3.58538,3.7037,6.26182,6.29671,6.28657,0.0151732,6.09551,6.17282,6.25647,6.29671,6.3231,6.34159,6.46403,-9999,-9999
200508,14.59,1.0,11.817,1.383,1.0,16.174,2.394,1.0,14.69,12.941,1.134,15.674,1.784,14.59,1.0,11.817,1.383,1.0,16.174,2.394,1.0,378.984,162.011,1.0,164.222,162.011,1.0,-9999,-9999,333.614,333.614,0.0,365.515,1.0,348.564,365.515,1.0,3.689,1.0,3.874,3.689,1.0,100.519,100.574,1.0,1.68,2.087,1.0,2.92,2.047,0.965054,0.365639194304,0.950268817204,89.3285959429,1.0,363.80836746,1.0,365.963,1.0,14.527,14.409,14.266,14.285,1.0,1.0,1.0,1.0,23.017,22.016,22.531,0.995968,0.995968,0.995968,-3.87123,-9999,27.9971,0.999328,68.5682,0.313188,9.89383,1.0,24.2312,0.428681,0.833333,1,17.1935,30.8065,17.1935,30.8065,-2.24833,0.998656,0.0636076,0.0679634,-2.24833,0.998656,0.064769,0.0690516,-2.26407,0.994204,0.00367563,-2.31132,-2.29007,-2.27488,-2.26523,-2.24833,-2.24219,-2.22469,0.981855,0.989247,1.0,0.989247,0.998656,0.999328,0.994624,5.52945,0.830937,1.0,0.0729585,0.170062,-6.55189,8.3425,0.997917,0.0863896,0.137225,5.52945,0.830937,1.0,0.0730743,0.170111,-6.55189,8.3425,0.997917,0.0882837,0.138425,5.17491,5.33527,5.44012,5.53487,5.59103,5.6425,5.7264,0.975319,0.979233,0.986823,1.0,1.0,1.0,1.0,-6.7575,-6.69276,-6.64257,-6.55695,-6.50213,-6.47952,-6.3939,0.985044,0.987194,0.99039,0.997917,0.998925,1.0,1.0,6.70572,6.71929,6.80642,0.0280883,6.59938,6.64168,6.66728,6.72078,6.90988,7.02817,7.10937,9.1474,8.96763,9.07049,0.0295842,8.86534,8.90675,8.92422,8.9697,9.15369,9.30714,9.40786,5.70678,5.75364,5.74479,0.047355,5.13231,5.49646,5.60203,5.70678,6.02481,6.12365,6.21159,8.23563,8.36897,8.28801,0.0168481,8.07984,8.17512,8.2322,8.28582,8.34348,8.38535,8.46835,-9999,-9999
200509,13.257,1.0,10.623,1.793,1.0,15.383,2.486,1.0,13.72,12.294,1.3,14.872,1.843,13.257,1.0,10.623,1.793,1.0,15.383,2.486,1.0,270.766,132.536,1.0,121.778,132.536,1.0,-9999,-9999,321.434,321.434,0.0,353.377,1.0,337.324,353.377,1.0,3.45,1.0,3.908,3.45,1.0,100.865,100.938,1.0,0.69,1.053,1.0,2.887,2.714,0.169444,-9999,-9999,60.4986477558,1.0,274.719963495,1.0,366.187,0.545833,12.721,12.704,12.836,12.688,1.0,1.0,1.0,1.0,17.35,17.136,19.404,0.998611,0.998611,0.998611,-4.86735,-9999,23.8239,0.544444,58.3477,0.248207,-1.9846,0.543056,-4.86052,0.39912,1.0,2,21.7333,26.2667,21.7333,25.3,-0.536745,0.542361,0.0494795,0.0509695,-0.542044,0.542361,0.049613,0.0510991,-0.52241,0.544566,0.00184163,-0.548156,-0.534604,-0.529226,-0.522321,-0.510676,-0.510136,-0.508907,0.54375,0.545833,0.543056,0.545833,0.547222,0.544444,0.544444,4.79421,0.431868,0.583499,0.0450649,0.0731693,-4.75331,6.54773,0.505836,0.0797396,0.0999534,4.79421,0.431868,0.583499,0.0449534,0.0731007,-4.75331,6.54773,0.505836,0.0800515,0.100202,4.71043,4.76842,4.77546,4.79363,4.85357,4.88371,4.93225,0.573716,0.576832,0.583499,0.583499,0.586832,0.591832,0.595166,-4.84921,-4.79317,-4.77485,-4.75162,-4.68463,-4.67264,-4.64756,0.503312,0.504646,0.505836,0.505836,0.513407,0.514598,0.514598,5.54648,5.53326,5.54012,0.00380996,5.51846,5.51953,5.52017,5.53329,5.54648,5.55143,5.57543,6.05876,6.07531,6.06253,0.00461835,6.0285,6.02885,6.0494,6.05848,6.07003,6.07531,6.12908,5.30662,5.32222,5.32212,0.00518816,5.27356,5.29988,5.30089,5.30662,5.34522,5.36254,5.37801,5.90738,5.85837,5.84574,0.0142494,5.74406,5.77327,5.78877,5.83348,5.85235,5.89943,6.11477,-9999,-9999
200510,9.821,1.0,8.078,1.406,1.0,11.916,2.028,1.0,10.558,9.547,1.218,11.77,1.504,9.821,1.0,8.078,1.406,1.0,11.916,2.028,1.0,162.021,72.598,1.0,67.919,72.598,1.0,-9999,-9999,299.746,299.746,0.0,332.73,1.0,317.31,332.73,1.0,1.9,1.0,2.181,1.9,1.0,101.017,101.09,1.0,1.972,1.665,0.993952,2.935,2.827,0.193548,-9999,-9999,30.0363456554,0.774193548387,143.889843618,0.993951612903,-9999,-9999,9.279,9.387,9.922,9.538,1.0,1.0,1.0,1.0,22.008,19.611,20.022,1.0,1.0,1.0,-6.43187,-9999,5.70751,0.403226,-9999,0.201284,5.07618,0.403226,-9999,0.459292,-9999,-9999,26.5806,21.4194,16.6129,14.3548,1.33133,0.388441,0.0398055,0.0837873,1.32267,0.388441,0.0398244,0.0837962,1.33458,0.378763,0.012756,1.24196,1.25737,1.29247,1.30251,1.35207,1.40482,1.52039,0.397177,0.40121,0.388441,0.397177,0.394489,0.395833,0.292339,3.43804,0.198588,0.404318,0.0329742,0.124935,-1.36528,3.1721,0.36982,0.0734264,0.122596,3.43804,0.198588,0.404318,0.0329742,0.124935,-1.36528,3.1721,0.36982,0.0734707,0.122623,3.25106,3.28601,3.34303,3.43199,3.4565,3.52702,3.86234,0.242581,0.372953,0.389181,0.404318,0.406898,0.406898,0.409429,-1.54839,-1.47324,-1.42648,-1.35947,-1.29313,-1.27689,-1.24902,0.338136,0.364019,0.365485,0.36982,0.385886,0.385886,0.391623,3.43957,3.34237,3.49163,0.0239216,3.34001,3.34237,3.35171,3.43639,3.6,3.6845,3.74867,2.09152,2.01969,2.15705,0.0174235,2.01109,2.02665,2.0492,2.17832,2.22875,2.29729,2.30322,3.93293,3.67763,4.10407,0.219709,1.42725,3.3504,3.40059,3.66142,4.1592,6.25219,6.963,3.21243,3.02097,3.05583,0.0926897,2.01554,2.57373,2.63727,2.97265,3.21243,3.94624,4.18343,-9999,-9999
