TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20130101,3.125,1.0,2.504,2.11,1.0,4.161,2.014,1.0,3.437,3.459,1.981,3.402,1.726,3.125,1.0,2.504,2.11,1.0,4.161,2.014,1.0,119.092,50.143,1.0,29.0,50.143,1.0,284.063,1.0,297.526,284.063,1.0,282.206,1.0,293.378,282.206,1.0,2.27,1.0,2.873,2.27,1.0,98.402,98.793,0.958333,2.803,0.71,0.958333,0.44,0.588,0.958333,-9999,0.0,7.935519,0.958333333333,90.0154515435,0.958333333333,5.41200343478,0.958333333333,322.392108696,0.958333333333,419.925,1.0,3.618,4.335,5.147,5.79,6.908,8.406,1.0,1.0,1.0,1.0,1.0,1.0,24.093,19.873,25.714,39.123,1.0,1.0,1.0,1.0,-5.50512,1.0,3.34313,1.0,2.4809,1.67582,5.40929,0.584369,2.82861,14.3468,0.979167,10.6466,7.19165,23.2136,5.49027,13.0845,5.0,1,30,18,30,16,3.04912,0.0625,0.228279,0.5187,2.81885,0.0208333,0.230004,0.519461,2.23967,0.309896,0.152919,-0.643771,1.94175,1.97961,2.31279,2.74224,2.87329,3.09581,0.708333,0.895833,0.895833,0.895833,0.0,0.0,0.0,3.1755,0.261658,0.0,0.271263,0.623957,2.5429,2.60931,0.166667,0.375143,0.885356,3.18061,0.276666,0.0,0.271385,0.624011,1.94265,2.8557,0.0555556,0.383573,0.888961,-1.57341,2.13269,2.29286,3.00507,3.18288,3.2565,3.2565,0.9,1.0,1.0,0.0,0.0,0.0,0.0,0.447764,0.669519,0.968041,1.46761,1.94966,2.27342,2.5429,0.0,0.0,0.388889,0.0,0.0555556,0.0,0.166667,0.764097,4.1833,2.94044,0.146615,0.764097,2.25825,2.50363,2.96333,3.50787,3.99578,4.07026,1.40189,1.36446,0.758882,0.091409,-0.132784,0.209049,0.373063,0.577566,1.20353,1.40189,1.79842,0.725493,8.88039,5.60207,0.57618,0.725493,1.06884,1.29006,3.80972,8.95894,8.97192,9.56972,0.216933,1.94836,1.33116,0.137926,0.0,0.210712,0.297747,1.02035,2.06857,2.09548,2.50605,1.97689,1.0
20130102,3.458,1.0,2.937,0.669,1.0,4.328,0.835,1.0,5.273,4.156,1.571,7.134,0.704,3.458,1.0,2.937,0.669,1.0,4.328,0.835,1.0,119.712,21.794,1.0,57.844,21.794,1.0,311.503,1.0,309.234,311.503,1.0,292.808,1.0,307.203,292.808,1.0,1.345,1.0,3.743,1.345,1.0,98.809,99.284,1.0,1.835,0.29,1.0,1.577,0.649,1.0,0.110061290323,0.645833333333,2.2236143125,1.0,38.9785467708,1.0,2.95956352083,1.0,327.437625,1.0,413.225,1.0,4.249,4.715,5.181,5.719,6.812,8.362,1.0,1.0,1.0,1.0,1.0,1.0,24.2,19.84,25.567,38.76,1.0,1.0,1.0,1.0,-3.34531,1.0,3.16862,1.0,2.3514,1.58834,5.12693,0.680514,2.70996,16.9821,1.0,12.6022,8.51264,27.4776,4.57916,14.7855,5.0,1,30,18,30,18,2.5723,0.0625,0.226444,0.321083,2.68475,0.0208333,0.223869,0.319272,2.24237,0.338021,0.160325,-1.0673,2.22949,2.34683,2.4725,2.59998,2.68475,2.81338,0.75,1.0,1.0,0.0208333,0.0,0.0208333,0.0,3.13926,0.106784,0.0,0.271237,0.495269,1.37799,1.28824,0.166667,0.366396,0.503984,3.16217,0.129777,0.0,0.271352,0.495332,1.6288,1.11872,0.0555556,0.355548,0.496154,-2.01277,2.33338,2.77513,2.96084,3.13082,3.16217,3.34195,0.966667,1.0,0.0,0.0,0.0,0.0,0.0,0.611952,0.94136,1.0591,1.26603,1.58647,1.63347,3.09157,0.388889,1.0,0.388889,0.0555556,1.0,0.0555556,0.888889,0.780021,4.26892,2.99903,0.149673,0.780021,2.29901,2.54899,3.02332,3.58359,4.08043,4.14748,1.61772,1.58416,0.786417,0.105629,-0.146287,-0.02655,0.21837,0.672446,1.37165,1.61772,1.73911,0.739681,8.94853,5.6468,0.580245,0.739681,1.07704,1.31652,3.83895,9.02769,9.04077,9.64316,0.0951417,1.29981,0.915233,0.10173,0.0,0.0925282,0.131765,0.658194,1.41259,1.43359,1.83785,2.11175,1.0
20130103,4.213,1.0,3.267,1.739,1.0,5.789,2.33,1.0,4.279,3.013,3.664,6.391,3.247,4.213,1.0,3.267,1.739,1.0,5.789,2.33,1.0,120.389,79.9,1.0,63.777,79.9,1.0,272.044,1.0,289.946,272.044,1.0,256.724,1.0,284.427,256.724,1.0,3.022,1.0,4.862,3.022,1.0,99.859,100.373,1.0,0.0,0.12,1.0,1.47,1.273,0.979167,0.202454814815,0.5625,14.6780458333,1.0,145.036578521,1.0,8.82219979167,1.0,327.2086875,1.0,404.422,1.0,3.791,4.482,5.197,5.743,6.768,8.309,1.0,1.0,1.0,1.0,1.0,1.0,24.239,19.825,25.317,38.187,1.0,1.0,1.0,1.0,-5.57396,1.0,6.57438,1.0,10.6376,3.29555,11.9641,0.738108,6.46819,5.94207,1.0,9.61445,2.97859,10.8134,3.98109,7.04137,6.0,1,30,18,30,15,2.83981,0.604167,0.235183,0.593303,3.12654,0.520833,0.235463,0.593414,2.51144,0.597917,0.0911034,1.03138,1.89868,2.31173,2.66334,2.83981,2.98808,3.15206,0.958333,0.125,0.479167,0.479167,0.604167,0.958333,0.520833,3.55348,0.726969,0.5,0.266438,0.726134,1.37506,3.88202,0.777778,0.422266,0.810424,3.6308,0.835718,0.5,0.268887,0.727036,1.98301,3.94589,0.555556,0.417329,0.807862,0.846616,2.57863,2.72175,3.46054,3.6308,3.9296,3.94019,1.0,0.0,0.0,1.0,0.5,0.533333,0.533333,0.158149,0.294721,0.498171,1.23693,1.58997,1.67816,1.987,0.388889,0.388889,0.333333,0.722222,0.888889,0.888889,0.555556,1.04407,4.54575,3.20471,0.156282,1.04407,2.41093,2.66759,3.21865,3.86333,4.3712,4.37552,1.41888,1.41921,0.684912,0.121861,-0.607698,-0.35529,0.0628984,0.730539,1.1978,1.41888,1.99283,0.967821,9.07775,5.74982,0.584162,0.904763,1.27297,1.4025,3.89439,9.15804,9.17131,9.7824,0.321257,2.43183,1.62619,0.16704,0.0,0.316906,0.387727,1.2977,2.53019,2.5744,2.94068,2.0127,1.0
20130104,8.892,1.0,7.39,5.059,1.0,11.394,4.293,1.0,9.552,8.821,1.155,10.769,0.98,8.892,1.0,7.39,5.059,1.0,11.394,4.293,1.0,121.126,73.502,1.0,58.607,73.502,1.0,282.183,1.0,320.198,282.183,1.0,296.738,1.0,320.149,296.738,1.0,5.789,1.0,4.443,5.789,1.0,99.899,99.917,1.0,0.0,0.12,1.0,2.05,0.985,1.0,0.1748804,0.520833333333,4.28826708333,1.0,134.817333583,1.0,8.100459125,1.0,342.474291667,1.0,406.876,1.0,3.912,4.465,5.075,5.639,6.712,8.253,1.0,1.0,1.0,1.0,1.0,1.0,24.118,19.816,25.187,37.827,1.0,1.0,1.0,1.0,-4.07906,1.0,6.7564,1.0,10.9321,3.38679,17.097,0.749148,10.1908,11.0504,1.0,17.8798,5.53923,27.9629,3.6326,17.0147,7.0,1,30,18,30,18,3.04588,0.770833,0.224955,0.996267,3.28359,0.729167,0.226979,0.996726,2.368,0.713021,0.130318,0.750805,1.27453,1.59243,2.26716,3.161,3.21561,3.28359,0.125,0.916667,0.916667,1.0,0.729167,0.708333,0.729167,4.09335,0.491368,0.9,0.262572,1.43997,1.00483,2.45451,0.555556,0.377699,0.653366,4.27011,0.551983,0.9,0.267065,1.44079,1.32108,2.43248,0.444444,0.376944,0.65293,0.860301,1.78096,2.14585,3.25995,4.1216,4.61261,4.63147,0.0,1.0,1.0,1.0,0.9,0.866667,0.866667,-0.131489,0.234389,0.323695,0.544105,0.971401,1.30065,1.65887,0.777778,0.444444,0.777778,0.444444,0.555556,0.444444,0.0,2.15932,6.35526,4.53854,0.21721,2.15932,3.16475,3.49114,4.47581,5.57857,5.80503,6.32379,2.82553,3.07167,2.10355,0.160082,0.566889,0.991401,1.36799,2.22036,2.86549,3.11227,3.38472,1.71093,9.84946,6.31803,0.618029,1.13329,1.779,1.96492,4.22545,9.93658,9.95098,10.614,0.256468,2.29176,1.49819,0.164666,0.0,0.20983,0.256468,1.22019,2.38751,2.42893,2.79421,2.04007,1.0
20130105,12.04,1.0,11.003,3.284,1.0,13.767,5.103,1.0,9.693,9.093,0.547,10.692,1.073,12.04,1.0,11.003,3.284,1.0,13.767,5.103,1.0,121.921,79.367,1.0,60.468,79.367,1.0,291.199,1.0,318.538,291.199,1.0,299.778,1.0,318.189,299.778,1.0,8.18,1.0,4.881,8.18,1.0,99.464,99.172,1.0,0.0,0.01,1.0,2.833,0.749,1.0,0.13881037037,0.5625,5.29115833333,1.0,145.607180833,1.0,8.47155854167,1.0,355.880666667,1.0,404.517,1.0,4.5,4.876,5.187,5.641,6.649,8.201,1.0,1.0,1.0,1.0,1.0,1.0,23.976,19.791,25.072,37.445,1.0,1.0,1.0,1.0,-2.28083,1.0,6.21082,1.0,10.0493,4.60897,15.7164,0.801276,8.27275,8.89476,1.0,14.392,6.60069,22.5081,3.11609,12.1968,8.0,1,30,18,30,18,2.99909,0.875,0.224496,0.745903,3.37621,0.8125,0.227039,0.746673,2.45262,0.733854,0.115434,0.822757,1.57387,2.20755,2.57907,2.87576,2.99651,3.37429,0.125,0.0,1.0,0.979167,0.6875,0.875,0.8125,4.14747,0.394837,0.966667,0.26217,1.45892,0.794396,2.06395,0.722222,0.37667,0.990792,4.29347,0.429736,0.966667,0.266188,1.45965,1.52014,2.72294,0.555556,0.3789,0.991642,1.27992,1.67427,2.10779,3.42165,4.14747,4.54461,4.54461,0.0,1.0,1.0,0.966667,0.966667,0.866667,0.866667,-0.393685,-0.243034,-0.184437,0.787746,1.52014,1.58977,2.17637,0.333333,0.388889,0.388889,0.722222,0.555556,0.888889,1.0,3.34776,7.57882,5.47915,0.251344,3.34776,3.71782,4.11203,5.32712,6.78496,7.01216,7.56767,3.78713,4.20261,2.98205,0.23262,0.75029,1.32688,1.63945,3.73705,4.01566,4.27967,4.56893,4.63344,10.3658,6.97606,0.59809,1.28671,2.34529,3.63933,4.63344,10.4575,10.4727,11.1704,0.233891,2.39623,1.61831,0.162309,0.0,0.269083,0.551411,1.27942,2.49255,2.53615,2.89673,2.17067,1.0
20130106,10.667,1.0,9.933,1.669,1.0,11.889,1.436,1.0,9.976,8.985,0.894,11.629,1.638,10.667,1.0,9.933,1.669,1.0,11.889,1.436,1.0,122.775,44.876,1.0,65.729,44.876,1.0,287.235,1.0,299.868,287.235,1.0,323.515,1.0,296.144,323.515,1.0,6.352,1.0,5.814,6.352,1.0,99.323,99.081,1.0,0.0,0.07,1.0,2.46,0.688,1.0,0.1141576,0.520833333333,-23.2778677083,1.0,80.6165079167,1.0,5.86246583333,1.0,348.682208333,1.0,406.924,1.0,4.801,5.181,5.426,5.771,6.645,8.151,1.0,1.0,1.0,1.0,1.0,1.0,23.874,19.777,24.945,37.004,1.0,1.0,1.0,1.0,-2.71042,1.0,4.1394,1.0,4.04642,3.0718,7.53294,0.609144,3.36263,1.41535,1.0,1.38356,1.05032,2.57568,2.88264,3.09648,9.0,1,30,18,30,18,2.57738,0.833333,0.226893,0.567563,2.87645,0.729167,0.224937,0.566784,2.39577,0.74375,0.0917541,1.60286,1.8044,2.24295,2.53263,2.8292,2.84488,2.87645,1.0,1.0,0.9375,0.9375,0.604167,0.604167,0.729167,3.54786,0.219544,1.0,0.269969,1.28725,0.71004,1.45809,0.555556,0.370806,0.651251,3.61358,0.26738,1.0,0.269277,1.2871,1.36906,1.75209,0.277778,0.364277,0.647556,1.03721,1.18081,2.90413,3.09594,3.54786,3.69804,3.69804,1.0,1.0,0.8,0.766667,1.0,0.9,0.9,0.520226,0.69762,0.899431,1.14716,1.36906,1.76838,2.3963,0.833333,0.555556,0.222222,0.111111,0.277778,1.0,1.0,3.72754,6.94724,5.05631,0.208791,3.32463,3.60741,3.79238,4.88986,6.10709,6.3126,6.93913,3.76551,4.07079,2.61627,0.174661,0.868661,1.31069,1.70429,2.75084,3.70046,3.77597,4.06268,7.79719,10.1724,7.287,0.556604,1.1739,2.14851,4.28959,8.67795,10.2624,10.2772,10.962,0.109258,1.90162,1.39525,0.129109,0.0,0.153284,0.72108,1.75216,2.0271,2.0541,2.48963,2.23712,1.0
20130107,7.808,1.0,6.27,1.777,1.0,10.372,3.181,1.0,9.368,8.477,1.235,10.852,1.783,7.808,1.0,6.27,1.777,1.0,10.372,3.181,1.0,123.687,79.818,1.0,71.664,79.818,1.0,268.715,1.0,289.924,268.715,1.0,288.894,1.0,284.402,288.894,1.0,4.309,1.0,6.307,4.309,1.0,99.189,99.123,1.0,0.0,0.0,1.0,1.801,0.735,1.0,-9999,-9999,-1.10382916667,1.0,140.343325458,1.0,8.84906270833,1.0,339.674291667,1.0,429.337,1.0,4.378,4.935,5.419,5.826,6.677,8.111,1.0,1.0,1.0,1.0,1.0,1.0,23.877,19.747,24.662,36.653,1.0,1.0,1.0,1.0,-4.28948,1.0,4.80726,1.0,4.69928,2.58186,8.74832,0.710241,4.62598,8.69147,1.0,8.49623,4.66797,15.8168,2.68383,8.6894,10.0,1,30,18,30,17,2.44655,0.833333,0.22945,0.373105,2.41184,0.75,0.231969,0.37466,2.32951,0.757813,0.0464513,1.59622,2.05402,2.21453,2.34644,2.4253,2.64244,2.81647,0.479167,0.729167,0.729167,1.0,0.75,0.958333,0.979167,3.43846,0.658891,0.866667,0.267882,0.638135,0.556177,2.15985,0.777778,0.387571,1.12576,3.50797,0.732527,0.866667,0.269053,0.638627,0.351167,2.18468,0.555556,0.395606,1.12856,2.35098,2.44738,2.66369,3.16579,3.43846,3.60575,3.70996,1.0,0.5,1.0,0.866667,0.866667,0.866667,0.866667,-0.209919,-0.161469,-0.046695,0.418544,1.48502,1.95242,2.82119,0.5,0.444444,0.444444,0.833333,0.833333,0.0,0.944444,3.73249,5.85507,4.29999,0.158192,2.6761,3.13949,3.34888,4.17234,5.12094,5.42942,5.76731,3.28229,3.44323,1.94328,0.174697,0.0694455,0.42762,0.914605,2.02243,2.70779,3.28229,3.4647,7.07324,9.69638,6.9424,0.536794,0.976829,1.80913,4.11616,8.9698,9.78215,9.79632,10.4491,0.149664,2.40257,1.79331,0.15392,0.0,0.270572,1.2374,2.40257,2.52204,2.56648,2.89257,2.1407,1.0
20130108,5.292,1.0,4.48,0.766,1.0,6.644,1.505,1.0,8.218,7.028,1.088,10.2,2.574,5.292,1.0,4.48,0.766,1.0,6.644,1.505,1.0,124.657,42.9,1.0,77.753,42.9,1.0,302.173,1.0,273.763,302.173,1.0,303.763,1.0,265.318,303.763,1.0,1.708,1.0,6.484,1.708,1.0,99.207,99.55,1.0,0.0,0.0,1.0,1.164,1.15,1.0,0.152445172414,0.604166666667,4.235596875,1.0,71.352392625,1.0,4.59241649583,1.0,335.606395833,1.0,413.217,1.0,4.54,4.996,5.366,5.788,6.674,8.075,1.0,1.0,1.0,1.0,1.0,1.0,23.792,19.702,24.497,36.221,1.0,1.0,1.0,1.0,-3.09708,1.0,2.74172,1.0,2.68014,1.47251,4.98942,0.537586,2.6619,1.28764,1.0,1.25871,0.691558,2.34326,3.62804,3.82908,10.0,1,30,18,30,18,2.43064,0.895833,0.226625,0.48318,2.578,0.791667,0.225064,0.482449,2.53429,0.797396,0.063516,1.89076,2.14293,2.36546,2.47792,2.65009,2.9964,3.05919,0.979167,0.958333,0.895833,0.791667,0.75,0.6875,0.6875,3.26182,0.351031,1.0,0.269954,0.463084,0.809721,1.39371,0.722222,0.369755,0.870174,3.30205,0.384231,1.0,0.270278,0.463272,1.12134,1.09504,0.444444,0.362732,0.867213,2.4081,2.54442,2.5772,3.0772,3.29694,3.29694,3.34475,1.0,1.0,0.9,1.0,1.0,1.0,1.0,0.226219,0.790958,1.10575,1.34459,2.20503,2.36637,2.4211,0.888889,0.944444,0.444444,0.944444,0.166667,0.166667,0.166667,3.58705,4.89968,3.62862,0.122226,2.37265,2.59377,3.08913,3.57467,4.20796,4.66698,4.75233,2.28599,2.32167,1.08605,0.119948,-0.0390135,0.0759048,0.695289,0.822667,1.8425,2.11468,2.27442,4.32398,9.27544,6.30478,0.537599,0.881796,1.51226,3.56856,6.55129,9.35749,9.37104,9.99544,0.0573229,1.87106,1.34155,0.132223,0.0,0.146657,0.519055,1.82144,1.99554,2.0222,2.45304,2.17805,1.0
20130109,4.55,1.0,4.39,0.525,1.0,4.817,0.192,1.0,7.732,6.686,1.322,9.474,2.438,4.55,1.0,4.39,0.525,1.0,4.817,0.192,1.0,125.685,14.36,1.0,73.225,14.36,1.0,328.152,1.0,275.545,328.152,1.0,298.395,1.0,267.422,298.395,1.0,1.78,1.0,5.831,1.78,1.0,98.861,99.236,1.0,0.0,0.09,1.0,0.725,0.831,1.0,0.129586785714,0.583333333333,4.79422452083,1.0,26.0364372917,1.0,1.34507794583,1.0,336.274729167,1.0,415.161,1.0,4.982,5.305,5.529,5.839,6.66,8.046,1.0,1.0,1.0,1.0,1.0,1.0,23.688,19.633,24.368,35.879,1.0,1.0,1.0,1.0,-1.92792,1.0,3.1732,1.0,3.10192,1.70424,5.77462,0.745628,3.10809,-1.87189,1.0,-1.58574,-3.40649,-1.00535,3.55228,3.97328,10.0,1,30,18,30,18,2.79408,1.0,0.222728,0.414896,2.81154,1.0,0.222382,0.41471,2.58148,0.996875,0.049831,2.02009,2.11145,2.2986,2.69334,2.80638,2.81154,2.93093,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.14039,0.0410286,1.0,0.270867,0.442502,1.94604,0.935315,1.0,0.351827,0.563498,3.16393,0.0487807,1.0,0.2701,0.442033,1.95167,0.943055,1.0,0.352018,0.563617,2.35119,2.44057,2.65065,2.94384,3.10131,3.14039,3.20723,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.27243,1.39567,1.44338,1.92931,2.04277,2.27601,2.35134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.81249,4.63103,3.45735,0.114528,2.11433,2.75861,3.03554,3.44139,3.92098,4.44911,4.45912,1.81612,1.81948,0.879846,0.0867578,0.02899,0.281897,0.47842,0.735702,1.25031,1.72435,1.7917,2.95534,9.1473,5.97973,0.559699,0.815395,1.42884,2.60957,4.47447,9.22822,9.24158,9.85735,0.0116457,0.982035,0.706859,0.0809642,0.0,0.0,0.154818,0.714823,1.07786,1.09476,1.44687,2.27927,1.0
20130110,4.619,1.0,4.09,1.085,1.0,5.5,0.853,1.0,6.148,5.636,0.7,7.002,1.05,4.619,1.0,4.09,1.085,1.0,5.5,0.853,1.0,126.771,44.384,1.0,37.957,44.384,1.0,297.06,1.0,307.417,297.06,1.0,295.154,1.0,305.058,295.154,1.0,2.2,1.0,4.813,2.2,1.0,98.152,98.344,1.0,0.0,0.0,1.0,1.254,1.052,1.0,0.186105357143,0.583333333333,1.23832854167,1.0,75.4078125,1.0,4.81936983333,1.0,334.697291667,1.0,417.134,1.0,5.252,5.569,5.706,5.951,6.691,8.017,1.0,1.0,1.0,1.0,1.0,1.0,23.601,19.621,24.223,35.578,1.0,1.0,1.0,1.0,-2.01667,1.0,4.22658,1.0,3.58046,2.11866,7.69157,0.846354,4.21695,-2.98506,1.0,-2.52873,-5.43225,-1.49632,3.11608,4.2688,11.0,1,30,18,30,17,2.45227,0.958333,0.228954,0.274991,2.8956,0.833333,0.227651,0.273907,2.53825,0.884896,0.0261756,2.34316,2.38264,2.41933,2.48003,2.61006,2.68727,2.8956,1.0,0.8125,1.0,0.8125,0.958333,0.791667,0.833333,3.23892,0.708038,1.0,0.270584,0.31387,0.903459,1.9398,0.888889,0.379563,0.560431,3.22715,0.713401,1.0,0.270593,0.313878,2.0623,2.31801,0.555556,0.373936,0.556635,2.67998,2.83899,2.90382,2.98724,3.09255,3.1571,3.23892,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.882003,1.11539,1.28844,1.48477,1.81619,1.94005,2.06456,0.888889,0.888889,0.944444,0.5,0.444444,0.388889,0.888889,3.79306,4.52402,3.42601,0.109909,2.12376,2.71583,2.97552,3.45884,3.8262,4.34596,4.37372,1.61733,1.62843,0.870482,0.10684,-0.451719,0.197504,0.309092,0.89062,1.34172,1.61733,1.88021,2.03751,9.15741,5.79334,0.590764,0.823913,1.09969,1.61431,3.92856,9.23841,9.2518,9.86825,0.0119862,1.79016,1.17848,0.136899,0.0,0.0,0.131993,0.93288,1.90618,1.93142,2.33565,2.3445,1.0
