TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
201301,4.472,1.0,3.639,1.479,1.0,5.76,1.944,1.0,5.282,4.563,1.236,6.413,1.542,4.472,1.0,3.639,1.479,1.0,5.76,1.944,1.0,136.682,59.652,1.0,63.014,59.652,1.0,290.591,1.0,294.427,290.591,1.0,275.723,1.0,289.718,275.723,1.0,3.016,1.0,4.393,3.016,1.0,98.134,98.298,0.998656,1.324,0.471,0.998656,1.474,1.109,0.994624,-9999,-9999,12.0365644234,0.998655913978,103.005201339,0.998655913978,6.31459750658,0.998655913978,331.247757539,0.998655913978,417.9,1.0,4.154,4.656,5.121,5.534,6.444,7.862,1.0,1.0,1.0,1.0,1.0,1.0,24.089,19.655,23.702,34.155,1.0,1.0,1.0,1.0,-3.61606,1.0,4.64815,0.999328,6.50227,0.158888,6.45397,0.999328,9.02841,0.660682,0.997312,1,29.3548,18.6452,29.2581,17.871,2.35447,0.834677,0.0400235,0.325232,2.61804,0.80914,0.0404184,0.325281,2.33322,0.829486,0.0413211,1.81487,1.93432,2.14742,2.38881,2.54618,2.57984,2.61804,0.982527,0.981855,0.903226,0.575941,0.835349,0.769489,0.80914,2.78225,0.499451,0.875017,0.0487218,0.423378,1.43589,1.96402,0.77193,0.0648243,0.215972,2.9271,0.543702,0.893705,0.0487615,0.423383,1.86094,1.91267,0.674986,0.0646333,0.215915,1.95635,2.10692,2.36159,2.78225,2.92992,2.94805,2.9749,0.998888,0.979117,0.995508,0.875017,0.883916,0.864646,0.86695,1.31497,1.43589,1.48348,1.58844,1.72981,1.84792,1.86876,0.830164,0.77193,0.634842,0.955518,0.564045,0.476127,0.674986,2.09456,3.46144,2.81353,0.0697149,2.23016,2.39906,2.45171,2.66225,3.35753,3.42935,3.50402,0.367463,0.843406,0.481267,0.0574606,-0.0709269,0.0525447,0.0819021,0.519063,0.809624,0.95047,1.00762,7.67863,8.73166,5.6925,0.458011,0.918406,2.59299,2.82075,3.90961,8.78323,8.83374,8.84495,1.69445,1.90291,1.30012,0.108577,0.202449,0.474072,0.613239,1.06175,1.9554,2.02388,2.04751,2.09454,1.0
201302,3.399,1.0,2.432,1.605,1.0,4.624,2.271,1.0,3.109,1.774,1.775,4.761,2.112,3.399,1.0,2.432,1.605,1.0,4.624,2.271,1.0,199.952,98.231,0.987351,105.031,99.253,0.987351,278.093,1.0,284.007,278.093,1.0,261.124,0.987351,277.415,261.42,0.987351,3.438,1.0,4.126,3.438,1.0,97.923,98.191,1.0,2.297,0.374,1.0,1.423,1.527,0.994048,-9999,-9999,35.5999351318,1.0,160.327852749,0.979910714286,10.3010289861,1.0,328.011610119,1.0,413.235,1.0,3.332,3.801,4.226,4.606,5.479,6.929,1.0,1.0,1.0,1.0,1.0,1.0,24.139,19.506,21.641,26.782,1.0,1.0,1.0,1.0,-3.32973,1.0,6.99279,0.997024,13.865,0.222497,12.8412,0.997024,25.4609,0.821684,0.991071,1,26.7143,21.2857,26.6429,19.0714,1.55816,0.866815,0.04922,0.131906,1.48028,0.853423,0.0503967,0.132349,1.55427,0.868136,0.0158353,1.40354,1.42502,1.44589,1.55816,1.60874,1.66978,1.72147,0.851935,0.850446,0.843006,0.866815,0.799851,0.886905,0.899554,2.04294,0.949499,0.971743,0.0611923,0.185851,0.842579,2.28507,0.736259,0.0801243,0.314127,2.05196,1.01292,0.976746,0.0611648,0.185842,0.665953,2.41957,0.698209,0.0790565,0.313857,1.82768,1.90087,2.04294,2.09179,2.22927,2.25184,2.27018,0.990977,0.990977,0.971743,0.976746,0.976746,0.947392,0.947392,0.323512,0.426855,0.538398,0.717987,1.01007,1.03433,1.08654,0.690918,0.699351,0.675844,0.699684,0.754756,0.867298,0.836725,2.23706,2.39055,2.40926,0.0392916,1.98867,2.09105,2.23706,2.40793,2.53609,2.61986,2.88355,0.727907,0.904771,0.863998,0.0449484,0.4572,0.524581,0.605971,0.870702,1.08002,1.14233,1.26902,3.035,2.82683,3.1285,0.111691,0.898612,2.59104,2.85144,3.19687,3.46309,3.67023,4.18386,1.10118,0.778323,1.06684,0.0465651,0.334506,0.856229,0.960049,1.04986,1.19451,1.41193,1.48776,1.92366,1.0
201303,6.623,1.0,5.477,1.483,1.0,7.745,2.073,1.0,6.782,5.515,1.529,8.034,2.008,6.623,1.0,5.477,1.483,1.0,7.745,2.073,1.0,290.801,115.627,0.999328,133.064,115.593,0.999328,305.426,1.0,306.489,305.426,1.0,289.535,0.999328,303.962,289.548,0.999328,3.474,1.0,4.372,3.474,1.0,97.659,97.785,1.0,4.089,2.178,1.0,1.184,1.512,1.0,0.225861759972,0.545698924731,63.5972413735,1.0,208.711811167,0.999327956989,10.0344870884,1.0,346.958385081,1.0,402.941,1.0,5.773,5.917,5.742,5.76,6.096,6.805,1.0,1.0,1.0,1.0,1.0,1.0,25.339,19.745,23.089,29.497,1.0,1.0,1.0,1.0,-0.323999,1.0,10.0814,0.989247,20.3616,0.252979,21.7515,0.987903,43.932,0.666452,0.986559,1,23.5806,24.4194,23.4516,23.7742,1.36092,0.907258,0.0531953,0.310738,1.49043,0.897849,0.0551781,0.311083,1.57839,0.889197,0.048913,1.23289,1.26155,1.29379,1.50481,1.84853,1.87386,2.10706,0.954973,0.953629,0.931452,0.897849,0.850134,0.853495,0.790323,2.13997,1.02235,0.979362,0.0758795,0.464377,0.505659,2.08602,0.834931,0.0742335,0.190131,2.29479,1.03474,0.979362,0.0760015,0.464397,0.608417,2.11118,0.815646,0.0744019,0.190197,1.72106,1.8652,1.96557,2.30766,2.76641,2.78147,3.05062,1.0,0.995792,0.995792,0.979362,0.976551,0.976551,0.925936,0.505659,0.529983,0.575199,0.667107,0.845479,0.880063,1.10438,0.834931,0.867962,0.816927,0.911203,0.723931,0.745333,0.652706,2.12315,2.96033,2.62139,0.0926718,1.68252,1.81087,1.93822,2.92265,3.10495,3.1406,3.26599,0.896498,1.42667,1.04663,0.0592276,0.461025,0.588363,0.624636,1.20753,1.39418,1.41926,1.43789,1.98924,2.20121,2.20425,0.0614636,0.956343,2.06858,2.11463,2.24559,2.40172,2.48693,2.65873,0.81341,0.909446,0.928985,0.0396308,0.235671,0.792895,0.831404,0.929381,1.07311,1.09978,1.1513,2.49189,1.0
201304,12.274,1.0,10.927,1.749,1.0,13.268,2.441,1.0,12.549,11.078,1.721,13.642,2.374,12.274,1.0,10.927,1.749,1.0,13.268,2.441,1.0,384.628,156.44,1.0,175.02,156.44,1.0,338.086,1.0,338.182,338.086,1.0,333.549,1.0,341.385,333.549,1.0,5.189,1.0,5.692,5.189,1.0,98.436,98.513,1.0,7.689,8.863,1.0,1.056,1.572,1.0,0.302165526868,0.563194444444,102.488234797,1.0,287.330235443,0.999305555556,13.604001783,1.0,378.210465972,1.0,402.382,1.0,10.344,10.177,9.374,8.995,8.657,8.156,1.0,1.0,1.0,1.0,1.0,1.0,26.879,23.049,29.071,41.142,1.0,1.0,1.0,1.0,2.95856,1.0,21.0091,0.993056,34.6368,0.425498,38.9296,0.995833,64.1814,1.02071,0.990278,1,20.4,27.6,20.3667,26.9333,1.37724,0.889583,0.0799511,0.13457,1.4551,0.891667,0.0779917,0.133415,1.43608,0.903368,0.0167854,1.18918,1.31146,1.37724,1.45063,1.50069,1.52795,1.58519,0.9625,0.954167,0.889583,0.888194,0.883333,0.883333,0.86875,3.14346,1.21143,0.894975,0.110651,0.232635,0.014089,3.11746,0.884837,0.10683,0.114755,3.20045,1.21378,0.901729,0.106777,0.230818,0.103379,3.07997,0.883741,0.104411,0.112506,2.61848,2.92857,3.10165,3.21469,3.27022,3.33784,3.39398,0.998333,0.991667,0.963246,0.901729,0.891729,0.891729,0.866967,0.014089,0.0565953,0.0684496,0.102107,0.129665,0.140406,0.178871,0.884837,0.927972,0.915013,0.907728,0.87399,0.873899,0.86909,3.18538,3.977,4.00045,0.131946,2.84307,2.99801,3.11845,4.04537,4.85438,4.96318,5.1655,1.8462,2.53793,2.56644,0.116698,1.62454,1.68096,1.75221,2.63463,3.34891,3.43948,3.59276,2.29195,2.25122,2.64262,0.0755953,2.03717,2.19516,2.26376,2.57035,2.89584,2.9821,3.27334,1.56909,1.5177,1.65265,0.038743,1.38859,1.4389,1.45106,1.60107,1.73395,1.82249,2.02416,4.087,1.0
201305,14.406,1.0,12.591,1.503,1.0,15.456,2.472,1.0,14.298,12.703,1.355,15.23,2.103,14.406,1.0,12.591,1.503,1.0,15.456,2.472,1.0,454.621,210.143,1.0,203.937,210.143,1.0,341.758,1.0,344.814,341.758,1.0,345.862,1.0,349.216,345.862,1.0,6.691,1.0,6.239,6.691,1.0,98.221,98.119,1.0,8.463,8.325,1.0,1.446,1.883,1.0,0.3296982424,0.551075268817,139.155400856,1.0,400.995809541,0.867607526882,25.1435894709,1.0,388.353774866,1.0,398.146,1.0,12.439,12.399,11.787,11.522,11.235,10.49,1.0,1.0,1.0,1.0,1.0,1.0,35.08,36.578,42.614,47.72,1.0,1.0,1.0,1.0,2.00333,1.0,53.4719,0.998656,90.5295,0.817211,27.1022,0.998656,45.8848,0.912338,0.988575,1,17.5806,30.4194,17.5484,29.7097,-2.2853,0.942876,0.117958,0.362284,-2.2808,0.928091,0.116482,0.361806,-2.38196,0.935753,0.0523206,-2.94328,-2.83121,-2.6593,-2.32561,-2.17382,-2.14612,-1.93944,0.988575,0.988575,0.979839,0.922715,0.896505,0.885753,0.872984,5.7441,1.4068,0.944247,0.126826,0.705647,-6.77445,8.39786,0.940949,0.159173,0.237514,5.75006,1.40017,0.936657,0.133497,0.706876,-6.77829,8.36948,0.921938,0.160193,0.238198,4.5066,4.72033,5.28604,5.70971,6.05376,6.10864,6.14353,1.0,1.0,0.998208,0.946144,0.887426,0.887321,0.879941,-7.19388,-7.07338,-7.02502,-6.82426,-6.7462,-6.72081,-6.48349,0.978908,0.980051,0.9821,0.925164,0.9082,0.919822,0.86638,6.01686,5.77466,6.53631,0.149743,5.17508,5.36523,5.75656,6.42184,7.55344,7.6756,7.72086,8.84439,8.15874,8.92751,0.106951,8.05207,8.13329,8.22574,8.80074,9.58612,9.79802,9.88827,7.10861,7.91824,7.1685,0.138136,5.73491,5.98445,6.24409,7.51619,7.88583,7.94773,8.21461,9.58516,10.1029,9.64573,0.120952,8.49389,8.59147,8.82543,10.0384,10.2744,10.3343,10.4997,4.99646,1.0
201306,20.654,1.0,18.328,1.659,1.0,21.818,2.937,1.0,19.508,17.406,1.534,20.559,2.448,20.654,1.0,18.328,1.659,1.0,21.818,2.937,1.0,485.719,284.197,1.0,258.402,284.197,1.0,360.645,1.0,360.852,360.645,1.0,381.699,1.0,368.153,381.699,1.0,11.795,1.0,9.541,11.795,1.0,98.839,98.622,1.0,3.56,2.505,1.0,1.386,1.694,0.999306,0.306192422569,0.625,189.685593202,1.0,549.762000393,0.988888888889,32.4920251215,1.0,422.351725694,1.0,398.575,1.0,16.181,15.846,14.68,14.079,13.299,11.944,1.0,1.0,1.0,1.0,1.0,1.0,25.537,21.785,30.329,44.029,1.0,1.0,1.0,1.0,4.93064,1.0,105.986,0.985417,142.471,1.20784,31.7853,0.985417,42.7272,0.813421,0.984722,1,16.0,32.0,15.9,29.5,-4.68094,0.938889,0.133701,0.644682,-4.76027,0.936806,0.138158,0.645622,-4.93599,0.936024,0.0742799,-5.81621,-5.79076,-5.2571,-4.75776,-4.54697,-4.52943,-4.50334,0.976389,0.977083,0.96875,0.936806,0.889583,0.910417,0.909722,8.50063,1.44468,0.960417,0.148031,1.56879,-11.0165,11.6579,0.928125,0.185697,0.294727,8.41898,1.2373,0.960417,0.150298,1.569,-11.0903,11.7157,0.925,0.1882,0.29631,6.195,6.29952,7.27424,8.39854,9.10388,9.4231,9.48561,0.989583,0.989583,0.989583,0.960417,0.93125,0.93125,0.93125,-11.529,-11.4978,-11.3153,-11.1724,-11.0638,-11.0401,-11.0136,0.969792,0.853125,0.86875,0.952083,0.951042,0.939583,0.904167,7.38946,8.16722,8.43129,0.228769,6.15305,6.4058,7.15426,8.40346,9.76179,10.1603,10.4597,13.2541,13.0173,13.3823,0.162035,11.9552,12.1725,12.4126,13.2541,14.2604,14.7117,14.988,8.4421,10.2568,8.45832,0.181941,6.3704,7.09507,7.36872,8.70993,9.37829,9.6502,10.0241,13.7933,14.8152,13.8839,0.128101,12.4696,12.8673,13.013,14.0121,14.6417,14.6631,14.8349,7.44564,1.0
201307,23.889,1.0,21.527,1.65,1.0,25.143,3.191,1.0,23.161,20.98,1.866,24.315,2.544,23.889,1.0,21.527,1.65,1.0,25.143,3.191,1.0,470.727,282.518,1.0,261.072,282.518,1.0,383.827,1.0,377.038,383.827,1.0,410.086,1.0,387.266,410.086,1.0,13.369,1.0,11.123,13.369,1.0,99.109,98.838,1.0,6.016,2.854,1.0,0.859,1.503,0.998656,0.293959747216,0.652553763441,194.667219632,1.0,556.779347261,0.994623655914,31.1606226838,1.0,440.036677419,1.0,391.699,1.0,18.952,18.572,17.274,16.595,15.719,13.892,0.998656,0.998656,0.998656,0.998656,0.998656,0.998656,22.456,19.483,19.781,21.176,1.0,1.0,1.0,1.0,4.72984,1.0,119.513,0.997312,169.159,1.5071,14.5798,0.995296,20.6362,0.735299,0.993952,1,16.6129,31.3871,16.6129,31.2258,-5.17406,0.905914,0.130595,0.168114,-5.20815,0.877016,0.133277,0.170205,-5.13232,0.899345,0.021052,-5.33691,-5.25156,-5.19994,-5.13291,-5.09631,-5.03983,-4.84494,0.91129,0.865591,0.864247,0.872312,0.860887,0.950941,0.927419,7.68498,2.11406,0.936169,0.157527,0.693676,-11.66,11.1146,0.88794,0.175665,0.374589,7.76043,1.92344,0.888454,0.157443,0.693657,-11.7541,11.2021,0.869931,0.178041,0.375709,6.1008,6.51958,7.10516,7.59365,7.86151,7.87069,7.88108,0.998208,0.994624,0.955421,0.890694,0.88487,0.88487,0.899207,-11.8453,-11.7546,-11.7065,-11.5561,-11.2006,-11.0929,-10.9476,0.84695,0.858507,0.86469,0.809758,0.912433,0.974597,0.954973,9.00376,9.87671,9.07615,0.198744,6.59234,7.13617,7.92101,9.78997,10.0063,10.1339,10.1508,14.4345,15.0287,14.2106,0.194897,11.8781,12.3435,12.9945,14.9173,15.1783,15.2374,15.3371,6.39756,5.91934,6.08198,0.11767,4.90394,5.06863,5.39277,6.14451,6.63741,6.71489,7.05327,12.4831,12.4959,12.1372,0.0945298,11.1081,11.1862,11.6452,12.3094,12.4831,12.585,13.0438,9.8825,1.0
201308,22.682,1.0,20.569,1.538,1.0,24.082,2.97,1.0,22.227,20.4,1.608,23.427,2.547,22.682,1.0,20.569,1.538,1.0,24.082,2.97,1.0,413.269,247.373,1.0,229.967,247.373,1.0,375.421,1.0,370.624,375.421,1.0,398.839,1.0,379.692,398.839,1.0,12.478,1.0,10.881,12.478,1.0,98.987,98.718,1.0,4.907,3.052,1.0,1.033,1.464,0.995968,0.272883884751,0.626344086022,163.851417681,1.0,490.550283881,0.996639784946,26.8923189267,1.0,431.654926747,1.0,391.305,1.0,19.025,18.924,18.082,17.659,17.113,15.466,1.0,1.0,1.0,1.0,1.0,1.0,22.887,19.492,18.283,15.035,1.0,1.0,1.0,1.0,2.29042,1.0,102.546,0.997312,149.421,1.22202,8.0722,0.994624,11.7621,0.728192,0.993952,1,19.0645,28.9355,19.0,26.6774,-2.96806,0.922715,0.127668,0.639412,-2.71654,0.915323,0.131522,0.640193,-3.04219,0.923992,0.0813211,-3.92215,-3.82305,-3.59342,-2.85509,-2.5888,-2.56998,-2.5414,0.981183,0.982527,0.969758,0.849462,0.911962,0.899866,0.901882,8.20076,1.13269,0.941935,0.150354,1.34544,-10.1358,10.9754,0.912064,0.195287,0.314423,8.28474,1.06031,0.941935,0.150747,1.34548,-9.79441,10.8265,0.899889,0.188587,0.310306,5.49093,5.88289,6.7219,8.16277,8.46175,8.5569,8.6321,0.988172,0.991756,0.985305,0.941935,0.896774,0.919355,0.922581,-10.2751,-10.2081,-10.065,-9.81124,-9.74046,-9.71526,-9.5231,0.942976,0.918669,0.973696,0.889213,0.891363,0.888982,0.846779,6.87602,9.21373,8.22498,0.279848,5.38734,5.74794,6.20328,8.58833,9.52399,10.0918,10.3502,11.3068,11.8731,11.2836,0.202079,9.30649,9.56176,9.82372,11.5553,12.3096,12.8051,12.9026,7.4348,7.82839,7.77552,0.176918,6.09068,6.36096,6.59287,7.92483,8.59976,9.22262,9.35176,11.0507,11.3267,11.1458,0.0950073,9.89648,10.3699,10.7,11.2596,11.6069,11.6695,11.8795,9.94042,1.0
201309,18.895,1.0,17.143,1.623,1.0,20.374,2.793,1.0,18.651,17.114,1.601,19.971,2.655,18.895,1.0,17.143,1.623,1.0,20.374,2.793,1.0,328.317,177.361,1.0,168.582,177.361,1.0,358.217,1.0,355.995,358.217,1.0,376.294,1.0,362.419,376.294,1.0,8.438,1.0,8.735,8.438,1.0,98.765,98.573,1.0,4.118,5.298,1.0,1.098,1.108,1.0,0.219100002408,0.673611111111,106.757044956,1.0,345.445948003,1.0,19.2159333833,1.0,409.050315278,1.0,395.398,1.0,16.609,16.712,16.251,16.093,15.923,15.051,1.0,1.0,1.0,1.0,1.0,1.0,21.636,18.662,16.702,13.867,1.0,1.0,1.0,1.0,0.331419,1.0,58.4905,0.997917,91.0441,0.860451,9.96641,0.999306,15.5133,0.5997,0.996528,1,22.1,25.9,9.0,21.0667,-1.71035,0.910417,0.105104,0.41394,-1.8188,0.8875,0.128661,0.420539,-1.8601,0.900399,0.0543005,-2.43761,-2.37451,-2.22239,-1.76829,-1.67229,-1.57376,-1.33349,0.977083,0.983333,0.957639,0.880556,0.892361,0.929861,0.782639,6.18591,0.9721,0.941712,0.183338,0.982971,-8.29518,8.09507,0.882205,0.159533,0.387881,6.19984,0.977361,0.941712,0.183338,0.982971,-8.50524,8.20306,0.839377,0.158673,0.387528,4.03831,4.30453,4.84044,5.9991,6.20199,6.23597,6.31206,1.0,0.996825,0.97549,0.948602,0.941712,0.941712,0.961142,-8.59653,-8.46449,-8.38844,-8.10068,-7.85585,-7.75738,-7.36133,0.836615,0.866651,0.834051,0.928489,0.740587,0.989586,0.649425,6.81619,8.19273,7.08497,0.237313,4.38201,4.82154,5.38487,8.08019,8.23767,8.28602,8.32905,9.16309,10.0648,8.96823,0.194294,6.81498,7.1818,7.61778,9.81208,9.92896,10.0435,10.1422,6.691,7.1014,6.40504,0.345424,1.81173,4.8378,5.19162,5.92093,7.54822,8.15074,9.55777,8.41516,8.61816,8.06941,0.175299,5.43227,7.1967,7.38194,8.13366,8.64289,8.77015,9.89137,7.7666,1.0
201310,13.563,1.0,12.757,1.033,1.0,14.464,1.522,1.0,14.416,13.485,1.207,15.457,1.72,13.563,1.0,12.757,1.033,1.0,14.464,1.522,1.0,234.038,67.17,1.0,88.134,67.17,1.0,360.073,1.0,354.642,360.073,1.0,359.136,1.0,360.821,359.136,1.0,3.386,1.0,4.442,3.386,1.0,98.889,98.983,1.0,6.532,8.2,1.0,0.953,1.069,0.999328,0.187057427817,0.633064516129,37.7718663444,1.0,127.350222651,1.0,7.21375586929,1.0,381.869268817,1.0,401.706,1.0,13.576,13.832,13.665,13.77,13.982,13.864,1.0,1.0,1.0,1.0,1.0,1.0,25.31,20.493,23.522,20.061,1.0,1.0,1.0,1.0,-1.05312,1.0,13.8147,0.999328,21.5035,0.322078,-0.830685,0.999328,-1.29301,0.432909,1.0,2,25.4839,22.5161,25.4839,21.0,1.25871,0.966398,0.0763832,0.198711,1.3533,0.964382,0.079018,0.199738,1.17239,0.954133,0.0264305,0.857957,0.976881,1.04873,1.18794,1.32421,1.34377,1.42288,0.995968,0.99328,0.989247,0.954973,0.955645,0.958333,0.905242,3.94015,0.735755,0.99871,0.0997007,0.231918,-1.81166,4.63162,0.929297,0.119333,0.205925,3.93351,0.747389,0.99871,0.098324,0.23133,-1.61381,4.41774,0.925026,0.119047,0.205759,3.30032,3.56251,3.66693,3.77649,3.88456,3.9813,4.02446,1.0,1.0,1.0,0.99871,0.99871,0.99871,0.99871,-2.00739,-1.98756,-1.96458,-1.79437,-1.68861,-1.65191,-1.54576,0.976497,0.985644,0.985644,0.85785,0.903839,0.925026,0.917752,4.15188,4.66354,4.28901,0.0648414,3.49058,3.77914,3.98633,4.33552,4.57692,4.65498,4.71824,3.11927,3.23652,3.1312,0.0445693,2.67126,2.74896,2.9619,3.16522,3.25403,3.35518,3.43163,6.01923,5.9306,5.28874,0.137571,2.53937,4.94708,5.04611,5.27076,5.80781,5.98696,6.09287,3.88782,3.83731,3.40894,0.0731342,2.06528,3.11699,3.21451,3.3976,3.71032,3.80984,3.95402,5.64224,1.0
