TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20130101,4.464,1.0,4.124,2.941,1.0,4.983,2.983,1.0,6.571,5.907,2.534,7.584,1.979,4.464,1.0,4.124,2.941,1.0,4.983,2.983,1.0,133.955,39.294,1.0,49.306,39.294,1.0,304.184,1.0,310.546,304.184,1.0,296.908,1.0,324.821,296.908,1.0,1.017,1.0,1.989,1.017,1.0,101.507,101.507,0.0,0.487,0.0,0.958333,1.134,1.525,0.958333,0.325309069767,0.895833333333,3.054,0.958333333333,78.2378877391,0.958333333333,62.9502661304,0.958333333333,6.46005263043,0.958333333333,334.154434783,0.958333333333,381.129,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,2.99811,1.0,0.775767,-9999,-9999,0.761633,-9999,-15.7278,1.0,-3.62053,-9999,-9999,3.04731,-9999,11.0,3,29,19,29,19,-0.0226318,1.0,0.618211,0.620416,-0.0164283,1.0,0.604184,0.60644,0.0241673,1.0,0.0255823,-0.162411,-0.0643103,-0.0323472,-0.00231813,0.0155294,0.0402158,0.316325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0953,2.45253,1.0,0.765673,0.770868,-3.25319,4.37544,1.0,0.948325,0.950001,2.10519,2.44553,1.0,0.752685,0.757968,-3.25319,4.37544,1.0,0.9185,0.92023,1.82971,2.01686,2.02976,2.10519,2.15617,2.19554,2.39646,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.25319,-3.25319,-3.25319,-3.25319,-3.16974,-3.14038,-3.12202,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.32916,1.31918,1.57997,0.033134,1.32443,1.33131,1.42486,1.54343,1.65383,1.78146,2.00781,1.35179,1.33561,1.5558,0.0274147,1.35155,1.37563,1.41458,1.52003,1.62838,1.72409,1.92411,4.13016,4.74012,2.93765,0.217102,0.345214,1.23363,1.61971,3.11875,3.58696,4.10493,5.23861,2.71798,3.26774,2.61229,0.0939407,1.72141,2.03119,2.16402,2.58133,2.8889,3.20482,3.67388,-9999,0.0
20130102,8.484,1.0,8.338,1.331,1.0,8.707,0.355,1.0,8.455,8.383,0.481,8.565,0.14,8.484,1.0,8.338,1.331,1.0,8.707,0.355,1.0,134.579,11.019,1.0,1.761,11.019,1.0,336.928,1.0,346.808,336.928,1.0,333.946,1.0,369.709,333.946,1.0,1.043,1.0,1.813,1.043,1.0,101.639,101.639,0.0,20.197,28.886,1.0,1.568,1.987,1.0,0.45251875,0.833333333333,-7.82473270833,1.0,23.5009808125,1.0,23.4362802083,1.0,1.75784350833,1.0,353.578666667,1.0,337.815,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,4.25161,1.0,1.16619,-9999,-9999,0.994647,-9999,-44.7291,1.0,-9.7827,-9999,-9999,3.3793,-9999,11.0,3,29,19,29,19,1.49316,1.0,0.569302,0.581159,1.51549,1.0,0.558391,0.570474,1.5111,1.0,0.0229196,1.32835,1.37082,1.385,1.51549,1.55823,1.60441,1.82231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.84837,2.95432,1.0,0.740729,0.754498,0.813865,2.13136,1.0,0.801647,0.805612,1.86762,2.94935,1.0,0.730252,0.744215,0.838857,2.07978,1.0,0.778214,0.782297,1.67387,1.68967,1.71739,1.86762,1.94284,1.97665,2.28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.683201,0.725913,0.764686,0.817715,0.82809,0.88557,0.925807,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.47876,1.48233,1.78348,0.0461424,1.47772,1.49576,1.55472,1.73546,1.85336,2.10525,2.29578,-0.0143981,-0.0331612,0.272379,0.0358104,-0.0392164,-0.0143981,0.00484008,0.331282,0.406356,0.466809,0.521729,4.44983,5.107,3.55119,0.23929,0.371933,2.06833,2.33824,3.73656,4.44983,5.06384,5.83948,0.984986,1.40379,0.968689,0.0475014,0.561906,0.682021,0.727852,0.894102,1.18985,1.35967,1.48117,-9999,0.0
20130103,8.858,1.0,7.256,2.008,1.0,11.303,3.131,1.0,8.671,8.21,1.798,9.375,2.03,8.858,1.0,7.256,2.008,1.0,11.303,3.131,1.0,135.263,82.697,1.0,60.459,82.697,1.0,276.299,1.0,311.849,276.299,1.0,286.763,1.0,326.434,286.763,1.0,2.466,1.0,2.029,2.466,1.0,102.859,102.859,0.0,0.005,0.0,1.0,0.82,1.102,1.0,0.187020487805,0.854166666667,-7.96754375,1.0,163.875123563,1.0,49.6852726042,1.0,16.50218875,1.0,349.272791667,1.0,365.274,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,15.1757,1.0,4.48751,-9999,-9999,1.86617,-9999,-2.20056,1.0,-0.472726,-9999,-9999,3.03086,-9999,11.0,3,29,19,29,19,-1.56803,0.9375,0.642876,0.669516,-1.52025,0.9375,0.610301,0.638302,-1.63122,0.955729,0.0288972,-1.89518,-1.86267,-1.79561,-1.5978,-1.52875,-1.4887,-1.36238,0.9375,0.979167,0.958333,0.979167,0.9375,0.9375,0.958333,1.60303,1.32251,1.0,0.704205,0.715031,-6.26406,6.56063,0.842105,1.13761,1.19913,1.66308,1.29394,1.0,0.675506,0.686784,-6.2394,6.5595,0.842105,1.0698,1.135,1.33658,1.47534,1.5564,1.63551,1.71709,1.72324,1.75511,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-7.24196,-6.99771,-6.60129,-6.30306,-6.26505,-6.2394,-5.85676,0.947368,0.842105,0.894737,0.894737,0.842105,0.842105,0.894737,1.49027,1.49703,1.8007,0.0483667,1.49033,1.50974,1.56112,1.74885,1.86928,2.10008,2.37015,3.11675,3.01728,3.43192,0.0687008,2.97836,3.01815,3.03849,3.34666,3.663,3.72294,4.36339,4.47132,5.13166,3.70409,0.244158,0.373729,2.34917,2.69224,3.86657,4.47132,5.62357,6.13508,4.59311,4.90809,4.41427,0.125669,3.27752,3.43051,3.9188,4.45367,4.83296,5.01141,6.03348,-9999,0.0
20130104,7.215,1.0,6.108,2.693,1.0,8.904,4.439,1.0,8.596,7.824,2.244,9.775,1.856,7.215,1.0,6.108,2.693,1.0,8.904,4.439,1.0,136.005,76.225,1.0,71.545,76.225,1.0,313.648,1.0,303.982,313.648,1.0,292.625,1.0,316.696,292.625,1.0,1.243,1.0,1.966,1.243,1.0,102.697,102.697,0.0,0.0,0.0,1.0,0.915,0.944,1.0,0.178905714286,0.875,29.3659626667,1.0,151.716288479,1.0,68.4035778542,1.0,13.5259991812,1.0,346.230104167,1.0,359.167,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,6.15068,1.0,1.95047,-9999,-9999,1.55424,-9999,7.2384,1.0,1.54639,-9999,-9999,3.31848,-9999,11.0,3,29,19,29,19,-1.5722,0.916667,0.612563,0.653963,-1.50721,0.916667,0.594832,0.637385,-1.36061,0.956771,0.0322674,-1.78096,-1.59759,-1.4749,-1.36851,-1.20091,-1.13961,-1.08049,0.958333,0.916667,1.0,0.979167,0.979167,1.0,1.0,1.32712,2.09271,1.0,0.7373,0.758496,-5.85308,6.02868,0.789474,0.978505,1.06709,1.38952,2.09124,1.0,0.713055,0.734951,-5.79011,6.01578,0.789474,0.955251,1.04581,1.20278,1.38952,1.53647,1.6177,1.70032,1.74564,1.84602,0.965517,1.0,1.0,1.0,1.0,1.0,1.0,-6.8938,-6.21189,-5.91444,-5.71911,-5.39838,-5.3605,-5.17885,0.947368,0.947368,0.736842,0.789474,1.0,0.947368,1.0,1.43244,1.4605,1.71401,0.0405601,1.43245,1.45911,1.50238,1.64246,1.7681,1.93109,2.27687,3.03003,2.96771,3.07462,0.0567087,2.71716,2.7411,2.8031,2.92195,3.15723,3.53661,3.76561,4.34406,4.98561,3.48005,0.218272,0.363092,2.22193,2.52456,3.47129,4.31752,4.81509,5.70069,4.26893,4.60572,4.15277,0.11095,3.09447,3.5083,3.78224,4.168,4.46807,4.68605,5.6187,-9999,0.0
20130105,8.704,1.0,8.364,0.979,1.0,9.224,1.27,1.0,9.175,7.972,1.655,11.012,1.957,8.704,1.0,8.364,0.979,1.0,9.224,1.27,1.0,136.806,21.61,1.0,77.218,21.61,1.0,350.225,1.0,307.455,350.225,1.0,322.747,1.0,320.995,322.747,1.0,0.824,1.0,1.954,0.824,1.0,101.983,101.983,0.0,0.0,0.0,1.0,1.117,0.756,1.0,0.170303695652,0.958333333333,13.0246034375,1.0,42.9048986875,1.0,42.8833197083,1.0,2.15558876875,1.0,356.539020833,1.0,356.608,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,0.590209,1.0,0.184868,-9999,-9999,0.84418,-9999,-2.09747,1.0,-0.43994,-9999,-9999,3.39105,-9999,11.0,3,29,19,29,19,0.358661,1.0,0.565305,0.574284,0.423057,1.0,0.553735,0.562899,0.43146,1.0,0.0278282,0.201917,0.296162,0.358661,0.40467,0.442771,0.498476,0.777619,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.59949,0.594631,1.0,0.683606,0.690622,-1.56817,3.71865,1.0,0.897387,0.907333,1.64664,0.565428,1.0,0.667801,0.674982,-1.48337,3.64747,1.0,0.882229,0.892344,1.27888,1.47748,1.543,1.60609,1.65327,1.67386,2.02492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.1258,-1.54514,-1.53108,-1.46041,-1.31598,-1.27719,-1.19758,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.49238,1.56219,1.79212,0.047149,1.49238,1.52357,1.55631,1.71865,1.87399,1.94398,2.39158,1.13371,1.13914,1.36066,0.0355931,1.12467,1.14016,1.17583,1.33115,1.44681,1.53106,1.8459,3.97886,5.1257,3.47443,0.221087,0.373294,2.62544,2.67943,3.32402,3.97886,5.05096,5.81444,1.76784,2.38187,1.76349,0.0716553,1.06617,1.33476,1.36736,1.6205,2.05471,2.31704,2.58035,-9999,0.0
20130106,9.15,1.0,9.019,0.695,1.0,9.349,0.86,1.0,9.098,8.1,1.145,10.62,2.166,9.15,1.0,9.019,0.695,1.0,9.349,0.86,1.0,137.665,24.749,1.0,76.841,24.749,1.0,351.686,1.0,305.26,351.686,1.0,315.699,1.0,318.278,315.699,1.0,0.818,1.0,1.945,0.818,1.0,101.892,101.892,0.0,0.0,0.0,1.0,1.003,0.745,1.0,0.178873255814,0.895833333333,14.88544,1.0,48.2564327917,1.0,48.3740426458,1.0,2.62110535417,1.0,358.77925,1.0,339.445,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,0.706322,1.0,0.218491,-9999,-9999,0.895096,-9999,-1.39401,1.0,-0.28697,-9999,-9999,3.22466,-9999,11.0,3,29,19,29,19,0.265162,1.0,0.56632,0.579887,0.285289,1.0,0.545227,0.559305,0.235205,1.0,0.0248825,-0.00196538,0.068195,0.146902,0.224965,0.270496,0.317591,0.552724,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.89187,0.666133,1.0,0.67575,0.693121,-2.24206,3.97438,1.0,0.914873,0.918459,1.9401,0.6266,1.0,0.661886,0.67961,-2.26667,4.02205,1.0,0.860953,0.864762,1.48176,1.63715,1.71596,1.83607,1.91124,1.94555,2.26386,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.3759,-2.35018,-2.31324,-2.26642,-2.2306,-2.18803,-2.12125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.51191,1.62047,1.81775,0.0522915,1.47208,1.51469,1.55753,1.77101,1.96871,2.03875,2.45549,1.24674,1.33518,1.58254,0.0445466,1.24682,1.30193,1.32904,1.50475,1.81032,1.84326,1.92482,3.01568,5.16431,3.07223,0.259567,0.376107,1.22875,1.39602,3.27741,3.90634,4.9872,5.49182,1.86789,2.5294,1.87818,0.0785629,1.19431,1.30434,1.37133,1.8437,2.19813,2.4645,2.68386,-9999,0.0
20130107,7.943,1.0,7.165,1.284,1.0,9.131,2.411,1.0,8.8,7.513,1.519,10.765,2.764,7.943,1.0,7.165,1.284,1.0,9.131,2.411,1.0,138.583,86.704,1.0,84.713,86.704,1.0,311.723,1.0,293.783,311.723,1.0,284.162,1.0,304.07,284.162,1.0,0.92,1.0,2.076,0.92,1.0,101.877,101.877,0.0,0.0,0.0,1.0,0.983,1.05,1.0,0.247985227273,0.916666666667,32.1719850833,1.0,162.360318043,0.979166666667,71.33058775,1.0,15.1619903183,1.0,350.6813125,1.0,337.587,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,5.42405,1.0,1.79398,-9999,-9999,1.12256,-9999,9.76906,1.0,2.2202,-9999,-9999,3.17517,-9999,11.0,3,29,19,29,19,-1.12225,0.979167,0.656115,0.683519,-1.08995,0.979167,0.649133,0.676819,-0.980659,0.971354,0.0429922,-1.61829,-1.12225,-1.0864,-0.922133,-0.821184,-0.73905,-0.696271,0.895833,0.979167,0.979167,0.916667,1.0,1.0,1.0,1.64551,1.75399,1.0,0.702957,0.736835,-5.24366,9.51191,0.947368,1.18329,1.20617,1.70394,1.75137,1.0,0.695069,0.729314,-5.25421,9.5367,0.947368,1.17126,1.19437,1.64551,1.7041,1.77836,1.98716,2.09957,2.14581,2.43914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-7.6424,-5.44408,-5.25004,-5.2345,-5.00033,-4.97645,-4.96991,0.736842,0.736842,0.947368,0.947368,1.0,1.0,1.0,1.4708,1.60712,1.75876,0.0515962,1.31766,1.46508,1.51289,1.67764,1.90218,2.01424,2.44101,2.49534,2.69708,2.73942,0.0796648,2.15231,2.4121,2.47604,2.60232,2.75758,2.83973,4.03976,2.47835,4.92376,2.68311,0.232335,0.645246,0.867642,0.928153,2.8852,3.74351,4.09094,4.73936,3.95407,5.27679,4.51132,0.103554,3.66632,3.89526,3.90966,4.55681,4.83049,4.85789,5.82411,-9999,0.0
20130108,6.905,1.0,6.557,0.477,1.0,7.436,1.141,1.0,7.479,6.998,1.962,8.212,2.131,6.905,1.0,6.557,0.477,1.0,7.436,1.141,1.0,139.558,25.901,1.0,53.009,25.901,1.0,335.148,1.0,341.233,335.148,1.0,323.392,1.0,362.808,323.392,1.0,0.405,1.0,1.883,0.405,1.0,102.113,102.113,0.0,0.086,0.0,1.0,0.648,1.316,1.0,0.306516,0.833333333333,9.72864106042,1.0,49.8714548542,1.0,49.8417825,1.0,3.05651281562,1.0,347.936083333,1.0,349.276,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,-0.829617,1.0,-0.294399,-9999,-9999,0.794476,-9999,-3.68659,1.0,-0.926749,-9999,-9999,3.52833,-9999,11.0,3,29,19,29,19,-0.0646148,1.0,0.647091,0.654464,0.0581038,1.0,0.626441,0.634054,0.0118409,1.0,0.0250902,-0.402966,-0.0646148,-0.0208139,0.0219186,0.0759898,0.131313,0.230121,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.04263,3.87012,1.0,0.835472,0.872429,-1.74869,2.69579,1.0,0.924953,0.936219,1.29398,3.7407,1.0,0.810858,0.848888,-1.83357,2.77623,1.0,0.89111,0.902798,0.606267,1.04263,1.10122,1.33126,1.37541,1.5451,1.8354,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.39649,-2.03829,-2.01132,-1.99149,-1.87043,-1.74869,-1.73148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.43662,1.59967,1.70792,0.0531412,1.14749,1.41895,1.46969,1.64598,1.84798,2.00841,2.4344,1.50124,1.54157,1.69608,0.0539722,1.16081,1.32424,1.43041,1.73798,1.94793,2.03209,2.29116,2.47402,4.57073,2.57956,0.148926,0.711211,1.67623,1.74537,2.47402,3.4506,3.503,3.59862,2.05136,2.90647,2.16148,0.0581036,1.61069,1.82424,1.90876,2.06348,2.50957,2.5485,2.70474,-9999,0.0
20130109,8.865,1.0,8.27,1.409,1.0,9.774,1.648,1.0,8.147,8.084,1.051,8.243,1.513,8.865,1.0,8.27,1.409,1.0,9.774,1.648,1.0,140.591,28.955,1.0,51.253,28.955,1.0,345.96,1.0,352.222,345.96,1.0,335.667,1.0,376.411,335.667,1.0,1.17,1.0,1.828,1.17,1.0,101.836,101.836,0.0,0.355,0.0,1.0,0.451,0.854,1.0,0.18508195122,0.854166666667,14.6427506667,1.0,56.5066346458,1.0,56.4471154167,1.0,3.23874195833,1.0,356.801541667,1.0,363.211,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,4.20429,1.0,1.59333,-9999,-9999,1.09258,-9999,-5.86407,1.0,-1.61554,-9999,-9999,3.18569,-9999,11.0,3,29,19,29,19,-0.0983734,1.0,0.579948,0.592666,0.0370146,1.0,0.567216,0.580212,-0.114107,1.0,0.0262151,-0.513377,-0.231521,-0.206013,-0.0695504,-0.019183,0.0127165,0.102309,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.07241,1.14762,1.0,0.68538,0.714329,-3.40264,5.414,1.0,0.948175,0.959225,2.10448,1.12662,1.0,0.677899,0.707153,-3.12199,5.09438,1.0,0.914457,0.92591,1.38668,1.72182,1.75081,1.98825,2.07578,2.1244,2.18864,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.40264,-3.3824,-3.33037,-3.27139,-3.13226,-3.09205,-3.00373,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.53993,1.74156,1.81941,0.0668981,1.05207,1.41262,1.53993,1.77079,2.00198,2.15998,2.55874,1.63831,1.70455,1.93351,0.0657317,1.24101,1.58737,1.64256,1.85917,2.20799,2.28361,2.6179,2.63025,4.44837,3.0467,0.136304,1.66069,2.21714,2.56053,2.76914,3.5819,4.1799,4.28655,2.36929,3.19909,2.49387,0.057795,1.93316,2.05516,2.34897,2.51687,2.70285,2.84428,3.00068,-9999,0.0
20130110,9.437,1.0,8.979,0.467,1.0,10.135,1.539,1.0,9.367,8.623,1.049,10.504,0.556,9.437,1.0,8.979,0.467,1.0,10.135,1.539,1.0,141.682,38.142,1.0,39.821,38.142,1.0,333.422,1.0,336.074,333.422,1.0,341.396,1.0,356.422,341.396,1.0,1.137,1.0,1.887,1.137,1.0,101.003,101.003,0.0,1.819,0.0,1.0,0.779,0.82,1.0,0.168912857143,0.729166666667,8.53090625,1.0,73.9346068542,1.0,69.0212737708,1.0,5.03938029167,1.0,357.5989375,1.0,352.917,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.35386,1.0,1.35191,-9999,-9999,0.943579,-9999,-3.58403,1.0,-0.963068,-9999,-9999,2.19476,-9999,11.0,3,29,19,29,19,-0.815246,0.979167,0.593083,0.617547,-0.73324,0.979167,0.574835,0.600044,-0.827563,0.971354,0.025164,-1.06138,-1.03848,-1.02168,-0.811501,-0.724725,-0.694287,-0.567006,0.979167,0.958333,0.979167,0.979167,0.979167,0.9375,0.916667,2.12659,1.6305,1.0,0.706752,0.774301,-5.23055,5.77911,0.947368,0.95971,1.00601,2.2233,1.61131,1.0,0.690583,0.759571,-5.17852,5.80438,0.947368,0.920526,0.968697,1.42541,1.53608,1.68349,1.83369,2.12659,2.16867,2.19322,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-5.48649,-5.21202,-5.18642,-4.87349,-4.688,-4.60867,-4.3547,1.0,0.947368,0.947368,0.947368,0.947368,0.842105,0.947368,1.6813,1.87889,1.9127,0.0630587,1.17088,1.47513,1.6813,1.89094,2.0927,2.24914,2.50989,2.49654,2.61213,2.74027,0.0522996,2.20935,2.44154,2.49665,2.63767,2.93202,2.99064,3.25151,2.76036,4.21331,3.41105,0.140321,1.12281,2.50233,3.30058,3.5564,3.75306,4.07384,4.73523,3.29376,3.86917,3.25864,0.0729661,2.30543,2.71379,2.95485,3.45693,3.55218,3.57949,3.80189,-9999,0.0
