TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20050101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,14.542,13.856,1.237,15.503,1.063,14.542,0.0,13.856,1.237,0.0,15.503,1.063,0.0,193.041,212.439,0.625,59.268,59.054,0.625,-9999,-9999,349.868,349.868,0.0,-9999,-9999,381.52,381.52,0.0,-9999,-9999,0.387,0.387,0.0,97.011,97.011,0.0,1.349,1.349,0.0,5.745,5.745,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-4.64857,0.0,24.7476,0.0,23.7166,-9999,-9999,-9999,-9999,72.3308,0.0,69.3174,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,0.840953,0.0,-9999,-9999,0.950762,0.0,-9999,-9999,0.911368,0.0,0.00909695,0.778438,0.830511,0.884448,0.928843,0.946386,0.950762,0.955034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.598112,0.162935,0.0,-9999,-9999,1.10756,0.410723,0.0,-9999,-9999,0.783965,0.121471,0.0,-9999,-9999,1.10133,0.409239,0.0,-9999,-9999,0.494806,0.580829,0.682715,0.748786,0.783965,0.783965,0.783965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00608,1.05925,1.07285,1.08316,1.10756,1.11121,1.18748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53652,0.536527,0.481696,0.0141546,0.304734,0.348,0.392337,0.518846,0.53656,0.53657,0.587432,-0.414242,-0.414235,-0.429672,0.0144225,-0.641652,-0.569153,-0.490895,-0.414225,-0.361314,-0.350642,-0.34141,1.25234,1.25234,1.20887,0.00572953,1.12763,1.18086,1.19197,1.20422,1.23724,1.25234,1.25684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20050102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,14.412,13.762,0.343,15.321,1.426,14.412,0.0,13.762,0.343,0.0,15.321,1.426,0.0,193.659,221.164,0.625,65.462,65.375,0.625,-9999,-9999,351.538,351.538,0.0,-9999,-9999,383.538,383.538,0.0,-9999,-9999,0.197,0.197,0.0,97.252,97.252,0.0,0.976,0.976,0.0,3.226,3.226,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-5.77847,0.0,24.8495,0.0,23.5073,-9999,-9999,-9999,-9999,68.0077,0.0,64.3343,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,0.868445,0.0,-9999,-9999,0.949285,0.0,-9999,-9999,0.902746,0.0,0.00775129,0.770816,0.868445,0.882625,0.893053,0.949285,0.952367,0.956096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54584,0.0862731,0.0,-9999,-9999,1.24432,0.42293,0.0,-9999,-9999,0.657485,0.0505018,0.0,-9999,-9999,1.27498,0.372913,0.0,-9999,-9999,0.256888,0.503689,0.536218,0.566486,0.657485,0.657485,0.657485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14196,1.24821,1.27498,1.29074,1.31484,1.33839,1.38145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533698,0.533714,0.479091,0.0140684,0.303097,0.346243,0.390401,0.516509,0.533803,0.533838,0.58412,-0.415586,-0.415571,-0.423655,0.0101011,-0.54585,-0.49257,-0.447608,-0.422279,-0.415525,-0.367828,-0.308668,1.25019,1.25019,1.20672,0.00574398,1.12456,1.17883,1.18993,1.20215,1.23511,1.25019,1.25469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20050103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13.362,12.064,2.864,15.178,1.468,13.362,0.0,12.064,2.864,0.0,15.178,1.468,0.0,194.333,202.559,0.625,59.883,59.716,0.625,-9999,-9999,368.669,368.669,0.0,-9999,-9999,404.234,404.234,0.0,-9999,-9999,0.362,0.362,0.0,97.261,97.261,0.0,8.751,8.751,0.0,2.015,2.015,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-5.57065,0.0,19.0386,0.0,17.8389,-9999,-9999,-9999,-9999,63.4548,0.0,59.4565,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,0.948048,0.0,-9999,-9999,0.994837,0.0,-9999,-9999,0.946559,0.0,0.00751666,0.834492,0.892556,0.906036,0.96514,0.98383,0.994837,0.994837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.599836,4.52238e-16,0.0,-9999,-9999,1.35283,0.335073,0.0,-9999,-9999,0.687568,1.1306e-16,0.0,-9999,-9999,1.33822,0.33755,0.0,-9999,-9999,0.489129,0.589851,0.589931,0.621655,0.687568,0.687568,0.687568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05966,1.21077,1.26953,1.33822,1.36686,1.40657,1.44284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512052,0.512121,0.459274,0.0134364,0.290601,0.332649,0.375353,0.498011,0.512556,0.512739,0.563844,-0.482785,-0.482715,-0.487285,0.00871245,-0.637466,-0.563498,-0.509628,-0.4826,-0.452618,-0.451165,-0.421191,1.23091,1.23091,1.1875,0.00585519,1.09834,1.16065,1.17158,1.18361,1.21607,1.23091,1.23533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20050104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.671,5.826,2.724,5.454,3.397,5.671,0.0,5.826,2.724,0.0,5.454,3.397,0.0,195.064,212.439,0.625,7.38,7.332,0.625,-9999,-9999,345.933,345.933,0.0,-9999,-9999,376.766,376.766,0.0,-9999,-9999,0.0,0.0,0.0,97.014,97.014,0.0,42.279,42.279,0.0,3.823,3.823,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-4.0969,0.0,23.2926,0.0,21.8249,-9999,-9999,-9999,-9999,76.0507,0.0,71.2586,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,0.791294,0.0,-9999,-9999,0.817291,0.0,-9999,-9999,0.799776,0.0,0.00687376,0.730448,0.738675,0.750026,0.791294,0.828224,0.83827,0.870509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516077,0.0587046,0.0,-9999,-9999,1.10756,0.410723,0.0,-9999,-9999,0.563475,0.0798557,0.0,-9999,-9999,1.10133,0.409239,0.0,-9999,-9999,0.449772,0.482408,0.489129,0.534964,0.571105,0.589851,0.622551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00608,1.05925,1.07285,1.08316,1.10756,1.11121,1.18748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.356351,0.356778,0.31704,0.00917834,0.200836,0.23462,0.265776,0.356351,0.360429,0.363729,0.375259,-0.471873,-0.460513,-0.482736,0.006814,-0.628365,-0.504976,-0.500704,-0.481783,-0.462064,-0.459176,-0.42871,1.08543,1.08543,1.0427,0.00697464,0.919048,1.02347,1.0331,1.04372,1.07234,1.08543,1.08933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20050105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-4.0,-3.943,4.255,-4.08,0.618,-4.0,0.0,-3.943,4.255,0.0,-4.08,0.618,0.0,195.853,221.164,0.625,45.644,45.215,0.625,-9999,-9999,274.989,274.989,0.0,-9999,-9999,291.058,291.058,0.0,-9999,-9999,0.0,0.0,0.0,97.06,97.06,0.0,29.886,29.886,0.0,5.754,5.754,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-6.45727,0.0,22.3417,0.0,20.876,-9999,-9999,-9999,-9999,76.7337,0.0,71.6995,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,1.00849,0.0,-9999,-9999,1.18128,0.0,-9999,-9999,1.09157,0.0,0.0159292,0.9114,0.944759,0.976137,1.11536,1.18128,1.18194,1.18614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.777191,0.253134,0.0,-9999,-9999,1.24432,0.42293,0.0,-9999,-9999,1.04073,0.348698,0.0,-9999,-9999,1.27498,0.372913,0.0,-9999,-9999,0.489129,0.622551,0.673377,1.00754,1.03057,1.04073,1.04875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14196,1.24821,1.27498,1.29074,1.31484,1.33839,1.38145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18848,0.189052,0.16591,0.00525488,0.104957,0.125825,0.142,0.162482,0.192432,0.194148,0.209157,-0.997656,-0.992226,-0.925663,0.016203,-1.04323,-1.01176,-0.996127,-0.987941,-0.856368,-0.7747,-0.745219,0.867755,0.867755,0.827867,0.00841144,0.65425,0.818224,0.825924,0.834408,0.857288,0.867755,0.870872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20050106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-8.531,-9.112,2.164,-7.719,2.993,-8.531,0.0,-9.112,2.164,0.0,-7.719,2.993,0.0,196.697,202.559,0.625,133.754,133.021,0.625,-9999,-9999,205.861,205.861,0.0,-9999,-9999,207.544,207.544,0.0,-9999,-9999,0.0,0.0,0.0,97.219,97.219,0.0,0.0,0.0,0.0,2.805,2.805,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-8.54092,0.0,17.8606,0.0,16.6116,-9999,-9999,-9999,-9999,68.6398,0.0,63.8398,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,1.18804,0.0,-9999,-9999,1.32318,0.0,-9999,-9999,1.19525,0.0,0.0210354,0.943497,0.995858,1.00895,1.24145,1.29348,1.31217,1.32318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996298,0.0,0.0,-9999,-9999,1.35283,0.335073,0.0,-9999,-9999,1.22998,9.04477e-16,0.0,-9999,-9999,1.33822,0.33755,0.0,-9999,-9999,0.519949,0.642882,0.690426,1.2232,1.22998,1.22998,1.22998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05966,1.21077,1.26953,1.33822,1.36686,1.40657,1.44284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124268,0.124799,0.108837,0.00383708,0.0686404,0.0830505,0.0880554,0.100161,0.126898,0.129422,0.145872,-1.19891,-1.19838,-1.08641,0.0210072,-1.20949,-1.19874,-1.18394,-1.16375,-1.0917,-0.887112,-0.840837,0.752044,0.752044,0.714523,0.00884883,0.525688,0.709118,0.715792,0.723144,0.742973,0.752044,0.754746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20050107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.934,-4.526,1.659,1.695,3.184,-1.934,0.0,-4.526,1.659,0.0,1.695,3.184,0.0,197.597,212.439,0.625,105.293,104.541,0.625,-9999,-9999,245.392,245.392,0.0,-9999,-9999,255.301,255.301,0.0,-9999,-9999,0.14,0.14,0.0,96.822,96.822,0.0,0.0,0.0,0.0,3.484,3.484,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-6.2073,0.0,23.7745,0.0,22.0092,-9999,-9999,-9999,-9999,77.4727,0.0,71.72,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,1.08199,0.0,-9999,-9999,1.21998,0.0,-9999,-9999,1.13034,0.0,0.0140146,0.968142,1.00726,1.04566,1.13588,1.20909,1.21998,1.22426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996298,0.0,0.0,-9999,-9999,1.10756,0.410723,0.0,-9999,-9999,1.22871,0.00669971,0.0,-9999,-9999,1.10133,0.409239,0.0,-9999,-9999,0.825653,0.876222,0.890281,1.12859,1.22871,1.22871,1.22871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00608,1.05925,1.07285,1.08316,1.10756,1.11121,1.18748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.221891,0.222452,0.195851,0.00598586,0.123974,0.147378,0.166364,0.202526,0.225759,0.227434,0.240666,-0.998095,-0.997534,-0.934489,0.0149171,-1.06171,-0.998208,-0.996596,-0.971832,-0.910518,-0.793977,-0.765616,0.916683,0.916683,0.876014,0.00812906,0.711722,0.864359,0.872494,0.881456,0.905626,0.916683,0.919976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20050108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.049,-1.463,6.095,2.165,4.39,0.049,0.0,-1.463,6.095,0.0,2.165,4.39,0.0,198.552,221.164,0.625,129.544,128.791,0.625,-9999,-9999,246.13,246.13,0.0,-9999,-9999,256.194,256.194,0.0,-9999,-9999,0.282,0.282,0.0,97.524,97.524,0.0,0.0,0.0,0.0,3.565,3.565,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-6.20065,0.0,24.2159,0.0,22.3131,-9999,-9999,-9999,-9999,70.1344,0.0,64.6234,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,0.900088,0.0,-9999,-9999,1.02585,0.0,-9999,-9999,0.997044,0.0,0.00895019,0.887676,0.927229,0.943199,1.02585,1.03266,1.03266,1.03533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.598112,0.162935,0.0,-9999,-9999,1.24432,0.42293,0.0,-9999,-9999,0.783965,0.121471,0.0,-9999,-9999,1.27498,0.372913,0.0,-9999,-9999,0.494806,0.580829,0.682715,0.748786,0.783965,0.783965,0.783965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14196,1.24821,1.27498,1.29074,1.31484,1.33839,1.38145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258868,0.259379,0.229261,0.00680139,0.145154,0.17113,0.195721,0.251456,0.262397,0.263923,0.279553,-0.76698,-0.766468,-0.767783,0.00859139,-0.860493,-0.840038,-0.790926,-0.76698,-0.747802,-0.721589,-0.682019,0.958938,0.958938,0.917869,0.00775774,0.765278,0.904202,0.912712,0.922087,0.947371,0.958938,0.962383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20050109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.159,6.009,0.717,10.923,3.174,8.159,0.0,6.009,0.717,0.0,10.923,3.174,0.0,199.562,202.559,0.604167,114.375,114.375,0.604167,-9999,-9999,285.161,285.161,0.0,-9999,-9999,303.347,303.347,0.0,-9999,-9999,1.212,1.212,0.0,97.18,97.18,0.0,0.0,0.0,0.0,4.078,4.078,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-4.88292,0.0,19.4369,0.0,17.9735,-9999,-9999,-9999,-9999,61.9006,0.0,57.2401,-9999,-9999,-9999,-9999,11.0,3,27,21,0,0,0.923237,0.0,-9999,-9999,0.982604,0.0,-9999,-9999,0.921118,0.0,0.00850772,0.811273,0.873351,0.882854,0.93051,0.952907,0.975571,0.982604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54384,0.0872527,0.0,-9999,-9999,1.33432,0.337427,0.0,-9999,-9999,0.656371,0.051112,0.0,-9999,-9999,1.3204,0.338983,0.0,-9999,-9999,0.248286,0.501192,0.534088,0.565318,0.656371,0.656371,0.656371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05062,1.19903,1.25499,1.3204,1.36277,1.40059,1.45693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.405303,0.405633,0.361598,0.0104461,0.228998,0.265566,0.300288,0.405303,0.408101,0.408672,0.445176,-0.5773,-0.57697,-0.55952,0.00536496,-0.625588,-0.586656,-0.577529,-0.56525,-0.543689,-0.523124,-0.50852,1.13459,1.13459,1.09155,0.0065766,0.983386,1.06983,1.0799,1.09099,1.12091,1.13459,1.13867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20050110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.955,9.243,4.805,13.158,2.983,10.955,0.0,9.243,4.805,0.0,13.158,2.983,0.0,200.627,212.439,0.604167,79.527,79.527,0.604167,-9999,-9999,325.283,325.283,0.0,-9999,-9999,351.819,351.819,0.0,-9999,-9999,0.429,0.429,0.0,96.715,96.715,0.0,0.0,0.0,0.0,4.393,4.393,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-4.03438,0.0,24.9679,0.0,23.0816,-9999,-9999,-9999,-9999,73.3317,0.0,67.7916,-9999,-9999,-9999,-9999,11.0,3,27,21,0,0,0.838985,0.0,-9999,-9999,0.887501,0.0,-9999,-9999,0.855225,0.0,0.00476995,0.806924,0.818765,0.823817,0.852506,0.887501,0.8891,0.891773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.599836,3.39412e-16,0.0,-9999,-9999,1.07675,0.424493,0.0,-9999,-9999,0.687568,2.26274e-16,0.0,-9999,-9999,1.07081,0.422678,0.0,-9999,-9999,0.489129,0.589851,0.589931,0.621368,0.687568,0.687568,0.687568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977625,1.03074,1.04682,1.07081,1.08022,1.11125,1.21374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.463186,0.463369,0.414623,0.012046,0.262424,0.301893,0.34069,0.455919,0.464529,0.465026,0.517622,-0.424315,-0.424132,-0.440602,0.00909608,-0.593793,-0.5163,-0.471153,-0.430597,-0.412635,-0.411581,-0.355497,1.18557,1.18557,1.14236,0.00614758,1.04579,1.1179,1.12842,1.14001,1.17127,1.18557,1.18983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
