TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
200501,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.08,2.039,2.436,4.445,2.538,3.08,0.0,2.039,2.436,0.0,4.445,2.538,0.0,210.128,212.067,0.609543,103.761,103.572,0.609543,-9999,-9999,279.57,279.57,0.0,-9999,-9999,296.592,296.592,0.0,-9999,-9999,0.43,0.43,0.0,97.356,97.356,0.0,3.359,3.359,0.0,3.486,3.486,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.60539,0.0,22.1451,0.0,20.5762,-9999,71.5891,0.0,66.5173,-9999,2.0,3,27.2581,20.7419,0.0,0.0,0.967039,0.0,-9999,-9999,1.0553,0.0,-9999,-9999,0.996655,0.0,0.0070489,0.925489,0.950107,0.958055,0.99091,1.0411,1.05426,1.05728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.697216,0.0872612,0.0,-9999,-9999,1.24046,0.3585,0.0,-9999,-9999,0.866978,0.0847368,0.0,-9999,-9999,1.21408,0.382494,0.0,-9999,-9999,0.531075,0.667513,0.697216,0.805139,0.861977,0.866978,0.870337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05094,1.15178,1.18905,1.21408,1.25016,1.26511,1.34668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208103,0.315928,0.280654,0.00815517,0.177664,0.208103,0.235908,0.315508,0.319547,0.321284,0.329652,-0.74177,-0.739371,-0.716002,0.00816194,-0.802867,-0.757241,-0.74395,-0.72378,-0.699516,-0.650234,-0.631329,0.985958,1.02197,0.980294,0.00724188,0.845065,0.963633,0.972702,0.982694,1.00964,1.02197,1.02564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
200502,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.161,4.499,2.489,8.051,3.025,6.161,0.0,4.499,2.489,0.0,8.051,3.025,0.0,268.475,219.983,0.573661,140.644,140.357,0.573661,-9999,-9999,289.512,289.512,0.0,-9999,-9999,308.603,308.603,0.0,-9999,-9999,1.276,1.276,0.0,97.152,97.152,0.0,2.517,2.517,0.0,3.309,3.309,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.38337,0.0,22.1476,0.0,20.4527,1.15995,72.4519,0.0,66.9073,1.81482,1.0,2,25.5357,22.4643,3.96429,3.75,0.989686,0.0,0.0644289,0.0825296,1.06873,0.0,0.068037,0.0853762,1.01526,0.0,0.0064605,0.950768,0.964515,0.983178,1.00815,1.05502,1.06767,1.07079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.708266,0.0879775,0.0,0.0877744,0.138313,1.23279,0.352114,0.0,0.0879589,0.10848,0.882312,0.0896579,0.0,0.091562,0.140747,1.19779,0.380038,0.0,0.0939247,0.113371,0.533326,0.668526,0.708266,0.820849,0.876749,0.882312,0.886014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03537,1.13849,1.17587,1.19779,1.25521,1.26547,1.35144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.242168,0.368998,0.328461,0.00949748,0.207993,0.242168,0.274105,0.368621,0.372221,0.373416,0.396792,-0.70217,-0.699733,-0.686796,0.00884087,-0.785886,-0.752967,-0.704781,-0.693118,-0.671629,-0.625524,-0.600594,1.05313,1.09159,1.04899,0.00684819,0.929441,1.02928,1.03897,1.04964,1.07842,1.09159,1.09551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
200503,10.097,0.83871,7.665,1.884,0.947097,12.447,3.505,0.724462,9.516,7.343,2.614,11.604,3.452,9.586,0.83871,7.311,2.041,0.947097,11.769,3.465,0.724462,345.295,208.141,0.879032,209.681,198.159,0.879032,-9999,-9999,285.765,285.765,0.0,297.429,0.83871,304.076,299.764,0.83871,5.789,0.83871,3.633,4.895,0.83871,96.508,96.483,0.725134,0.846,0.542,0.725134,4.069,4.894,0.692204,0.376324999095,0.521505376344,77.8125325596,0.709005376344,370.893997159,0.709677419355,384.479,0.858871,10.349,0.83871,36.229,0.83871,-3.70711,0.840726,24.3658,0.858871,22.5011,0.363117,64.8284,0.858199,59.8672,0.543686,0.721102,1,23.4194,24.5806,23.4194,24.5484,1.05952,0.788306,0.0219315,0.0582283,1.04646,0.795699,0.0228723,0.0585891,1.06166,0.784257,0.00742435,1.00697,1.01871,1.02508,1.04354,1.06944,1.12659,1.1504,0.825269,0.822581,0.810484,0.799059,0.737231,0.732527,0.715054,0.862429,0.442178,0.952146,0.0320757,0.0956081,1.17828,0.691173,0.622188,0.029296,0.0431403,0.860606,0.484504,0.956017,0.0327042,0.0958208,1.15186,0.734631,0.632403,0.0296884,0.0434078,0.7541,0.764075,0.779519,0.85588,0.883548,0.944209,0.970115,0.956017,0.956017,0.956017,0.956017,0.827041,0.864404,0.863114,1.1459,1.15135,1.15316,1.17933,1.1979,1.21468,1.27572,0.646811,0.638962,0.631112,0.620897,0.684454,0.66493,0.588991,0.722715,0.829627,0.795123,0.00802056,0.718548,0.722399,0.736031,0.801678,0.834511,0.842001,0.852316,-0.218768,-0.216834,-0.266533,0.00737533,-0.396338,-0.305952,-0.295599,-0.267266,-0.229245,-0.218768,-0.216976,1.19836,1.20805,1.22933,0.0151933,1.04852,1.09702,1.1897,1.2145,1.3238,1.33766,1.37607,0.0473553,0.0420802,0.0520252,0.00292656,0.0270802,0.03008,0.0364622,0.050303,0.0618116,0.0671051,0.0728092,-9999,-9999
200504,15.115,1.0,12.126,2.469,1.0,17.482,3.719,1.0,15.477,13.068,2.453,17.378,3.726,15.115,1.0,12.126,2.469,1.0,17.482,3.719,1.0,417.046,265.177,1.0,268.354,265.177,1.0,-9999,-9999,309.535,309.535,0.0,333.849,1.0,332.794,333.849,1.0,6.86,1.0,6.739,6.86,1.0,96.55,96.559,1.0,0.704,0.26,1.0,4.79,5.604,0.959028,0.413697793256,0.791666666667,108.479833484,0.998611111111,508.449847222,1.0,367.421,0.999306,15.831,1.0,33.983,1.0,0.662571,1.0,44.4905,0.998611,41.9312,0.378631,69.6149,0.999306,65.6104,0.604653,0.996528,1,21.1667,26.8333,21.1333,26.8333,-0.0239423,0.961806,0.0312568,0.0958553,-0.0820994,0.969444,0.0312687,0.0958592,-0.0386379,0.960938,0.0156921,-0.129719,-0.123993,-0.11345,-0.0820489,-0.00160229,0.057239,0.169182,0.986111,0.992361,0.984722,0.969444,0.95625,0.917361,0.884028,2.17765,0.651057,0.976667,0.0266396,0.106989,-1.67311,2.1273,0.948993,0.0490405,0.0829744,2.10308,0.655639,0.976667,0.0283039,0.107415,-1.71548,2.11984,0.962729,0.0490341,0.0829706,2.03073,2.0811,2.0818,2.10302,2.18913,2.28833,2.35519,1.0,0.998333,0.998333,0.976667,0.975,0.909697,0.869582,-1.78041,-1.76154,-1.73886,-1.71535,-1.64404,-1.62768,-1.50591,0.976374,0.975092,0.977564,0.962729,0.940293,0.931641,0.904039,2.62742,2.66118,2.72504,0.0212777,2.5856,2.62056,2.6274,2.6613,2.78665,2.8595,2.96933,2.74691,2.74328,2.76368,0.00621071,2.70238,2.71839,2.74055,2.75196,2.78825,2.8027,2.82258,2.10029,2.13365,2.10974,0.020984,1.88735,1.93599,1.98963,2.13276,2.19391,2.24176,2.29081,2.44827,2.54404,2.5034,0.0132415,2.35827,2.37959,2.44631,2.5227,2.55091,2.59919,2.61085,-9999,-9999
200505,19.586,1.0,17.089,1.697,1.0,21.277,3.232,1.0,19.973,17.741,1.986,21.491,3.379,19.586,1.0,17.089,1.697,1.0,21.277,3.232,1.0,464.938,233.324,1.0,258.868,233.324,1.0,-9999,-9999,361.495,361.495,0.0,395.178,1.0,395.567,395.178,1.0,6.699,1.0,7.877,6.699,1.0,96.606,96.651,1.0,2.465,2.723,1.0,3.649,4.041,0.928091,0.376183550806,0.700268817204,105.007274194,1.0,459.534278226,1.0,370.871,0.994624,19.674,1.0,28.424,1.0,2.11251,1.0,75.6978,0.995968,79.0904,0.589375,22.7326,0.998656,23.7514,0.433256,0.995296,1,19.3548,28.6452,19.3226,27.2581,-2.91334,0.93414,0.0471657,0.14712,-3.0201,0.952285,0.0475864,0.147256,-2.91482,0.937231,0.0255383,-3.03928,-3.02784,-3.02252,-3.00547,-2.89349,-2.74914,-2.537,0.954301,0.952957,0.965726,0.962366,0.936828,0.903898,0.876344,4.59913,0.745509,0.990323,0.0549725,0.0642603,-7.76787,7.70344,0.897709,0.0654854,0.213765,4.57882,0.793119,0.98871,0.0558772,0.0650359,-7.92239,7.82698,0.928352,0.0676152,0.214427,4.54576,4.56925,4.57994,4.59208,4.61893,4.63581,4.81224,0.990323,0.98871,0.98871,0.98871,0.98871,0.990323,0.986918,-7.9448,-7.93393,-7.92775,-7.90597,-7.74425,-7.52696,-7.31753,0.934035,0.950887,0.929427,0.94202,0.87801,0.848369,0.778021,5.03258,4.98553,5.0874,0.0351001,4.95572,4.98394,4.98615,5.0277,5.10965,5.1257,5.14271,8.0076,8.00563,8.00222,0.0270296,7.67971,7.83478,7.92519,8.00939,8.04604,8.11682,8.15244,5.72969,5.73645,5.87073,0.0593862,5.51438,5.58615,5.71697,5.7698,5.90483,6.1004,6.5768,8.81672,8.80181,8.8422,0.0270489,8.61,8.7164,8.74388,8.79623,8.90051,8.95329,9.20553,-9999,-9999
200506,24.917,1.0,21.606,2.193,1.0,26.904,3.831,1.0,25.477,23.059,1.757,26.928,3.462,24.917,1.0,21.606,2.193,1.0,26.904,3.831,1.0,484.117,302.995,0.998611,297.623,302.982,0.998611,-9999,-9999,389.843,389.843,0.0,424.352,0.997917,429.814,424.387,0.997917,10.103,0.999306,12.174,10.104,0.999306,96.418,96.48,0.98125,2.243,4.86,0.98125,3.848,3.967,0.274306,-9999,-9999,151.862315181,0.980555555556,613.273681574,0.978472222222,371.566,0.914583,23.607,1.0,30.526,1.0,1.235,1.0,127.99,0.920833,133.726,0.692078,2.74379,0.924306,2.86676,0.353432,1.0,2,18.0,30.0,11.6,20.3,-5.53406,0.765972,0.0899133,0.250672,-5.75143,0.780556,0.0835718,0.248467,-5.58982,0.751302,0.050148,-5.85105,-5.81385,-5.7834,-5.73888,-5.5354,-5.34587,-4.88288,0.827778,0.784722,0.834722,0.778472,0.771528,0.70625,0.547222,6.6713,1.54098,0.768519,0.0996804,0.303951,-12.5354,12.3546,0.764444,0.116247,0.263867,6.34921,1.55113,0.781481,0.11335,0.308704,-12.6773,12.3522,0.78,0.108721,0.260639,6.14405,6.24902,6.33329,6.37008,6.71108,6.8233,7.51011,0.885185,0.861111,0.777778,0.775926,0.712963,0.755556,0.431481,-12.7697,-12.7221,-12.7167,-12.6791,-12.5354,-12.2483,-12.0577,0.736667,0.742222,0.796667,0.787778,0.764444,0.703333,0.447778,7.23759,6.75385,7.29086,0.0886831,6.1234,6.74036,6.76206,7.27576,7.61516,7.79216,8.22675,12.5063,12.5053,12.8807,0.0666893,11.9378,12.4494,12.4805,13.0287,13.1097,13.2876,13.4641,7.27742,7.39021,7.66608,0.0609411,7.13046,7.19308,7.36996,7.65146,7.88382,8.06908,8.29594,13.5677,13.5739,13.578,0.0371818,12.8966,13.419,13.4712,13.5677,13.6548,13.6854,13.9451,-9999,-9999
200507,26.263,0.997312,22.722,1.968,1.0,28.532,3.783,0.995699,26.335,23.838,1.927,27.927,3.409,26.278,0.997312,22.722,1.968,1.0,28.557,3.763,0.995699,474.107,308.18,0.997984,294.452,308.262,0.997984,-9999,-9999,393.47,393.47,0.0,432.869,0.997312,434.196,432.872,0.997312,12.119,0.997312,13.389,12.142,0.997312,96.778,96.835,0.991263,1.662,1.516,0.991263,3.078,3.164,0.445565,-9999,-9999,158.226009658,0.99126344086,622.900800096,0.99126344086,370.496,0.769489,25.229,0.997312,21.943,0.997312,-1.05584,0.997312,120.368,0.78293,126.743,0.679515,17.5652,0.783602,18.4955,0.371242,1.0,2,18.6774,29.3226,13.9355,24.3548,-4.63197,0.490591,0.0740228,0.143706,-4.7435,0.524866,0.0745362,0.143971,-4.67067,0.506435,0.0281436,-5.0055,-4.77809,-4.75791,-4.67208,-4.62335,-4.53174,-4.50151,0.552419,0.535618,0.535618,0.52621,0.495296,0.461022,0.454301,6.66546,1.08538,0.364177,0.0596194,0.210224,-11.5364,11.053,0.5736,0.105438,0.166593,6.09561,1.43625,0.43039,0.0753879,0.215228,-11.3411,10.9514,0.586652,0.104361,0.165914,5.94886,6.17856,6.19622,6.33679,6.54261,6.58174,6.66546,0.467836,0.43039,0.442275,0.418506,0.360592,0.365686,0.364177,-11.683,-11.5468,-11.5234,-11.3901,-11.3221,-11.2888,-11.2604,0.604375,0.602262,0.569114,0.597812,0.587875,0.590137,0.540378,6.66284,6.10027,6.818,0.118391,5.88084,6.11123,6.11704,6.66284,7.49648,7.85029,7.94941,11.474,10.8438,11.4887,0.10156,10.7685,10.8035,10.8321,11.4498,12.1108,12.1723,12.4786,9.0311,9.63912,9.37984,0.266267,7.69747,8.19165,8.72265,9.0311,9.75041,9.97736,10.9089,13.25,13.3091,13.1721,0.138088,12.5129,12.5786,12.7685,12.8932,13.3799,13.4996,13.8718,-9999,-9999
200508,25.836,1.0,22.599,1.666,1.0,28.201,3.652,1.0,25.399,23.5,1.654,26.796,2.711,25.836,1.0,22.599,1.666,1.0,28.201,3.652,1.0,435.559,244.074,1.0,241.103,244.074,1.0,-9999,-9999,402.422,402.422,0.0,441.39,1.0,445.011,441.39,1.0,10.231,1.0,10.012,10.231,1.0,96.714,96.746,1.0,4.027,4.842,1.0,2.472,2.637,0.905914,0.356403572273,0.69623655914,124.655499328,1.0,493.769802419,1.0,379.672,0.999328,25.286,1.0,24.891,1.0,-2.18376,1.0,94.173,1.0,99.1606,0.545255,26.2865,1.0,27.6787,0.399371,1.0,1,20.2903,27.7097,20.2903,27.6774,-0.111353,0.935484,0.0539986,0.14692,-0.234172,0.969086,0.0562123,0.147748,-0.224624,0.946438,0.0187245,-0.39579,-0.358056,-0.331138,-0.247056,-0.11298,-0.0847811,-0.0354639,0.991263,0.870968,0.979839,0.968414,0.895833,0.933468,0.899194,6.10055,0.837756,0.94131,0.0712662,0.149513,-4.66307,7.10442,0.930628,0.0751923,0.254595,6.06839,0.976452,0.981494,0.0719808,0.149855,-4.8533,7.04778,0.958555,0.0776458,0.25533,5.69784,5.83159,5.89749,5.9977,6.05788,6.09446,6.10971,0.851761,0.998302,1.0,0.981494,0.979796,0.939697,0.911798,-4.97181,-4.96045,-4.92763,-4.84831,-4.58644,-4.47397,-4.43884,0.98455,0.978912,0.972935,0.964575,0.924779,0.890792,0.862591,6.40019,6.31744,6.49746,0.0679105,5.90523,6.16129,6.1934,6.29126,6.67763,7.05193,7.28029,6.76437,6.55161,6.72208,0.0534867,6.06698,6.47812,6.50933,6.63538,6.83395,7.15099,7.28877,6.41693,5.68745,6.2465,0.0738464,5.61471,5.67346,5.7468,6.20365,6.41693,6.83911,7.10584,7.11929,7.12297,7.18547,0.0279035,7.00265,7.04477,7.08589,7.11814,7.21418,7.30856,7.49742,-9999,-9999
200509,23.821,1.0,20.46,2.259,1.0,26.764,4.033,1.0,23.586,21.52,2.088,25.396,3.25,23.821,1.0,20.46,2.259,1.0,26.764,4.033,1.0,373.25,230.394,1.0,222.502,230.394,1.0,-9999,-9999,375.115,375.115,0.0,417.606,0.998611,412.021,417.556,0.998611,10.233,0.998611,10.463,10.234,0.998611,96.873,96.891,1.0,4.387,3.107,1.0,3.221,2.966,0.93125,0.423064872391,0.707638888889,110.868984028,1.0,454.726966667,1.0,375.831,0.997917,23.567,1.0,25.496,1.0,-5.0228,1.0,83.3389,0.995139,88.05,0.51854,26.3704,0.999306,27.8611,0.479563,0.995139,1,22.4,25.6,22.4,25.6,-0.298493,0.9375,0.0594818,0.168299,-0.221217,0.967361,0.0598129,0.168417,-0.288242,0.942795,0.0243843,-0.714592,-0.481599,-0.313651,-0.223817,-0.206202,-0.166724,-0.161047,0.839583,0.873611,0.928472,0.972222,0.972222,0.975,0.977083,4.48907,1.11105,0.947101,0.0918523,0.385039,-4.44394,5.58704,0.927791,0.0729149,0.0805593,4.6459,1.01529,0.98195,0.0913517,0.38492,-4.43974,5.58882,0.953897,0.0727348,0.0803964,3.5756,4.02772,4.44311,4.64063,4.68385,4.77556,4.79955,0.804809,0.853294,0.91996,0.98195,0.98195,0.983465,0.986364,-4.45848,-4.45351,-4.45115,-4.44448,-4.43231,-4.385,-4.36908,0.967026,0.967026,0.963077,0.948667,0.956462,0.909483,0.872714,5.38058,5.22943,5.13175,0.0606667,4.0638,4.85634,5.15784,5.24383,5.32204,5.38007,5.43349,5.45975,5.45064,5.41999,0.0374136,4.75057,5.29092,5.44975,5.48747,5.53031,5.5468,5.59157,4.5086,4.27928,4.63334,0.083219,4.10488,4.23047,4.26436,4.64353,4.69971,4.79084,5.42681,5.07506,5.09122,5.21932,0.0421656,4.99385,5.05877,5.08571,5.1565,5.23006,5.33117,5.41628,-9999,-9999
200510,16.263,1.0,13.547,2.317,1.0,19.159,3.716,1.0,15.44,13.708,2.289,17.277,2.954,16.263,1.0,13.547,2.317,1.0,19.159,3.716,1.0,296.863,171.692,1.0,165.584,171.692,1.0,-9999,-9999,326.611,326.611,0.0,362.04,1.0,353.423,362.04,1.0,6.115,1.0,5.054,6.115,1.0,97.018,97.025,1.0,1.31,0.923,1.0,3.448,3.095,0.943548,0.444618555001,0.698252688172,65.8783145161,1.0,337.084577957,1.0,374.983,0.998656,18.124,1.0,24.819,1.0,-9.26259,1.0,39.422,0.997984,37.6409,0.344478,39.2035,0.998656,37.4323,0.482319,0.997984,1,24.6774,23.3226,24.6774,23.2903,1.60005,0.972446,0.0297595,0.0331425,1.57827,0.977151,0.0300237,0.0333799,1.5836,0.971976,0.00202931,1.56252,1.56778,1.57494,1.5835,1.59344,1.59696,1.60143,0.952957,0.986559,0.986559,0.975806,0.983199,0.969086,0.977823,3.00284,0.537909,0.990968,0.0398244,0.0579021,0.0117335,2.10505,0.95284,0.0399802,0.0526663,2.99143,0.57083,0.992258,0.0411399,0.0588146,-0.0195394,2.075,0.961372,0.0406274,0.0531593,2.9133,2.93044,2.95156,2.97959,3.00284,3.0145,3.02202,0.926129,0.988387,0.990968,1.0,0.990968,1.0,1.0,-0.0249196,-0.0208523,-0.0199102,-0.0157559,0.0318857,0.0477138,0.0593317,0.971073,0.972475,0.972475,0.965521,0.937646,0.937529,0.928997,3.33539,3.34334,3.33638,0.00664865,3.21682,3.3014,3.32159,3.34769,3.36116,3.36934,3.37705,1.7653,1.76507,1.75277,0.00698288,1.61611,1.72407,1.7373,1.7653,1.7748,1.77991,1.78652,2.98274,2.87408,2.98054,0.0686343,2.69817,2.74233,2.77145,2.87424,3.003,3.06335,3.61177,1.62706,1.62739,1.654,0.0295907,1.53319,1.53775,1.54333,1.62706,1.65942,1.68316,1.97749,-9999,-9999
