TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20050101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,14.152,13.468,1.233,15.11,1.06,14.152,0.0,13.468,1.233,0.0,15.11,1.06,0.0,193.064,193.733,0.625,59.875,59.658,0.625,-9999,-9999,349.868,349.868,0.0,-9999,-9999,378.808,378.808,0.0,-9999,-9999,0.361,0.361,0.0,96.646,96.646,0.0,1.453,1.453,0.0,6.236,6.236,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-2.11945,0.0,25.2933,0.0,21.5498,-9999,-9999,-9999,-9999,51.8578,0.0,44.1826,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,0.529045,0.0,-9999,-9999,0.514075,0.0,-9999,-9999,0.546656,0.0,0.00761823,0.514075,0.518818,0.529045,0.536521,0.543048,0.552552,0.560199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07452,0.0380702,0.0,-9999,-9999,-0.280777,0.431704,0.0,-9999,-9999,1.06668,0.0381329,0.0,-9999,-9999,-0.30443,0.404534,0.0,-9999,-9999,1.06668,1.07452,1.07452,1.10221,1.11131,1.11455,1.12193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30443,-0.30443,-0.30443,-0.302253,-0.280777,-0.280777,-0.260233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84606,1.82622,1.82242,0.0178567,1.67031,1.67245,1.69064,1.84463,1.87525,1.89574,1.9796,1.31689,1.31214,1.27576,0.0151495,1.12873,1.13593,1.15412,1.31194,1.33135,1.35494,1.41727,0.431632,0.431632,0.443385,0.0363921,0.133103,0.404304,0.404304,0.431632,0.452509,0.468634,0.475579,0.0,0.0,0.00809335,0.00742564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20050102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,14.022,13.374,0.342,14.929,1.421,14.022,0.0,13.374,0.342,0.0,14.929,1.421,0.0,193.682,206.868,0.625,66.132,66.044,0.625,-9999,-9999,351.538,351.538,0.0,-9999,-9999,380.848,380.848,0.0,-9999,-9999,0.184,0.184,0.0,96.883,96.883,0.0,1.052,1.052,0.0,3.502,3.502,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-2.40584,0.0,29.6064,0.0,25.2925,-9999,-9999,-9999,-9999,63.8498,0.0,54.5462,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,1.08677,0.0,-9999,-9999,1.05264,0.0,-9999,-9999,1.08172,0.0,0.0126615,1.03091,1.03402,1.03402,1.0598,1.08677,1.1038,1.15377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47296,0.112639,0.0,-9999,-9999,0.45128,0.16755,0.0,-9999,-9999,1.46054,0.111358,0.0,-9999,-9999,0.389736,0.229606,0.0,-9999,-9999,1.43097,1.43612,1.43612,1.47237,1.48437,1.50109,1.54428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.380874,0.380874,0.380874,0.389736,0.45128,0.45128,0.506396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.837,1.81689,1.81328,0.0178524,1.66168,1.66379,1.68169,1.83557,1.86609,1.88651,1.97043,0.750119,0.764248,0.731555,0.0113436,0.620921,0.627657,0.645821,0.762122,0.781913,0.784314,0.814662,0.430885,0.430885,0.44253,0.0363086,0.132651,0.403604,0.403604,0.430885,0.451725,0.467823,0.474756,0.0,0.0,0.00849523,0.00777949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20050103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.975,11.682,2.855,14.786,1.463,12.975,0.0,11.682,2.855,0.0,14.786,1.463,0.0,194.356,202.622,0.625,60.496,60.327,0.625,-9999,-9999,368.669,368.669,0.0,-9999,-9999,401.764,401.764,0.0,-9999,-9999,0.341,0.341,0.0,96.892,96.892,0.0,9.425,9.425,0.0,2.188,2.188,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-2.39534,0.0,28.7617,0.0,24.348,-9999,-9999,-9999,-9999,63.4054,0.0,53.6753,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,1.19008,0.0,-9999,-9999,1.16834,0.0,-9999,-9999,1.19436,0.0,0.0128769,1.14406,1.14786,1.14786,1.17295,1.19008,1.2137,1.26836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52643,0.000917027,0.0,-9999,-9999,0.615353,0.230151,0.0,-9999,-9999,1.51129,0.00691858,0.0,-9999,-9999,0.586278,0.265405,0.0,-9999,-9999,1.47484,1.48111,1.48111,1.5189,1.53067,1.56621,1.62376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.581162,0.581162,0.581162,0.586278,0.614292,0.615353,0.660131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76636,1.74477,1.74245,0.0177233,1.59511,1.597,1.61296,1.76571,1.78146,1.81441,1.89815,0.576232,0.576429,0.548089,0.0108914,0.440663,0.449136,0.463458,0.576354,0.595592,0.60071,0.628627,0.424174,0.424174,0.434987,0.0355771,0.128887,0.397318,0.397318,0.424174,0.44469,0.460537,0.467362,0.0,0.0,0.00800843,0.00734173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20050104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.309,5.463,2.716,5.093,3.387,5.309,0.0,5.463,2.716,0.0,5.093,3.387,0.0,195.087,193.733,0.625,7.455,7.407,0.625,-9999,-9999,345.933,345.933,0.0,-9999,-9999,374.004,374.004,0.0,-9999,-9999,0.0,0.0,0.0,96.649,96.649,0.0,45.539,45.539,0.0,4.15,4.15,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,0.0892845,0.0,24.776,0.0,20.782,-9999,-9999,-9999,-9999,57.244,0.0,48.016,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,0.763243,0.0,-9999,-9999,0.738465,0.0,-9999,-9999,0.78104,0.0,0.0155515,0.721326,0.726529,0.726529,0.744426,0.793802,0.824063,0.873847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46141,0.0369377,0.0,-9999,-9999,-0.280777,0.431704,0.0,-9999,-9999,1.43737,0.0354699,0.0,-9999,-9999,-0.30443,0.404534,0.0,-9999,-9999,1.4075,1.4161,1.4161,1.44722,1.51189,1.56188,1.62945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30443,-0.30443,-0.30443,-0.302253,-0.280777,-0.280777,-0.260233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25614,1.2251,1.2317,0.0173377,1.11584,1.11616,1.11891,1.2326,1.26075,1.29344,1.37877,0.493273,0.486636,0.450656,0.00770653,0.381934,0.389312,0.392098,0.466945,0.492693,0.494129,0.506602,0.373548,0.373548,0.378367,0.0301822,0.101172,0.349798,0.349897,0.373548,0.391615,0.40557,0.411581,0.0,0.0,0.00130557,0.0012098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20050105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-4.332,-4.275,4.242,-4.412,0.616,-4.332,0.0,-4.275,4.242,0.0,-4.412,0.616,0.0,195.876,206.868,0.625,46.111,45.677,0.625,-9999,-9999,274.989,274.989,0.0,-9999,-9999,287.384,287.384,0.0,-9999,-9999,0.0,0.0,0.0,96.694,96.694,0.0,32.19,32.19,0.0,6.246,6.246,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-1.57557,0.0,25.9249,0.0,21.6511,-9999,-9999,-9999,-9999,72.877,0.0,60.863,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,1.09502,0.0,-9999,-9999,1.03681,0.0,-9999,-9999,1.03776,0.0,0.0247417,0.83488,0.849431,0.849431,1.04282,1.12649,1.14855,1.20724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4866,2.26119e-16,0.0,-9999,-9999,0.45128,0.16755,0.0,-9999,-9999,1.43439,0.0151176,0.0,-9999,-9999,0.389736,0.229606,0.0,-9999,-9999,1.10714,1.13118,1.13118,1.44432,1.53858,1.57502,1.66573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.380874,0.380874,0.380874,0.389736,0.45128,0.45128,0.506396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.689161,0.65749,0.670305,0.0153115,0.56304,0.588034,0.594246,0.658504,0.696537,0.712611,0.785596,-0.405262,-0.37932,-0.367454,0.0125877,-0.491775,-0.436728,-0.42956,-0.380672,-0.260764,-0.255186,-0.249061,0.297846,0.297846,0.296261,0.0226775,0.065909,0.27891,0.278989,0.297846,0.312252,0.323379,0.328171,0.0,0.0,0.00639575,0.00587532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20050106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-8.849,-9.428,2.157,-8.039,2.984,-8.849,0.0,-9.428,2.157,0.0,-8.039,2.984,0.0,196.72,202.622,0.625,135.124,134.382,0.625,-9999,-9999,205.861,205.861,0.0,-9999,-9999,202.981,202.981,0.0,-9999,-9999,0.0,0.0,0.0,96.851,96.851,0.0,0.0,0.0,0.0,3.045,3.045,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-3.94537,0.0,25.6205,0.0,21.3139,-9999,-9999,-9999,-9999,69.561,0.0,57.8684,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,0.949762,0.0,-9999,-9999,0.930709,0.0,-9999,-9999,0.986112,0.0,0.00883058,0.930709,0.937191,0.954922,0.977218,0.977218,1.02624,1.07203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12944,0.206383,0.0,-9999,-9999,0.615353,0.230151,0.0,-9999,-9999,1.11873,0.187641,0.0,-9999,-9999,0.586278,0.265405,0.0,-9999,-9999,1.11873,1.12944,1.13872,1.19842,1.19921,1.27641,1.27697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.581162,0.581162,0.581162,0.586278,0.614292,0.615353,0.660131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.465461,0.437525,0.451004,0.0133825,0.347423,0.385802,0.393307,0.437525,0.472661,0.482662,0.544258,-0.483717,-0.493185,-0.535109,0.0115526,-0.679073,-0.594076,-0.590896,-0.535147,-0.482263,-0.474474,-0.439202,0.257635,0.257635,0.253726,0.0189294,0.0458048,0.241255,0.241323,0.257635,0.270096,0.279721,0.283866,0.0,0.0,0.0139916,0.012717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20050107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.272,-4.856,1.654,1.345,3.174,-2.272,0.0,-4.856,1.654,0.0,1.345,3.174,0.0,197.62,193.733,0.625,106.371,105.611,0.625,-9999,-9999,245.392,245.392,0.0,-9999,-9999,251.247,251.247,0.0,-9999,-9999,0.13,0.13,0.0,96.46,96.46,0.0,0.0,0.0,0.0,3.782,3.782,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.15675,0.0,24.1289,0.0,19.9949,-9999,-9999,-9999,-9999,56.303,0.0,46.6565,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,0.497288,0.0,-9999,-9999,0.485046,0.0,-9999,-9999,0.530362,0.0,0.00579938,0.485046,0.48706,0.497288,0.539716,0.547627,0.552957,0.576636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02206,0.00869764,0.0,-9999,-9999,-0.280777,0.431704,0.0,-9999,-9999,1.01873,0.0133014,0.0,-9999,-9999,-0.30443,0.404534,0.0,-9999,-9999,1.01873,1.02206,1.02206,1.07663,1.10749,1.13092,1.14724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30443,-0.30443,-0.30443,-0.302253,-0.280777,-0.280777,-0.260233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.803233,0.770974,0.782849,0.015883,0.681163,0.693541,0.698356,0.772456,0.81028,0.829611,0.906242,0.306519,0.285926,0.252486,0.0154327,0.118323,0.152106,0.158638,0.285926,0.316166,0.328388,0.367031,0.314857,0.314857,0.314527,0.0243153,0.0733666,0.294839,0.294922,0.314857,0.330085,0.341848,0.346914,0.0,0.0,0.0119319,0.0108766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20050108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.296,-1.803,6.076,1.814,4.376,-0.296,0.0,-1.803,6.076,0.0,1.814,4.376,0.0,198.575,206.868,0.625,130.87,130.109,0.625,-9999,-9999,246.13,246.13,0.0,-9999,-9999,252.149,252.149,0.0,-9999,-9999,0.263,0.263,0.0,97.151,97.151,0.0,0.0,0.0,0.0,3.87,3.87,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-2.89999,0.0,28.4588,0.0,23.4907,-9999,-9999,-9999,-9999,65.5743,0.0,54.127,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,0.845575,0.0,-9999,-9999,0.814222,0.0,-9999,-9999,0.850613,0.0,0.00740192,0.814222,0.818964,0.831895,0.842947,0.852699,0.855874,0.891678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07452,0.0380702,0.0,-9999,-9999,0.45128,0.16755,0.0,-9999,-9999,1.06668,0.0381329,0.0,-9999,-9999,0.389736,0.229606,0.0,-9999,-9999,1.06668,1.07452,1.07452,1.10221,1.11131,1.11455,1.12193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.380874,0.380874,0.380874,0.389736,0.45128,0.45128,0.506396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.926958,0.895523,0.905726,0.0160572,0.809751,0.810881,0.813402,0.898809,0.933182,0.956223,1.03442,0.0818909,0.081301,0.0551131,0.0107617,-0.0288276,-0.0221435,-0.0187889,0.081301,0.0942793,0.105702,0.159072,0.329558,0.329558,0.330662,0.0257852,0.0807007,0.308606,0.308693,0.329558,0.345498,0.35781,0.363112,0.0,0.0,0.0137013,0.0124581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20050109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.788,5.645,0.715,10.544,3.164,7.788,0.0,5.645,0.715,0.0,10.544,3.164,0.0,199.585,202.622,0.604167,115.546,115.546,0.604167,-9999,-9999,285.161,285.161,0.0,-9999,-9999,299.803,299.803,0.0,-9999,-9999,1.149,1.149,0.0,96.812,96.812,0.0,0.0,0.0,0.0,4.427,4.427,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-1.80791,0.0,29.0554,0.0,24.1629,-9999,-9999,-9999,-9999,62.6587,0.0,52.1078,-9999,-9999,-9999,-9999,11.0,3,27,21,0,0,1.14186,0.0,-9999,-9999,1.12206,0.0,-9999,-9999,1.14595,0.0,0.0118152,1.10102,1.10398,1.10398,1.12908,1.14224,1.15867,1.20365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47008,0.113732,0.0,-9999,-9999,0.624975,0.228617,0.0,-9999,-9999,1.4577,0.112438,0.0,-9999,-9999,0.597286,0.263556,0.0,-9999,-9999,1.42852,1.43359,1.43359,1.46972,1.48169,1.49823,1.54133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.588467,0.588467,0.588467,0.597286,0.625826,0.625826,0.669483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41766,1.38897,1.39296,0.0174692,1.2668,1.26757,1.27413,1.39901,1.4208,1.45848,1.54392,0.276055,0.266912,0.247012,0.00951887,0.15634,0.163594,0.170147,0.272091,0.278619,0.292113,0.340261,0.390655,0.390655,0.397361,0.0319712,0.110214,0.365818,0.365921,0.390655,0.409549,0.424144,0.43043,0.0,0.0,0.0128164,0.0116749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20050110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.577,8.869,4.79,12.772,2.974,10.577,0.0,8.869,4.79,0.0,12.772,2.974,0.0,200.65,193.733,0.604167,80.341,80.341,0.604167,-9999,-9999,325.283,325.283,0.0,-9999,-9999,348.791,348.791,0.0,-9999,-9999,0.403,0.403,0.0,96.355,96.355,0.0,0.0,0.0,0.0,4.769,4.769,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-1.29732,0.0,26.263,0.0,21.918,-9999,-9999,-9999,-9999,52.5073,0.0,43.8204,-9999,-9999,-9999,-9999,11.0,3,27,21,0,0,0.783472,0.0,-9999,-9999,0.764348,0.0,-9999,-9999,0.788616,0.0,0.0137437,0.735419,0.739076,0.739076,0.768796,0.783472,0.806633,0.850564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52641,0.000929765,0.0,-9999,-9999,-0.236834,0.466476,0.0,-9999,-9999,1.51117,0.00702048,0.0,-9999,-9999,-0.259361,0.445108,0.0,-9999,-9999,1.47469,1.48096,1.48096,1.51879,1.53055,1.56619,1.62376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.276187,-0.276187,-0.276187,-0.259361,-0.236964,-0.236834,-0.21422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60633,1.58172,1.58221,0.017462,1.44472,1.44611,1.4579,1.5955,1.61139,1.65101,1.73453,0.822935,0.817371,0.793599,0.0100058,0.690397,0.705649,0.717613,0.821388,0.833713,0.840758,0.883968,0.408395,0.408395,0.417327,0.0338768,0.120217,0.38243,0.382539,0.408395,0.428148,0.443405,0.449976,0.0,0.0,0.00997209,0.00912001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
