TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
200501,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.726,1.688,2.429,4.087,2.53,2.726,0.0,1.688,2.429,0.0,4.087,2.53,0.0,210.15,200.838,0.609543,104.823,104.632,0.609543,-9999,-9999,279.57,279.57,0.0,-9999,-9999,292.977,292.977,0.0,-9999,-9999,0.404,0.404,0.0,96.985,96.985,0.0,3.617,3.617,0.0,3.784,3.784,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.92498,0.0,26.7369,0.0,21.5341,-9999,63.3091,0.0,50.9896,-9999,2.0,3,27.2581,20.7419,0.0,0.0,0.892687,0.0,-9999,-9999,0.866173,0.0,-9999,-9999,0.89798,0.0,0.0112832,0.845726,0.848029,0.848029,0.891512,0.908405,0.915898,0.960228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31488,0.0576168,0.0,-9999,-9999,0.262625,0.294155,0.0,-9999,-9999,1.29749,0.0583306,0.0,-9999,-9999,0.22631,0.316894,0.0,-9999,-9999,1.27092,1.27484,1.27484,1.31488,1.34911,1.36957,1.39957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21563,0.21563,0.21563,0.22631,0.262743,0.262743,0.30201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11528,1.08573,1.09326,0.0162695,0.988403,0.988573,0.990054,1.09195,1.12006,1.14882,1.2285,0.222979,0.21956,0.195277,0.0073889,0.135585,0.140374,0.14187,0.204963,0.224564,0.236226,0.268271,0.351483,0.351483,0.354754,0.0279983,0.0916634,0.329136,0.329229,0.351483,0.368483,0.381614,0.387269,0.0,0.0,0.0115166,0.010491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
200502,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.797,4.14,2.482,7.681,3.016,5.797,0.0,4.14,2.482,0.0,7.681,3.016,0.0,268.495,207.182,0.573661,142.083,141.794,0.573661,-9999,-9999,289.512,289.512,0.0,-9999,-9999,305.116,305.116,0.0,-9999,-9999,1.208,1.208,0.0,96.785,96.785,0.0,2.711,2.711,0.0,3.591,3.591,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.62491,0.0,26.9463,0.0,22.3906,0.601428,65.1323,0.0,54.1206,1.21626,1.0,2,25.5357,22.4643,4.85714,4.57143,0.879315,0.0,0.0548146,0.0664666,0.84897,0.0,0.0547933,0.0664491,0.881652,0.0,0.011866,0.824292,0.826787,0.826911,0.874033,0.891168,0.901971,0.95505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31007,0.0599673,0.0,0.0764184,0.0912877,0.320489,0.306792,0.0,0.0726394,0.0786923,1.29197,0.0605874,0.0,0.0763834,0.0912584,0.278785,0.330348,0.0,0.0726175,0.078672,1.26414,1.26862,1.26862,1.31007,1.34663,1.3685,1.39691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.260176,0.260176,0.260746,0.278785,0.320707,0.320707,0.377125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29479,1.26537,1.27097,0.0170668,1.15322,1.15373,1.158,1.27358,1.29872,1.33273,1.41645,0.415795,0.416402,0.389314,0.00780325,0.321807,0.326941,0.333712,0.402308,0.42002,0.431126,0.4614,0.375695,0.375695,0.380988,0.0304319,0.102872,0.351809,0.351908,0.375695,0.393866,0.407902,0.413946,0.0,0.0,0.0145738,0.013245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
200503,9.484,0.877688,7.33,1.929,0.980645,11.531,3.394,0.767473,9.141,6.975,2.606,11.223,3.441,9.343,0.877688,7.164,2.074,0.980645,11.414,3.475,0.767473,345.31,205.075,0.897849,211.828,201.094,0.897849,-9999,-9999,285.765,285.765,0.0,297.3,0.877688,300.541,298.57,0.877688,5.166,0.877688,3.452,4.694,0.877688,96.152,96.079,0.761425,0.911,1.016,0.761425,4.417,4.708,0.733871,0.452854399651,0.613575268817,75.9318444251,0.760752688172,389.193820821,0.761424731183,387.892,0.876344,10.12,0.877688,28.333,0.877016,0.286531,0.877688,30.3701,0.874328,25.2356,0.276575,57.528,0.876344,47.802,0.540942,0.758065,1,23.4194,24.5806,23.4194,24.5484,0.929837,0.835349,0.0161437,0.0450082,0.908346,0.836022,0.0162869,0.0450598,0.931988,0.838441,0.0104667,0.874286,0.883739,0.885308,0.913254,0.949827,0.967766,0.997225,0.852823,0.851478,0.851478,0.838038,0.834677,0.834677,0.823925,1.53793,0.336657,0.92763,0.0216654,0.0413239,0.292701,0.822213,0.738701,0.0222557,0.0484402,1.51718,0.35726,0.92763,0.0221243,0.0415663,0.271402,0.826987,0.740045,0.0222491,0.0484372,1.4813,1.49745,1.49749,1.52781,1.56094,1.56783,1.58593,0.953436,0.953436,0.953436,0.931501,0.92763,0.929032,0.929032,0.241796,0.245021,0.247189,0.271402,0.307502,0.331071,0.372189,0.746658,0.744024,0.744024,0.740045,0.737357,0.732196,0.715261,1.63995,1.61,1.62963,0.00983805,1.55748,1.57072,1.57206,1.6145,1.65444,1.6768,1.71594,0.706441,0.70165,0.697644,0.00318821,0.649445,0.683306,0.686976,0.70251,0.707048,0.715155,0.718715,0.970347,0.98117,0.969476,0.0205775,0.708944,0.954896,0.963792,0.98172,0.98493,0.987439,0.992094,0.391107,0.398633,0.399378,0.00929083,0.338498,0.38635,0.388135,0.392402,0.400982,0.404689,0.40527,-9999,-9999
200504,14.675,1.0,11.686,2.45,1.0,17.042,3.708,1.0,15.084,12.682,2.445,16.979,3.715,14.675,1.0,11.686,2.45,1.0,17.042,3.708,1.0,417.054,269.203,1.0,271.101,269.203,1.0,-9999,-9999,309.535,309.535,0.0,330.449,1.0,329.563,330.449,1.0,6.448,1.0,6.414,6.448,1.0,96.193,96.233,1.0,0.759,0.363,1.0,5.199,5.385,0.924306,0.462711493985,0.76875,115.224006099,0.998611111111,509.806418056,1.0,365.94,0.995833,15.455,1.0,20.571,1.0,7.41504,1.0,58.0132,0.99375,49.3802,0.422193,68.3517,0.995833,58.1802,0.606268,0.992361,1,21.1667,26.8333,20.9667,26.7333,-0.375496,0.988889,0.0247848,0.0253853,-0.384482,0.988889,0.0254341,0.0260196,-0.367864,0.985347,0.00420839,-0.384473,-0.377723,-0.376001,-0.372837,-0.367519,-0.366746,-0.359285,0.988889,0.988889,0.984722,0.982639,0.990278,0.989583,0.990278,2.48574,0.542983,1.0,0.0224246,0.0261265,-2.54952,2.56204,0.980037,0.0387885,0.0399548,2.457,0.601327,1.0,0.0251766,0.0285236,-2.54178,2.59088,0.980037,0.0390205,0.0401801,2.45675,2.47114,2.47227,2.48074,2.48583,2.49795,2.50804,1.0,1.0,1.0,1.0,0.975,1.0,1.0,-2.55207,-2.54987,-2.54897,-2.54157,-2.53135,-2.5307,-2.53063,0.96859,0.96859,0.980037,0.980037,0.982601,0.982601,0.982601,2.99664,2.99147,3.00991,0.0028231,2.99138,2.99295,2.99453,3.01159,3.01708,3.01853,3.03566,3.37167,3.37595,3.37777,0.00285272,3.32907,3.37027,3.37213,3.3833,3.38589,3.38803,3.39508,2.42616,2.39133,2.36226,0.00695806,2.26993,2.31525,2.32087,2.36537,2.39342,2.39597,2.42715,3.06052,3.04196,3.01585,0.00780402,2.94284,2.99076,2.99385,3.02243,3.04196,3.04684,3.06052,-9999,-9999
200505,19.209,1.0,16.721,1.708,1.0,20.893,3.234,1.0,19.566,17.34,1.98,21.079,3.368,19.209,1.0,16.721,1.708,1.0,20.893,3.234,1.0,464.939,233.751,1.0,261.518,233.751,1.0,-9999,-9999,361.495,361.495,0.0,392.363,1.0,393.005,392.363,1.0,6.537,1.0,7.502,6.537,1.0,96.248,96.299,1.0,2.655,2.729,1.0,3.961,4.047,0.922043,0.388853740704,0.703629032258,113.765632392,1.0,440.197701613,1.0,372.368,0.994624,19.609,1.0,19.895,1.0,7.36717,1.0,83.0273,0.995968,79.8676,0.633896,27.5341,0.997984,26.4863,0.48132,0.995968,1,19.3548,28.6452,19.3548,28.6452,-1.71322,0.968414,0.0474757,0.064831,-1.76775,0.971774,0.0462285,0.0639233,-1.71267,0.96334,0.0131097,-1.77625,-1.76361,-1.75934,-1.74873,-1.69138,-1.67531,-1.65575,0.972446,0.973118,0.971102,0.973118,0.965726,0.962366,0.949597,4.66102,0.755111,0.990323,0.0595215,0.0831035,-5.88599,6.12144,0.954725,0.0653617,0.0723004,4.55825,0.791755,0.98871,0.0561822,0.0807454,-5.90705,6.08146,0.961214,0.0642749,0.0713195,4.53801,4.55366,4.56181,4.57224,4.66789,4.66965,4.67725,0.98871,0.98871,0.98871,0.98871,0.990323,0.990323,0.990323,-5.90745,-5.8981,-5.89655,-5.88611,-5.85719,-5.83629,-5.79598,0.962366,0.962289,0.963441,0.963441,0.950387,0.945858,0.92332,4.95763,4.95639,4.95275,0.00568777,4.92242,4.93165,4.94092,4.94742,4.95763,4.96584,4.9722,6.66866,6.72414,6.66542,0.0105394,6.46653,6.63483,6.64777,6.69397,6.69995,6.70802,6.72299,5.39265,5.00144,5.32838,0.0791518,4.9301,4.9698,5.00144,5.03162,5.58489,5.71754,6.51084,7.02579,6.81999,6.97476,0.0412243,6.75782,6.78748,6.81172,6.83011,7.10938,7.16951,7.63192,-9999,-9999
200506,24.663,1.0,21.418,2.197,1.0,26.611,3.89,1.0,25.053,22.642,1.751,26.499,3.451,24.663,1.0,21.418,2.197,1.0,26.611,3.89,1.0,484.115,302.949,1.0,300.67,302.949,1.0,-9999,-9999,389.843,389.843,0.0,425.268,1.0,427.616,425.268,1.0,9.965,1.0,11.601,9.965,1.0,96.063,96.095,1.0,2.416,5.48,1.0,4.177,4.318,0.931944,0.393086587529,0.778472222222,162.08930854,0.999305555556,549.961106944,1.0,371.501,0.999306,22.864,1.0,26.652,1.0,9.55962,1.0,129.347,0.999306,131.654,0.638778,20.3353,0.999306,20.698,0.424608,0.997917,1,18.0,30.0,17.9667,30.0,-3.37941,0.979861,0.0731602,0.0840666,-3.38603,0.98125,0.0714546,0.0825866,-3.4113,0.972014,0.026234,-4.01599,-3.40355,-3.38603,-3.37751,-3.33364,-3.32073,-3.31212,0.807639,0.978472,0.98125,0.98125,0.985417,0.984722,0.984722,5.39239,1.59301,0.987037,0.116666,0.158658,-8.44592,8.69724,0.975556,0.0885319,0.0895283,5.41746,1.55708,0.987037,0.114472,0.157052,-8.47117,8.67273,0.977778,0.0861447,0.0871684,3.68349,5.32545,5.3691,5.41746,5.52962,5.5405,5.54518,0.731481,0.987037,0.987037,0.987037,0.987037,0.987037,0.987037,-8.49241,-8.46648,-8.45834,-8.44977,-8.44334,-8.43984,-8.43026,0.953333,0.903333,0.981111,0.983333,0.983333,0.976667,0.97,5.96759,5.98122,5.90508,0.0651843,4.56105,5.92514,5.96327,5.98897,6.05846,6.06049,6.07251,9.34736,9.36725,9.31638,0.0419425,8.6188,9.33124,9.34466,9.37069,9.38925,9.39865,9.41486,6.04215,5.99056,6.0515,0.0322439,5.85048,5.91654,5.96096,6.02781,6.04757,6.1535,6.26777,9.41022,9.39427,9.44487,0.0141233,9.38218,9.38856,9.40405,9.4246,9.43909,9.46232,9.58177,-9999,-9999
200507,25.955,1.0,22.525,2.064,1.0,28.152,3.827,1.0,25.908,23.418,1.921,27.495,3.399,25.955,1.0,22.525,2.064,1.0,28.152,3.827,1.0,474.106,307.276,1.0,297.467,307.276,1.0,-9999,-9999,393.47,393.47,0.0,429.325,1.0,432.044,429.325,1.0,12.126,1.0,12.761,12.126,1.0,96.417,96.482,1.0,1.79,2.361,1.0,3.341,3.449,0.888441,0.366840518471,0.661962365591,163.920379704,1.0,551.290981183,1.0,368.23,1.0,23.934,1.0,20.502,1.0,5.72283,1.0,133.252,0.999328,137.69,0.686867,19.8626,1.0,20.5241,0.429633,0.999328,1,18.6774,29.3226,18.6774,29.3226,-3.47006,0.97043,0.048984,0.0509587,-3.44794,0.972446,0.0481072,0.0501164,-3.47853,0.963122,0.0104232,-3.52802,-3.4824,-3.47743,-3.467,-3.45852,-3.4543,-3.44663,0.9375,0.981183,0.981183,0.982527,0.97379,0.971774,0.974462,6.76612,0.615243,0.979249,0.0482407,0.0559912,-9.7923,9.58434,0.964664,0.0703174,0.0733242,6.82297,0.654405,0.979249,0.0483229,0.0560621,-9.79352,9.57395,0.968001,0.0693643,0.0724108,6.73491,6.76612,6.76988,6.80438,6.82179,6.82297,6.83834,0.963026,0.979249,0.973779,0.981041,0.979249,0.979249,0.981041,-9.8672,-9.83508,-9.81885,-9.80638,-9.79838,-9.79352,-9.77801,0.916685,0.972414,0.971339,0.974564,0.970226,0.968001,0.955877,6.79308,6.7135,6.76512,0.0190641,6.65014,6.71338,6.71624,6.79308,6.80656,6.81549,6.85189,10.2669,10.1614,10.2436,0.0113887,10.1614,10.169,10.1785,10.2631,10.2757,10.2825,10.3405,7.26424,7.29326,7.24792,0.0234851,7.00984,7.12685,7.13616,7.26876,7.30197,7.35436,7.41228,10.9657,10.9796,10.9392,0.0143012,10.7502,10.8543,10.879,10.9629,10.9828,11.0112,11.0615,-9999,-9999
200508,25.46,1.0,22.439,1.73,1.0,27.669,3.584,1.0,24.975,23.082,1.648,26.368,2.702,25.46,1.0,22.439,1.73,1.0,27.669,3.584,1.0,435.564,242.617,0.99664,243.571,242.536,0.99664,-9999,-9999,402.422,402.422,0.0,438.451,0.99664,442.975,438.471,0.99664,9.953,1.0,9.539,9.953,1.0,96.354,96.39,1.0,4.337,5.126,1.0,2.683,2.972,0.914651,0.328633423828,0.665322580645,131.143993265,0.997983870968,430.451596774,1.0,378.936,0.998656,24.293,1.0,21.521,1.0,4.26753,1.0,99.6386,0.995968,100.422,0.618609,25.9542,0.997984,26.1584,0.413821,0.99328,1,20.2903,27.7097,20.2903,27.6774,-0.196889,0.985215,0.0689584,0.0723107,-0.190563,0.984543,0.0679827,0.0713809,-0.197688,0.967473,0.00815736,-0.321811,-0.222619,-0.207833,-0.1947,-0.182084,-0.179096,-0.170211,0.912634,0.992608,0.985215,0.984543,0.988575,0.985215,0.985215,5.4624,1.17929,1.0,0.109757,0.133975,-4.3497,6.68977,0.97413,0.0833147,0.0990626,5.50924,1.21846,1.0,0.107075,0.131786,-4.37509,6.69523,0.972935,0.0820313,0.0979858,5.00105,5.42899,5.45922,5.52248,5.56895,5.58265,5.59591,0.927394,1.0,1.0,1.0,1.0,1.0,1.0,-4.46825,-4.43792,-4.42093,-4.37735,-4.34444,-4.33073,-4.20049,0.985827,0.983392,0.979936,0.97413,0.97413,0.955132,0.840531,5.71663,5.62005,5.69037,0.0346045,5.29854,5.62005,5.66576,5.7498,5.80683,5.82482,5.83195,5.9427,5.81061,5.88806,0.0324486,5.52197,5.81061,5.84283,5.93761,5.99144,6.02137,6.0347,5.78309,5.6448,5.73704,0.0568463,5.26372,5.46324,5.53023,5.68343,5.87547,5.90654,5.96761,6.43697,6.40691,6.49085,0.0225262,6.3485,6.40906,6.42041,6.47107,6.51686,6.55584,6.6086,-9999,-9999
200509,23.474,1.0,20.339,2.301,1.0,26.22,3.991,1.0,23.167,21.108,2.081,24.972,3.24,23.474,1.0,20.339,2.301,1.0,26.22,3.991,1.0,373.262,230.141,0.978472,224.78,229.884,0.978472,-9999,-9999,375.115,375.115,0.0,415.165,0.978472,409.634,414.966,0.978472,9.862,1.0,9.969,9.862,1.0,96.51,96.545,1.0,4.725,1.357,1.0,3.496,3.39,0.93125,0.400157227041,0.671527777778,117.341750694,1.0,396.34220625,1.0,368.714,0.997917,22.815,1.0,20.333,1.0,0.671581,1.0,85.5115,0.998611,88.6856,0.51443,27.0449,0.999306,28.0487,0.497104,0.998611,1,22.4,25.6,22.4,25.6,-0.435782,0.96875,0.0645158,0.083437,-0.390124,0.969444,0.0638375,0.0829136,-0.437065,0.958351,0.0213088,-0.908145,-0.475399,-0.461129,-0.390914,-0.371533,-0.369579,-0.337948,0.814583,0.952083,0.968056,0.96875,0.972222,0.972222,0.974306,4.48106,1.01205,0.984914,0.097984,0.134654,-4.69159,5.57414,0.953585,0.0792469,0.0809728,4.5712,1.07018,0.984914,0.0964501,0.133542,-4.6875,5.58588,0.954919,0.0786253,0.0803645,3.43075,4.41471,4.46038,4.56337,4.59836,4.59943,4.64438,0.777668,0.980369,0.983399,0.984914,0.984914,0.984914,0.98643,-4.7179,-4.70679,-4.69199,-4.68227,-4.67496,-4.67354,-4.65393,0.943124,0.952252,0.902457,0.953585,0.96015,0.96015,0.962765,4.96662,5.12551,5.00069,0.0578751,3.6758,4.87629,4.91291,5.12551,5.17925,5.19119,5.25516,5.4118,5.51564,5.43776,0.0367169,4.58395,5.35168,5.36718,5.51225,5.55204,5.56786,5.59311,4.33685,4.33413,4.11599,0.0585164,3.4596,3.55402,3.79822,4.17665,4.40018,4.43637,4.57509,5.1026,5.05381,5.11035,0.0150475,4.9484,5.02966,5.04504,5.1026,5.1608,5.19963,5.2708,-9999,-9999
200510,15.837,1.0,13.315,2.306,1.0,18.527,3.652,1.0,15.047,13.321,2.282,16.878,2.945,15.837,1.0,13.315,2.306,1.0,18.527,3.652,1.0,296.882,173.355,1.0,167.279,173.355,1.0,-9999,-9999,326.611,326.611,0.0,357.572,1.0,350.412,357.572,1.0,5.777,1.0,4.806,5.777,1.0,96.653,96.665,1.0,1.411,1.106,1.0,3.743,3.56,0.938172,0.424172018248,0.641129032258,71.097094086,1.0,304.607557124,1.0,357.037,0.999328,17.506,1.0,20.718,1.0,-3.98329,1.0,43.4695,0.997312,39.7662,0.394125,38.6553,0.999328,35.3621,0.475106,0.997312,1,24.6774,23.3226,24.6774,23.2581,1.16737,0.980511,0.044871,0.049637,1.16195,0.980511,0.0446688,0.0494543,1.14735,0.974009,0.0094827,1.03578,1.13112,1.15748,1.16406,1.1709,1.17357,1.17736,0.899194,0.975806,0.988575,0.980511,0.981855,0.983199,0.983199,2.66251,1.09654,0.992258,0.0538577,0.0636703,-0.488802,2.58832,0.968268,0.0682382,0.0687591,2.66009,1.09876,0.992258,0.0538626,0.0636744,-0.497107,2.58028,0.968268,0.0678572,0.068381,2.42371,2.62092,2.66009,2.6646,2.68325,2.68884,2.69583,0.908065,0.992258,0.992258,0.992258,0.992258,0.992258,0.992258,-0.515838,-0.514002,-0.507557,-0.504643,-0.50057,-0.497107,-0.492977,0.958567,0.929231,0.958567,0.975164,0.97382,0.968268,0.968268,2.95988,2.9496,2.90927,0.0176985,2.50645,2.8882,2.91971,2.94549,2.95273,2.95642,2.95986,1.79073,1.78766,1.76192,0.0093114,1.56978,1.75526,1.76213,1.77537,1.78655,1.78766,1.79369,3.49747,3.67091,3.33489,0.0454136,2.57874,3.06864,3.20468,3.33308,3.47557,3.59676,3.72444,1.84566,1.86082,1.87825,0.0311352,1.58864,1.69268,1.70734,1.83875,1.95663,2.16613,2.20024,-9999,-9999
