TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20020101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13.456,13.366,1.273,13.563,1.701,13.456,0.0,13.366,1.273,0.0,13.563,1.701,0.0,243.619,-9999,-9999,167.526,167.526,0.0,-9999,-9999,341.5,341.5,0.0,-9999,-9999,365.12,365.12,0.0,-9999,-9999,4.569,4.569,0.0,101.938,101.938,0.0,0.14,0.14,0.0,3.503,3.503,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,50.5623,0.0,-9999,-9999,-9999,-9999,-9999,46.929,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26,22,0,0,-0.577091,0.0,-9999,-9999,-0.57109,0.0,-9999,-9999,-0.476845,0.0,0.0388957,-0.774866,-0.684077,-0.680731,-0.57109,-0.263475,-0.103046,-0.0747913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09024,0.669494,0.0,-9999,-9999,-4.86543,2.87128,0.0,-9999,-9999,3.13765,0.608645,0.0,-9999,-9999,-4.90886,2.88823,0.0,-9999,-9999,2.76816,2.92968,2.93563,3.12769,3.38455,3.61922,3.64113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.90886,-4.90062,-4.90062,-4.90062,-4.70173,-4.49392,-4.4672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86517,2.86517,2.90677,0.0234572,2.73858,2.78572,2.83846,2.86517,2.87768,2.97349,3.26189,3.43626,3.43626,3.38361,0.0321524,3.01833,3.11046,3.23473,3.46882,3.54342,3.55231,3.6299,3.67984,4.01836,3.57823,0.112277,2.26577,2.70917,2.96574,3.39541,4.13978,4.34468,4.59587,4.42744,4.42335,4.20263,0.0573798,3.38523,3.64678,4.11623,4.35736,4.42744,4.45304,4.47714,-9999,0.0
20020102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.925,17.341,1.915,20.796,1.666,18.925,0.0,17.341,1.915,0.0,20.796,1.666,0.0,244.201,-9999,-9999,92.51,92.51,0.0,-9999,-9999,383.844,383.844,0.0,-9999,-9999,425.138,425.138,0.0,-9999,-9999,6.149,6.149,0.0,101.55,101.55,0.0,1.052,1.052,0.0,4.579,4.579,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,37.8699,0.0,-9999,-9999,-9999,-9999,-9999,40.9598,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26,22,0,0,-0.636137,0.0,-9999,-9999,-0.607844,0.0,-9999,-9999,-0.532346,0.0,0.031031,-0.737208,-0.684589,-0.68406,-0.607844,-0.437296,-0.238977,-0.167593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18651,0.573915,0.0,-9999,-9999,-5.10336,2.94915,0.0,-9999,-9999,3.35598,0.678422,0.0,-9999,-9999,-5.24416,2.97335,0.0,-9999,-9999,3.12584,3.21945,3.22039,3.35598,3.43892,3.58988,3.67726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.24416,-5.24416,-5.24416,-5.24416,-5.07246,-4.74504,-4.69346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.50034,3.50034,3.47751,0.0131426,3.31988,3.3466,3.44335,3.49843,3.50109,3.50313,3.63307,4.10818,4.10818,4.00986,0.0369038,3.47866,3.75023,3.92143,4.10731,4.18249,4.18677,4.22847,4.58617,4.71882,4.27987,0.100193,3.04168,3.18205,3.91751,4.41761,4.71158,4.8381,4.93107,3.27912,3.27763,3.07806,0.0511055,2.33735,2.57188,3.06706,3.21666,3.27095,3.29476,3.32647,-9999,0.0
20020103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.381,9.862,4.999,8.813,0.487,9.381,0.0,9.862,4.999,0.0,8.813,0.487,0.0,244.836,-9999,-9999,118.544,118.544,0.0,-9999,-9999,366.305,366.305,0.0,-9999,-9999,400.278,400.278,0.0,-9999,-9999,1.933,1.933,0.0,101.73,101.73,0.0,0.3,0.3,0.0,5.229,5.229,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,42.6996,0.0,-9999,-9999,-9999,-9999,-9999,31.5266,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26,22,0,0,-0.44791,0.0,-9999,-9999,-0.357224,0.0,-9999,-9999,-0.321663,0.0,0.0263523,-0.49622,-0.453887,-0.415474,-0.386398,-0.281975,-0.0258485,-0.00563346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22594,0.644131,0.0,-9999,-9999,-4.75421,3.12193,0.0,-9999,-9999,3.38727,0.599875,0.0,-9999,-9999,-4.75421,3.12193,0.0,-9999,-9999,3.17288,3.21531,3.28364,3.33537,3.41583,3.64041,3.67726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.78671,-4.75421,-4.75421,-4.75421,-4.63641,-4.37957,-4.32249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41198,2.41198,2.4928,0.0332153,2.29508,2.32357,2.38719,2.41198,2.42834,2.68516,2.97842,2.7692,2.7692,2.81447,0.0207282,2.5949,2.69476,2.7692,2.80097,2.83302,2.85795,3.09003,3.04966,3.49218,3.0953,0.125026,1.74534,2.0255,2.6917,2.78332,3.6119,4.07661,4.3123,3.79611,3.79347,3.57741,0.0555682,2.7758,3.03178,3.54158,3.7287,3.7898,3.81521,3.84617,-9999,0.0
20020104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.821,3.185,3.368,2.391,2.68,2.821,0.0,3.185,3.368,0.0,2.391,2.68,0.0,245.525,-9999,-9999,148.456,148.456,0.0,-9999,-9999,331.485,331.485,0.0,-9999,-9999,350.925,350.925,0.0,-9999,-9999,2.452,2.452,0.0,102.708,102.708,0.0,0.0,0.0,0.0,4.626,4.626,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,50.5623,0.0,-9999,-9999,-9999,-9999,-9999,46.929,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26,22,0,0,-0.577091,0.0,-9999,-9999,-0.57109,0.0,-9999,-9999,-0.476845,0.0,0.0388957,-0.774866,-0.684077,-0.680731,-0.57109,-0.263475,-0.103046,-0.0747913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09024,0.669494,0.0,-9999,-9999,-4.86543,2.87128,0.0,-9999,-9999,3.13765,0.608645,0.0,-9999,-9999,-4.90886,2.88823,0.0,-9999,-9999,2.76816,2.92968,2.93563,3.12769,3.38455,3.61922,3.64113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.90886,-4.90062,-4.90062,-4.90062,-4.70173,-4.49392,-4.4672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71528,1.71528,1.84827,0.0466506,1.5962,1.63636,1.69418,1.71528,1.73573,2.20616,2.50169,2.28637,2.28637,2.32511,0.0311736,1.94503,2.08729,2.22766,2.32559,2.40647,2.47367,2.60098,2.09748,2.65431,2.36223,0.145158,1.01073,1.0918,1.74316,2.2523,2.76767,3.612,3.82083,4.19207,4.18854,3.96902,0.0568239,3.15533,3.4156,3.9022,4.12287,4.19258,4.2152,4.24204,-9999,0.0
20020105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13.15,12.07,4.723,14.427,2.792,13.15,0.0,12.07,4.723,0.0,14.427,2.792,0.0,246.265,-9999,-9999,115.494,115.494,0.0,-9999,-9999,372.242,372.242,0.0,-9999,-9999,408.693,408.693,0.0,-9999,-9999,6.637,6.637,0.0,102.514,102.514,0.0,0.212,0.212,0.0,2.137,2.137,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,37.8699,0.0,-9999,-9999,-9999,-9999,-9999,40.9598,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26,22,0,0,-0.636137,0.0,-9999,-9999,-0.607844,0.0,-9999,-9999,-0.532346,0.0,0.031031,-0.737208,-0.684589,-0.68406,-0.607844,-0.437296,-0.238977,-0.167593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18651,0.573915,0.0,-9999,-9999,-5.10336,2.94915,0.0,-9999,-9999,3.35598,0.678422,0.0,-9999,-9999,-5.24416,2.97335,0.0,-9999,-9999,3.12584,3.21945,3.22039,3.35598,3.43892,3.58988,3.67726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.24416,-5.24416,-5.24416,-5.24416,-5.07246,-4.74504,-4.69346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83598,2.83598,2.87844,0.0235343,2.71068,2.75768,2.80956,2.83598,2.8483,2.94743,3.23521,3.44382,3.44382,3.41079,0.0274412,3.09123,3.23575,3.28994,3.44564,3.52199,3.55552,3.66761,3.64328,3.97798,3.55139,0.110999,2.25302,2.70291,2.94692,3.366,4.0985,4.31711,4.56671,3.64568,3.64315,3.43635,0.0531812,2.66957,2.91403,3.40114,3.58103,3.63983,3.6641,3.69367,-9999,0.0
20020106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.547,16.239,1.341,19.092,1.34,17.547,0.0,16.239,1.341,0.0,19.092,1.34,0.0,247.056,-9999,-9999,102.198,102.198,0.0,-9999,-9999,365.328,365.328,0.0,-9999,-9999,398.895,398.895,0.0,-9999,-9999,5.426,5.426,0.0,101.494,101.494,0.0,0.809,0.809,0.0,5.637,5.637,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,42.6996,0.0,-9999,-9999,-9999,-9999,-9999,31.5266,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26,22,0,0,-0.44791,0.0,-9999,-9999,-0.357224,0.0,-9999,-9999,-0.321663,0.0,0.0263523,-0.49622,-0.453887,-0.415474,-0.386398,-0.281975,-0.0258485,-0.00563346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22594,0.644131,0.0,-9999,-9999,-4.75421,3.12193,0.0,-9999,-9999,3.38727,0.599875,0.0,-9999,-9999,-4.75421,3.12193,0.0,-9999,-9999,3.17288,3.21531,3.28364,3.33537,3.41583,3.64041,3.67726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.78671,-4.75421,-4.75421,-4.75421,-4.63641,-4.37957,-4.32249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33875,3.33875,3.33306,0.014283,3.1919,3.24637,3.27519,3.33697,3.34053,3.34559,3.53154,3.69598,3.69598,3.65472,0.0269644,3.23838,3.44658,3.59201,3.72624,3.75245,3.75835,3.78708,4.35357,4.54372,4.09861,0.101413,2.85935,3.13014,3.58622,4.15031,4.58552,4.66391,4.85063,3.57897,3.5769,3.36056,0.0553957,2.55815,2.81349,3.34503,3.51184,3.57017,3.59559,3.62982,-9999,0.0
20020107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.473,9.11,2.529,9.904,1.087,9.473,0.0,9.11,2.529,0.0,9.904,1.087,0.0,247.899,-9999,-9999,145.945,145.945,0.0,-9999,-9999,336.909,336.909,0.0,-9999,-9999,358.613,358.613,0.0,-9999,-9999,4.302,4.302,0.0,101.772,101.772,0.0,0.053,0.053,0.0,5.438,5.438,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,50.5623,0.0,-9999,-9999,-9999,-9999,-9999,46.929,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26,22,0,0,-0.577091,0.0,-9999,-9999,-0.57109,0.0,-9999,-9999,-0.476845,0.0,0.0388957,-0.774866,-0.684077,-0.680731,-0.57109,-0.263475,-0.103046,-0.0747913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09024,0.669494,0.0,-9999,-9999,-4.86543,2.87128,0.0,-9999,-9999,3.13765,0.608645,0.0,-9999,-9999,-4.90886,2.88823,0.0,-9999,-9999,2.76816,2.92968,2.93563,3.12769,3.38455,3.61922,3.64113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.90886,-4.90062,-4.90062,-4.90062,-4.70173,-4.49392,-4.4672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41735,2.41735,2.49914,0.0335702,2.30074,2.32765,2.39239,2.41735,2.43402,2.69498,2.98903,2.98844,2.98844,2.97599,0.0292592,2.59768,2.76493,2.79862,3.02127,3.10072,3.15218,3.24344,3.05388,3.50379,3.09828,0.126522,1.73577,2.00405,2.68893,2.79167,3.62421,4.08885,4.32525,4.19762,4.19414,3.97247,0.0573569,3.1503,3.41355,3.90811,4.12787,4.19748,4.22061,4.24811,-9999,0.0
20020108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.274,4.262,1.199,4.288,1.729,4.274,0.0,4.262,1.199,0.0,4.288,1.729,0.0,248.793,-9999,-9999,171.519,171.519,0.0,-9999,-9999,303.996,303.996,0.0,-9999,-9999,311.963,311.963,0.0,-9999,-9999,3.665,3.665,0.0,102.518,102.518,0.0,0.0,0.0,0.0,3.498,3.498,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,37.8699,0.0,-9999,-9999,-9999,-9999,-9999,40.9598,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26,22,0,0,-0.636137,0.0,-9999,-9999,-0.607844,0.0,-9999,-9999,-0.532346,0.0,0.031031,-0.737208,-0.684589,-0.68406,-0.607844,-0.437296,-0.238977,-0.167593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18651,0.573915,0.0,-9999,-9999,-5.10336,2.94915,0.0,-9999,-9999,3.35598,0.678422,0.0,-9999,-9999,-5.24416,2.97335,0.0,-9999,-9999,3.12584,3.21945,3.22039,3.35598,3.43892,3.58988,3.67726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.24416,-5.24416,-5.24416,-5.24416,-5.07246,-4.74504,-4.69346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85742,1.85742,1.98273,0.0448419,1.73728,1.77431,1.83531,1.85742,1.87768,2.31677,2.61379,2.46527,2.46527,2.51507,0.0313079,2.23937,2.31565,2.41951,2.47052,2.55422,2.59789,2.90401,2.28604,2.83548,2.50946,0.14345,1.14331,1.23854,1.92488,2.32343,2.95148,3.72608,3.9415,4.4887,4.48453,4.26203,0.0578656,3.43829,3.70178,4.17264,4.41799,4.4887,4.51478,4.53876,-9999,0.0
20020109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.697,6.309,3.126,7.157,2.738,6.697,0.0,6.309,3.126,0.0,7.157,2.738,0.0,249.736,-9999,-9999,180.968,180.968,0.0,-9999,-9999,301.333,301.333,0.0,-9999,-9999,308.189,308.189,0.0,-9999,-9999,6.485,6.485,0.0,102.578,102.578,0.0,0.0,0.0,0.0,2.164,2.164,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,42.6996,0.0,-9999,-9999,-9999,-9999,-9999,31.5266,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26,22,0,0,-0.44791,0.0,-9999,-9999,-0.357224,0.0,-9999,-9999,-0.321663,0.0,0.0263523,-0.49622,-0.453887,-0.415474,-0.386398,-0.281975,-0.0258485,-0.00563346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22594,0.644131,0.0,-9999,-9999,-4.75421,3.12193,0.0,-9999,-9999,3.38727,0.599875,0.0,-9999,-9999,-4.75421,3.12193,0.0,-9999,-9999,3.17288,3.21531,3.28364,3.33537,3.41583,3.64041,3.67726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.78671,-4.75421,-4.75421,-4.75421,-4.63641,-4.37957,-4.32249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11777,2.11777,2.22303,0.039602,2.00222,2.02446,2.09432,2.11777,2.13641,2.49344,2.78919,2.475,2.475,2.54469,0.0237539,2.32846,2.46663,2.47983,2.50719,2.54448,2.60663,2.87281,2.64266,3.14691,2.78292,0.135103,1.41683,1.59082,2.29326,2.64266,3.26505,3.89591,4.12116,4.59954,4.59529,4.37257,0.0580812,3.54779,3.80746,4.27855,4.52824,4.59954,4.62716,4.64954,-9999,0.0
20020110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.205,11.251,3.487,13.332,3.027,12.205,0.0,11.251,3.487,0.0,13.332,3.027,0.0,250.729,-9999,-9999,180.869,180.869,0.0,-9999,-9999,317.465,317.465,0.0,-9999,-9999,331.053,331.053,0.0,-9999,-9999,8.908,8.908,0.0,102.432,102.432,0.0,0.0,0.0,0.0,1.5,1.5,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,50.5623,0.0,-9999,-9999,-9999,-9999,-9999,46.929,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,26,22,0,0,-0.577091,0.0,-9999,-9999,-0.57109,0.0,-9999,-9999,-0.476845,0.0,0.0388957,-0.774866,-0.684077,-0.680731,-0.57109,-0.263475,-0.103046,-0.0747913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09024,0.669494,0.0,-9999,-9999,-4.86543,2.87128,0.0,-9999,-9999,3.13765,0.608645,0.0,-9999,-9999,-4.90886,2.88823,0.0,-9999,-9999,2.76816,2.92968,2.93563,3.12769,3.38455,3.61922,3.64113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.90886,-4.90062,-4.90062,-4.90062,-4.70173,-4.49392,-4.4672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.72661,2.72661,2.77993,0.0262345,2.60599,2.64473,2.70051,2.72661,2.74021,2.88409,3.17384,3.2977,3.2977,3.25677,0.0308812,2.89932,2.96947,3.0963,3.3311,3.40714,3.41889,3.49045,3.48789,3.85636,3.43154,0.115134,2.11066,2.51637,2.90867,3.19241,3.97713,4.26109,4.50744,4.53031,4.53052,4.32355,0.0549288,3.54429,3.78205,4.24972,4.45931,4.53368,4.56683,4.58001,-9999,0.0
