TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
19970101,19.455,0.0,18.135,3.944,0.0,21.304,4.375,0.0,13.509,12.643,1.045,14.721,1.414,13.509,0.0,12.643,1.045,0.0,14.721,1.414,0.0,197.289,129.924,0.0,66.651,66.651,0.0,-9999,-9999,344.996,344.996,0.0,361.712,0.0,379.462,379.462,0.0,8.815,0.0,0.533,0.533,0.0,97.468,97.468,0.0,0.381,0.381,0.0,2.545,2.545,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,13.572,0.0,-9999,-9999,9.36424,0.0,7.27418,0.0,8.68057,-9999,-9999,-9999,-9999,47.1631,0.0,56.2816,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,0.539641,0.0,-9999,-9999,0.547026,0.0,-9999,-9999,0.564285,0.0,0.00328821,0.539641,0.547026,0.556238,0.556238,0.568898,0.577488,0.604738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.61267,0.235828,0.0,-9999,-9999,2.10579,0.937672,0.0,-9999,-9999,-0.60047,0.241347,0.0,-9999,-9999,2.10579,0.937672,0.0,-9999,-9999,-0.691825,-0.614854,-0.614854,-0.60047,-0.555421,-0.555421,-0.555421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04786,2.06403,2.06403,2.10579,2.16983,2.19638,2.32478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03772e-06,1.03772e-06,1.03772e-06,1.35634e-22,1.03772e-06,1.03772e-06,1.03772e-06,1.03772e-06,1.03772e-06,1.03772e-06,1.03772e-06,-0.556809,-0.547025,-0.564284,0.0032882,-0.610608,-0.583938,-0.568896,-0.556237,-0.556237,-0.547025,-0.539639,2.77042,2.76647,2.84038,0.0408918,2.5562,2.56228,2.57409,2.76647,3.12488,3.12666,3.13492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
19970102,14.736,0.270833,10.045,5.466,0.464286,21.304,4.375,0.0,15.632,14.737,2.844,16.886,3.288,12.04,0.270833,8.578,3.939,0.464286,16.886,3.288,0.0,197.904,129.924,0.291667,119.387,118.84,0.291667,-9999,-9999,301.417,301.417,0.0,331.344,0.270833,327.502,302.698,0.270833,6.269,0.270833,4.768,3.878,0.270833,96.766,96.766,0.0,0.0,0.0,0.0,3.896,3.896,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,11.68,0.270833,-9999,-9999,4.07418,0.270833,8.57487,0.0,10.1142,-9999,-9999,-9999,-9999,55.4474,0.0,65.4012,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,0.652429,0.0,-9999,-9999,0.658372,0.0,-9999,-9999,0.666941,0.0,0.00297429,0.616568,0.652429,0.658372,0.669427,0.677088,0.677088,0.686595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.641619,0.143405,0.0,-9999,-9999,2.40717,1.25595,0.0,-9999,-9999,-0.631802,0.145035,0.0,-9999,-9999,2.40717,1.25595,0.0,-9999,-9999,-0.729526,-0.641619,-0.634838,-0.624905,-0.600883,-0.600883,-0.579741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39519,2.40717,2.40717,2.40717,2.42953,2.42953,2.42953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03772e-06,1.03772e-06,9.41519e-07,2.05383e-08,7.56674e-07,7.56674e-07,7.56674e-07,1.03772e-06,1.03772e-06,1.03772e-06,1.03772e-06,-0.674357,-0.658371,-0.66694,0.00297429,-0.69453,-0.680319,-0.677087,-0.674088,-0.666198,-0.658371,-0.622987,2.70125,2.6974,2.76945,0.0398707,2.49237,2.4983,2.50981,2.6974,3.04685,3.04859,3.05664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
19970103,17.086,1.0,14.047,8.191,1.0,21.34,4.592,1.0,18.447,17.946,2.029,19.149,2.619,17.086,1.0,14.047,8.191,1.0,21.34,4.592,1.0,198.577,132.042,1.0,117.347,132.042,1.0,-9999,-9999,319.242,319.242,0.0,353.651,1.0,348.755,353.651,1.0,8.369,1.0,7.778,8.369,1.0,95.877,95.938,0.791667,0.0,0.0,0.791667,4.839,5.131,0.791667,-9999,0.0,71.0789473684,0.791666666667,339.236842105,0.791666666667,-9999,-9999,12.398,1.0,-9999,-9999,7.15915,1.0,7.25244,0.0,8.53736,-9999,-9999,0.69329,-9999,33.7525,0.0,39.7324,-9999,-9999,6.63503,-9999,11.0,3,28,20,0,0,0.837362,0.0,-9999,-9999,0.848227,0.0,-9999,-9999,0.817457,0.0,0.0052563,0.744734,0.782567,0.784591,0.837362,0.848227,0.849153,0.856011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.403831,0.301227,0.0,-9999,-9999,2.50197,1.90741,0.0,-9999,-9999,-0.388361,0.293712,0.0,-9999,-9999,2.50545,1.90161,0.0,-9999,-9999,-0.549824,-0.499509,-0.499509,-0.402043,-0.391523,-0.388361,-0.37326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44153,2.49674,2.50197,2.50513,2.51051,2.51388,2.51834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05934e-06,1.1242e-06,1.13393e-06,1.12696e-08,1.03772e-06,1.03772e-06,1.05934e-06,1.14582e-06,1.21068e-06,1.21068e-06,1.21068e-06,-0.837423,-0.848226,-0.817456,0.0052563,-0.85601,-0.850297,-0.848226,-0.837423,-0.78459,-0.783133,-0.77718,2.8849,2.88079,2.95774,0.0425814,2.66182,2.66815,2.68045,2.88079,3.254,3.25585,3.26446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
19970104,13.702,1.0,12.3,3.114,1.0,15.665,2.329,1.0,13.569,14.038,3.494,12.912,1.322,13.702,1.0,12.3,3.114,1.0,15.665,2.329,1.0,199.306,129.792,1.0,94.611,129.792,1.0,-9999,-9999,305.107,305.107,0.0,323.667,1.0,331.902,323.667,1.0,7.64,1.0,6.821,7.64,1.0,96.293,96.546,1.0,0.0,0.0,1.0,3.475,3.327,1.0,-9999,0.0,52.375,1.0,261.4375,1.0,-9999,-9999,11.729,1.0,-9999,-9999,-4.14583,1.0,4.27585,0.0,5.02336,-9999,-9999,0.389362,-9999,19.2869,0.0,22.6587,-9999,-9999,3.31747,-9999,11.0,3,28,20,0,7,0.41229,0.0,0.227533,0.231743,0.424351,0.0,0.227533,0.231743,0.427708,0.0,0.00631493,0.374315,0.384421,0.395199,0.424351,0.472361,0.472361,0.476675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.655196,0.16779,0.0,-9999,-9999,1.8708,1.79592,0.0,0.219261,0.220587,-0.636335,0.176377,0.0,-9999,-9999,1.87229,1.79371,0.0,0.219261,0.220587,-0.749434,-0.699266,-0.699213,-0.636335,-0.559088,-0.559088,-0.53363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83732,1.84467,1.86797,1.87229,1.87518,1.89297,1.89297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03772e-06,1.03772e-06,1.03772e-06,1.35634e-22,1.03772e-06,1.03772e-06,1.03772e-06,1.03772e-06,1.03772e-06,1.03772e-06,1.03772e-06,-0.400524,-0.42435,-0.427706,0.00631494,-0.476673,-0.47236,-0.47236,-0.42435,-0.395198,-0.38442,-0.376771,2.77493,2.77097,2.84499,0.0409582,2.56035,2.56644,2.57827,2.77097,3.12996,3.13174,3.14001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
19970105,4.396,1.0,4.075,1.207,1.0,4.845,1.107,1.0,4.665,4.573,1.29,4.794,1.08,4.396,1.0,4.075,1.207,1.0,4.845,1.107,1.0,200.091,44.792,1.0,57.783,44.792,1.0,-9999,-9999,276.04,276.04,0.0,283.329,1.0,297.245,283.329,1.0,3.668,1.0,3.237,3.668,1.0,97.615,97.65,1.0,0.0,0.0,1.0,2.672,2.587,1.0,-9999,0.0,3.45833333333,1.0,90.375,1.0,-9999,-9999,8.16,1.0,-9999,-9999,-13.6042,1.0,2.48697,0.0,2.90932,-9999,-9999,0.28844,-9999,-3.69108,0.0,-4.31792,-9999,-9999,2.21019,-9999,11.0,3,28,20,0,0,-0.21944,0.0,-9999,-9999,-0.212929,0.0,-9999,-9999,-0.300861,0.0,0.0211512,-0.507761,-0.472484,-0.47234,-0.217848,-0.181191,-0.181191,-0.181191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.276034,0.245746,0.0,-9999,-9999,-0.121062,0.680006,0.0,-9999,-9999,-0.276034,0.245746,0.0,-9999,-9999,-0.106004,0.655954,0.0,-9999,-9999,-0.522809,-0.522571,-0.522571,-0.276034,-0.21548,-0.21548,-0.21548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.549618,-0.360807,-0.360807,-0.121062,-0.117379,-0.117379,-0.106004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.72867e-07,9.29628e-07,6.79926e-07,5.74185e-08,4.32385e-08,8.6477e-08,2.37812e-07,8.8639e-07,9.51247e-07,1.01611e-06,1.03772e-06,0.390654,0.21293,0.300862,0.0211512,0.158919,0.181192,0.181192,0.217848,0.47234,0.472485,0.472485,2.38029,2.3769,2.44039,0.0351334,2.19623,2.20146,2.2116,2.3769,2.68483,2.68636,2.69346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
19970106,0.344,1.0,0.657,1.107,1.0,-0.095,1.514,1.0,0.396,0.433,1.202,0.346,1.735,0.344,1.0,0.657,1.107,1.0,-0.095,1.514,1.0,200.933,97.292,1.0,107.393,97.292,1.0,-9999,-9999,245.836,245.836,0.0,252.445,1.0,261.233,252.445,1.0,2.962,1.0,2.462,2.962,1.0,98.325,98.471,1.0,0.0,0.0,1.0,3.521,4.266,1.0,-9999,0.0,46.2708333333,1.0,193.104166667,1.0,-9999,-9999,5.494,1.0,-9999,-9999,-15.0625,1.0,6.56767,0.0,7.68301,-9999,-9999,0.442809,-9999,23.0009,0.0,26.9069,-9999,-9999,2.82227,-9999,11.0,3,28,20,12,17,0.295725,0.0,0.17305,0.177724,0.298989,0.0,0.170596,0.175335,0.2863,0.0,0.0170789,-0.0641439,0.259194,0.298989,0.316152,0.336546,0.340176,0.340176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.142334,0.0562264,0.0,0.147632,0.157267,0.883206,0.851732,0.0,0.264697,0.268648,-0.139638,0.0537986,0.0,0.131226,0.141978,0.886981,0.846707,0.0,0.264697,0.268648,-0.701687,-0.148505,-0.139638,-0.0646348,-0.0457112,-0.0401074,-0.0401074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.723723,0.795176,0.797378,0.832312,0.877233,0.886981,0.886981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.48578e-08,0.0,9.02604e-08,3.51756e-08,0.0,0.0,0.0,0.0,4.32385e-08,1.08096e-07,4.32385e-07,-0.223031,-0.298989,-0.2863,0.0170789,-0.36153,-0.340176,-0.338495,-0.316152,-0.298989,-0.259194,0.0280915,2.18241,2.1793,2.23752,0.0322126,2.01365,2.01844,2.02774,2.1793,2.46164,2.46304,2.46954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
19970107,1.021,1.0,0.644,1.577,1.0,1.505,2.129,1.0,0.375,-0.17,1.043,1.075,1.804,1.021,1.0,0.644,1.577,1.0,1.505,2.129,1.0,201.829,45.354,1.0,89.785,45.354,1.0,-9999,-9999,275.59,275.59,0.0,241.044,1.0,296.708,241.044,1.0,3.487,1.0,2.247,3.487,1.0,98.357,98.332,1.0,0.0,0.0,1.0,1.775,2.028,1.0,-9999,-9999,15.5208333333,1.0,92.9375,1.0,-9999,-9999,4.976,1.0,-9999,-9999,-11.5625,1.0,2.84132,0.0,3.83447,-9999,-9999,0.325666,-9999,-1.72212,0.0,-2.32407,-9999,-9999,2.32386,-9999,1.0,2,27,21,27,21,-0.0347322,0.0,0.0856724,0.098643,-0.0330999,0.0,0.0698623,0.0852726,-0.0288626,0.0,0.0193579,-0.383807,-0.0468704,-0.0344512,-0.0330999,0.0376487,0.0509187,0.0530101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.140729,0.0748932,0.0,0.102504,0.11309,0.104436,0.239129,0.0,0.135057,0.146721,-0.140729,0.0748932,0.0,0.0862558,0.0986019,0.108031,0.234426,0.0,0.106678,0.121108,-0.653125,-0.157606,-0.140729,-0.120176,-0.0620589,-0.0620589,-0.0620589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0056497,0.0772828,0.0830245,0.105055,0.163557,0.191945,0.196551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89147e-07,2.16193e-07,2.18895e-07,4.14858e-08,0.0,0.0,0.0,1.94573e-07,3.45908e-07,4.75624e-07,5.62101e-07,0.0468708,0.0331001,0.0288628,0.0193579,-0.102928,-0.0509187,-0.0435449,0.0324564,0.0344513,0.0350631,0.368778,2.21574,2.21258,2.27168,0.0327045,2.0444,2.04926,2.05871,2.21258,2.49922,2.50065,2.50725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
19970108,-0.144,1.0,0.085,1.369,1.0,-0.438,0.707,1.0,-0.386,-0.233,0.466,-0.583,0.193,-0.144,1.0,0.085,1.369,1.0,-0.438,0.707,1.0,202.78,30.021,1.0,17.855,30.021,1.0,-9999,-9999,300.038,300.038,0.0,268.287,1.0,325.858,268.287,1.0,0.856,1.0,0.392,0.856,1.0,97.557,97.436,1.0,9.565,0.254,1.0,1.56,1.819,1.0,-9999,0.0,13.6666666667,1.0,62.0208333333,1.0,-9999,-9999,4.55,1.0,-9999,-9999,-12.2083,1.0,2.01257,0.0,2.7601,-9999,-9999,0.363191,-9999,-6.28549,0.0,-8.6201,-9999,-9999,2.32385,-9999,2.0,2,27,21,27,21,-0.0445497,0.0,0.0724153,0.0933912,-0.0412852,0.0,0.0654511,0.0881011,-0.0418544,0.0,0.0247708,-0.495929,-0.0747348,-0.0537952,-0.0255716,0.0422838,0.0432134,0.0448673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.120192,0.0377116,0.0,0.0914145,0.127213,0.0564063,0.370886,0.0,0.10783,0.110039,-0.114599,0.0243589,0.0,0.0831939,0.12144,0.0564063,0.370886,0.0,0.0966545,0.0991126,-0.716401,-0.120192,-0.114599,-0.0675324,0.0477475,0.0567437,0.0567437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.171256,-0.0100801,0.0156909,0.0288515,0.0337931,0.0337931,0.0564063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2965e-08,3.62891e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.8105e-07,0.0747349,0.0412852,0.0418545,0.0247708,-0.0764824,-0.0435751,-0.0432134,0.0255718,0.0537952,0.0747349,0.486539,2.15776,2.15468,2.21224,0.0318487,1.99091,1.99564,2.00484,2.15468,2.43383,2.43521,2.44165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
19970109,-0.021,1.0,-1.533,2.074,1.0,1.924,3.369,1.0,0.874,-0.78,1.128,3.001,3.406,-0.021,1.0,-1.533,2.074,1.0,1.924,3.369,1.0,203.787,144.854,1.0,128.417,144.854,1.0,-9999,-9999,246.261,246.261,0.0,230.734,1.0,261.739,230.734,1.0,0.84,1.0,1.005,0.84,1.0,96.972,97.056,1.0,0.521,3.048,1.0,2.671,2.181,1.0,-9999,0.0,76.8333333333,1.0,283.208333333,1.0,-9999,-9999,3.897,1.0,-9999,-9999,-14.1042,1.0,7.07128,0.0,9.74934,-9999,-9999,0.511316,-9999,45.2334,0.0,61.7043,-9999,-9999,2.95921,-9999,3.0,2,27,21,27,21,0.66398,0.0,0.0970516,0.197044,0.675813,0.0,0.092078,0.194643,0.72398,0.0,0.0309243,0.274065,0.616625,0.66222,0.674674,0.794965,0.959597,1.01948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07545,0.399345,0.0,0.0989758,0.231938,1.36549,1.49907,0.0,0.171764,0.201114,0.0931895,0.387313,0.0,0.0889916,0.227856,1.36874,1.49609,0.0,0.167456,0.197447,-0.582499,-0.00707206,0.07545,0.0931895,0.3034,0.412446,0.515028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35106,1.35106,1.35106,1.3619,1.36874,1.56029,1.58334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8105e-07,2.59431e-07,2.18895e-07,2.54886e-08,0.0,0.0,8.6477e-08,2.59431e-07,2.8105e-07,3.0267e-07,3.89147e-07,-0.661555,-0.675813,-0.72398,0.0309243,-1.05018,-0.959597,-0.860582,-0.674674,-0.66398,-0.649171,-0.279559,2.15967,2.15659,2.2142,0.031877,1.99267,1.99741,2.00662,2.15659,2.43599,2.43737,2.44381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
19970110,-4.215,1.0,-4.644,2.705,1.0,-3.662,1.441,1.0,-4.353,-4.812,2.973,-3.763,0.897,-4.215,1.0,-4.644,2.705,1.0,-3.662,1.441,1.0,204.847,125.083,1.0,129.806,125.083,1.0,-9999,-9999,218.129,218.129,0.0,214.909,1.0,228.198,214.909,1.0,1.484,1.0,1.2,1.484,1.0,97.489,97.794,1.0,0.0,0.0,1.0,3.703,4.048,1.0,-9999,0.0,59.8958333333,1.0,247.208333333,1.0,-9999,-9999,1.844,1.0,-9999,-9999,-18.2292,1.0,8.6956,0.458333,12.0206,-9999,-9999,0.546626,-9999,36.8217,0.458333,50.4982,-9999,-9999,2.91627,-9999,4.0,2,27,21,27,21,0.520955,0.0416667,0.0887381,0.121517,0.526256,0.0416667,0.0832986,0.117604,0.558177,0.0416667,0.0219076,0.291402,0.467479,0.505374,0.526256,0.616721,0.633514,0.730825,0.0416667,0.0416667,0.0416667,0.0416667,0.0416667,0.0416667,0.0416667,-0.200222,0.558843,0.0,0.098952,0.181677,1.4049,1.58779,0.0952381,0.148382,0.148511,-0.191141,0.55916,0.0,0.0890204,0.176464,1.4049,1.58779,0.0952381,0.143399,0.143532,-0.592303,-0.297019,-0.230797,-0.191141,-0.0418803,0.00771018,0.113951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38548,1.39987,1.39987,1.4049,1.41225,1.41225,1.44796,0.0952381,0.0952381,0.0952381,0.0952381,0.0952381,0.0952381,0.0952381,0.0,0.0,9.72867e-09,7.17656e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.544325,-0.526256,-0.558177,0.0219076,-0.739514,-0.633514,-0.624699,-0.526256,-0.505374,-0.500584,-0.295752,1.93837,1.93561,1.98732,0.0286106,1.78849,1.79274,1.801,1.93561,2.18638,2.18762,2.1934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
