TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
199701,3.432,0.94422,1.864,3.236,0.950461,5.487,3.271,0.935484,3.327,2.369,2.46,4.566,2.553,3.153,0.94422,1.64,3.093,0.950461,5.132,3.14,0.935484,214.298,115.451,0.944892,112.555,113.052,0.944892,-9999,-9999,262.684,262.684,0.0,264.286,0.94422,281.321,263.934,0.94422,3.686,0.94422,2.518,3.342,0.94422,97.761,97.832,0.928763,0.389,0.119,0.928763,2.946,3.057,0.928763,-9999,-9999,48.0152100951,0.928091397849,229.168459828,0.928091397849,-9999,-9999,4.036,0.94422,-9999,-9999,-10.0063,0.94422,6.40241,0.678091,9.3048,0.0939335,28.6047,0.678763,41.572,0.558145,1.0,2,27.1935,20.8065,22.1613,17.6774,0.432566,0.607527,0.0162093,0.0182988,0.432566,0.607527,0.0162079,0.0182975,0.433452,0.607006,0.00510393,0.346805,0.42599,0.431707,0.43303,0.438949,0.442973,0.472417,0.644489,0.607527,0.604167,0.608199,0.608871,0.598118,0.597446,-0.315198,0.295886,0.593787,0.0189847,0.0243917,1.377,1.35452,0.625192,0.0274645,0.028935,-0.315198,0.295886,0.593787,0.0181268,0.0237301,1.377,1.35452,0.625192,0.0268806,0.0283814,-0.436609,-0.322835,-0.315198,-0.302457,-0.297743,-0.292206,-0.261432,0.655914,0.593787,0.593787,0.592593,0.597372,0.594982,0.584229,1.34506,1.35878,1.3628,1.36696,1.37544,1.377,1.39685,0.6298,0.619048,0.623656,0.628264,0.625192,0.625192,0.608295,5.356e-07,5.11888e-07,4.94419e-07,1.26063e-08,3.84962e-07,3.94726e-07,4.12858e-07,5.07704e-07,5.30021e-07,5.53732e-07,5.96273e-07,-0.427462,-0.432565,-0.433452,0.00510393,-0.472977,-0.443133,-0.439833,-0.433312,-0.431858,-0.427462,-0.347207,1.98379,1.82144,1.84884,0.0191433,1.65031,1.72667,1.731,1.82144,1.97983,1.98379,1.98857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
199702,6.65,1.0,5.111,2.335,1.0,8.407,3.087,1.0,6.573,5.119,2.182,8.215,2.807,6.65,1.0,5.111,2.335,1.0,8.407,3.087,1.0,272.22,117.216,1.0,129.676,117.216,1.0,-9999,-9999,286.344,286.344,0.0,294.172,1.0,309.531,294.172,1.0,2.788,1.0,2.101,2.788,1.0,97.793,97.76,1.0,4.371,2.812,1.0,2.468,2.608,1.0,0.299464858057,0.938988095238,57.0141369048,1.0,235.154017857,1.0,-9999,-9999,5.651,1.0,-9999,-9999,-3.66518,1.0,10.8979,1.0,15.8383,0.211336,30.8541,1.0,44.8411,0.555628,1.0,1,25.4643,22.5357,25.4643,22.5357,0.740661,0.987351,0.021715,0.0237087,0.741614,0.987351,0.0216737,0.0236709,0.737742,0.986923,0.00160486,0.717888,0.730172,0.731559,0.735177,0.740661,0.749205,0.759502,0.991071,0.985119,0.985863,0.988839,0.987351,0.982143,0.980655,-0.115151,0.40076,0.994497,0.0221376,0.025051,1.65272,1.68338,0.978933,0.0365777,0.0379689,-0.112693,0.400251,0.994497,0.0221094,0.0250261,1.65195,1.6827,0.978933,0.0368082,0.038191,-0.12347,-0.121746,-0.118771,-0.114609,-0.104023,-0.0982956,-0.0892511,0.993175,0.994497,0.99582,0.994497,0.994497,0.993175,0.991746,1.60843,1.63235,1.63581,1.64127,1.64601,1.65272,1.65877,0.985433,0.985433,0.985433,0.985433,0.977374,0.978933,0.967613,0.0452805,0.0449972,0.0420834,0.000993381,0.0315159,0.0354919,0.0376888,0.0448313,0.0452805,0.0461677,0.0490419,-0.684892,-0.696617,-0.695658,0.00116944,-0.709007,-0.706227,-0.703397,-0.694251,-0.690345,-0.6894,-0.685296,1.36722,1.35085,1.38994,0.00941762,1.31426,1.34139,1.34972,1.36722,1.43395,1.44566,1.45792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
199703,11.92,1.0,9.379,3.608,1.0,14.331,3.926,1.0,12.201,9.905,3.401,14.391,3.735,11.92,1.0,9.379,3.608,1.0,14.331,3.926,1.0,348.108,202.186,1.0,207.72,202.186,1.0,-9999,-9999,290.82,290.82,0.0,314.655,1.0,314.867,314.655,1.0,5.928,1.0,5.828,5.928,1.0,97.558,97.583,1.0,0.427,0.18,1.0,3.051,3.383,1.0,0.371566544343,0.948252688172,106.079372569,0.999327956989,403.658602151,1.0,-9999,-9999,9.845,1.0,-9999,-9999,2.17272,1.0,20.0778,1.0,25.8187,0.298664,60.9766,1.0,78.4118,0.646683,0.999328,1,23.4516,24.5484,23.4516,24.5484,0.88405,0.982527,0.0303122,0.0325245,0.884009,0.982527,0.0303287,0.0325399,0.883852,0.981183,0.00143886,0.86847,0.870425,0.876331,0.884252,0.888676,0.894006,0.895758,0.979839,0.974462,0.979167,0.982527,0.983871,0.983871,0.985215,0.282566,0.7224,0.978809,0.0382498,0.0416795,1.43835,1.77708,0.985475,0.0435296,0.0448041,0.282498,0.722394,0.978809,0.0382787,0.041706,1.43834,1.7771,0.985475,0.0439143,0.0451779,0.260867,0.266961,0.27324,0.28317,0.29781,0.300075,0.322565,0.977465,0.97483,0.977465,0.977465,0.978809,0.978809,0.978809,1.42029,1.42039,1.42202,1.43612,1.4406,1.44161,1.44253,0.990802,0.990802,0.981384,0.974767,0.986878,0.988168,0.986878,0.498642,0.509121,0.507994,0.00152805,0.490727,0.498642,0.50236,0.506018,0.511686,0.516421,0.521508,-0.380482,-0.374888,-0.375858,0.00205644,-0.396504,-0.38974,-0.383868,-0.376712,-0.367736,-0.361446,-0.354698,1.52069,1.52502,1.49715,0.005343,1.43831,1.45118,1.46527,1.51414,1.52222,1.52797,1.53278,0.0724178,0.0724178,0.0511552,0.0046922,0.0122539,0.0125462,0.0130511,0.0724178,0.0726224,0.0753467,0.0760524,-9999,-9999
199704,11.164,0.681944,9.076,2.616,0.7,12.815,3.209,0.666667,13.284,11.528,2.7,14.671,3.049,13.071,0.681944,10.9,2.529,0.7,14.793,3.119,0.666667,418.538,217.01,0.683333,208.718,211.42,0.683333,-9999,-9999,316.159,316.159,0.0,317.669,0.681944,345.079,339.541,0.681944,4.869,0.681944,4.821,4.806,0.681944,97.217,97.241,0.666667,5.981,6.507,0.666667,3.263,3.316,0.666667,0.34363573052,0.634027777778,130.186458333,0.666666666667,466.753125,0.666666666667,-9999,-9999,11.168,0.681944,-9999,-9999,-3.67318,0.681944,41.4255,0.681944,51.3892,0.449407,58.2567,0.681944,72.2685,0.670547,0.666667,1,21.2,26.8,21.2,26.8,-0.110335,0.679167,0.0384542,0.0397069,-0.110335,0.679167,0.0384542,0.0397069,-0.11277,0.679288,0.00159662,-0.134115,-0.124358,-0.115044,-0.110379,-0.107132,-0.104568,-0.102942,0.679167,0.679167,0.679167,0.679167,0.679861,0.679167,0.679861,1.01882,0.723032,0.7,0.0523097,0.057178,-0.974682,1.31879,0.66163,0.0521801,0.0522632,1.01882,0.723032,0.7,0.0520085,0.0569026,-0.974682,1.31879,0.66163,0.0520798,0.0521631,0.967042,0.984954,1.00283,1.01849,1.03043,1.03113,1.04088,0.7,0.7,0.7,0.7,0.7,0.7,0.7,-0.979307,-0.977875,-0.97649,-0.974204,-0.972982,-0.971983,-0.970636,0.665385,0.662821,0.66163,0.66163,0.66163,0.66163,0.66163,1.43886,1.46178,1.46161,0.0101234,1.33274,1.39918,1.43104,1.4536,1.49067,1.52545,1.57106,1.54892,1.57211,1.57438,0.00975992,1.44183,1.50699,1.542,1.57206,1.6151,1.6412,1.68016,1.15987,1.13667,1.01401,0.0291305,0.704696,0.789519,0.797017,1.1194,1.168,1.17258,1.19897,1.12442,1.12561,1.04871,0.0180061,0.846442,0.90614,0.911159,1.12407,1.14156,1.14324,1.15397,-9999,-9999
199705,19.382,1.0,16.792,2.283,1.0,21.157,3.237,1.0,19.836,17.591,2.312,21.37,3.31,19.382,1.0,16.792,2.283,1.0,21.157,3.237,1.0,465.181,255.158,1.0,258.308,255.158,1.0,-9999,-9999,349.211,349.211,0.0,388.754,1.0,384.487,388.754,1.0,5.939,1.0,8.597,5.939,1.0,97.312,97.332,1.0,1.765,6.817,1.0,2.926,2.75,1.0,0.317508466874,0.949596774194,152.147849462,1.0,519.128360215,1.0,-9999,-9999,17.852,1.0,-9999,-9999,10.086,1.0,72.6077,0.998656,88.4908,0.507257,43.9288,0.998656,53.5383,0.514961,0.997312,1,19.4516,28.5484,19.4516,28.5484,-1.46307,0.990591,0.0476819,0.0568009,-1.4648,0.989247,0.0477248,0.0568368,-1.46076,0.987903,0.00403316,-1.4933,-1.49071,-1.48399,-1.46413,-1.4388,-1.42898,-1.42192,0.985215,0.987231,0.975134,0.989247,0.993952,0.990591,0.991263,3.00161,0.999899,0.998387,0.0601785,0.0770311,-4.38018,4.31387,0.985177,0.0658066,0.0672954,2.99561,1.002,0.998387,0.0602965,0.0771233,-4.37898,4.31312,0.982873,0.0655084,0.0670038,2.9419,2.95653,2.96186,3.0053,3.03761,3.0527,3.06615,0.998387,0.998387,0.998387,0.998387,0.998387,0.998387,0.998387,-4.39482,-4.38837,-4.38771,-4.37898,-4.36611,-4.36021,-4.35598,0.979647,0.981797,0.976267,0.982873,0.985177,0.987481,0.985177,3.65437,3.64961,3.69231,0.00888942,3.61438,3.6492,3.65742,3.67251,3.7365,3.76401,3.77133,5.1359,5.11441,5.15307,0.0102,5.0643,5.09971,5.11264,5.13158,5.20178,5.24297,5.25436,3.15972,3.16586,3.15151,0.0153513,2.9553,3.02391,3.11702,3.15972,3.19938,3.24783,3.30353,4.71216,4.70092,4.68801,0.0103172,4.5633,4.60895,4.65358,4.69226,4.71969,4.75214,4.79956,-9999,-9999
199706,23.825,1.0,21.21,1.811,1.0,25.393,3.231,1.0,24.403,22.159,1.767,25.749,3.056,23.825,1.0,21.21,1.811,1.0,25.393,3.231,1.0,483.709,264.04,1.0,267.411,264.04,1.0,-9999,-9999,386.817,386.817,0.0,438.523,1.0,429.325,438.523,1.0,5.798,1.0,10.077,5.798,1.0,96.987,97.011,1.0,2.66,1.566,1.0,2.527,2.164,1.0,0.286839931509,0.877777777778,162.226846927,0.999305555556,545.701477541,0.999305555556,-9999,-9999,22.271,1.0,22.539,1.0,13.6931,1.0,73.5059,0.998611,102.436,0.54607,33.2241,1.0,46.3001,0.475152,0.997917,1,18.0,30.0,18.0,30.0,-1.44708,0.98125,0.048888,0.0550526,-1.44351,0.980556,0.0487978,0.0549725,-1.42004,0.975556,0.0033877,-1.44708,-1.44071,-1.43811,-1.42404,-1.40911,-1.39008,-1.38232,0.98125,0.954167,0.976389,0.976389,0.9125,0.984028,0.984028,4.91337,0.761648,1.0,0.0553325,0.0664783,-5.17919,6.05275,0.97,0.0679603,0.0773507,4.91677,0.764392,1.0,0.0552201,0.0663848,-5.17571,6.06578,0.968889,0.0675504,0.0769908,4.90723,4.90919,4.92444,4.95698,4.9715,4.98288,4.99987,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-5.21461,-5.19242,-5.19099,-5.17075,-5.13779,-5.11854,-5.1128,0.962222,0.965556,0.965556,0.954444,0.974444,0.974444,0.974444,5.63669,5.60165,5.67331,0.0141024,5.57157,5.59681,5.59922,5.63525,5.76042,5.80196,5.81857,7.07446,7.04516,7.09335,0.0154679,6.96011,6.99225,7.02053,7.06741,7.17301,7.23177,7.25756,5.13598,5.30727,5.0986,0.0470256,4.64134,4.68456,4.76162,5.14617,5.30932,5.40462,5.46533,6.91508,6.75477,6.81821,0.0264509,6.51734,6.63972,6.66739,6.83896,6.97102,6.99718,7.02864,-9999,-9999
199707,27.312,1.0,24.191,1.703,1.0,29.316,3.636,1.0,27.17,25.126,1.584,28.478,2.829,27.312,1.0,24.191,1.703,1.0,29.316,3.636,1.0,473.971,286.937,1.0,267.524,286.937,1.0,-9999,-9999,402.267,402.267,0.0,457.178,1.0,447.746,457.178,1.0,10.256,1.0,13.298,10.256,1.0,97.379,97.369,1.0,2.526,1.286,1.0,2.419,2.064,1.0,0.276119693395,0.928091397849,176.280241935,1.0,595.161290323,1.0,-9999,-9999,26.056,1.0,16.326,1.0,17.8757,1.0,78.5788,1.0,96.7195,0.557691,50.1154,1.0,61.685,0.579118,1.0,1,18.7419,29.2581,18.7419,29.2581,-1.86075,0.995968,0.0494856,0.0534027,-1.86222,0.995968,0.049502,0.0534179,-1.86396,0.992406,0.00573641,-1.91124,-1.88968,-1.88304,-1.8661,-1.86075,-1.84953,-1.83987,0.994624,0.994624,0.994624,0.99664,0.997312,0.994624,0.967742,4.36794,0.750327,1.0,0.0473465,0.0620688,-5.72304,6.0066,0.9934,0.0718203,0.0725554,4.36501,0.749122,1.0,0.0476078,0.0622683,-5.72347,6.00644,0.9934,0.072073,0.0728056,4.25715,4.28767,4.31017,4.35562,4.36353,4.36794,4.42077,1.0,1.0,0.991511,1.0,1.0,1.0,0.957555,-5.73466,-5.73108,-5.72859,-5.72199,-5.71548,-5.71047,-5.69866,0.9967,0.991175,0.992288,0.994475,0.988988,0.991175,0.980089,4.96239,4.95869,4.9657,0.0114943,4.86241,4.90605,4.92799,4.95269,4.99568,5.01144,5.08584,6.81192,6.82091,6.82966,0.00869897,6.73157,6.77441,6.80316,6.81755,6.86221,6.88472,6.94447,5.6703,5.56796,5.65639,0.0288361,5.5404,5.59294,5.62774,5.67414,5.71516,5.74593,5.78935,7.29471,7.18941,7.29032,0.0182874,7.17958,7.22907,7.25199,7.29133,7.33813,7.38781,7.40356,-9999,-9999
199708,25.912,1.0,23.296,1.805,1.0,27.856,3.45,1.0,26.031,23.925,1.811,27.593,2.938,25.912,1.0,23.296,1.805,1.0,27.856,3.45,1.0,436.477,232.201,1.0,238.252,232.201,1.0,-9999,-9999,396.195,396.195,0.0,454.307,1.0,440.506,454.307,1.0,8.34,1.0,11.817,8.34,1.0,97.408,97.406,1.0,3.824,3.302,1.0,2.276,1.93,1.0,0.262598313669,0.934811827957,144.387911805,0.998655913978,480.614876458,0.998655913978,-9999,-9999,24.835,1.0,18.645,1.0,7.04167,1.0,54.7535,1.0,72.8768,0.403985,48.9755,0.999328,65.1863,0.563066,0.997984,1,20.3871,27.6129,20.3871,27.5806,0.860013,0.986559,0.0373727,0.0719505,0.859058,0.986559,0.0373772,0.0719528,0.87049,0.978831,0.00836921,0.786517,0.818812,0.837285,0.859647,0.890291,0.941778,0.970546,0.972446,0.973118,0.975134,0.985887,0.988575,0.989247,0.993952,3.8351,0.556945,1.0,0.0362814,0.103752,-1.38099,3.2249,0.976391,0.056329,0.0655996,3.83614,0.556759,1.0,0.0363613,0.10378,-1.38336,3.22634,0.976391,0.0565835,0.0658183,3.72589,3.79169,3.82466,3.8493,3.89776,3.9861,4.00843,0.89114,0.998534,1.0,1.0,1.0,1.0,1.0,-1.43078,-1.42683,-1.41078,-1.38746,-1.37158,-1.35959,-1.32511,0.962255,0.962255,0.964559,0.977586,0.979933,0.984584,0.989277,4.34009,4.32443,4.37891,0.00728962,4.31882,4.327,4.34638,4.37008,4.38561,4.43098,4.46119,3.49218,3.46537,3.50842,0.00618494,3.44477,3.46537,3.47789,3.49498,3.53476,3.54792,3.56843,4.07949,4.05889,4.11743,0.022955,3.86569,4.03594,4.05478,4.08396,4.19378,4.22908,4.34663,3.45139,3.42451,3.45468,0.0128466,3.33766,3.40944,3.42323,3.45005,3.48363,3.50724,3.58088,-9999,-9999
199709,23.917,1.0,21.38,2.34,1.0,26.122,3.669,1.0,23.837,22.182,2.086,25.275,2.87,23.917,1.0,21.38,2.34,1.0,26.122,3.669,1.0,375.485,198.608,1.0,192.474,198.608,1.0,-9999,-9999,379.791,379.791,0.0,430.592,1.0,420.948,430.592,1.0,9.541,1.0,11.557,9.541,1.0,97.349,97.315,1.0,1.955,1.956,1.0,2.583,2.263,1.0,0.290957098206,0.910416666667,123.253472222,1.0,412.1,1.0,-9999,-9999,21.664,1.0,15.645,1.0,1.73681,1.0,40.4175,1.0,58.3678,0.421687,43.7282,1.0,63.1489,0.599973,1.0,1,22.3667,25.6333,22.3667,25.6333,1.34977,0.973611,0.0329588,0.0364728,1.35023,0.973611,0.0329874,0.0364986,1.34612,0.969792,0.00349755,1.32015,1.3252,1.32892,1.34342,1.35427,1.35644,1.3757,0.981944,0.985417,0.972917,0.970833,0.973611,0.973611,0.955556,2.23739,0.587849,0.973123,0.0314926,0.0400272,0.495377,1.76128,0.974154,0.0529106,0.05876,2.23971,0.587124,0.973123,0.0315333,0.0400592,0.494202,1.76244,0.974154,0.0527846,0.0586465,2.17292,2.20021,2.21277,2.22605,2.24689,2.24962,2.25494,0.953623,0.949275,0.970224,0.968775,0.973123,0.973123,0.944796,0.466489,0.469298,0.480558,0.494259,0.499669,0.520413,0.536278,0.981846,0.981846,0.975487,0.972923,0.970359,0.969077,0.962615,2.45727,2.48207,2.48992,0.0101286,2.41902,2.43556,2.44908,2.4769,2.49962,2.51945,2.57618,1.12194,1.13184,1.14381,0.00732458,1.092,1.1047,1.11662,1.1229,1.16958,1.1812,1.20048,2.12543,2.1545,2.29493,0.0291469,2.06941,2.11642,2.1386,2.26591,2.41907,2.44964,2.54088,1.34665,1.2749,1.31632,0.0111231,1.21277,1.24703,1.26039,1.31292,1.35356,1.36254,1.43177,-9999,-9999
199710,16.495,1.0,14.256,2.248,1.0,18.867,3.504,1.0,16.475,14.932,1.901,18.12,2.522,16.495,1.0,14.256,2.248,1.0,18.867,3.504,1.0,300.224,154.026,1.0,147.963,154.026,1.0,-9999,-9999,331.999,331.999,0.0,375.346,1.0,363.965,375.346,1.0,4.649,1.0,5.305,4.649,1.0,97.39,97.381,1.0,2.564,3.548,1.0,2.962,2.553,1.0,0.314770518965,0.920698924731,82.2177419355,1.0,316.942876344,1.0,-9999,-9999,15.734,1.0,21.704,1.0,-8.35753,1.0,14.984,1.0,21.3692,0.285132,38.4691,1.0,54.8623,0.576689,2.0,2,24.6774,23.3226,24.6774,23.3226,1.72393,0.770833,0.026387,0.0380768,1.7477,0.770161,0.0270238,0.0385209,1.71397,0.769136,0.0040662,1.66282,1.68326,1.68808,1.72393,1.73468,1.73817,1.73968,0.760753,0.770161,0.772849,0.770833,0.778898,0.770161,0.770161,1.70933,0.481866,0.754301,0.0293031,0.0576742,1.64595,1.7507,0.789037,0.0433949,0.0454832,1.75104,0.488409,0.752957,0.0302953,0.0581846,1.64978,1.75804,0.789037,0.042953,0.0450619,1.57029,1.6378,1.6451,1.70933,1.73489,1.73715,1.74286,0.695806,0.752957,0.746075,0.754301,0.765054,0.765054,0.755645,1.63273,1.63469,1.63947,1.64478,1.6558,1.66194,1.66939,0.790439,0.789037,0.795874,0.787693,0.790381,0.797335,0.774018,1.91989,1.98427,1.97188,0.00878839,1.89922,1.91556,1.92395,1.97019,1.98746,2.01141,2.09642,0.233359,0.236577,0.257914,0.00826127,0.184075,0.213878,0.218742,0.248221,0.275553,0.299429,0.375769,1.44939,1.34491,1.48951,0.0206179,1.34518,1.35338,1.41588,1.43928,1.5782,1.62822,1.64965,0.274888,0.275056,0.286051,0.00362983,0.2744,0.274888,0.275056,0.275579,0.288725,0.290418,0.292479,-9999,-9999
