TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20040101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.372,-2.771,0.37,-1.707,0.56,-2.372,0.0,-2.771,0.37,0.0,-1.707,0.56,0.0,127.885,164.44,0.666667,5.928,5.887,0.666667,-9999,-9999,300.25,300.25,0.0,-9999,-9999,300.135,300.135,0.0,-9999,-9999,0.611,0.611,0.0,88.743,88.743,0.0,3.262,3.262,0.0,2.432,2.432,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,62.6754,0.0,64.3948,-9999,-9999,-9999,-9999,81.2454,0.0,79.8512,-9999,-9999,-9999,-9999,4.0,3,30,18,0,0,-0.157194,0.0,-9999,-9999,-0.157194,0.0,-9999,-9999,-0.164205,0.0,0.00302894,-0.223062,-0.1739,-0.171561,-0.157194,-0.157194,-0.157194,-0.139509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1048,2.46371,0.0,-9999,-9999,-2.24528,0.543759,0.0,-9999,-9999,1.1048,2.46371,0.0,-9999,-9999,-2.24528,0.543759,0.0,-9999,-9999,1.00325,1.07905,1.08265,1.1048,1.1048,1.1048,1.13207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.24528,-2.24528,-2.24528,-2.24528,-2.24528,-2.24528,-2.24528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37735,1.38412,1.42222,0.0237054,1.29774,1.32385,1.32739,1.35153,1.38762,1.69566,1.72294,1.53219,1.54132,1.58643,0.0256621,1.43725,1.48104,1.48458,1.52865,1.54481,1.86722,1.91696,1.73843,1.70957,1.65391,0.0184705,1.42839,1.42839,1.64666,1.70957,1.71879,1.72279,1.73843,0.18625,0.175365,0.16226,0.00445607,0.110454,0.110454,0.149052,0.175365,0.178726,0.18625,0.187864,-9999,-9999
20040102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.734,-3.125,0.215,-2.137,0.406,-2.734,0.0,-3.125,0.215,0.0,-2.137,0.406,0.0,128.507,162.69,0.645833,42.524,42.524,0.645833,-9999,-9999,281.883,281.883,0.0,-9999,-9999,283.24,283.24,0.0,-9999,-9999,0.944,0.944,0.0,89.892,89.892,0.0,0.589,0.589,0.0,1.982,1.982,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,52.3218,0.0,53.7571,-9999,-9999,-9999,-9999,77.5006,0.0,76.1707,-9999,-9999,-9999,-9999,4.0,3,29,19,0,0,-0.15045,0.0,-9999,-9999,-0.15045,0.0,-9999,-9999,-0.164625,0.0,0.00394462,-0.236169,-0.182659,-0.182659,-0.15045,-0.15045,-0.15045,-0.139141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12595,2.41385,0.0,-9999,-9999,-2.08482,0.468124,0.0,-9999,-9999,1.12595,2.41385,0.0,-9999,-9999,-2.08482,0.468124,0.0,-9999,-9999,0.989225,1.07457,1.07457,1.12595,1.12595,1.12595,1.14398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.08482,-2.08482,-2.08482,-2.08482,-2.08482,-2.08482,-2.08482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33968,1.34647,1.3849,0.0238255,1.25999,1.28611,1.28965,1.31382,1.34997,1.65969,1.68721,1.48778,1.49692,1.54952,0.0266844,1.39913,1.43656,1.44667,1.49013,1.50042,1.84235,1.89254,1.7219,1.69332,1.63819,0.0182949,1.41481,1.41481,1.631,1.69332,1.70245,1.70641,1.7219,0.884032,0.854443,0.805745,0.015922,0.616637,0.616637,0.781266,0.854443,0.865944,0.884032,0.888775,-9999,-9999
20040103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.977,-3.373,0.257,-2.372,0.467,-2.977,0.0,-3.373,0.257,0.0,-2.372,0.467,0.0,129.189,163.961,0.645833,28.132,28.132,0.645833,-9999,-9999,290.343,290.343,0.0,-9999,-9999,291.022,291.022,0.0,-9999,-9999,0.722,0.722,0.0,90.271,90.271,0.0,1.172,1.172,0.0,2.812,2.812,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,34.8187,0.0,34.2494,-9999,-9999,-9999,-9999,73.7602,0.0,69.9229,-9999,-9999,-9999,-9999,5.0,3,29,19,0,0,-0.114634,0.0,-9999,-9999,-0.114634,0.0,-9999,-9999,-0.135891,0.0,0.00585597,-0.2281,-0.172228,-0.172228,-0.114634,-0.114634,-0.114634,-0.101749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25583,2.35379,0.0,-9999,-9999,-2.19587,0.523862,0.0,-9999,-9999,1.25583,2.35379,0.0,-9999,-9999,-2.19587,0.523862,0.0,-9999,-9999,1.07485,1.16397,1.16397,1.25583,1.25583,1.25583,1.27638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.19587,-2.19587,-2.19587,-2.19587,-2.19587,-2.19587,-2.19587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31484,1.32164,1.36025,0.023887,1.23516,1.26126,1.2648,1.28897,1.32514,1.63574,1.6634,1.42712,1.43627,1.49614,0.0283877,1.3369,1.37589,1.37944,1.42948,1.4612,1.80797,1.85842,1.71069,1.6823,1.62752,0.0181758,1.4056,1.4056,1.62038,1.6823,1.69136,1.6953,1.71069,0.677125,0.649442,0.608532,0.0135216,0.449007,0.449007,0.582348,0.649442,0.658997,0.677125,0.681406,-9999,-9999
20040104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-4.454,-5.022,1.557,-3.587,0.397,-4.454,0.0,-5.022,1.557,0.0,-3.587,0.397,0.0,129.929,164.44,0.645833,32.987,32.987,0.645833,-9999,-9999,277.423,277.423,0.0,-9999,-9999,279.137,279.137,0.0,-9999,-9999,0.746,0.746,0.0,90.921,90.921,0.0,0.761,0.761,0.0,1.663,1.663,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,62.6754,0.0,59.8212,-9999,-9999,-9999,-9999,81.2454,0.0,75.1303,-9999,-9999,-9999,-9999,6.0,3,29,19,0,0,-0.157194,0.0,-9999,-9999,-0.157194,0.0,-9999,-9999,-0.164205,0.0,0.00302894,-0.223062,-0.1739,-0.171561,-0.157194,-0.157194,-0.157194,-0.139509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17629,2.47545,0.0,-9999,-9999,-2.17807,0.604217,0.0,-9999,-9999,1.17629,2.47545,0.0,-9999,-9999,-2.17807,0.604217,0.0,-9999,-9999,1.07123,1.14964,1.15337,1.17629,1.17629,1.17629,1.2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.17807,-2.17807,-2.17807,-2.17807,-2.17807,-2.17807,-2.17807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17051,1.17724,1.21662,0.0239943,1.09184,1.11754,1.12103,1.1449,1.18072,1.49323,1.52146,1.32537,1.33444,1.38082,0.0259466,1.23134,1.27473,1.27822,1.32202,1.33791,1.66479,1.71632,1.64078,1.61355,1.56102,0.0174331,1.34816,1.34816,1.55417,1.61355,1.62224,1.62603,1.64078,0.754527,0.725815,0.681669,0.0145278,0.509837,0.509837,0.656567,0.725815,0.736147,0.754527,0.759019,-9999,-9999
20040105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-6.192,-6.645,1.952,-5.501,1.806,-6.192,0.0,-6.645,1.952,0.0,-5.501,1.806,0.0,130.729,162.69,0.645833,35.354,35.354,0.645833,-9999,-9999,268.506,268.506,0.0,-9999,-9999,270.933,270.933,0.0,-9999,-9999,1.582,1.582,0.0,91.24,91.24,0.0,0.213,0.213,0.0,1.556,1.556,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,52.3218,0.0,48.8482,-9999,-9999,-9999,-9999,77.5006,0.0,70.3807,-9999,-9999,-9999,-9999,7.0,3,29,19,0,0,-0.15045,0.0,-9999,-9999,-0.15045,0.0,-9999,-9999,-0.164625,0.0,0.00394462,-0.236169,-0.182659,-0.182659,-0.15045,-0.15045,-0.15045,-0.139141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12595,2.41385,0.0,-9999,-9999,-2.08482,0.468124,0.0,-9999,-9999,1.12595,2.41385,0.0,-9999,-9999,-2.08482,0.468124,0.0,-9999,-9999,0.989225,1.07457,1.07457,1.12595,1.12595,1.12595,1.14398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.08482,-2.08482,-2.08482,-2.08482,-2.08482,-2.08482,-2.08482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01032,1.01688,1.05657,0.0237497,0.93413,0.958942,0.962318,0.985436,1.02027,1.3302,1.3587,1.1585,1.16733,1.22119,0.0266047,1.07327,1.10939,1.11934,1.16077,1.17072,1.51286,1.56495,1.55598,1.53016,1.48034,0.0165321,1.27848,1.27848,1.47384,1.53016,1.5384,1.54199,1.55598,0.783841,0.754859,0.70975,0.0148304,0.534187,0.534187,0.684717,0.754859,0.765464,0.783841,0.788403,-9999,-9999
20040106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.748,-1.204,2.532,-0.051,1.09,-0.748,0.0,-1.204,2.532,0.0,-0.051,1.09,0.0,131.586,163.961,0.645833,9.221,9.221,0.645833,-9999,-9999,311.516,311.516,0.0,-9999,-9999,310.5,310.5,0.0,-9999,-9999,1.487,1.487,0.0,90.094,90.094,0.0,2.21,2.21,0.0,1.783,1.783,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,34.8187,0.0,31.9627,-9999,-9999,-9999,-9999,73.7602,0.0,66.0655,-9999,-9999,-9999,-9999,8.0,3,29,19,0,0,-0.114634,0.0,-9999,-9999,-0.114634,0.0,-9999,-9999,-0.135891,0.0,0.00585597,-0.2281,-0.172228,-0.172228,-0.114634,-0.114634,-0.114634,-0.101749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25583,2.35379,0.0,-9999,-9999,-2.19587,0.523862,0.0,-9999,-9999,1.25583,2.35379,0.0,-9999,-9999,-2.19587,0.523862,0.0,-9999,-9999,1.07485,1.16397,1.16397,1.25583,1.25583,1.25583,1.27638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.19587,-2.19587,-2.19587,-2.19587,-2.19587,-2.19587,-2.19587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55597,1.56254,1.59853,0.0227165,1.47849,1.50396,1.5074,1.5309,1.56592,1.86065,1.88642,1.66832,1.67717,1.73443,0.027233,1.58023,1.61859,1.62204,1.6706,1.70313,2.03287,2.07983,1.80958,1.77954,1.7216,0.0192265,1.48685,1.48685,1.71405,1.77954,1.78913,1.7933,1.80958,0.274105,0.259268,0.240582,0.00630883,0.166983,0.166983,0.223241,0.259268,0.263889,0.274105,0.27632,-9999,-9999
20040107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.316,1.823,0.767,3.068,1.291,2.316,0.0,1.823,0.767,0.0,3.068,1.291,0.0,132.502,164.44,0.645833,51.398,51.398,0.645833,-9999,-9999,292.521,292.521,0.0,-9999,-9999,293.026,293.026,0.0,-9999,-9999,1.404,1.404,0.0,89.751,89.751,0.0,1.821,1.821,0.0,2.495,2.495,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,62.6754,0.0,55.1899,-9999,-9999,-9999,-9999,81.2454,0.0,69.3339,-9999,-9999,-9999,-9999,8.0,3,29,19,0,0,-0.157194,0.0,-9999,-9999,-0.157194,0.0,-9999,-9999,-0.164205,0.0,0.00302894,-0.223062,-0.1739,-0.171561,-0.157194,-0.157194,-0.157194,-0.139509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17629,2.47545,0.0,-9999,-9999,-2.17807,0.604217,0.0,-9999,-9999,1.17629,2.47545,0.0,-9999,-9999,-2.17807,0.604217,0.0,-9999,-9999,1.07123,1.14964,1.15337,1.17629,1.17629,1.17629,1.2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.17807,-2.17807,-2.17807,-2.17807,-2.17807,-2.17807,-2.17807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89691,1.90301,1.93476,0.0206229,1.82439,1.84834,1.85157,1.87355,1.90615,2.17286,2.19559,2.05198,2.0602,2.09896,0.0226009,1.9639,2.00554,2.00877,2.05068,2.06334,2.34442,2.38576,1.94236,1.91012,1.84793,0.0206372,1.59595,1.59595,1.83982,1.91012,1.92041,1.92489,1.94236,1.0036,0.97317,0.920272,0.0172134,0.715204,0.715204,0.89633,0.97317,0.985755,1.0036,1.00858,-9999,-9999
20040108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.816,3.607,0.978,4.135,0.735,3.816,0.0,3.607,0.978,0.0,4.135,0.735,0.0,133.476,162.69,0.645833,16.508,16.508,0.645833,-9999,-9999,311.767,311.767,0.0,-9999,-9999,310.73,310.73,0.0,-9999,-9999,1.112,1.112,0.0,90.364,90.364,0.0,2.115,2.115,0.0,2.254,2.254,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,52.3218,0.0,44.1156,-9999,-9999,-9999,-9999,77.5006,0.0,64.967,-9999,-9999,-9999,-9999,8.0,3,29,19,0,0,-0.15045,0.0,-9999,-9999,-0.15045,0.0,-9999,-9999,-0.164625,0.0,0.00394462,-0.236169,-0.182659,-0.182659,-0.15045,-0.15045,-0.15045,-0.139141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12595,2.41385,0.0,-9999,-9999,-2.08482,0.468124,0.0,-9999,-9999,1.12595,2.41385,0.0,-9999,-9999,-2.08482,0.468124,0.0,-9999,-9999,0.989225,1.07457,1.07457,1.12595,1.12595,1.12595,1.14398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.08482,-2.08482,-2.08482,-2.08482,-2.08482,-2.08482,-2.08482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07397,2.07968,2.10866,0.0190812,2.00595,2.02847,2.0315,2.05212,2.08261,2.32901,2.34977,2.22244,2.23013,2.27329,0.0219801,2.14509,2.17892,2.18852,2.22442,2.23478,2.51167,2.54939,2.00404,1.97077,1.90661,0.0212926,1.64663,1.64663,1.89824,1.97077,1.98139,1.98601,2.00404,0.461376,0.438386,0.407975,0.0101933,0.288634,0.288634,0.38234,0.438386,0.445615,0.461376,0.464838,-9999,-9999
20040109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.938,5.144,1.026,9.676,1.804,6.938,0.0,5.144,1.026,0.0,9.676,1.804,0.0,134.507,163.961,0.645833,60.245,60.245,0.645833,-9999,-9999,298.785,298.785,0.0,-9999,-9999,298.788,298.788,0.0,-9999,-9999,4.287,4.287,0.0,90.466,90.466,0.0,0.302,0.302,0.0,2.444,2.444,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,34.8187,0.0,28.8601,-9999,-9999,-9999,-9999,73.7602,0.0,60.7773,-9999,-9999,-9999,-9999,8.0,3,29,19,0,0,-0.114634,0.0,-9999,-9999,-0.114634,0.0,-9999,-9999,-0.135891,0.0,0.00585597,-0.2281,-0.172228,-0.172228,-0.114634,-0.114634,-0.114634,-0.101749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25583,2.35379,0.0,-9999,-9999,-2.19587,0.523862,0.0,-9999,-9999,1.25583,2.35379,0.0,-9999,-9999,-2.19587,0.523862,0.0,-9999,-9999,1.07485,1.16397,1.16397,1.25583,1.25583,1.25583,1.27638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.19587,-2.19587,-2.19587,-2.19587,-2.19587,-2.19587,-2.19587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46336,2.46779,2.48945,0.0145925,2.41014,2.42782,2.4302,2.44632,2.47007,2.65802,2.67354,2.57644,2.58242,2.62534,0.0192475,2.51189,2.54245,2.54483,2.57799,2.61855,2.83025,2.85842,2.12397,2.08872,2.02071,0.0225669,1.74518,1.74518,2.01185,2.08872,2.09997,2.10487,2.12397,1.09532,1.06531,1.01024,0.017848,0.797011,0.797011,0.987997,1.06531,1.07856,1.09532,1.10035,-9999,-9999
20040110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.459,0.335,1.497,3.175,1.578,1.459,0.0,0.335,1.497,0.0,3.175,1.578,0.0,135.597,164.44,0.645833,61.612,61.612,0.645833,-9999,-9999,281.839,281.839,0.0,-9999,-9999,283.199,283.199,0.0,-9999,-9999,1.234,1.234,0.0,90.838,90.838,0.0,0.127,0.127,0.0,1.279,1.279,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,62.6754,0.0,52.001,-9999,-9999,-9999,-9999,81.2454,0.0,67.0116,-9999,-9999,-9999,-9999,8.0,3,29,19,0,0,-0.157194,0.0,-9999,-9999,-0.157194,0.0,-9999,-9999,-0.164205,0.0,0.00302894,-0.223062,-0.1739,-0.171561,-0.157194,-0.157194,-0.157194,-0.139509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17629,2.47545,0.0,-9999,-9999,-2.17807,0.604217,0.0,-9999,-9999,1.17629,2.47545,0.0,-9999,-9999,-2.17807,0.604217,0.0,-9999,-9999,1.07123,1.14964,1.15337,1.17629,1.17629,1.17629,1.2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.17807,-2.17807,-2.17807,-2.17807,-2.17807,-2.17807,-2.17807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.80136,1.80759,1.84054,0.0212083,1.72747,1.75184,1.75513,1.77753,1.8108,2.08535,2.10894,1.95639,1.96478,2.00474,0.0231818,1.86698,1.90903,1.91233,1.95465,1.96799,2.25691,2.29983,1.90522,1.8736,1.8126,0.0202427,1.56544,1.56544,1.80465,1.8736,1.8837,1.88809,1.90522,1.11772,1.08758,1.03168,0.0181002,0.815333,0.815333,1.00959,1.08758,1.10103,1.11772,1.12279,-9999,-9999
