TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20110101,9.091,1.0,8.455,5.851,1.0,9.981,2.592,1.0,8.137,6.479,5.225,10.457,1.933,9.091,1.0,8.455,5.851,1.0,9.981,2.592,1.0,160.717,12.335,1.0,5.135,12.335,1.0,353.953,1.0,377.086,353.953,1.0,296.862,0.979167,349.405,298.995,0.979167,2.147,0.979167,2.444,2.167,0.979167,98.713,98.781,1.0,9.657,9.657,0.0,1.798,2.207,0.770833,0.441459459459,0.770833333333,-4.27129166667,1.0,2.40165,0.833333333333,341.312083333,1.0,376.407,0.958333,-9999,-9999,-9999,1.0,6.78745,0.958333,-9999,-9999,-9999,0.60149,-9999,-13.187,0.958333,-9999,-9999,-9999,1.15831,-9999,-9999,-9999,28,20,28,20,0.815956,0.958333,0.167042,0.16906,0.815956,0.958333,0.167042,0.16906,0.822671,0.958333,0.00372031,0.792309,0.796332,0.80435,0.815956,0.839311,0.848428,0.862498,0.958333,0.958333,0.958333,0.958333,0.958333,0.958333,0.958333,0.742055,0.85138,1.0,0.204966,0.206608,0.848228,0.373411,0.9,0.258662,0.259749,0.742055,0.85138,1.0,0.204966,0.206608,0.848228,0.373411,0.9,0.258662,0.259749,0.71339,0.718306,0.728043,0.742055,0.75817,0.770292,0.771561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.833669,0.836092,0.83852,0.843642,0.882018,0.88357,0.888757,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.00022,1.01086,1.02035,0.011639,0.942053,0.97162,0.97606,1.00538,1.02929,1.06352,1.19864,0.17451,0.194899,0.197679,0.0110447,0.0951045,0.134312,0.141344,0.194899,0.222084,0.244606,0.325108,3.03311,3.03874,3.00458,0.0115561,2.83212,2.93201,2.97806,3.03855,3.04868,3.0515,3.0521,0.0752841,0.077861,0.0730433,0.00129898,0.0524971,0.0684344,0.0721453,0.0761896,0.0776319,0.077861,0.0797805,-9999,-9999
20110102,-3.584,1.0,-3.727,0.891,1.0,-3.385,1.25,1.0,-3.847,-4.146,0.779,-3.429,1.194,-3.584,1.0,-3.727,0.891,1.0,-3.385,1.25,1.0,161.344,96.014,1.0,93.477,96.014,1.0,297.916,1.0,280.955,297.916,1.0,202.807,1.0,201.071,202.807,1.0,1.902,1.0,2.965,1.902,1.0,99.612,99.947,1.0,0.0,0.0,0.0,1.414,1.793,1.0,0.34425,1.0,10.44,1.0,17.1766458333,1.0,231.655208333,1.0,371.987,1.0,-9999,-9999,-9999,1.0,10.4898,1.0,-9999,-9999,-9999,0.667757,-9999,24.7191,1.0,-9999,-9999,-9999,2.30349,-9999,-9999,-9999,28,20,28,20,0.0864617,1.0,0.17597,0.184886,0.0864617,1.0,0.17597,0.184886,0.0807255,1.0,0.00877118,0.0170563,0.017377,0.0262957,0.0840174,0.129629,0.130823,0.169884,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.222403,0.577675,1.0,0.217609,0.237032,-0.1114,0.642088,1.0,0.269843,0.269843,0.222403,0.577675,1.0,0.217609,0.237032,-0.1114,0.642088,1.0,0.269843,0.269843,0.0358313,0.107748,0.108278,0.218365,0.293715,0.295687,0.360214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.1114,-0.1114,-0.1114,-0.1114,-0.1114,-0.1114,0.0262275,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.537711,0.548016,0.544635,0.00355364,0.517083,0.523971,0.528785,0.542739,0.550984,0.562745,0.568784,0.444008,0.461554,0.46391,0.0112319,0.350651,0.354193,0.404125,0.461554,0.526985,0.5338,0.536601,0.796479,0.78722,0.772367,0.00287747,0.731686,0.750332,0.764489,0.77491,0.782826,0.78722,0.794066,0.323953,0.329619,0.322448,0.00229108,0.285922,0.316744,0.322829,0.326304,0.328566,0.329619,0.339501,-9999,-9999
20110103,-1.683,1.0,-2.943,3.489,1.0,0.242,3.577,1.0,-1.302,-2.4,2.266,0.374,2.274,-1.683,1.0,-2.943,3.489,1.0,0.242,3.577,1.0,162.028,95.737,1.0,93.102,95.737,1.0,301.124,1.0,293.117,301.124,1.0,230.398,1.0,219.836,230.398,1.0,2.543,1.0,3.407,2.543,1.0,99.615,99.901,1.0,0.0,0.0,0.0,1.327,1.899,1.0,0.32075,1.0,7.04185416667,1.0,18.4871041667,1.0,232.7666875,1.0,382.267,1.0,-9999,-9999,-9999,1.0,10.3924,1.0,-9999,-9999,-9999,0.770937,-9999,15.6188,1.0,-9999,-9999,-9999,2.0075,-9999,-9999,-9999,29,19,29,19,0.782221,1.0,0.190802,0.196668,0.782221,1.0,0.190802,0.196668,0.822105,1.0,0.00667973,0.740734,0.775882,0.790505,0.830012,0.83568,0.871236,0.879809,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.753437,1.20457,1.0,0.215201,0.239046,0.754314,1.99278,1.0,0.328441,0.342132,0.753437,1.20457,1.0,0.215201,0.239046,0.754314,1.99278,1.0,0.328441,0.342132,0.568173,0.687267,0.687988,0.750638,0.838705,0.895417,0.90909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.754314,0.754314,0.754314,0.754314,0.945947,0.945947,0.954834,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.606646,0.617109,0.61534,0.00406691,0.592764,0.595262,0.597385,0.609098,0.620707,0.630828,0.655131,-0.192714,-0.165111,-0.206765,0.00917642,-0.284941,-0.27981,-0.234144,-0.209255,-0.175628,-0.148103,-0.109483,1.01375,1.00609,0.999371,0.00410533,0.941975,0.972504,0.993074,1.00109,1.01151,1.01921,1.03706,0.295219,0.300159,0.298741,0.00283244,0.259387,0.288261,0.295804,0.298673,0.310665,0.314549,0.323925,-9999,-9999
20110104,0.265,1.0,-1.343,1.297,1.0,2.515,1.635,1.0,0.527,-0.898,1.056,2.523,1.283,0.265,1.0,-1.343,1.297,1.0,2.515,1.635,1.0,162.772,87.668,1.0,90.55,87.668,1.0,311.381,1.0,305.369,311.381,1.0,222.03,1.0,238.741,222.03,1.0,2.96,1.0,3.502,2.96,1.0,98.861,99.126,1.0,0.0,0.0,0.0,1.685,2.181,1.0,0.422833333333,1.0,8.45179166667,1.0,15.5182708333,1.0,249.606666667,1.0,374.975,1.0,-9999,-9999,-9999,1.0,7.88731,1.0,-9999,-9999,-9999,0.513612,-9999,6.51415,1.0,-9999,-9999,-9999,2.07656,-9999,-9999,-9999,28,20,28,20,0.832995,1.0,0.163064,0.163064,0.832995,1.0,0.163064,0.163064,0.829574,1.0,0.00342096,0.832995,0.832995,0.832995,0.832995,0.832995,0.832995,0.832995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.896944,0.932362,1.0,0.191559,0.191559,0.670788,1.60551,1.0,0.265147,0.265147,0.896944,0.932362,1.0,0.191559,0.191559,0.670788,1.60551,1.0,0.265147,0.265147,0.896944,0.896944,0.896944,0.896944,0.896944,0.896944,0.896944,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.670788,0.670788,0.670788,0.670788,0.670788,0.670788,0.670788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.663004,0.669751,0.669819,0.00353977,0.649122,0.649787,0.655291,0.665898,0.673261,0.683352,0.727687,-0.177703,-0.163244,-0.159755,0.00586506,-0.183872,-0.183207,-0.177703,-0.167097,-0.159733,-0.149643,-0.105308,1.10003,1.09384,1.10746,0.0086076,1.03573,1.06426,1.08163,1.08891,1.14507,1.15855,1.22104,0.207153,0.21002,0.220052,0.00478602,0.182122,0.201155,0.20647,0.208651,0.242321,0.250078,0.28677,-9999,-9999
20110105,-3.802,1.0,-4.351,2.284,1.0,-2.964,2.115,1.0,-3.1,-3.707,0.655,-2.173,1.183,-3.802,1.0,-4.351,2.284,1.0,-2.964,2.115,1.0,163.573,88.577,1.0,79.54,88.577,1.0,293.575,1.0,297.515,293.575,1.0,230.61,1.0,226.623,230.61,1.0,1.747,1.0,2.677,1.747,1.0,98.833,99.147,1.0,0.0,0.0,0.0,0.671,0.778,1.0,0.156708333333,1.0,8.1415625,1.0,17.6675416667,1.0,232.237916667,1.0,389.661,1.0,-9999,-9999,-9999,1.0,6.20585,1.0,-9999,-9999,-9999,0.671419,-9999,26.6264,1.0,-9999,-9999,-9999,2.02864,-9999,-9999,-9999,29,19,29,19,0.22951,1.0,0.17482,0.175904,0.22951,1.0,0.17482,0.175904,0.247283,1.0,0.00304883,0.20878,0.224895,0.229375,0.251451,0.261171,0.263899,0.270096,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0532323,0.636681,1.0,0.220661,0.221978,0.477487,0.999364,1.0,0.260188,0.261179,0.0532323,0.636681,1.0,0.220661,0.221978,0.477487,0.999364,1.0,0.260188,0.261179,0.045871,0.0520635,0.0641409,0.0879446,0.0971744,0.100357,0.12169,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.364748,0.452115,0.477487,0.488565,0.488565,0.497576,0.501407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41526,0.417815,0.414882,0.00178416,0.397456,0.401466,0.4056,0.415499,0.421261,0.42613,0.433784,0.185016,0.188305,0.167598,0.00402478,0.127956,0.137861,0.144964,0.164065,0.184789,0.190463,0.220408,0.614025,0.608652,0.621167,0.00626315,0.578083,0.586125,0.596808,0.605407,0.651409,0.670364,0.702907,0.161009,0.162995,0.177452,0.00555638,0.141428,0.155703,0.159441,0.162302,0.203676,0.21406,0.2613,-9999,-9999
20110106,-1.936,1.0,-2.788,0.872,1.0,-0.744,0.776,1.0,-1.009,-2.003,0.852,0.383,0.96,-1.936,1.0,-2.788,0.872,1.0,-0.744,0.776,1.0,164.433,17.524,1.0,52.327,17.524,1.0,303.995,1.0,337.741,303.995,1.0,225.387,1.0,288.694,225.387,1.0,1.401,1.0,2.778,1.401,1.0,97.711,98.002,1.0,1.094,1.094,0.0,1.394,1.67,1.0,0.3235625,1.0,-1.69254166667,1.0,2.85258695652,0.958333333333,288.128541667,1.0,390.396,1.0,-9999,-9999,-9999,1.0,4.53119,1.0,-9999,-9999,-9999,0.504194,-9999,-1.37085,1.0,-9999,-9999,-9999,1.50817,-9999,-9999,-9999,28,20,28,20,0.62403,1.0,0.18406,0.186556,0.62403,1.0,0.18406,0.186556,0.602845,1.0,0.00547375,0.536739,0.563597,0.606307,0.612869,0.621975,0.624426,0.629157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.567232,0.496272,1.0,0.225373,0.230724,0.649103,0.983855,1.0,0.285751,0.285788,0.567232,0.496272,1.0,0.225373,0.230724,0.649103,0.983855,1.0,0.285751,0.285788,0.417375,0.469616,0.541084,0.549684,0.56513,0.568419,0.576381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.643854,0.644719,0.644886,0.648758,0.653181,0.653918,0.65588,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.328816,0.331355,0.325161,0.00172501,0.307442,0.310438,0.314496,0.328142,0.333232,0.334722,0.33772,-0.296284,-0.292676,-0.277685,0.00545281,-0.30288,-0.29996,-0.297314,-0.288231,-0.279054,-0.253374,-0.229086,0.737074,0.732718,0.744074,0.00628038,0.687889,0.717669,0.724962,0.731008,0.7794,0.792982,0.808945,0.0440805,0.0450495,0.0512275,0.00246905,0.0330699,0.0416603,0.0433519,0.0446866,0.064257,0.0701031,0.0843479,-9999,-9999
20110107,-5.963,1.0,-6.413,0.746,1.0,-5.275,0.801,1.0,-4.034,-4.518,0.777,-3.294,0.994,-5.963,1.0,-6.413,0.746,1.0,-5.275,0.801,1.0,165.35,60.278,1.0,60.5,60.278,1.0,284.407,1.0,323.894,284.407,1.0,228.945,1.0,267.327,228.945,1.0,0.894,1.0,2.479,0.894,1.0,97.015,97.475,1.0,0.952,0.952,0.0,1.315,1.371,1.0,0.273666666667,1.0,8.65425,1.0,22.8637916667,1.0,256.635875,1.0,369.348,1.0,-9999,-9999,-9999,1.0,4.15473,1.0,-9999,-9999,-9999,0.66336,-9999,8.2444,1.0,-9999,-9999,-9999,1.99852,-9999,-9999,-9999,29,19,29,19,-0.129597,1.0,0.246045,0.249645,-0.129597,1.0,0.246045,0.249645,-0.119219,1.0,0.00583935,-0.165198,-0.151752,-0.147807,-0.133499,-0.069699,-0.0672622,-0.0671154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.502996,1.36382,1.0,0.25938,0.267167,0.45223,2.28374,1.0,0.449507,0.449648,-0.502996,1.36382,1.0,0.25938,0.267167,0.45223,2.28374,1.0,0.449507,0.449648,-0.542915,-0.532411,-0.529739,-0.508873,-0.406351,-0.404342,-0.403912,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.265455,0.430873,0.446912,0.451701,0.452821,0.453406,0.453528,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.143447,0.14624,0.137545,0.00192489,0.117065,0.120798,0.12589,0.144227,0.147243,0.148885,0.150331,0.289911,0.275837,0.256764,0.00708989,0.179488,0.187885,0.196318,0.278605,0.291302,0.29271,0.300749,0.39403,0.390773,0.389262,0.00497333,0.359175,0.363826,0.365924,0.37193,0.41701,0.429137,0.451815,0.0833744,0.0894173,0.0962754,0.00353867,0.0745663,0.0811927,0.08335,0.0846995,0.115208,0.125496,0.136514,-9999,-9999
20110108,-8.136,1.0,-8.248,0.99,1.0,-7.979,0.333,1.0,-6.415,-6.967,1.071,-5.641,1.039,-8.136,1.0,-8.248,0.99,1.0,-7.979,0.333,1.0,166.324,82.392,1.0,83.187,82.392,1.0,275.606,1.0,298.029,275.606,1.0,191.268,1.0,227.416,191.268,1.0,0.725,1.0,2.108,0.725,1.0,97.698,98.272,1.0,1.121,1.121,0.0,1.483,1.853,1.0,0.399145833333,1.0,9.02920833333,1.0,34.4833541667,1.0,238.066270833,1.0,370.384,1.0,-9999,-9999,-9999,1.0,3.18308,1.0,-9999,-9999,-9999,0.477038,-9999,17.7606,1.0,-9999,-9999,-9999,2.08712,-9999,-9999,-9999,28,20,28,20,-0.386526,1.0,0.2268,0.229812,-0.386526,1.0,0.2268,0.229812,-0.363584,1.0,0.0104927,-0.397165,-0.397165,-0.397165,-0.387022,-0.333639,-0.322995,-0.252077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.554579,1.20344,1.0,0.310525,0.316511,-0.117528,1.12184,1.0,0.293493,0.293493,-0.554579,1.20344,1.0,0.310525,0.316511,-0.117528,1.12184,1.0,0.293493,0.293493,-0.572155,-0.572155,-0.572155,-0.555399,-0.467211,-0.449628,-0.332475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.117528,-0.117528,-0.117528,-0.117528,-0.117528,-0.117528,-0.117528,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0338938,0.0351248,0.0303145,0.000991625,0.0208978,0.0219965,0.0233909,0.0338089,0.035157,0.0357049,0.0367416,0.431989,0.421651,0.393899,0.0107549,0.271753,0.347302,0.367492,0.420319,0.423764,0.431989,0.43287,0.263726,0.261119,0.25197,0.00618362,0.214688,0.2196,0.223612,0.227744,0.286661,0.295414,0.322106,0.079905,0.0992791,0.0998952,0.00403716,0.079905,0.0810672,0.0826552,0.083945,0.121059,0.135987,0.146088,-9999,-9999
20110109,-5.132,0.770833,-5.397,1.566,1.0,-4.76,2.02,0.45,-8.166,-10.128,1.446,-5.419,2.837,-5.367,0.770833,-5.397,1.566,1.0,-5.325,2.902,0.45,167.354,65.238,0.791667,99.623,79.194,0.791667,283.792,0.770833,274.505,281.153,0.770833,229.184,0.770833,191.118,223.122,0.770833,1.391,0.770833,1.943,1.617,0.770833,99.771,100.215,1.0,0.0,0.0,0.0,1.015,0.732,1.0,0.1606875,1.0,-9999,0.0,-9999,0.0,-9999,0.0,388.806,0.770833,-9999,-9999,-9999,1.0,5.6321,0.770833,-9999,-9999,-9999,0.51356,-9999,22.3932,0.770833,-9999,-9999,-9999,2.38027,-9999,-9999,-9999,28,20,28,20,0.106915,0.75,0.179627,0.192708,0.106915,0.75,0.179627,0.192708,0.168939,0.75,0.00975117,0.0742868,0.112394,0.126847,0.151866,0.186655,0.251973,0.289979,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.270383,0.596956,1.0,0.223571,0.236511,-0.131268,0.878674,0.4,0.273158,0.332847,0.270383,0.596956,1.0,0.223571,0.236511,-0.131268,0.878674,0.4,0.273158,0.332847,0.217984,0.227674,0.257678,0.277898,0.368739,0.381989,0.383613,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.201776,-0.131617,-0.105371,-0.105371,-0.0098446,0.248762,0.261331,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0668438,0.060152,0.0698392,0.00130345,0.0577591,0.060152,0.0611507,0.0705971,0.075836,0.0786207,0.0809893,-0.055978,-0.0467632,-0.0991001,0.00869439,-0.226292,-0.170983,-0.112775,-0.0825165,-0.0656942,-0.0532966,-0.0467632,0.412372,0.409844,0.392155,0.0116525,0.321317,0.336217,0.340881,0.34322,0.445288,0.481387,0.533396,0.0654214,0.0867548,0.0872956,0.00435212,0.0654214,0.0669863,0.068798,0.069804,0.103128,0.129798,0.136216,-9999,-9999
20110110,-5.277,1.0,-6.525,2.963,1.0,-3.531,2.171,1.0,-6.604,-8.508,3.422,-3.938,2.765,-5.277,1.0,-6.525,2.963,1.0,-3.531,2.171,1.0,168.442,72.871,1.0,77.376,72.871,1.0,288.147,1.0,299.763,288.147,1.0,210.394,1.0,230.091,210.394,1.0,1.343,1.0,2.023,1.343,1.0,100.226,100.498,1.0,0.0,0.0,0.0,0.835,1.053,1.0,0.2129375,1.0,14.5367708333,1.0,24.4796458333,1.0,255.227104167,1.0,405.342,1.0,-9999,-9999,-9999,1.0,7.0689,1.0,-9999,-9999,-9999,0.673965,-9999,15.6946,1.0,-9999,-9999,-9999,2.01814,-9999,-9999,-9999,28,20,28,20,0.111405,1.0,0.219514,0.304798,0.111405,1.0,0.219514,0.304798,0.215137,1.0,0.0274447,0.0154108,0.0230997,0.0731643,0.124558,0.33006,0.44602,0.506646,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.195812,1.26986,1.0,0.222899,0.335305,0.531788,1.97705,1.0,0.40045,0.437719,-0.195812,1.26986,1.0,0.222899,0.335305,0.531788,1.97705,1.0,0.40045,0.437719,-0.419838,-0.407137,-0.324431,-0.197795,0.079838,0.0938443,0.104472,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.521802,0.531788,0.623415,0.623415,0.631246,0.885273,1.04826,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.167613,0.159334,0.167595,0.00151142,0.15614,0.158222,0.158932,0.164704,0.17309,0.17921,0.184409,0.0576333,0.0479293,-0.0475424,0.026415,-0.328304,-0.306654,-0.161343,0.0430552,0.0841153,0.140555,0.142282,0.405836,0.404139,0.397022,0.0101827,0.340518,0.351286,0.354497,0.356926,0.427514,0.470334,0.524722,0.0503828,0.0641568,0.0700939,0.00460307,0.0503828,0.0512411,0.052533,0.0533035,0.0743383,0.118241,0.129165,-9999,-9999
