TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
201101,-3.2,0.981183,-3.756,2.042,1.0,-2.43,1.531,0.956144,-3.197,-4.08,2.087,-1.987,1.566,-3.209,0.981183,-3.756,2.042,1.0,-2.453,1.575,0.956144,178.235,63.792,0.982527,76.064,65.812,0.982527,296.551,0.981183,318.541,296.53,0.981183,231.795,0.980511,259.066,231.611,0.980511,1.354,0.980511,2.226,1.373,0.980511,99.075,99.371,0.976478,1.259,1.259,0.0,1.208,1.53,0.975806,0.319600236186,0.975806451613,10.7257593391,0.935483870968,23.6626575962,0.92876344086,267.777837644,0.935483870968,378.928,0.977823,-9999,-9999,-9999,1.0,5.74786,0.977823,-9999,0.119203,13.5259,0.977823,-9999,0.374592,-9999,-9999,27.7419,20.2581,27.6774,20.2581,0.351102,0.976478,0.0363703,0.0567775,0.323684,0.976478,0.0367998,0.0570536,0.348529,0.976462,0.00557183,0.315297,0.319492,0.324051,0.329246,0.372133,0.40669,0.417723,0.976478,0.976478,0.976478,0.976478,0.976478,0.976478,0.976478,0.339551,0.93511,1.0,0.0438058,0.0688047,0.339603,1.19117,0.944931,0.0588152,0.0633438,0.303859,0.992621,1.0,0.0438058,0.0688047,0.325076,1.21708,0.944931,0.0588152,0.0633438,0.296321,0.299417,0.303859,0.313759,0.373917,0.405533,0.417057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.316218,0.323473,0.323752,0.32437,0.340148,0.370514,0.388777,0.944931,0.944931,0.944931,0.944931,0.944931,0.944931,0.944931,0.431439,0.43257,0.454198,0.00740726,0.410394,0.41315,0.421085,0.43257,0.48612,0.512925,0.548602,0.108577,0.108886,0.105669,0.0024532,0.0831784,0.0879895,0.0932317,0.103784,0.112765,0.119883,0.137688,0.600651,0.59774,0.616764,0.0061533,0.572189,0.584201,0.593151,0.613433,0.623604,0.636225,0.671165,0.170036,0.164838,0.176049,0.00365464,0.154421,0.161305,0.164676,0.168646,0.171759,0.202565,0.211077,-9999,-9999
201102,-4.902,0.526786,-5.037,1.329,0.64,-4.707,2.508,0.392857,0.405,-0.395,3.002,1.352,1.919,-1.104,0.526786,-3.037,2.591,0.64,1.142,1.856,0.392857,239.332,110.758,0.739583,102.686,97.731,0.739583,289.624,0.526786,331.833,314.323,0.526786,224.133,0.526786,279.577,261.313,0.526786,1.635,0.526786,2.645,2.079,0.526786,99.108,99.265,0.392857,4.535,4.535,0.0,1.478,1.597,0.353423,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,380.118,0.526786,-9999,-9999,-9999,1.0,8.96214,0.526786,-9999,0.143094,27.6659,0.526786,-9999,0.544681,-9999,-9999,26.0357,21.9643,23.3214,19.5,0.968742,0.526786,0.0392702,0.077645,0.93268,0.526786,0.0394219,0.0777218,0.973659,0.526786,0.0113314,0.914306,0.921082,0.924269,0.932675,1.04707,1.05505,1.11474,0.526786,0.526786,0.526786,0.526786,0.526786,0.526786,0.526786,0.728842,0.412854,0.64,0.049154,0.0800961,1.17465,0.876981,0.392857,0.0591894,0.094123,0.692933,0.418572,0.64,0.049154,0.0800961,1.13941,0.895878,0.392857,0.0591894,0.094123,0.661376,0.672899,0.678666,0.692933,0.771214,0.799378,0.883324,0.64,0.64,0.64,0.64,0.64,0.64,0.64,1.13686,1.137,1.13745,1.13941,1.26749,1.28337,1.29045,0.392857,0.392857,0.392857,0.392857,0.392857,0.392857,0.392857,1.0934,1.08047,1.11276,0.00616283,1.07268,1.07785,1.08047,1.10477,1.13008,1.14866,1.20444,0.148011,0.14779,0.139103,0.00999235,0.0226007,0.046517,0.0935192,0.151124,0.18109,0.209476,0.22754,2.44811,1.88989,2.27811,0.0457753,1.88989,1.96886,2.05845,2.14812,2.54756,2.60519,2.71025,0.247347,0.192959,0.31717,0.0230375,0.157264,0.170009,0.179878,0.248512,0.436763,0.47822,0.538531,-9999,-9999
201103,6.801,0.526882,5.331,1.19,0.642473,8.248,3.043,0.419355,5.357,3.865,2.487,6.785,2.518,5.469,0.526882,4.232,2.022,0.642473,6.669,2.627,0.419355,322.801,172.99,0.735215,142.186,132.657,0.735215,353.729,0.526882,344.529,346.479,0.526882,284.731,0.526882,299.167,294.053,0.526882,4.832,0.526882,3.577,3.739,0.526882,99.358,99.376,0.387097,4.67,4.67,0.0,1.369,1.54,0.377016,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,403.969,0.500672,-9999,-9999,-9999,1.0,24.9161,0.501344,-9999,0.282677,36.5145,0.501344,-9999,0.848163,-9999,-9999,23.5161,24.4839,19.6129,20.7419,1.13863,0.501344,0.0538675,0.0572519,1.12406,0.500672,0.053856,0.0572411,1.13487,0.501495,0.00314435,1.10817,1.11649,1.12073,1.12649,1.14563,1.15528,1.17586,0.502688,0.502688,0.500672,0.502688,0.501344,0.501344,0.5,1.46559,0.662875,0.619624,0.0779174,0.0904023,0.753898,1.03264,0.392258,0.0690439,0.0697108,1.42399,0.695565,0.619624,0.0779174,0.0904023,0.765321,1.03719,0.390968,0.0690439,0.0697108,1.38209,1.39912,1.41706,1.42399,1.47691,1.4908,1.5158,0.619624,0.619624,0.619624,0.619624,0.619624,0.619624,0.619624,0.753847,0.75561,0.761434,0.765321,0.774357,0.77485,0.77488,0.392258,0.392258,0.390968,0.390968,0.394839,0.392258,0.394839,1.38696,1.38404,1.40573,0.00515656,1.37855,1.38206,1.38404,1.38891,1.40685,1.43309,1.48425,0.260021,0.259983,0.270854,0.00244012,0.259983,0.26106,0.262208,0.26583,0.272651,0.276371,0.313956,3.322,2.74643,2.99155,0.034154,2.65105,2.74643,2.85866,2.96785,3.18149,3.21954,3.322,1.02296,0.870285,0.939323,0.0117862,0.857884,0.870285,0.887211,0.91577,0.964538,1.01699,1.09235,-9999,-9999
201104,12.525,0.979861,11.452,2.992,1.0,13.359,2.945,0.964198,12.458,10.957,2.936,13.629,2.959,12.641,0.979861,11.452,2.992,1.0,13.565,3.031,0.964198,404.39,143.502,0.982639,153.904,144.225,0.982639,378.603,0.98125,381.655,378.432,0.98125,340.339,0.979167,356.454,340.758,0.979167,5.12,0.979167,4.937,5.252,0.979167,98.589,98.552,1.0,7.719,7.719,0.0,1.55,1.98,0.909722,0.418139227152,0.953472222222,82.6380007184,0.966666666667,22.1867266773,0.947222222222,341.755196839,0.966666666667,402.37,0.976389,-9999,-9999,-9999,1.0,34.8046,0.975694,-9999,0.648784,20.1638,0.976389,-9999,0.553548,-9999,-9999,20.8333,27.1667,20.8333,27.0,0.852154,0.974306,0.0546241,0.0706456,0.884901,0.974306,0.055827,0.0715797,0.883122,0.973733,0.00562035,0.836849,0.842413,0.849769,0.878391,0.896918,0.932012,0.940211,0.970139,0.974306,0.974306,0.974306,0.974306,0.974306,0.974306,1.62253,1.50247,1.0,0.0859481,0.116234,0.228546,2.62244,0.954446,0.0684508,0.070654,1.62743,1.53173,1.0,0.0859481,0.116234,0.279787,2.69798,0.954446,0.0684508,0.070654,1.5277,1.55398,1.59891,1.62743,1.65344,1.71048,1.72626,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.228286,0.261811,0.264293,0.275927,0.292287,0.296823,0.300822,0.954446,0.954446,0.954446,0.954446,0.954446,0.954446,0.954446,1.77048,1.70538,1.69878,0.00987921,1.5582,1.62352,1.68155,1.70254,1.7135,1.76684,1.78804,0.813006,0.820484,0.815663,0.00559485,0.716039,0.776615,0.811605,0.820484,0.837484,0.847555,0.854678,2.56696,2.57051,2.49883,0.0205538,2.25178,2.33949,2.39155,2.53026,2.57774,2.61413,2.70094,1.54695,1.52672,1.48982,0.0102197,1.37354,1.41147,1.41862,1.51305,1.5345,1.54529,1.57915,-9999,-9999
201105,17.958,1.0,15.943,1.892,1.0,19.228,2.788,1.0,17.281,15.412,2.003,18.459,2.469,17.958,1.0,15.943,1.892,1.0,19.228,2.788,1.0,461.817,187.054,1.0,181.659,187.054,1.0,406.067,0.99664,404.811,405.956,0.99664,383.761,0.999328,392.185,383.844,0.999328,7.803,0.999328,5.837,7.803,0.999328,98.828,98.707,1.0,5.564,5.564,0.0,0.998,0.824,0.891129,0.282275391538,0.998655913978,115.177032452,0.977822580645,30.2888005748,0.993951612903,374.740570506,0.977822580645,407.267,0.993952,-9999,-9999,-9999,1.0,69.3419,0.99328,-9999,0.935841,16.2753,0.99328,-9999,0.401783,-9999,-9999,18.5806,29.4194,18.5806,29.3871,-2.17835,0.968414,0.0655378,0.167146,-2.28119,0.971774,0.0673123,0.16785,-2.20159,0.968044,0.0210778,-2.41586,-2.31114,-2.29284,-2.2357,-2.15731,-2.00362,-1.96,0.982527,0.982527,0.972446,0.980511,0.96371,0.952285,0.945565,2.77417,1.4195,0.980919,0.0934332,0.415908,-5.10408,5.26809,0.961023,0.0878648,0.0991909,2.52671,1.68927,0.98755,0.0934332,0.415908,-5.10663,5.2099,0.962212,0.0878648,0.0991909,2.07057,2.32006,2.4606,2.52671,2.83243,3.13061,3.18686,0.998302,0.998302,0.99651,0.98755,0.979221,0.97026,0.948934,-5.12069,-5.10408,-5.09787,-5.05312,-5.03328,-5.01203,-5.00819,0.961023,0.961023,0.955646,0.96874,0.970891,0.913557,0.928765,2.83917,2.923,3.08402,0.0750066,2.34978,2.59079,2.70506,2.91487,3.36701,3.75696,3.82598,5.17987,5.20418,5.28561,0.0550372,4.75309,4.9045,4.9461,5.20291,5.5397,5.72082,5.80782,3.1598,3.0358,3.37225,0.0443338,3.02485,3.08673,3.14507,3.32403,3.56331,3.59363,3.78013,5.51294,5.33117,5.52377,0.029054,5.32201,5.35069,5.37546,5.48069,5.63825,5.69103,5.80378,-9999,-9999
201106,22.499,0.973611,19.94,1.925,1.0,24.029,3.079,0.957778,22.608,20.081,1.91,24.119,2.866,22.502,0.973611,19.94,1.925,1.0,24.034,3.057,0.957778,486.045,239.814,0.976389,252.151,239.865,0.976389,428.926,0.973611,413.741,428.581,0.973611,419.238,0.973611,405.964,418.819,0.973611,10.338,0.973611,10.543,10.376,0.973611,98.92,98.765,0.988889,2.167,2.167,0.0,0.984,0.573,0.972917,0.215240144863,0.986111111111,165.055645043,0.93125,38.3715159549,0.925694444444,388.843401102,0.93125,403.408,0.969444,-9999,-9999,-9999,1.0,99.0252,0.969444,-9999,1.18782,7.49002,0.972222,-9999,0.442866,-9999,-9999,17.9667,30.0333,17.9667,30.0333,-3.43725,0.9375,0.0762178,0.247023,-3.37936,0.951389,0.0818086,0.248805,-3.46196,0.937135,0.0333214,-3.77203,-3.74185,-3.6813,-3.43725,-3.30379,-3.27191,-3.1204,0.963889,0.960417,0.958333,0.9375,0.918056,0.925694,0.888194,2.96983,1.32438,0.985185,0.115425,0.671679,-7.0695,7.32573,0.908925,0.105389,0.118605,2.94476,1.62191,0.994444,0.115425,0.671679,-6.96486,7.31902,0.925591,0.105389,0.118605,1.95211,2.04103,2.23587,2.87905,3.24807,3.3644,3.8507,1.0,1.0,1.0,0.990741,0.946296,0.97037,0.918519,-7.15055,-7.09107,-7.04057,-7.005,-6.99248,-6.98225,-6.96486,0.881147,0.873369,0.91448,0.925591,0.943369,0.936703,0.925591,2.74436,3.20696,3.10956,0.11713,2.20525,2.25067,2.37156,3.12715,3.41003,3.49634,4.72818,6.55353,6.58632,6.57153,0.0866187,5.97729,6.00496,6.05287,6.52594,6.71028,6.79673,7.84858,3.8808,3.63333,3.82727,0.120957,2.87757,2.92034,3.00209,3.60848,4.40583,4.52078,4.95842,7.40609,7.09597,7.17103,0.0701119,6.56839,6.65609,6.77955,7.08095,7.53858,7.58894,7.89898,-9999,-9999
201107,26.543,1.0,23.857,2.05,1.0,28.179,3.317,1.0,26.651,24.272,2.006,28.096,3.116,26.543,1.0,23.857,2.05,1.0,28.179,3.317,1.0,473.925,268.064,1.0,248.564,268.064,1.0,451.802,1.0,436.295,451.802,1.0,448.318,1.0,440.766,448.318,1.0,13.22,1.0,14.019,13.22,1.0,98.951,98.783,1.0,1.967,1.967,0.0,0.736,0.476,0.947581,0.168646662663,0.999327956989,191.250606488,0.997311827957,38.4002258649,0.987231182796,413.174310239,0.997311827957,401.559,0.993952,24.472,1.0,-9999,1.0,104.654,0.993952,-9999,1.26093,1.09486,0.99664,-9999,0.371897,-9999,-9999,18.129,29.871,18.0645,29.8065,-2.72158,0.905242,0.0714745,0.455909,-2.95235,0.954301,0.0719766,0.455988,-2.86578,0.929906,0.0673153,-3.32442,-3.30365,-3.24104,-3.00076,-2.56841,-2.40311,-1.97132,0.990591,0.988575,0.980511,0.96371,0.893145,0.805108,0.860887,2.8038,1.30076,0.902471,0.0975556,0.81375,-5.92508,6.10987,0.907575,0.094411,0.229798,2.27879,1.4403,0.951141,0.0975556,0.81375,-5.96073,6.05239,0.957044,0.094411,0.229798,1.66211,1.70596,1.76485,2.17113,3.02743,3.32172,4.01493,1.0,1.0,1.0,0.941992,0.87301,0.708074,0.763252,-6.16803,-6.15052,-6.08836,-5.96073,-5.82998,-5.7315,-5.55621,0.985013,0.98175,0.968773,0.957044,0.909614,0.864013,0.883548,2.04995,2.05748,2.59643,0.166036,1.75597,1.80525,1.85556,2.05748,2.92109,4.1125,4.54728,5.07604,5.00984,5.4622,0.107622,4.95601,5.02102,5.07604,5.13985,5.46094,6.06575,6.87788,2.65295,2.4144,2.75586,0.125588,1.98777,2.08619,2.123,2.33308,3.29881,3.60412,3.91414,5.32571,5.27471,5.44345,0.0894451,4.8696,4.97342,4.98343,5.21852,5.91478,6.04626,6.18862,-9999,-9999
201108,23.357,0.992608,20.713,2.152,1.0,25.217,3.155,0.987764,23.547,21.408,2.032,25.05,3.186,23.34,0.992608,20.713,2.152,1.0,25.19,3.172,0.987764,427.287,240.312,0.99328,222.388,239.749,0.99328,433.362,0.992608,416.531,433.02,0.992608,413.89,0.991935,410.269,413.731,0.991935,10.896,0.991935,11.657,10.9,0.991935,98.777,98.666,1.0,2.125,2.125,0.0,0.878,0.453,0.998656,0.194350920842,0.999327956989,164.427677258,0.984543010753,34.7868914823,0.981182795699,392.091521774,0.984543010753,404.583,0.991263,23.248,0.992608,-9999,1.0,90.0524,0.991263,-9999,1.11962,8.83909,0.991935,-9999,0.48079,-9999,-9999,19.7419,28.2581,19.7419,28.2581,-1.65508,0.955645,0.0602364,0.592282,-1.91685,0.961022,0.0684241,0.59317,-1.8851,0.954133,0.0737744,-2.59427,-2.53517,-2.37264,-1.91685,-1.40884,-1.35675,-1.33128,0.985215,0.984543,0.979839,0.961022,0.90121,0.919355,0.945565,3.83804,1.93802,0.978438,0.100135,1.32807,-5.40183,5.58218,0.939766,0.0874667,0.105862,3.13607,1.89999,0.971647,0.100135,1.32807,-5.34023,5.51709,0.953676,0.0874667,0.105862,1.5913,1.75597,2.17775,3.13607,4.36432,4.40454,4.49113,1.0,1.0,1.0,0.971647,0.976825,0.973514,0.950085,-5.45077,-5.42219,-5.39961,-5.36928,-5.33102,-5.30292,-5.26948,0.965951,0.890078,0.898066,0.975088,0.953676,0.935115,0.924743,2.75233,3.20416,3.34901,0.181888,1.66131,1.79691,2.21627,3.20416,4.24255,4.30167,4.53648,5.13126,5.12101,5.23411,0.113586,4.25558,4.33512,4.58891,5.14623,5.59107,5.68403,5.96575,1.54387,1.64895,2.12738,0.127994,1.48551,1.54387,1.57901,1.70259,2.32174,2.89196,4.09328,4.49264,4.26725,4.61783,0.0740438,4.22743,4.27708,4.29369,4.39003,4.77672,4.97403,5.78684,-9999,-9999
201109,18.355,1.0,16.667,1.908,1.0,19.819,2.617,1.0,18.26,16.876,1.75,19.463,2.278,18.355,1.0,16.667,1.908,1.0,19.819,2.617,1.0,355.045,133.499,1.0,132.517,133.499,1.0,407.072,1.0,407.398,407.072,1.0,395.926,1.0,396.176,395.926,1.0,6.701,1.0,6.055,6.701,1.0,99.042,98.943,1.0,4.488,4.488,0.0,1.017,0.599,0.986111,0.220547916667,1.0,85.7141964015,0.997222222222,20.3983152827,0.9875,380.048671717,0.997222222222,397.826,0.961111,19.638,1.0,-9999,1.0,55.9178,0.961111,-9999,0.814758,5.28805,0.972917,-9999,0.451963,-9999,-9999,22.4,25.6,22.3667,25.5667,-1.0811,0.936806,0.0499421,0.272807,-1.24569,0.940972,0.0513407,0.273066,-1.21898,0.937309,0.0354101,-1.54427,-1.50077,-1.44095,-1.25483,-1.00008,-0.96438,-0.906606,0.957639,0.954861,0.95,0.940972,0.925694,0.918056,0.9125,2.54545,1.10822,0.9302,0.0617658,0.669893,-4.15927,4.57321,0.941816,0.0753918,0.109126,2.16139,1.19601,0.937446,0.0617658,0.669893,-4.12253,4.45769,0.943098,0.0753918,0.109126,1.45007,1.55982,1.70319,2.14418,2.69114,2.8939,2.96016,0.963348,0.963348,0.951154,0.937446,0.941141,0.934936,0.933553,-4.25131,-4.21925,-4.17773,-4.12471,-4.08306,-4.06146,-4.04933,0.90264,0.916443,0.940585,0.850952,0.948277,0.948277,0.952329,2.20829,2.58572,2.6131,0.105373,1.65383,1.74969,1.95577,2.57728,3.02201,3.37058,3.69667,3.83068,3.83141,3.83208,0.0707414,3.1981,3.25069,3.39672,3.83141,4.06627,4.33227,4.58137,2.7379,2.1801,2.90455,0.0971946,2.17823,2.27467,2.42049,2.71717,3.40346,3.67127,3.9572,3.70921,3.57248,3.84284,0.0624027,3.36371,3.42804,3.55187,3.77764,4.17504,4.28756,4.53661,-9999,-9999
201110,11.982,0.914651,9.986,2.092,1.0,14.13,3.478,0.826613,12.429,11.046,1.881,13.92,2.572,12.02,0.914651,9.986,2.092,1.0,14.214,3.205,0.826613,270.449,119.412,0.922043,109.1,111.84,0.922043,372.46,0.914651,371.984,372.446,0.914651,327.4,0.913978,341.531,330.126,0.913978,6.312,0.913978,4.934,6.01,0.913978,99.071,99.068,0.822581,2.752,2.752,0.0,1.168,0.988,0.784946,0.271139166667,0.806451612903,54.9745603205,0.823252688172,17.1887647083,0.811827956989,332.752491346,0.823252688172,416.262,0.90793,14.156,0.914651,-9999,1.0,35.1209,0.90793,-9999,0.4653,17.1809,0.909946,-9999,0.446687,-9999,-9999,24.9677,23.0323,24.9677,22.9355,0.0769775,0.883065,0.0343705,0.0812204,0.0443799,0.888441,0.0359773,0.0819134,0.0669154,0.882544,0.00860408,-0.00442363,0.00798358,0.0307622,0.0499466,0.0851613,0.155163,0.162523,0.890457,0.893145,0.887097,0.888441,0.889113,0.867608,0.867608,1.25445,0.862285,0.998759,0.0507165,0.176018,-1.1844,1.91803,0.76289,0.0468524,0.0605329,1.21165,0.964034,1.0,0.0507165,0.176018,-1.20084,1.9415,0.772708,0.0468524,0.0605329,1.02529,1.06143,1.1211,1.21711,1.28463,1.39854,1.42167,1.0,1.0,1.0,1.0,0.998759,0.992395,0.992395,-1.21273,-1.20983,-1.20499,-1.1844,-1.13608,-1.13318,-1.09927,0.750501,0.772708,0.772708,0.737856,0.776798,0.77411,0.77411,1.32142,1.32671,1.30243,0.0295285,1.01273,1.01553,1.03413,1.32803,1.39834,1.53438,1.57156,1.27982,1.28233,1.23551,0.0219719,1.0005,1.01655,1.03275,1.27982,1.31631,1.37832,1.41261,1.43329,1.22805,1.38712,0.0624805,0.903942,0.986051,1.04759,1.23514,1.74066,1.82014,2.0792,1.35634,1.62362,1.47109,0.0289332,1.18086,1.23194,1.34528,1.41201,1.62609,1.66193,1.75621,-9999,-9999
