TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
201301,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.248,5.448,2.421,9.617,3.494,7.248,0.0,5.448,2.421,0.0,9.617,3.494,0.0,191.866,281.571,0.610887,116.16,116.042,0.610887,-9999,-9999,273.039,273.039,0.0,-9999,-9999,293.279,293.279,0.0,-9999,-9999,3.166,3.166,0.0,102.403,102.403,0.0,0.417,0.417,0.0,2.723,2.723,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,123.046,0.0,108.744,-9999,9.2012,0.0,8.13168,-9999,2.0,3,27.3226,20.6774,0.0,0.0,-7.49854,0.0,-9999,-9999,-7.5445,0.0,-9999,-9999,-7.55915,0.0,0.0449222,-7.86665,-7.85968,-7.85968,-7.58913,-7.37398,-7.32123,-7.09451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33262,5.11724,0.0,-9999,-9999,-21.1793,4.56926,0.0,-9999,-9999,3.22826,5.21193,0.0,-9999,-9999,-21.1442,4.58338,0.0,-9999,-9999,3.15913,3.19412,3.20595,3.30323,3.32532,3.33262,3.37756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.821,-21.821,-21.821,-21.2442,-20.8635,-20.8477,-20.2641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.36581,5.36475,5.33094,0.0107383,5.22621,5.24498,5.2885,5.33444,5.35803,5.39858,5.40272,12.9549,12.9093,12.8901,0.0409961,12.3498,12.643,12.6896,12.9013,13.1064,13.1746,13.1981,4.10568,4.09823,3.6018,0.124231,2.58219,2.58639,2.63576,4.10568,4.1939,4.29947,4.3242,7.21018,7.22571,6.32768,0.169363,4.93905,4.94416,4.98211,6.95593,7.20816,7.21809,7.23016,-9999,-9999
201302,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.252,7.082,2.484,11.783,3.847,9.252,0.0,7.082,2.484,0.0,11.783,3.847,0.0,251.897,281.498,0.580357,167.372,166.883,0.580357,-9999,-9999,273.01,273.01,0.0,-9999,-9999,293.243,293.243,0.0,-9999,-9999,4.32,4.32,0.0,102.205,102.205,0.0,0.496,0.496,0.0,3.088,3.088,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.54466,0.803571,122.945,0.0,119.86,-9999,8.89533,0.0,8.67209,-9999,2.0,3,25.8571,22.1429,0.0,0.0,-7.49697,0.0,-9999,-9999,-7.54084,0.0,-9999,-9999,-7.55833,0.0,0.0430698,-7.85354,-7.84659,-7.84659,-7.58364,-7.38275,-7.33458,-7.11873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02719,4.22387,0.0,-9999,-9999,-20.3628,5.44857,0.0,-9999,-9999,3.92431,4.34553,0.0,-9999,-9999,-20.3341,5.44794,0.0,-9999,-9999,3.82604,3.86526,3.87769,3.94331,4.01971,4.02719,4.05561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.9177,-20.9177,-20.9177,-20.4235,-20.0962,-20.0162,-19.5619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.72387,5.72311,5.70862,0.00937255,5.61268,5.62632,5.68463,5.71092,5.73391,5.75823,5.76117,13.3075,13.264,13.2669,0.0385055,12.785,13.0441,13.0919,13.2581,13.4761,13.5456,13.5626,4.81417,4.81747,4.19558,0.146729,2.99661,3.00288,3.04183,4.81416,4.90466,4.98516,5.01008,9.43518,9.4463,8.3897,0.201451,6.7287,6.73444,6.78192,9.30245,9.40777,9.43518,9.45291,-9999,-9999
201303,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13.141,10.869,2.144,15.318,3.744,13.141,0.0,10.869,2.144,0.0,15.318,3.744,0.0,332.627,287.129,0.531586,206.203,205.816,0.531586,-9999,-9999,300.996,300.996,0.0,-9999,-9999,327.344,327.344,0.0,-9999,-9999,5.497,5.497,0.0,101.948,101.948,0.0,1.022,1.022,0.0,2.878,2.878,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.7571,0.0,122.586,0.0,139.988,-9999,6.95715,0.0,7.94476,-9999,2.0,3,23.5161,24.4839,0.0,0.0,-7.03991,0.0,-9999,-9999,-7.06685,0.0,-9999,-9999,-7.07927,0.0,0.0448822,-7.40343,-7.39222,-7.39222,-7.10977,-6.86867,-6.81912,-6.58729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.96755,1.05027,0.0,-9999,-9999,-19.0198,6.63959,0.0,-9999,-9999,5.92604,1.09537,0.0,-9999,-9999,-19.0286,6.55745,0.0,-9999,-9999,5.80409,5.81304,5.82631,5.92628,5.98111,5.99428,6.01768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.552,-19.552,-19.552,-19.0989,-18.6926,-18.6286,-18.2041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.40895,6.40886,6.43622,0.00783126,6.36076,6.36299,6.40743,6.44444,6.46009,6.46346,6.48191,13.5187,13.4757,13.5155,0.0397951,13.0543,13.2694,13.32,13.4865,13.7658,13.8325,13.8355,6.40437,6.43836,5.51494,0.198388,3.91114,3.92265,3.92974,6.41683,6.4931,6.52371,6.57047,10.9673,10.9692,9.82467,0.213974,8.05854,8.06468,8.11902,10.7523,10.9189,10.9605,10.9722,-9999,-9999
201304,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.612,13.673,2.164,18.852,4.037,16.612,0.0,13.673,2.164,0.0,18.852,4.037,0.0,410.066,319.502,0.477778,283.443,283.03,0.477778,-9999,-9999,303.267,303.267,0.0,-9999,-9999,330.11,330.11,0.0,-9999,-9999,9.922,9.922,0.0,101.722,101.722,0.0,0.37,0.37,0.0,3.862,3.862,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.45554,0.0,123.735,0.0,142.463,-9999,6.69856,0.0,7.71244,-9999,3.0,3,20.9333,27.0667,0.0,0.0,-7.15856,0.0,-9999,-9999,-7.19042,0.0,-9999,-9999,-7.20954,0.0,0.0476018,-7.55372,-7.54077,-7.54077,-7.23425,-6.99447,-6.94,-6.70043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.54761,0.104065,0.0,-9999,-9999,-17.3143,8.3582,0.0,-9999,-9999,6.53188,0.10603,0.0,-9999,-9999,-17.3567,8.23787,0.0,-9999,-9999,6.33785,6.33785,6.36648,6.54044,6.58388,6.59983,6.63498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.8279,-17.8279,-17.8279,-17.4309,-17.0459,-16.9798,-16.5974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.00065,7.00122,7.06996,0.00905802,6.99186,7.00673,7.01284,7.07573,7.11287,7.12256,7.17424,14.2349,14.1916,14.2795,0.0421045,13.8184,14.043,14.0823,14.1967,14.563,14.617,14.6283,8.09727,8.17401,6.9002,0.255248,4.83248,4.84089,4.87964,8.06877,8.15368,8.16906,8.18085,12.8771,12.8232,11.7698,0.165745,10.5131,10.5194,10.5845,11.5865,12.7594,12.8526,12.8771,-9999,-9999
201305,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.624,15.217,2.233,20.835,4.178,18.454,0.341398,14.859,1.549,0.480287,20.779,4.052,0.258065,463.417,340.638,0.585349,317.481,319.01,0.585349,-9999,-9999,314.143,314.177,0.336022,-9999,-9999,343.363,343.607,0.341398,-9999,-9999,11.822,11.227,0.341398,101.593,101.593,0.241263,0.231,0.231,0.0,3.433,3.702,0.241263,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.21363,0.336022,125.126,0.335349,156.134,0.558168,4.92717,0.336022,6.14818,0.542286,1.0,2,18.871,29.129,12.0645,18.5806,-7.24936,0.317876,0.0609584,0.234853,-7.27774,0.318548,0.0613337,0.23495,-7.27286,0.320682,0.0356008,-7.52465,-7.51191,-7.50765,-7.31161,-7.11477,-7.05831,-6.90222,0.334005,0.334005,0.334005,0.318548,0.3125,0.311828,0.311828,6.63882,0.219456,0.430108,0.0434391,0.115519,-15.8333,10.0103,0.250538,0.0925255,0.315654,6.62959,0.227666,0.430108,0.043623,0.115588,-15.8725,9.93885,0.251613,0.0932748,0.315875,6.48506,6.48515,6.51254,6.63772,6.67818,6.69923,6.73359,0.462366,0.462366,0.462366,0.430108,0.430108,0.428315,0.426523,-16.1741,-16.1717,-16.1651,-15.9258,-15.6425,-15.5681,-15.333,0.256989,0.256989,0.256989,0.251613,0.245161,0.241935,0.244086,7.38425,7.38634,7.47241,0.0114907,7.38425,7.40456,7.41387,7.46132,7.53627,7.55355,7.57634,14.6959,14.6641,14.7453,0.028494,14.4382,14.5583,14.6127,14.6959,14.9361,14.9729,14.986,8.86279,8.96028,7.84832,0.219906,6.06724,6.07307,6.1261,8.7847,8.90753,8.91998,8.95904,13.9121,13.8268,13.0757,0.112266,12.2809,12.4099,12.43,12.5586,13.7501,13.8368,13.9121,-9999,-9999
201306,21.223,1.0,17.456,1.92,1.0,23.483,4.214,1.0,21.268,17.654,2.388,23.436,4.457,21.223,1.0,17.456,1.92,1.0,23.483,4.214,1.0,485.471,336.18,0.998611,323.779,336.516,0.998611,325.342,0.985417,332.782,325.639,0.985417,366.496,0.998611,366.075,366.426,0.998611,13.102,1.0,13.217,13.102,1.0,101.275,101.296,1.0,0.224,0.224,0.0,3.295,4.385,0.947222,0.407868234113,0.947222222222,164.754520981,0.699305555556,662.705664134,0.699305555556,37.6778129855,0.698611111111,78.2461779593,0.699305555556,427.495131332,0.699305555556,401.846,0.994444,24.9,1.0,4.762,1.0,9.91145,1.0,125.768,0.994444,156.935,0.69391,-0.0990868,0.994444,-0.123642,0.721906,0.722917,1,18.0,30.0,18.0,30.0,-3.01912,0.95625,0.0559644,0.415368,-2.79334,0.965972,0.0556504,0.415326,-2.74089,0.961094,0.0571185,-3.19807,-3.11784,-3.07621,-2.79668,-2.31242,-2.29468,-2.2735,0.874306,0.918056,0.933333,0.966667,0.994444,0.996528,0.996528,7.89521,0.747415,1.0,0.0430487,0.112557,-9.39211,9.83758,0.93,0.0823314,0.695739,7.87506,0.754389,1.0,0.0425254,0.112358,-9.0319,9.71462,0.945556,0.0819222,0.695691,7.71423,7.74063,7.74929,7.87167,7.94163,7.94863,7.96212,1.0,1.0,1.0,1.0,0.996296,0.996296,0.996296,-9.76055,-9.57452,-9.51435,-9.03502,-8.20921,-8.19282,-8.14947,0.833333,0.871111,0.903333,0.946667,0.991111,0.994444,0.994444,8.80651,8.80789,8.86268,0.0176095,8.73384,8.77271,8.7802,8.81483,8.93101,8.97458,9.05796,11.6032,11.6012,11.6036,0.0717298,11.0017,11.069,11.0824,11.6032,11.9971,12.0574,12.2202,8.50532,9.26655,8.94382,0.053931,8.51788,8.59622,8.62046,8.96859,9.21375,9.33122,9.47328,10.9299,10.9243,10.5786,0.0491262,10.1406,10.312,10.3306,10.3986,10.8532,10.9299,11.0227,-9999,-9999
201307,21.638,1.0,17.506,2.286,1.0,24.234,4.919,1.0,22.386,18.518,2.596,24.82,4.757,21.638,1.0,17.506,2.286,1.0,24.234,4.919,1.0,474.26,346.544,1.0,340.975,346.544,1.0,328.907,1.0,335.137,328.907,1.0,369.305,1.0,368.945,369.305,1.0,13.118,1.0,14.23,13.118,1.0,101.264,101.231,0.999328,0.0,0.0,0.0,2.751,3.901,0.971102,0.407815851553,0.971102150538,168.660833333,1.0,671.375485215,1.0,35.933393617,0.999327956989,80.3432580645,1.0,425.174906586,1.0,396.52,0.99664,27.7,1.0,3.938,1.0,10.9031,1.0,140.855,0.99664,170.527,0.618144,-10.5982,0.99664,-12.8307,0.558095,0.99664,1,18.5484,29.4516,18.5484,29.4516,-4.05939,0.955645,0.0453056,0.122327,-4.02661,0.964382,0.0479028,0.123313,-4.17129,0.952016,0.0161149,-4.29448,-4.28665,-4.25442,-4.18532,-4.07054,-4.05939,-4.01471,0.994624,0.993952,0.99664,0.882392,0.955645,0.955645,0.944892,8.0123,0.595904,1.0,0.0321856,0.118305,-11.4567,9.64952,0.928921,0.0682061,0.171034,8.0176,0.60658,1.0,0.032404,0.118364,-11.4101,9.63699,0.9429,0.0724127,0.172755,7.87725,7.8986,7.90923,8.01201,8.07878,8.12629,8.22595,1.0,1.0,1.0,1.0,1.0,1.0,0.992832,-11.868,-11.7703,-11.7576,-11.687,-11.4786,-11.4567,-11.4092,0.783908,0.989247,0.990323,0.994624,0.928921,0.928921,0.911717,9.06038,9.06858,9.11963,0.024638,8.91262,8.96696,8.99249,9.0699,9.2476,9.30709,9.39416,13.1468,13.0952,13.2909,0.0252271,13.1211,13.1472,13.1585,13.2559,13.3318,13.4848,13.5606,9.23711,9.31736,8.92403,0.0393875,8.33542,8.76886,8.83188,8.89413,9.00127,9.21586,9.31269,13.4312,13.3497,13.0095,0.0902581,11.6842,12.9976,13.1137,13.1752,13.2462,13.2999,13.4082,-9999,-9999
201308,21.245,1.0,17.257,1.723,1.0,24.085,4.626,1.0,20.929,17.366,2.366,23.47,4.406,21.245,1.0,17.257,1.723,1.0,24.085,4.626,1.0,431.091,316.686,1.0,308.211,316.686,1.0,326.116,1.0,330.339,326.116,1.0,365.579,1.0,363.098,365.579,1.0,11.936,1.0,11.316,11.936,1.0,101.396,101.372,1.0,0.002,0.002,0.0,2.714,4.053,0.990591,0.385313399052,0.990591397849,133.938924059,1.0,608.210993952,1.0,46.7833655914,1.0,79.8281962366,1.0,427.653692876,1.0,400.525,0.997984,26.525,1.0,4.051,1.0,9.01752,1.0,86.0655,0.997984,94.8026,0.997966,27.3575,0.997984,30.1347,0.931809,0.997984,1,19.9677,28.0323,19.9677,28.0,0.161343,0.97043,0.117991,0.308786,0.251251,0.975806,0.120889,0.309905,0.136664,0.962634,0.0427974,-0.354951,-0.175339,-0.119157,0.237048,0.380616,0.395369,0.42984,0.876344,0.919355,0.952285,0.972446,0.980511,0.991263,0.991263,6.91755,0.63507,0.996928,0.0448823,0.381672,-4.66394,6.61223,0.95145,0.192139,0.734319,6.88854,0.647042,0.996928,0.0445155,0.381629,-4.49796,6.37734,0.960837,0.197029,0.735614,6.39877,6.42537,6.44011,6.86827,7.12326,7.18342,7.27604,1.0,1.0,1.0,0.996928,0.99523,0.99523,0.990137,-5.79009,-5.40041,-5.21478,-4.52659,-4.01759,-3.98294,-3.97332,0.796586,0.86786,0.921765,0.955034,0.988473,0.985051,0.987361,7.70673,7.73726,7.74598,0.0755574,7.16696,7.21848,7.25351,7.70673,8.04503,8.27483,8.67566,7.43966,7.48601,7.60932,0.116224,6.82822,6.85256,6.86967,7.43966,8.13182,8.39582,8.99088,7.53907,7.54057,7.54859,0.074529,7.09943,7.13125,7.20958,7.45525,7.6338,7.911,8.60281,7.01087,7.10652,7.10527,0.0397152,6.84877,6.87121,6.91843,7.05489,7.21526,7.27186,7.52662,-9999,-9999
201309,20.332,1.0,17.054,1.899,1.0,23.207,3.962,1.0,19.673,16.979,2.166,22.02,3.961,20.332,1.0,17.054,1.899,1.0,23.207,3.962,1.0,363.066,246.21,1.0,244.075,246.21,1.0,324.063,1.0,326.354,324.063,1.0,363.57,1.0,358.242,363.57,1.0,11.54,1.0,10.396,11.54,1.0,101.27,101.285,1.0,0.48,0.48,0.0,3.046,3.47,1.0,0.329642361111,1.0,100.500373242,0.999305555556,469.428659028,1.0,23.4377371574,0.99375,57.4837458333,1.0,410.415583333,1.0,399.302,1.0,22.855,1.0,7.092,1.0,1.02769,1.0,84.4873,0.999306,99.8405,0.620403,-0.0191146,0.999306,-0.0225881,0.671531,0.997917,1,22.4,25.6,22.4,25.6,-1.47407,0.940972,0.0754898,0.269025,-1.41405,0.944444,0.0777205,0.269659,-1.34088,0.945417,0.0402452,-1.62201,-1.5676,-1.54791,-1.39877,-1.07721,-1.05117,-1.00943,0.924306,0.930556,0.927778,0.945139,0.979861,0.979861,0.982639,7.17649,0.800687,0.979359,0.0507104,0.260365,-8.84307,8.03598,0.905228,0.129115,0.751524,7.24406,0.865817,0.979359,0.0554952,0.261339,-8.78711,8.00721,0.911813,0.131766,0.751984,6.87033,6.90974,6.92198,7.17427,7.33768,7.4205,7.63504,0.998485,0.998485,0.998485,0.979298,0.970965,0.97248,0.946108,-9.73577,-9.2702,-9.19766,-8.78128,-7.9028,-7.7895,-7.70521,0.77892,0.883956,0.887652,0.910531,0.960534,0.963098,0.968385,8.02417,8.07436,8.00208,0.0913126,7.45885,7.5161,7.52591,7.93128,8.18051,8.69322,9.0764,9.42294,9.48841,9.34296,0.117098,8.48617,8.57031,8.60707,9.35078,9.74374,10.239,10.5685,7.11914,6.78013,7.16066,0.0394257,6.71626,6.83263,6.91693,7.18863,7.25325,7.37725,7.53633,8.42353,8.4061,8.48219,0.0405275,8.27254,8.31555,8.33612,8.37869,8.50667,8.62983,8.95894,-9999,-9999
201310,16.023,1.0,12.377,2.455,1.0,19.913,4.987,1.0,15.93,13.384,2.505,18.644,4.875,16.023,1.0,12.377,2.455,1.0,19.913,4.987,1.0,281.894,187.561,1.0,192.143,187.561,1.0,295.31,1.0,295.556,295.31,1.0,327.791,1.0,320.716,327.791,1.0,10.041,1.0,9.481,10.041,1.0,101.601,101.606,1.0,0.012,0.012,0.0,2.744,2.43,0.941532,0.191528970458,0.941532258065,59.1213037634,1.0,345.181347446,1.0,20.0175504032,1.0,41.4889576613,1.0,380.723630376,1.0,417.983,0.97379,16.474,0.991935,8.746,0.991935,-2.29833,0.991935,49.4871,0.97379,45.604,0.397667,16.4269,0.990591,15.1379,0.551104,0.924731,1,24.7742,23.2258,24.7742,18.5806,0.946682,0.78293,0.0945326,0.379823,0.920399,0.793683,0.0708468,0.374631,0.62528,0.804536,0.0508091,0.109669,0.182123,0.250791,0.761977,0.880821,0.917865,0.985352,0.920699,0.914651,0.90793,0.692204,0.801747,0.799059,0.785618,4.66243,0.240572,0.929566,0.13,0.208734,-3.14843,5.01373,0.622923,0.122064,0.591384,4.64455,0.243711,0.937258,0.0858113,0.184482,-3.18409,4.86508,0.636916,0.11084,0.589169,4.32893,4.34425,4.40436,4.55827,4.66243,4.67087,4.68492,0.959136,0.959136,0.959189,0.756394,0.929566,0.930856,0.742146,-4.47782,-4.34894,-4.29532,-3.46698,-3.27129,-3.19164,-3.12753,0.878326,0.865703,0.852825,0.710156,0.563071,0.648019,0.513414,5.13971,5.1414,4.96717,0.045759,4.56652,4.5786,4.61721,5.09624,5.20859,5.24305,5.30508,4.22185,4.221,4.34189,0.0161738,4.16286,4.20354,4.25276,4.37191,4.41553,4.43294,4.45686,5.1885,3.9305,5.33434,0.389825,3.48919,3.71634,3.91265,4.0472,5.1885,8.57531,10.9791,4.24903,4.22889,4.12475,0.29829,1.44674,1.49991,1.60589,4.28707,4.94064,6.25836,7.06278,-9999,-9999
