TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20130101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.04,3.322,1.951,7.444,3.42,5.04,0.0,3.322,1.951,0.0,7.444,3.42,0.0,174.588,102.583,0.625,120.057,119.874,0.625,-9999,-9999,278.908,278.908,0.0,-9999,-9999,271.52,271.52,0.0,-9999,-9999,2.928,2.928,0.0,102.555,102.555,0.0,0.0,0.0,0.0,2.366,2.366,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,17.7315,0.0,38.1002,-9999,-9999,-9999,-9999,9.94395,0.0,21.3668,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,2.93752,0.0,-9999,-9999,2.72618,0.0,-9999,-9999,2.86255,0.0,0.0136159,2.72618,2.72618,2.80423,2.86542,2.92506,2.9669,2.97541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75551,0.565417,0.0,-9999,-9999,1.53603,0.969993,0.0,-9999,-9999,3.75551,0.565417,0.0,-9999,-9999,1.04726,1.42056,0.0,-9999,-9999,3.46767,3.62723,3.62723,3.67438,3.75551,3.75551,3.75551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04726,1.29874,1.40674,1.47584,1.60444,1.62656,1.64856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.20952,2.19926,2.17833,0.010521,2.02442,2.12745,2.14061,2.181,2.20952,2.22325,2.30881,-0.797097,-0.526916,-0.684221,0.0149427,-0.825509,-0.779544,-0.757384,-0.703212,-0.641644,-0.573891,-0.526916,0.764426,1.28317,0.572263,0.054111,0.186093,0.20206,0.22769,0.681498,0.764426,0.769426,1.27059,0.101317,1.04856,0.112153,0.0484116,0.0,0.0,0.0,0.0,0.00847237,0.0681517,1.01741,-9999,-9999
20130102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.073,3.011,3.115,7.959,3.885,5.073,0.0,3.011,3.115,0.0,7.959,3.885,0.0,175.213,109.271,0.625,123.416,123.197,0.625,-9999,-9999,273.746,273.746,0.0,-9999,-9999,266.082,266.082,0.0,-9999,-9999,3.098,3.098,0.0,102.381,102.381,0.0,0.0,0.0,0.0,2.353,2.353,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,18.648,0.0,39.6008,-9999,-9999,-9999,-9999,10.5386,0.0,22.3796,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,2.51858,0.0,-9999,-9999,2.28858,0.0,-9999,-9999,2.44786,0.0,0.0129118,2.28858,2.3389,2.40016,2.46201,2.51335,2.5192,2.5559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14059,0.509601,0.0,-9999,-9999,1.42802,0.817267,0.0,-9999,-9999,3.14059,0.509601,0.0,-9999,-9999,0.896102,1.25962,0.0,-9999,-9999,3.01231,3.01231,3.01231,3.12447,3.14059,3.1519,3.20354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896102,1.18034,1.2998,1.35925,1.44887,1.45203,1.45776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25222,2.24538,2.22194,0.00998985,2.0813,2.17156,2.18322,2.22874,2.25222,2.26597,2.3356,-0.266977,-0.0432063,-0.22592,0.0145311,-0.41438,-0.317,-0.282033,-0.246181,-0.192649,-0.154838,-0.0432063,0.776185,1.30079,0.584919,0.0545113,0.195892,0.213576,0.240666,0.707406,0.776185,0.787603,1.28804,0.104103,1.07586,0.115104,0.0496785,0.0,0.0,0.0,0.0,0.00870681,0.0700297,1.04411,-9999,-9999
20130103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.224,3.168,2.473,8.103,3.855,5.224,0.0,3.168,2.473,0.0,8.103,3.855,0.0,175.895,96.864,0.625,123.343,123.105,0.625,-9999,-9999,278.097,278.097,0.0,-9999,-9999,270.666,270.666,0.0,-9999,-9999,2.782,2.782,0.0,102.4,102.4,0.0,0.0,0.0,0.0,2.459,2.459,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,15.2743,0.0,32.2226,-9999,-9999,-9999,-9999,8.4512,0.0,17.8287,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,2.23668,0.0,-9999,-9999,2.0959,0.0,-9999,-9999,2.29674,0.0,0.0231665,2.03413,2.0959,2.19253,2.26962,2.447,2.45398,2.49337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95556,0.417275,0.0,-9999,-9999,1.0351,0.980772,0.0,-9999,-9999,2.95556,0.417275,0.0,-9999,-9999,0.70951,1.30004,0.0,-9999,-9999,2.70694,2.77101,2.77101,2.95556,3.03463,3.03463,3.13099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56665,0.70951,0.932988,1.33743,1.41196,1.43345,1.50441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2713,2.26438,2.24071,0.0100761,2.09848,2.18994,2.20171,2.24757,2.2713,2.28516,2.35484,-0.107971,0.168479,-0.0560313,0.0262207,-0.420722,-0.242664,-0.142628,-0.0679134,0.0506022,0.168479,0.202597,0.782721,1.31167,0.589685,0.0549891,0.197535,0.214962,0.242228,0.712912,0.782721,0.794205,1.29881,0.104026,1.07512,0.115023,0.0496441,0.0,0.0,0.0,0.0,0.00870026,0.0699775,1.04338,-9999,-9999
20130104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.057,5.627,3.283,9.059,3.806,7.057,0.0,5.627,3.283,0.0,9.059,3.806,0.0,176.634,102.583,0.625,119.17,118.915,0.625,-9999,-9999,288.41,288.41,0.0,-9999,-9999,281.53,281.53,0.0,-9999,-9999,3.393,3.393,0.0,102.505,102.505,0.0,0.0,0.0,0.0,1.4,1.4,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,17.7315,0.0,37.0794,-9999,-9999,-9999,-9999,9.94395,0.0,20.7944,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,2.93752,0.0,-9999,-9999,2.72618,0.0,-9999,-9999,2.86255,0.0,0.0136159,2.72618,2.72618,2.80423,2.86542,2.92506,2.9669,2.97541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75551,0.565417,0.0,-9999,-9999,1.53603,0.969993,0.0,-9999,-9999,3.75551,0.565417,0.0,-9999,-9999,1.04726,1.42056,0.0,-9999,-9999,3.46767,3.62723,3.62723,3.67438,3.75551,3.75551,3.75551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04726,1.29874,1.40674,1.47584,1.60444,1.62656,1.64856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.66225,2.66781,2.63149,0.00933999,2.52562,2.57129,2.58541,2.65541,2.67079,2.68304,2.70291,-0.344369,-0.058367,-0.231064,0.0141918,-0.339807,-0.329274,-0.304618,-0.255347,-0.186731,-0.133705,-0.058367,0.905249,1.50776,0.694486,0.0622761,0.227604,0.274789,0.308922,0.849623,0.905249,0.916703,1.49297,0.100518,1.04103,0.111333,0.0480612,0.0,0.0,0.0,0.0,0.0084049,0.0676124,1.01001,-9999,-9999
20130105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.841,5.734,2.66,8.391,2.266,6.841,0.0,5.734,2.66,0.0,8.391,2.266,0.0,177.432,109.271,0.625,48.326,48.256,0.625,-9999,-9999,331.271,331.271,0.0,-9999,-9999,326.677,326.677,0.0,-9999,-9999,2.131,2.131,0.0,102.394,102.394,0.0,4.395,4.395,0.0,2.64,2.64,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,18.648,0.0,38.7351,-9999,-9999,-9999,-9999,10.5386,0.0,21.8904,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,2.51858,0.0,-9999,-9999,2.28858,0.0,-9999,-9999,2.44786,0.0,0.0129118,2.28858,2.3389,2.40016,2.46201,2.51335,2.5192,2.5559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14059,0.509601,0.0,-9999,-9999,1.42802,0.817267,0.0,-9999,-9999,3.14059,0.509601,0.0,-9999,-9999,0.896102,1.25962,0.0,-9999,-9999,3.01231,3.01231,3.01231,3.12447,3.14059,3.1519,3.20354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896102,1.18034,1.2998,1.35925,1.44887,1.45203,1.45776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57535,2.57534,2.54332,0.009929,2.41541,2.48588,2.49918,2.56038,2.57894,2.5937,2.62275,0.0561492,0.286756,0.0954691,0.0145854,-0.0836214,0.00176915,0.0475062,0.0815424,0.122697,0.170859,0.286756,0.880176,1.46917,0.669161,0.0612061,0.221596,0.253745,0.285264,0.823161,0.880176,0.89261,1.45477,0.0410007,0.439343,0.0466929,0.0202221,0.0,0.0,0.0,0.0,0.00341506,0.0275433,0.424258,-9999,-9999
20130106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.271,7.218,1.207,9.747,1.378,8.271,0.0,7.218,1.207,0.0,9.747,1.378,0.0,178.286,96.864,0.625,83.408,83.123,0.625,-9999,-9999,334.026,334.026,0.0,-9999,-9999,329.579,329.579,0.0,-9999,-9999,2.082,2.082,0.0,102.181,102.181,0.0,2.804,2.804,0.0,2.669,2.669,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,15.2743,0.0,31.5136,-9999,-9999,-9999,-9999,8.4512,0.0,17.3707,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,2.23668,0.0,-9999,-9999,2.0959,0.0,-9999,-9999,2.29674,0.0,0.0231665,2.03413,2.0959,2.19253,2.26962,2.447,2.45398,2.49337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95556,0.417275,0.0,-9999,-9999,1.0351,0.980772,0.0,-9999,-9999,2.95556,0.417275,0.0,-9999,-9999,0.70951,1.30004,0.0,-9999,-9999,2.70694,2.77101,2.77101,2.95556,3.03463,3.03463,3.13099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56665,0.70951,0.932988,1.33743,1.41196,1.43345,1.50441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87993,2.88937,2.84762,0.00960491,2.73878,2.78252,2.79803,2.87767,2.89067,2.90278,2.92079,0.500653,0.793471,0.550885,0.0270868,0.219325,0.358477,0.44462,0.528403,0.674332,0.793471,0.815267,0.975822,1.62235,0.75044,0.0669755,0.245079,0.299171,0.336333,0.918206,0.975822,0.987243,1.60644,0.0704179,0.739904,0.0789195,0.0341157,0.0,0.0,0.0,0.0,0.0058783,0.0473399,0.716441,-9999,-9999
20130107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.547,6.217,2.481,9.41,3.666,7.547,0.0,6.217,2.481,0.0,9.41,3.666,0.0,179.198,102.583,0.625,107.52,107.285,0.625,-9999,-9999,304.241,304.241,0.0,-9999,-9999,298.205,298.205,0.0,-9999,-9999,2.561,2.561,0.0,102.347,102.347,0.0,0.0,0.0,0.0,3.297,3.297,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,17.7315,0.0,36.3354,-9999,-9999,-9999,-9999,9.94395,0.0,20.2999,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,2.93752,0.0,-9999,-9999,2.72618,0.0,-9999,-9999,2.86255,0.0,0.0136159,2.72618,2.72618,2.80423,2.86542,2.92506,2.9669,2.97541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75551,0.565417,0.0,-9999,-9999,1.53603,0.969993,0.0,-9999,-9999,3.75551,0.565417,0.0,-9999,-9999,1.04726,1.42056,0.0,-9999,-9999,3.46767,3.62723,3.62723,3.67438,3.75551,3.75551,3.75551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04726,1.29874,1.40674,1.47584,1.60444,1.62656,1.64856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75508,2.76281,2.72392,0.00936998,2.61763,2.66152,2.67626,2.75101,2.76557,2.77644,2.79543,-0.251531,0.0366386,-0.138635,0.0141844,-0.247794,-0.232166,-0.209761,-0.161076,-0.0932002,-0.0437516,0.0366386,0.934965,1.55575,0.718814,0.06417,0.234938,0.286837,0.322467,0.878758,0.934965,0.946192,1.5405,0.0907293,0.942558,0.100745,0.0435031,0.0,0.0,0.0,0.0,0.00758367,0.0610209,0.914085,-9999,-9999
20130108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.316,8.002,3.172,11.156,4.149,9.316,0.0,8.002,3.172,0.0,11.156,4.149,0.0,180.166,109.271,0.625,122.823,122.429,0.625,-9999,-9999,302.079,302.079,0.0,-9999,-9999,295.928,295.928,0.0,-9999,-9999,3.015,3.015,0.0,102.245,102.245,0.0,0.0,0.0,0.0,2.675,2.675,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,18.648,0.0,37.9729,-9999,-9999,-9999,-9999,10.5386,0.0,21.3778,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,2.51858,0.0,-9999,-9999,2.28858,0.0,-9999,-9999,2.44786,0.0,0.0129118,2.28858,2.3389,2.40016,2.46201,2.51335,2.5192,2.5559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14059,0.509601,0.0,-9999,-9999,1.42802,0.817267,0.0,-9999,-9999,3.14059,0.509601,0.0,-9999,-9999,0.896102,1.25962,0.0,-9999,-9999,3.01231,3.01231,3.01231,3.12447,3.14059,3.1519,3.20354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896102,1.18034,1.2998,1.35925,1.44887,1.45203,1.45776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.20044,3.227,3.17123,0.00914821,3.08384,3.11492,3.11779,3.13908,3.22747,3.23172,3.23605,0.681235,0.938418,0.723377,0.0147792,0.615967,0.63658,0.663358,0.69656,0.74669,0.811334,0.938418,1.07099,1.7709,0.841578,0.0716948,0.26808,0.338823,0.400636,1.0166,1.08057,1.113,1.75353,0.103465,1.06997,0.114459,0.0494036,0.0,0.0,0.0,0.0,0.00865272,0.0695983,1.03829,-9999,-9999
20130109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.035,6.705,1.437,9.896,2.019,8.035,0.0,6.705,1.437,0.0,9.896,2.019,0.0,181.191,96.864,0.625,69.047,69.028,0.625,-9999,-9999,322.096,322.096,0.0,-9999,-9999,317.013,317.013,0.0,-9999,-9999,2.163,2.163,0.0,101.907,101.907,0.0,0.951,0.951,0.0,3.58,3.58,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,15.2743,0.0,30.9085,-9999,-9999,-9999,-9999,8.4512,0.0,17.0359,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,2.23668,0.0,-9999,-9999,2.0959,0.0,-9999,-9999,2.29674,0.0,0.0231665,2.03413,2.0959,2.19253,2.26962,2.447,2.45398,2.49337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95556,0.417275,0.0,-9999,-9999,1.0351,0.980772,0.0,-9999,-9999,2.95556,0.417275,0.0,-9999,-9999,0.70951,1.30004,0.0,-9999,-9999,2.70694,2.77101,2.77101,2.95556,3.03463,3.03463,3.13099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56665,0.70951,0.932988,1.33743,1.41196,1.43345,1.50441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83545,2.844,2.80342,0.00955943,2.69503,2.73934,2.75455,2.83211,2.84533,2.85767,2.87636,0.456177,0.748104,0.506686,0.0270009,0.174169,0.314717,0.40114,0.484929,0.629016,0.748104,0.770427,0.961486,1.59914,0.738991,0.0660285,0.241536,0.294053,0.330579,0.904216,0.961486,0.972736,1.58346,0.0585291,0.618628,0.0659124,0.0285089,0.0,0.0,0.0,0.0,0.00488258,0.0393387,0.598521,-9999,-9999
20130110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.781,5.094,1.43,6.742,1.647,5.781,0.0,5.094,1.43,0.0,6.742,1.647,0.0,182.27,102.583,0.625,104.141,103.697,0.625,-9999,-9999,288.096,288.096,0.0,-9999,-9999,281.199,281.199,0.0,-9999,-9999,2.883,2.883,0.0,102.052,102.052,0.0,0.003,0.003,0.0,4.404,4.404,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,1.0,17.7315,0.0,35.546,-9999,-9999,-9999,-9999,9.94395,0.0,19.8572,-9999,-9999,-9999,-9999,11.0,3,28,20,0,0,2.93752,0.0,-9999,-9999,2.72618,0.0,-9999,-9999,2.86255,0.0,0.0136159,2.72618,2.72618,2.80423,2.86542,2.92506,2.9669,2.97541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75551,0.565417,0.0,-9999,-9999,1.53603,0.969993,0.0,-9999,-9999,3.75551,0.565417,0.0,-9999,-9999,1.04726,1.42056,0.0,-9999,-9999,3.46767,3.62723,3.62723,3.67438,3.75551,3.75551,3.75551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04726,1.29874,1.40674,1.47584,1.60444,1.62656,1.64856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31814,2.3082,2.28546,0.0108549,2.12582,2.23273,2.24615,2.28939,2.31814,2.33214,2.41397,-0.688478,-0.417978,-0.57709,0.0150757,-0.72411,-0.673436,-0.648764,-0.595712,-0.531711,-0.469291,-0.417978,0.800932,1.34337,0.599297,0.0567444,0.193837,0.210468,0.237164,0.714681,0.800932,0.806863,1.3302,0.0877639,0.916329,0.0978517,0.0422741,0.0,0.0,0.0,0.0,0.00733157,0.059015,0.88805,-9999,-9999
