TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
201301,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.537,5.835,2.288,9.777,3.303,7.537,0.0,5.835,2.288,0.0,9.777,3.303,0.0,191.958,102.895,0.610887,116.884,116.765,0.610887,-9999,-9999,299.349,299.349,0.0,-9999,-9999,293.052,293.052,0.0,-9999,-9999,3.407,3.407,0.0,102.355,102.355,0.0,0.295,0.295,0.0,2.81,2.81,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,17.2345,0.0,35.3466,-9999,9.65423,0.0,19.8001,-9999,2.0,3,27.3226,20.6774,0.0,0.0,2.55556,0.0,-9999,-9999,2.3817,0.0,-9999,-9999,2.54626,0.0,0.0143241,2.3817,2.44001,2.49036,2.55556,2.62842,2.64205,2.66636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29635,0.482302,0.0,-9999,-9999,1.35968,1.0149,0.0,-9999,-9999,3.29635,0.482302,0.0,-9999,-9999,0.970491,1.39124,0.0,-9999,-9999,3.1321,3.15331,3.15957,3.28837,3.29635,3.30354,3.3407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.970491,1.10111,1.35876,1.44172,1.54181,1.563,1.56514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79332,2.805,2.76341,0.00898003,2.66973,2.69951,2.71471,2.78615,2.8061,2.81637,2.83111,0.151276,0.423298,0.217151,0.0167484,0.0432887,0.0990232,0.15058,0.199902,0.250461,0.355158,0.423298,0.955318,1.57006,0.731052,0.0643594,0.237222,0.299829,0.3319,0.890063,0.944845,0.956229,1.55467,0.124029,1.02067,0.109181,0.0471259,0.0,0.0,0.0,0.0,0.00825243,0.0663787,0.990411,-9999,-9999
201302,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.431,7.381,2.348,11.824,3.637,9.431,0.0,7.381,2.348,0.0,11.824,3.637,0.0,251.981,103.133,0.580357,168.415,167.922,0.580357,-9999,-9999,299.317,299.317,0.0,-9999,-9999,293.019,293.019,0.0,-9999,-9999,4.482,4.482,0.0,102.161,102.161,0.0,0.35,0.35,0.0,3.187,3.187,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,17.269,0.0,31.2523,-9999,9.6765,0.0,17.5119,-9999,2.0,3,25.8571,22.1429,0.0,0.0,2.54213,0.0,-9999,-9999,2.3673,0.0,-9999,-9999,2.53258,0.0,0.0143483,2.3673,2.42629,2.47521,2.54213,2.61653,2.62717,2.65298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25898,0.463574,0.0,-9999,-9999,1.50236,1.13359,0.0,-9999,-9999,3.25898,0.463574,0.0,-9999,-9999,1.13673,1.49764,0.0,-9999,-9999,3.09269,3.11375,3.11451,3.25898,3.25898,3.27009,3.31269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13673,1.25999,1.44004,1.56998,1.66473,1.6855,1.69047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24152,3.27082,3.213,0.00917559,3.12636,3.15573,3.15897,3.19054,3.27114,3.27208,3.27705,0.614354,0.90352,0.680425,0.017506,0.557277,0.564938,0.610631,0.633346,0.711453,0.841627,0.90352,1.09066,1.7891,0.853956,0.0721784,0.270913,0.348976,0.412696,1.02909,1.09195,1.13644,1.77155,0.17781,1.4391,0.154424,0.0665444,0.0,0.0,0.0,0.0,0.0118601,0.0952688,1.39964,-9999,-9999
201303,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,13.107,10.96,2.027,15.166,3.539,13.107,0.0,10.96,2.027,0.0,15.166,3.539,0.0,332.693,102.711,0.531586,207.488,207.099,0.531586,-9999,-9999,329.167,329.167,0.0,-9999,-9999,324.46,324.46,0.0,-9999,-9999,5.578,5.578,0.0,101.908,101.908,0.0,0.719,0.719,0.0,2.97,2.97,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,17.1552,0.0,29.1842,-9999,9.60608,0.0,16.3417,-9999,3.0,3,23.5161,24.4839,0.0,0.0,2.53193,0.0,-9999,-9999,2.36137,0.0,-9999,-9999,2.52801,0.0,0.014617,2.36137,2.41417,2.47147,2.53205,2.61773,2.6247,2.65004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24574,0.441438,0.0,-9999,-9999,1.66359,1.23079,0.0,-9999,-9999,3.24574,0.441438,0.0,-9999,-9999,1.34106,1.57956,0.0,-9999,-9999,3.06384,3.0838,3.0838,3.24574,3.24574,3.27069,3.30889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34106,1.44076,1.60609,1.73993,1.82665,1.83991,1.84379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23656,4.31315,4.215,0.014697,4.09783,4.13529,4.13757,4.18879,4.30901,4.31315,4.33027,1.61251,1.95178,1.687,0.0225849,1.53875,1.55318,1.59269,1.65968,1.75147,1.9161,1.95178,1.38317,2.26101,1.1334,0.0884406,0.343767,0.532184,0.578365,1.33575,1.39163,1.58717,2.23884,0.218892,1.75494,0.188651,0.081216,0.0,0.0,0.0,0.0,0.0146214,0.117357,1.70898,-9999,-9999
201304,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.389,13.611,2.045,18.506,3.816,16.389,0.0,13.611,2.045,0.0,18.506,3.816,0.0,410.103,102.906,0.477778,285.21,284.795,0.477778,-9999,-9999,331.588,331.588,0.0,-9999,-9999,327.011,327.011,0.0,-9999,-9999,9.698,9.698,0.0,101.687,101.687,0.0,0.265,0.265,0.0,3.986,3.986,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,17.2179,0.0,26.075,-9999,9.64457,0.0,14.6058,-9999,3.0,3,20.9333,27.0667,0.0,0.0,2.54324,0.0,-9999,-9999,2.37022,0.0,-9999,-9999,2.53571,0.0,0.0144298,2.37022,2.42684,2.47914,2.54324,2.62104,2.63122,2.65658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27836,0.411835,0.0,-9999,-9999,1.81003,1.25593,0.0,-9999,-9999,3.27836,0.411835,0.0,-9999,-9999,1.51377,1.60091,0.0,-9999,-9999,3.08306,3.09837,3.09837,3.27836,3.27836,3.30328,3.34907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51377,1.61112,1.71939,1.86852,1.94873,1.95995,1.96661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28333,5.42207,5.27538,0.0263683,5.11331,5.15507,5.17459,5.25019,5.41117,5.42207,5.46746,2.65211,3.05185,2.73967,0.0323894,2.45673,2.59436,2.61441,2.68725,2.84664,3.04062,3.05185,1.67952,2.73704,1.44117,0.103926,0.41763,0.767949,0.834606,1.65592,1.71884,2.03245,2.7102,0.300009,2.36456,0.255006,0.109593,0.0,0.0,0.0,0.0,0.0200925,0.161039,2.30791,-9999,-9999
201305,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.29,15.07,2.111,20.38,3.949,18.29,0.0,15.07,2.111,0.0,20.38,3.949,0.0,463.426,102.895,0.434812,319.461,319.079,0.434812,-9999,-9999,343.189,343.189,0.0,-9999,-9999,339.231,339.231,0.0,-9999,-9999,11.468,11.468,0.0,101.56,101.56,0.0,0.163,0.163,0.0,3.543,3.543,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,17.2345,0.0,26.411,-9999,9.65423,0.0,14.7946,-9999,3.0,3,18.871,29.129,0.0,0.0,2.55556,0.0,-9999,-9999,2.3817,0.0,-9999,-9999,2.54626,0.0,0.0143241,2.3817,2.44001,2.49036,2.55556,2.62842,2.64205,2.66636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31282,0.402793,0.0,-9999,-9999,1.91109,1.26443,0.0,-9999,-9999,3.31282,0.402793,0.0,-9999,-9999,1.63459,1.6057,0.0,-9999,-9999,3.10124,3.11429,3.11429,3.31282,3.31282,3.335,3.38877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63459,1.72749,1.80782,1.96021,2.03787,2.04831,2.05536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91539,6.09342,5.91657,0.0344797,5.66759,5.77077,5.80136,5.86873,6.07819,6.09342,6.1569,3.27335,3.71172,3.37031,0.0397267,3.00123,3.19521,3.2284,3.2929,3.49621,3.71172,3.71689,1.85687,3.02162,1.62904,0.113416,0.46184,0.916587,0.996146,1.84878,1.91902,2.30363,2.99199,0.335871,2.6372,0.284612,0.122269,0.0,0.0,0.0,0.0,0.0225077,0.180338,2.57531,-9999,-9999
201306,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.789,17.373,2.257,22.839,4.213,20.789,0.0,17.373,2.257,0.0,22.839,4.213,0.0,485.466,102.906,0.416667,325.797,325.687,0.416667,-9999,-9999,363.069,363.069,0.0,-9999,-9999,360.171,360.171,0.0,-9999,-9999,12.766,12.766,0.0,101.248,101.248,0.0,0.158,0.158,0.0,3.401,3.401,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,17.2179,0.0,26.9002,-9999,9.64457,0.0,15.0681,-9999,3.0,3,18.0,30.0,0.0,0.0,2.54324,0.0,-9999,-9999,2.37022,0.0,-9999,-9999,2.53571,0.0,0.0144298,2.37022,2.42684,2.47914,2.54324,2.62104,2.63122,2.65658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.30733,0.388999,0.0,-9999,-9999,1.93687,1.26239,0.0,-9999,-9999,3.30733,0.388999,0.0,-9999,-9999,1.67009,1.59921,0.0,-9999,-9999,3.08608,3.09854,3.09854,3.30733,3.30733,3.33577,3.38932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67009,1.75739,1.8377,1.98703,2.06241,2.07251,2.07838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.82294,7.06385,6.84066,0.0479472,6.44933,6.65454,6.70345,6.77002,7.04152,7.06385,7.15711,4.19172,4.69363,4.30495,0.0526048,3.79276,4.0918,4.14706,4.19172,4.47265,4.69363,4.73027,2.10589,3.42018,1.908,0.126568,0.523943,1.15732,1.25777,2.10838,2.1966,2.70171,3.38664,0.342778,2.68967,0.29031,0.124709,0.0,0.0,0.0,0.0,0.0229731,0.184055,2.62676,-9999,-9999
201307,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.847,18.19,2.454,24.147,4.497,21.847,0.0,18.19,2.454,0.0,24.147,4.497,0.0,474.261,103.43,0.428091,343.101,342.763,0.428091,-9999,-9999,365.58,365.58,0.0,-9999,-9999,362.817,362.817,0.0,-9999,-9999,13.71,13.71,0.0,101.237,101.237,0.0,0.0,0.0,0.0,2.839,2.839,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,17.2641,0.0,26.8042,-9999,9.67341,0.0,15.019,-9999,3.0,3,18.5484,29.4516,0.0,0.0,2.54224,0.0,-9999,-9999,2.36759,0.0,-9999,-9999,2.53288,0.0,0.0143561,2.36759,2.42635,2.47559,2.54224,2.61697,2.62756,2.65333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2909,0.38918,0.0,-9999,-9999,1.9199,1.26223,0.0,-9999,-9999,3.2909,0.38918,0.0,-9999,-9999,1.64544,1.60249,0.0,-9999,-9999,3.07601,3.08927,3.08927,3.2909,3.2909,3.31925,3.37192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64544,1.73789,1.813,1.96728,2.04334,2.0538,2.05972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.21247,7.48058,7.23738,0.0538609,6.78431,7.03384,7.0907,7.16401,7.45517,7.48058,7.58675,4.58491,5.11299,4.7045,0.0582556,4.13098,4.48019,4.53446,4.58491,4.88809,5.11299,5.1604,2.21255,3.59083,2.02775,0.13243,0.550542,1.26086,1.3703,2.21516,2.31394,2.87283,3.55562,0.360625,2.82415,0.304942,0.130968,0.0,0.0,0.0,0.0,0.0241758,0.193662,2.75887,-9999,-9999
201308,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.469,17.101,2.237,22.871,4.165,20.469,0.0,17.101,2.237,0.0,22.871,4.165,0.0,431.116,103.156,0.457661,310.132,309.827,0.457661,-9999,-9999,360.463,360.463,0.0,-9999,-9999,357.426,357.426,0.0,-9999,-9999,10.997,10.997,0.0,101.366,101.366,0.0,0.002,0.002,0.0,2.801,2.801,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-8.27626,0.857527,17.1552,0.0,26.0695,-9999,9.60608,0.0,14.5977,-9999,3.0,3,19.9677,28.0323,0.0,0.0,2.53193,0.0,-9999,-9999,2.36137,0.0,-9999,-9999,2.52801,0.0,0.014617,2.36137,2.41417,2.47147,2.53205,2.61773,2.6247,2.65004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27213,0.401431,0.0,-9999,-9999,1.84643,1.26515,0.0,-9999,-9999,3.27213,0.401431,0.0,-9999,-9999,1.56478,1.60337,0.0,-9999,-9999,3.06513,3.08134,3.08134,3.27213,3.27213,3.30215,3.34726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56478,1.65189,1.75931,1.91163,1.98805,1.99975,2.00311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.68269,6.91171,6.69666,0.045342,6.33313,6.51805,6.56332,6.62701,6.89077,6.91171,6.99908,4.05864,4.55034,4.16865,0.0502754,3.68309,3.95777,4.01069,4.05864,4.33323,4.55034,4.58491,2.06924,3.36184,1.86139,0.124829,0.514793,1.10995,1.2063,2.06924,2.15546,2.63723,3.32888,0.326253,2.5659,0.276834,0.118948,0.0,0.0,0.0,0.0,0.0218568,0.17515,2.50519,-9999,-9999
201309,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.282,16.735,2.048,21.5,3.744,19.282,0.0,16.735,2.048,0.0,21.5,3.744,0.0,363.119,103.324,0.508333,245.596,245.243,0.508333,-9999,-9999,356.212,356.212,0.0,-9999,-9999,352.949,352.949,0.0,-9999,-9999,10.14,10.14,0.0,101.243,101.243,0.0,0.339,0.339,0.0,3.144,3.144,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-6.21842,0.0,17.1958,0.0,27.1912,-9999,9.54893,0.0,15.0995,-9999,3.0,3,22.4,25.6,0.0,0.0,2.51871,0.0,-9999,-9999,2.34602,0.0,-9999,-9999,2.49989,0.0,0.0146808,2.34602,2.40275,2.43492,2.49249,2.59487,2.60162,2.62716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23604,0.283613,0.0,-9999,-9999,1.71917,1.2211,0.0,-9999,-9999,3.23671,0.282424,0.0,-9999,-9999,1.40639,1.57165,0.0,-9999,-9999,2.97242,3.018,3.02072,3.23135,3.23693,3.24729,3.28492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.40639,1.50844,1.65298,1.78314,1.8678,1.87964,1.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24177,6.4397,6.24743,0.038666,5.9546,6.08871,6.12487,6.18915,6.42229,6.4397,6.51228,3.64076,4.09368,3.74754,0.0427547,3.32743,3.553,3.59431,3.66906,3.88032,4.09368,4.10953,1.94876,3.16913,1.72539,0.118497,0.484746,0.991424,1.07748,1.94844,2.02247,2.44313,3.13805,0.258823,2.05905,0.221668,0.0953556,0.0,0.0,0.0,0.0,0.017309,0.13884,2.00725,-9999,-9999
201310,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.744,13.337,2.367,18.309,4.608,15.744,0.0,13.337,2.367,0.0,18.309,4.608,0.0,281.971,103.3,0.557796,193.341,193.126,0.557796,-9999,-9999,323.365,323.365,0.0,-9999,-9999,318.349,318.349,0.0,-9999,-9999,9.288,9.288,0.0,101.568,101.568,0.0,0.008,0.008,0.0,2.832,2.832,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-6.16276,0.0,17.2725,0.0,29.4786,-9999,9.5307,0.0,16.2658,-9999,3.0,3,24.7742,23.2258,0.0,0.0,2.47905,0.0,-9999,-9999,2.30603,0.0,-9999,-9999,2.45036,0.0,0.0149698,2.30603,2.35869,2.37365,2.43598,2.54928,2.55524,2.58591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16645,0.114848,0.0,-9999,-9999,1.55797,1.13105,0.0,-9999,-9999,3.16797,0.112225,0.0,-9999,-9999,1.21154,1.49607,0.0,-9999,-9999,2.8546,2.92959,2.93505,3.14123,3.16797,3.16939,3.19881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21154,1.32759,1.50401,1.62593,1.71722,1.73682,1.7393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.07147,5.19701,5.06043,0.0237211,4.9153,4.94871,4.9645,5.04268,5.18756,5.19701,5.2363,2.51682,2.89099,2.61007,0.02871,2.34162,2.46097,2.48744,2.59002,2.69676,2.86875,2.89099,1.62007,2.64164,1.37789,0.10085,0.40281,0.717348,0.779613,1.59129,1.65175,1.94148,2.61574,0.20431,1.64552,0.176738,0.0761225,0.0,0.0,0.0,0.0,0.0136376,0.109503,1.60147,-9999,-9999
