TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20040101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-6.059,-6.978,3.665,-4.528,1.972,-6.059,0.0,-6.978,3.665,0.0,-4.528,1.972,0.0,113.134,93.427,0.666667,21.026,20.987,0.666667,-9999,-9999,254.302,254.302,0.0,-9999,-9999,269.94,269.94,0.0,-9999,-9999,0.789,0.789,0.0,97.47,97.47,0.0,0.988,0.988,0.0,1.621,1.621,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,1.0,14.9636,0.0,-9999,-9999,-9999,-9999,-9999,51.0561,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-1.22549,0.0,-9999,-9999,-1.22194,0.0,-9999,-9999,-1.27157,0.0,0.027314,-1.67461,-1.26541,-1.23046,-1.22549,-1.22194,-1.22194,-1.22194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.970026,2.2936,0.0,-9999,-9999,-1.53246,1.27599,0.0,-9999,-9999,-0.964557,2.29722,0.0,-9999,-9999,-1.53246,1.27599,0.0,-9999,-9999,-1.66249,-1.03158,-0.97769,-0.970026,-0.964557,-0.964557,-0.964557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.53246,-1.53246,-1.53246,-1.53246,-1.53246,-1.53246,-1.53246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033863,0.0033863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22549,1.22194,1.27496,0.0257881,1.22194,1.22194,1.22194,1.22549,1.23046,1.26541,1.67461,0.398171,0.398171,0.295501,0.0248949,0.0240394,0.0758,0.0822523,0.398171,0.404819,0.406806,0.409773,0.483389,0.483389,0.456569,0.0200066,0.253844,0.330182,0.331601,0.483389,0.483389,0.484601,0.485798,-9999,-9999
20040102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.751,-4.207,3.296,-2.99,2.605,-3.751,0.0,-4.207,3.296,0.0,-2.99,2.605,0.0,113.75,62.109,0.666667,16.375,16.328,0.666667,-9999,-9999,259.477,259.477,0.0,-9999,-9999,274.982,274.982,0.0,-9999,-9999,0.419,0.419,0.0,96.441,96.441,0.0,0.747,0.747,0.0,1.741,1.741,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,1.0,25.3521,0.0,-9999,-9999,-9999,-9999,-9999,72.4118,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-1.14168,0.0,-9999,-9999,-1.15428,0.0,-9999,-9999,-1.20699,0.0,0.0284445,-1.65338,-1.27198,-1.15428,-1.15428,-1.14168,-1.14168,-1.14168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.939083,2.29842,0.0,-9999,-9999,-1.36867,0.949242,0.0,-9999,-9999,-0.958513,2.29879,0.0,-9999,-9999,-1.36867,0.949242,0.0,-9999,-9999,-1.72805,-1.13998,-0.958513,-0.958513,-0.939083,-0.939083,-0.939083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.36867,-1.36867,-1.36867,-1.36867,-1.36867,-1.36867,-1.36867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00448475,0.00448475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14168,1.15428,1.21148,0.0269146,1.14168,1.14168,1.14168,1.15428,1.15428,1.27198,1.65038,0.426611,0.426611,0.319215,0.0261311,0.0319713,0.081214,0.0881272,0.426611,0.433734,0.435862,0.439042,0.417309,0.417309,0.399776,0.0202056,0.215611,0.288732,0.28996,0.417309,0.417309,0.418217,0.419478,-9999,-9999
20040103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-11.485,-11.252,3.497,-11.874,0.825,-11.485,0.0,-11.252,3.497,0.0,-11.874,0.825,0.0,114.425,49.651,0.666667,67.57,67.32,0.666667,-9999,-9999,187.138,187.138,0.0,-9999,-9999,204.497,204.497,0.0,-9999,-9999,0.369,0.369,0.0,97.21,97.21,0.0,0.091,0.091,0.0,3.392,3.392,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,1.0,16.1567,0.0,-9999,-9999,-9999,-9999,-9999,65.5581,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-1.17493,0.0,-9999,-9999,-1.18481,0.0,-9999,-9999,-1.22308,0.0,0.0248133,-1.60097,-1.21976,-1.18481,-1.18481,-1.17493,-1.17493,-1.17493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.823312,2.01292,0.0,-9999,-9999,-1.64705,1.77976,0.0,-9999,-9999,-0.838542,2.01776,0.0,-9999,-9999,-1.64705,1.77976,0.0,-9999,-9999,-1.4802,-0.892431,-0.838542,-0.838542,-0.823312,-0.823312,-0.823312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.64705,-1.64705,-1.64705,-1.64705,-1.64705,-1.64705,-1.64705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00146259,0.00146259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17493,1.18481,1.22455,0.0241173,1.17493,1.17493,1.17493,1.18481,1.18481,1.21976,1.60097,0.327288,0.327288,0.239314,0.0213052,0.010251,0.061133,0.062306,0.327288,0.332753,0.334386,0.336825,0.947796,0.947796,0.860575,0.0264517,0.53006,0.617305,0.620052,0.947796,0.949301,0.951363,0.951761,-9999,-9999
20040104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-16.681,-16.963,0.882,-16.211,2.017,-16.681,0.0,-16.963,0.882,0.0,-16.211,2.017,0.0,115.158,93.427,0.666667,41.211,41.083,0.666667,-9999,-9999,193.658,193.658,0.0,-9999,-9999,210.85,210.85,0.0,-9999,-9999,0.143,0.143,0.0,98.313,98.313,0.0,0.123,0.123,0.0,1.148,1.148,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,1.0,14.9636,0.0,-9999,-9999,-9999,-9999,-9999,51.0561,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-1.22549,0.0,-9999,-9999,-1.22194,0.0,-9999,-9999,-1.27157,0.0,0.027314,-1.67461,-1.26541,-1.23046,-1.22549,-1.22194,-1.22194,-1.22194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.970026,2.2936,0.0,-9999,-9999,-1.53246,1.27599,0.0,-9999,-9999,-0.964557,2.29722,0.0,-9999,-9999,-1.53246,1.27599,0.0,-9999,-9999,-1.66249,-1.03158,-0.97769,-0.970026,-0.964557,-0.964557,-0.964557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.53246,-1.53246,-1.53246,-1.53246,-1.53246,-1.53246,-1.53246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000452323,0.000452323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22549,1.22194,1.27202,0.0270907,1.22194,1.22194,1.22194,1.22549,1.23046,1.26541,1.67461,0.253782,0.253782,0.184025,0.0169205,0.003106,0.0474031,0.0483126,0.253782,0.258019,0.259285,0.261177,0.744593,0.744593,0.685463,0.0232081,0.404751,0.495147,0.497317,0.744593,0.744725,0.746981,0.747972,-9999,-9999
20040105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-20.959,-20.77,1.93,-21.274,0.549,-20.959,0.0,-20.77,1.93,0.0,-21.274,0.549,0.0,115.949,62.109,0.666667,67.693,67.438,0.666667,-9999,-9999,149.057,149.057,0.0,-9999,-9999,167.393,167.393,0.0,-9999,-9999,0.058,0.058,0.0,98.349,98.349,0.0,0.149,0.149,0.0,2.544,2.544,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,1.0,25.3521,0.0,-9999,-9999,-9999,-9999,-9999,72.4118,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-1.14168,0.0,-9999,-9999,-1.15428,0.0,-9999,-9999,-1.20699,0.0,0.0284445,-1.65338,-1.27198,-1.15428,-1.15428,-1.14168,-1.14168,-1.14168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.939083,2.29842,0.0,-9999,-9999,-1.36867,0.949242,0.0,-9999,-9999,-0.958513,2.29879,0.0,-9999,-9999,-1.36867,0.949242,0.0,-9999,-9999,-1.72805,-1.13998,-0.958513,-0.958513,-0.939083,-0.939083,-0.939083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.36867,-1.36867,-1.36867,-1.36867,-1.36867,-1.36867,-1.36867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000133938,0.000133938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14168,1.15428,1.20713,0.0283897,1.14168,1.14168,1.14168,1.15428,1.15428,1.27198,1.65038,0.189817,0.189817,0.137293,0.0127499,0.000902842,0.0354552,0.0361355,0.189817,0.192986,0.193933,0.195348,0.944322,0.944322,0.857491,0.0263759,0.528348,0.614891,0.617628,0.944322,0.94584,0.947883,0.948268,-9999,-9999
20040106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-18.474,-18.879,2.811,-17.798,1.998,-18.474,0.0,-18.879,2.811,0.0,-17.798,1.998,0.0,116.8,49.651,0.666667,54.81,54.582,0.666667,-9999,-9999,158.236,158.236,0.0,-9999,-9999,176.335,176.335,0.0,-9999,-9999,0.118,0.118,0.0,97.668,97.668,0.0,0.115,0.115,0.0,3.376,3.376,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,1.0,16.1567,0.0,-9999,-9999,-9999,-9999,-9999,65.5581,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-1.17493,0.0,-9999,-9999,-1.18481,0.0,-9999,-9999,-1.22308,0.0,0.0248133,-1.60097,-1.21976,-1.18481,-1.18481,-1.17493,-1.17493,-1.17493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.823312,2.01292,0.0,-9999,-9999,-1.64705,1.77976,0.0,-9999,-9999,-0.838542,2.01776,0.0,-9999,-9999,-1.64705,1.77976,0.0,-9999,-9999,-1.4802,-0.892431,-0.838542,-0.838542,-0.823312,-0.823312,-0.823312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.64705,-1.64705,-1.64705,-1.64705,-1.64705,-1.64705,-1.64705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000316283,0.000316283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17493,1.18481,1.2234,0.0246571,1.17493,1.17493,1.17493,1.18481,1.18481,1.21976,1.60097,0.226996,0.226996,0.164449,0.0151757,0.00216389,0.0423998,0.0432133,0.226996,0.230786,0.231919,0.23361,0.853573,0.853573,0.779121,0.0247046,0.472133,0.560403,0.562883,0.853573,0.854464,0.856603,0.857261,-9999,-9999
20040107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-14.725,-15.843,1.304,-12.861,2.406,-14.725,0.0,-15.843,1.304,0.0,-12.861,2.406,0.0,117.708,93.427,0.666667,69.078,68.722,0.666667,-9999,-9999,166.217,166.217,0.0,-9999,-9999,184.112,184.112,0.0,-9999,-9999,0.16,0.16,0.0,98.02,98.02,0.0,0.0,0.0,0.0,1.929,1.929,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,14.9636,0.0,-9999,-9999,-9999,-9999,-9999,51.0561,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-1.22549,0.0,-9999,-9999,-1.22194,0.0,-9999,-9999,-1.27157,0.0,0.027314,-1.67461,-1.26541,-1.23046,-1.22549,-1.22194,-1.22194,-1.22194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.970026,2.2936,0.0,-9999,-9999,-1.53246,1.27599,0.0,-9999,-9999,-0.964557,2.29722,0.0,-9999,-9999,-1.53246,1.27599,0.0,-9999,-9999,-1.66249,-1.03158,-0.97769,-0.970026,-0.964557,-0.964557,-0.964557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.53246,-1.53246,-1.53246,-1.53246,-1.53246,-1.53246,-1.53246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00075685,0.00075685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22549,1.22194,1.27233,0.0269435,1.22194,1.22194,1.22194,1.22549,1.23046,1.26541,1.67461,0.281985,0.281985,0.205006,0.0186602,0.00524697,0.052671,0.0536816,0.281985,0.286693,0.2881,0.290202,0.958342,0.958342,0.869712,0.0266654,0.536506,0.623709,0.626486,0.958342,0.959913,0.961968,0.96234,-9999,-9999
20040108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-15.041,-16.604,2.898,-12.437,2.403,-15.041,0.0,-16.604,2.898,0.0,-12.437,2.403,0.0,118.674,62.109,0.666667,51.218,50.89,0.666667,-9999,-9999,177.26,177.26,0.0,-9999,-9999,194.873,194.873,0.0,-9999,-9999,0.188,0.188,0.0,98.526,98.526,0.0,0.0,0.0,0.0,1.473,1.473,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,1.0,25.3521,0.0,-9999,-9999,-9999,-9999,-9999,72.4118,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-1.14168,0.0,-9999,-9999,-1.15428,0.0,-9999,-9999,-1.20699,0.0,0.0284445,-1.65338,-1.27198,-1.15428,-1.15428,-1.14168,-1.14168,-1.14168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.939083,2.29842,0.0,-9999,-9999,-1.36867,0.949242,0.0,-9999,-9999,-0.958513,2.29879,0.0,-9999,-9999,-1.36867,0.949242,0.0,-9999,-9999,-1.72805,-1.13998,-0.958513,-0.958513,-0.939083,-0.939083,-0.939083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.36867,-1.36867,-1.36867,-1.36867,-1.36867,-1.36867,-1.36867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000774848,0.000774848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14168,1.15428,1.20777,0.028135,1.14168,1.14168,1.14168,1.15428,1.15428,1.27198,1.65038,0.276941,0.276941,0.201424,0.018304,0.0053816,0.0517288,0.0527214,0.276941,0.281565,0.282946,0.28501,0.834817,0.834817,0.763389,0.0244892,0.45935,0.550127,0.552554,0.834817,0.835475,0.837696,0.838478,-9999,-9999
20040109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-11.876,-12.522,1.336,-10.799,1.694,-11.876,0.0,-12.522,1.336,0.0,-10.799,1.694,0.0,119.699,49.651,0.666667,55.807,55.459,0.666667,-9999,-9999,221.041,221.041,0.0,-9999,-9999,237.531,237.531,0.0,-9999,-9999,0.404,0.404,0.0,98.932,98.932,0.0,0.08,0.08,0.0,0.626,0.626,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,1.0,16.1567,0.0,-9999,-9999,-9999,-9999,-9999,65.5581,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-1.17493,0.0,-9999,-9999,-1.18481,0.0,-9999,-9999,-1.22308,0.0,0.0248133,-1.60097,-1.21976,-1.18481,-1.18481,-1.17493,-1.17493,-1.17493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.823312,2.01292,0.0,-9999,-9999,-1.64705,1.77976,0.0,-9999,-9999,-0.838542,2.01776,0.0,-9999,-9999,-1.64705,1.77976,0.0,-9999,-9999,-1.4802,-0.892431,-0.838542,-0.838542,-0.823312,-0.823312,-0.823312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.64705,-1.64705,-1.64705,-1.64705,-1.64705,-1.64705,-1.64705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00128411,0.00128411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17493,1.18481,1.22437,0.0241986,1.17493,1.17493,1.17493,1.18481,1.18481,1.21976,1.60097,0.322457,0.322457,0.235339,0.0211027,0.00896657,0.0602306,0.0613863,0.322457,0.327841,0.32945,0.331853,0.85982,0.85982,0.784274,0.0247513,0.47613,0.563997,0.566494,0.85982,0.860768,0.862892,0.863522,-9999,-9999
20040110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-7.329,-7.68,2.695,-6.744,1.914,-7.329,0.0,-7.68,2.695,0.0,-6.744,1.914,0.0,120.78,93.427,0.666667,30.413,30.286,0.666667,-9999,-9999,249.616,249.616,0.0,-9999,-9999,265.375,265.375,0.0,-9999,-9999,0.512,0.512,0.0,98.032,98.032,0.0,0.599,0.599,0.0,1.642,1.642,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,1.0,14.9636,0.0,-9999,-9999,-9999,-9999,-9999,51.0561,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30,18,0,0,-1.22549,0.0,-9999,-9999,-1.22194,0.0,-9999,-9999,-1.27157,0.0,0.027314,-1.67461,-1.26541,-1.23046,-1.22549,-1.22194,-1.22194,-1.22194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.970026,2.2936,0.0,-9999,-9999,-1.53246,1.27599,0.0,-9999,-9999,-0.964557,2.29722,0.0,-9999,-9999,-1.53246,1.27599,0.0,-9999,-9999,-1.66249,-1.03158,-0.97769,-0.970026,-0.964557,-0.964557,-0.964557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.53246,-1.53246,-1.53246,-1.53246,-1.53246,-1.53246,-1.53246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00276161,0.00276161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22549,1.22194,1.27433,0.0260432,1.22194,1.22194,1.22194,1.22549,1.23046,1.26541,1.67461,0.382684,0.382684,0.282528,0.0242585,0.0195297,0.0728518,0.0786476,0.382684,0.389074,0.390983,0.393835,0.626289,0.626289,0.583286,0.0220565,0.334184,0.422446,0.424278,0.626289,0.626289,0.628064,0.62928,-9999,-9999
