TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
200401,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-14.069,-14.679,2.386,-13.115,1.868,-14.069,0.0,-14.679,2.386,0.0,-13.115,1.868,0.0,130.68,69.203,0.652554,57.209,57.021,0.652554,-9999,-9999,202.483,202.483,0.0,-9999,-9999,219.449,219.449,0.0,-9999,-9999,0.248,0.248,0.0,97.747,97.747,0.0,0.873,0.873,0.0,1.981,1.981,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.6996,0.0,-9999,-9999,62.6231,0.0,-9999,-9999,-9999,-9999,29.3226,18.6774,0.0,0.0,-1.18214,0.0,-9999,-9999,-1.18814,0.0,-9999,-9999,-1.2351,0.0,0.0268038,-1.64401,-1.2528,-1.19116,-1.18814,-1.18214,-1.18214,-1.18214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.893416,2.22624,0.0,-9999,-9999,-1.52447,1.31379,0.0,-9999,-9999,-0.902884,2.22938,0.0,-9999,-9999,-1.52447,1.31379,0.0,-9999,-9999,-1.62218,-1.00494,-0.907646,-0.904867,-0.891433,-0.891433,-0.891433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.52447,-1.52447,-1.52447,-1.52447,-1.52447,-1.52447,-1.52447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00127484,0.00127484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18814,1.18814,1.23637,0.0262284,1.18214,1.18214,1.18214,1.18814,1.19116,1.2528,1.64304,0.288687,0.288687,0.211196,0.0187654,0.00896641,0.0539229,0.0549575,0.288687,0.293507,0.294948,0.297099,0.846055,0.846055,0.773496,0.0248412,0.468453,0.555505,0.557962,0.846055,0.846956,0.849065,0.849707,-9999,-9999
200402,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-6.403,-7.64,2.033,-4.91,2.371,-6.403,0.0,-7.64,2.033,0.0,-4.91,2.371,0.0,195.59,67.533,0.597701,97.792,97.583,0.597701,-9999,-9999,234.203,234.203,0.0,-9999,-9999,250.356,250.356,0.0,-9999,-9999,0.889,0.889,0.0,97.773,97.773,0.0,0.943,0.943,0.0,1.954,1.954,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,17.7343,0.0,-9999,-9999,58.2586,0.0,-9999,-9999,-9999,-9999,26.6897,21.3103,0.0,0.0,-0.826403,0.0,-9999,-9999,-0.828309,0.0,-9999,-9999,-0.852978,0.0,0.017059,-1.10031,-0.906025,-0.828622,-0.828309,-0.826403,-0.826403,-0.820963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.170461,0.329556,0.0,-9999,-9999,-1.57515,1.31425,0.0,-9999,-9999,-0.173635,0.32834,0.0,-9999,-9999,-1.57526,1.31415,0.0,-9999,-9999,-0.689795,-0.221918,-0.17379,-0.173674,-0.170306,-0.170306,-0.160751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.57589,-1.57589,-1.57589,-1.57526,-1.57515,-1.57515,-1.57515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65291e-08,3.42926e-08,0.00365287,0.00365283,3.13107e-08,3.28016e-08,3.42926e-08,3.42926e-08,3.72746e-08,3.72746e-08,3.80201e-08,0.828309,0.828309,0.856631,0.0150624,0.820963,0.826404,0.826404,0.828309,0.828622,0.906025,1.06674,0.391344,0.391344,0.291758,0.0241869,0.0260351,0.0745004,0.080842,0.391344,0.397879,0.399831,0.402748,1.1535,1.1535,1.04525,0.031911,0.652137,0.746194,0.749618,1.1535,1.1559,1.15807,1.15818,-9999,-9999
200403,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.44,-3.287,2.808,0.314,2.86,-1.44,0.0,-3.287,2.808,0.0,0.314,2.86,0.0,289.178,70.759,0.532258,140.831,140.555,0.532258,-9999,-9999,255.698,255.698,0.0,-9999,-9999,271.3,271.3,0.0,-9999,-9999,1.343,1.343,0.0,97.507,97.507,0.0,1.568,1.231,0.658602,2.193,2.193,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,18.1519,0.0,-9999,-9999,59.8208,0.0,-9999,-9999,-9999,-9999,23.5484,24.4516,0.0,0.0,-0.825195,0.0,-9999,-9999,-0.827159,0.0,-9999,-9999,-0.846874,0.0,0.0141629,-1.05294,-0.87964,-0.829668,-0.827159,-0.825195,-0.825195,-0.819892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0956488,0.21258,0.0,-9999,-9999,-1.47017,1.30744,0.0,-9999,-9999,-0.0991789,0.210456,0.0,-9999,-9999,-1.4705,1.30721,0.0,-9999,-9999,-0.555793,-0.142081,-0.0991789,-0.0991789,-0.0956488,-0.0956488,-0.0850062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4752,-1.4752,-1.4752,-1.47059,-1.47017,-1.47008,-1.47008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19952e-07,1.1786e-07,0.00624956,0.00624944,1.12281e-07,1.14373e-07,1.15768e-07,1.1786e-07,1.22742e-07,1.26229e-07,1.27623e-07,0.827159,0.827159,0.853124,0.0112796,0.819892,0.825196,0.825196,0.827159,0.829668,0.87964,1.02154,0.451371,0.451371,0.343221,0.0266891,0.0448678,0.0859278,0.0959479,0.451371,0.458908,0.46116,0.464524,1.44897,1.44897,1.3075,0.0393654,0.828116,0.930163,0.93501,1.44897,1.45276,1.45467,1.45501,-9999,-9999
200404,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.475,2.204,2.788,6.148,3.556,4.051,0.481944,1.447,2.393,0.613333,5.962,3.63,0.388095,384.304,79.422,0.4625,208.641,208.476,0.4625,-9999,-9999,274.305,274.305,0.0,-9999,-9999,289.43,287.918,0.265972,-9999,-9999,3.187,3.147,0.481944,97.402,97.419,0.385417,1.807,3.31,1.0,1.885,2.003,0.379167,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,20.3749,0.472917,-9999,0.489217,63.345,0.477778,-9999,0.58107,-9999,-9999,20.2,27.8,16.8667,21.9333,-0.718199,0.456944,0.0297119,0.0451597,-0.708129,0.452778,0.0297119,0.0451597,-0.727699,0.452847,0.00916672,-0.874026,-0.776146,-0.719524,-0.713196,-0.708866,-0.708129,-0.707467,0.456944,0.436111,0.456944,0.451389,0.452778,0.452778,0.452778,0.0494167,0.415384,0.611481,0.041681,0.051067,-1.21478,1.32157,0.343259,0.0392174,0.0411209,0.0487492,0.415754,0.607778,0.041681,0.051067,-1.21274,1.32493,0.342069,0.0392174,0.0411209,-0.351013,-0.00420559,0.0381916,0.0478642,0.0517001,0.0548041,0.0734511,0.576111,0.607778,0.607778,0.607778,0.611481,0.611481,0.611481,-1.23988,-1.23613,-1.23382,-1.21382,-1.21235,-1.2114,-1.20764,0.336199,0.339688,0.339688,0.342069,0.346593,0.346593,0.346593,0.0794206,0.0795539,0.0825623,0.0064898,0.0512649,0.071235,0.0742016,0.0789341,0.0794689,0.0795539,0.0798592,0.787683,0.787683,0.810262,0.00719131,0.786779,0.787598,0.787683,0.791416,0.793594,0.827411,0.930959,0.511225,0.511225,0.40079,0.0290006,0.074474,0.0973222,0.108671,0.511225,0.519761,0.522312,0.526122,1.75976,1.75976,1.58922,0.0463454,1.06885,1.12449,1.1429,1.75976,1.76555,1.76694,1.76765,-9999,-9999
200405,8.583,0.892473,6.5,2.301,0.951613,9.798,3.273,0.862097,9.728,7.584,2.668,10.944,3.041,8.613,0.892473,6.491,2.372,0.951613,9.845,3.313,0.862097,455.055,110.424,0.617608,232.897,218.21,0.617608,-9999,-9999,311.251,311.251,0.0,317.299,0.517473,325.43,317.908,0.517473,4.143,0.892473,4.167,4.068,0.892473,97.206,97.253,0.711022,3.876,3.361,1.0,2.158,2.302,0.699597,0.316732686925,0.613575268817,150.980179261,0.711021505376,-9999,-9999,381.691,0.887097,-9999,1.0,23.0216,0.946237,-9999,0.370949,62.2947,0.950941,-9999,0.848421,-9999,-9999,17.2581,30.7419,16.9032,29.129,-0.439627,0.889785,0.0551689,0.0591128,-0.421158,0.885081,0.0551689,0.0591128,-0.457082,0.884997,0.0084961,-0.627258,-0.467803,-0.464055,-0.438091,-0.428331,-0.425342,-0.421158,0.860887,0.896505,0.897177,0.889785,0.887097,0.883065,0.885081,0.991515,1.014,0.963314,0.0718191,0.0994737,-1.18939,1.67924,0.842913,0.0729478,0.0902372,1.00211,1.0217,0.95973,0.0718191,0.0994737,-1.18793,1.68215,0.841838,0.0729478,0.0902372,0.592144,0.925536,0.932219,0.99368,1.01627,1.06319,1.11722,0.93074,0.957938,0.957938,0.95973,0.965106,0.978389,0.978389,-1.3827,-1.28581,-1.25947,-1.18929,-1.18302,-1.17958,-1.16206,0.819392,0.835386,0.836462,0.841838,0.847214,0.85044,0.851515,1.32211,1.32223,1.23894,0.0344018,0.505295,1.20756,1.23355,1.32184,1.32382,1.32835,1.33148,1.74339,1.74339,1.69602,0.0264687,1.13514,1.67232,1.69666,1.74816,1.76375,1.76872,1.77557,0.556449,0.556449,0.4507,0.031412,0.105931,0.114359,0.12465,0.556449,0.566703,0.569282,0.572663,1.56397,1.56397,1.43858,0.0403556,1.01102,1.01582,1.09906,1.56397,1.56884,1.57031,1.57098,-9999,-9999
200406,14.564,0.955556,12.325,2.259,0.983333,15.683,3.273,0.941667,14.767,12.575,1.936,15.863,2.812,14.426,0.955556,12.256,2.329,0.983333,15.511,3.284,0.941667,485.696,259.016,1.0,253.414,259.016,1.0,-9999,-9999,339.222,339.222,0.0,344.452,0.955556,352.684,344.948,0.955556,6.727,0.955556,6.269,6.645,0.955556,97.323,97.33,0.745139,1.683,1.283,1.0,2.188,2.191,0.745139,0.408652148381,0.965972222222,200.84267803,0.733333333333,498.101448611,1.0,363.754,0.955556,-9999,1.0,53.9268,0.997222,-9999,0.467419,55.4957,0.998611,-9999,1.08655,-9999,-9999,16.0,32.0,15.9333,31.9667,-2.54403,0.993056,0.0693978,0.0714825,-2.54697,0.993056,0.0693978,0.0714825,-2.54443,0.992986,0.00235085,-2.57036,-2.55847,-2.55441,-2.54697,-2.53902,-2.52419,-2.51927,0.993056,0.993056,0.993056,0.993056,0.993056,0.993056,0.993056,2.47711,1.77933,0.99375,0.132039,0.142369,-4.91437,4.07013,0.992708,0.0755665,0.0846473,2.46384,1.77252,0.99375,0.132039,0.142369,-4.91349,4.07154,0.992708,0.0755665,0.0846473,2.3801,2.40393,2.43222,2.45822,2.50467,2.51041,2.6391,0.99375,0.99375,0.99375,0.99375,0.99375,0.99375,0.99375,-4.97237,-4.93948,-4.93603,-4.91367,-4.9024,-4.86319,-4.8593,0.992708,0.992708,0.992708,0.992708,0.992708,0.992708,0.992708,2.69546,2.67357,2.65628,0.00937739,2.47411,2.64065,2.65649,2.67269,2.68197,2.68595,2.7044,5.22059,5.22054,5.20071,0.00924497,5.01679,5.17796,5.21002,5.22059,5.22369,5.22579,5.23407,1.54376,1.58735,1.55419,0.0149595,1.37055,1.38373,1.5247,1.58735,1.6191,1.63901,1.64971,4.61479,4.61479,4.58811,0.0104091,4.44879,4.47504,4.57385,4.61479,4.63112,4.64078,4.64709,-9999,-9999
200407,18.456,1.0,14.809,2.203,1.0,20.395,3.465,1.0,17.857,15.47,1.885,19.12,3.05,18.456,1.0,14.809,2.203,1.0,20.395,3.465,1.0,468.732,260.954,1.0,245.377,260.954,1.0,-9999,-9999,357.264,357.264,0.0,380.562,1.0,370.263,380.562,1.0,6.78,1.0,6.777,6.78,1.0,97.351,97.369,0.913978,1.808,0.906,1.0,1.605,1.691,0.90457,0.296712838424,0.838037634409,191.608125085,0.913978494624,501.833963038,1.0,367.253,1.0,-9999,1.0,57.0549,0.999328,-9999,0.753954,48.1798,0.999328,-9999,0.946577,-9999,-9999,16.6129,31.3871,16.6129,31.3871,-4.73538,0.982527,0.0793727,0.130236,-4.67718,0.968414,0.0793727,0.130236,-4.74545,0.969691,0.0140554,-4.94041,-4.87921,-4.78565,-4.71813,-4.67948,-4.6727,-4.66184,0.983199,0.985215,0.950269,0.982527,0.965726,0.967742,0.967742,2.62184,1.68058,0.944616,0.118209,0.379092,-8.36863,6.4264,0.979416,0.0988316,0.192178,2.74019,1.67405,0.948411,0.118209,0.379092,-8.34521,6.43527,0.979416,0.0988316,0.192178,1.90711,2.11729,2.4352,2.62501,2.76033,2.83767,2.88133,0.876898,0.893975,0.942362,0.965489,0.982685,0.982685,0.986717,-8.60554,-8.54341,-8.41853,-8.36584,-8.25911,-8.21378,-8.11733,0.97327,0.976392,0.9774,0.980457,0.982473,0.983513,0.984554,2.96596,3.00684,2.94605,0.0132851,2.77564,2.88308,2.89118,2.96962,3.00748,3.00844,3.02349,7.66933,7.68402,7.6915,0.0168118,7.56128,7.57411,7.59723,7.68402,7.73452,7.84186,7.87538,4.32804,4.34933,4.30672,0.0250293,3.95479,4.13843,4.20313,4.33717,4.36452,4.41697,4.44426,8.68576,8.68576,8.64847,0.0134252,8.49787,8.53526,8.60313,8.66052,8.68576,8.69316,8.78524,-9999,-9999
200408,15.174,1.0,12.157,2.216,1.0,17.127,2.908,1.0,15.335,13.504,2.007,16.531,2.815,15.174,1.0,12.157,2.216,1.0,17.127,2.908,1.0,408.455,196.237,1.0,200.631,196.237,1.0,-9999,-9999,338.666,338.666,0.0,363.637,1.0,352.142,363.637,1.0,4.383,1.0,5.196,4.383,1.0,97.394,97.396,1.0,2.118,3.09,1.0,1.832,1.813,0.997312,0.338060757503,0.911290322581,151.980635753,1.0,377.250068634,0.999327956989,371.365,1.0,-9999,1.0,62.6858,0.989919,-9999,0.801255,23.4171,0.991263,-9999,0.660233,-9999,-9999,19.0645,28.9355,19.0645,28.9355,-4.09258,0.978495,0.0989554,0.103927,-4.06809,0.977823,0.0989554,0.103927,-4.08613,0.977117,0.00519919,-4.16418,-4.12943,-4.09495,-4.07183,-4.06809,-4.06591,-4.04515,0.978495,0.978495,0.976478,0.977151,0.977823,0.977823,0.975134,3.52852,2.55385,0.962903,0.17187,0.273325,-8.85828,7.56501,0.989827,0.110453,0.132891,3.61768,2.48539,0.962903,0.17187,0.273325,-8.87514,7.54872,0.988752,0.110453,0.132891,3.1802,3.28122,3.46957,3.59276,3.67096,3.70627,3.89713,0.951518,0.962903,0.962903,0.962903,0.962903,0.962903,0.962903,-9.0083,-8.94331,-8.92245,-8.86545,-8.83061,-8.79552,-8.76162,0.983373,0.984449,0.985524,0.988787,0.989827,0.990903,0.990903,4.0079,4.0981,4.02857,0.0210911,3.72479,3.82216,4.01405,4.05923,4.10189,4.10852,4.13182,8.16048,8.16619,8.1147,0.0161061,7.88903,7.9516,8.10531,8.13433,8.16619,8.17199,8.21751,3.96451,3.9617,3.82154,0.0486146,3.29619,3.34251,3.41437,3.9617,4.02454,4.08376,4.16622,7.90845,7.90845,7.83875,0.0287212,7.55214,7.55816,7.7387,7.90845,7.96576,7.97666,8.09681,-9999,-9999
200409,16.1,1.0,14.074,2.188,1.0,17.882,2.794,1.0,16.28,14.925,2.206,17.449,2.571,16.1,1.0,14.074,2.188,1.0,17.882,2.794,1.0,321.038,164.765,1.0,158.516,164.765,1.0,-9999,-9999,346.634,346.634,0.0,364.642,1.0,359.906,364.642,1.0,4.704,1.0,5.628,4.704,1.0,97.49,97.507,1.0,2.512,2.373,1.0,2.369,2.212,0.997222,0.367311974157,0.952083333333,112.420788194,1.0,316.855313194,1.0,368.141,1.0,-9999,1.0,53.5818,1.0,-9999,0.778777,5.3975,0.999306,-9999,0.671171,-9999,-9999,22.3333,25.6667,22.3333,25.6,-1.59958,0.984028,0.115431,0.120657,-1.60196,0.984028,0.115431,0.120657,-1.61948,0.985486,0.00537582,-1.69935,-1.65757,-1.64784,-1.60714,-1.59848,-1.58732,-1.58134,0.982639,0.992361,0.992361,0.984028,0.984028,0.984028,0.984028,3.83143,3.28594,0.974242,0.18516,0.227206,-6.16667,6.18871,0.992308,0.131474,0.165926,3.78795,3.25138,0.974242,0.18516,0.227206,-6.16645,6.19006,0.992308,0.131474,0.165926,3.51333,3.62074,3.69775,3.77759,3.86257,3.88409,3.89403,0.971212,0.974242,0.974242,0.974242,0.974242,0.990909,0.990909,-6.35797,-6.27834,-6.24939,-6.17153,-6.08696,-6.0759,-6.06129,0.992308,0.992308,0.992308,0.992308,0.99359,0.99359,0.99359,4.32612,4.31776,4.29545,0.00691835,4.17655,4.25102,4.28754,4.31282,4.32171,4.32576,4.32779,5.92416,5.91972,5.91494,0.00517473,5.87131,5.87736,5.88226,5.91972,5.92737,5.95074,5.97037,4.30099,4.31719,4.25119,0.0216086,3.94344,4.0937,4.123,4.30099,4.34343,4.3648,4.43709,5.81888,5.81888,5.77662,0.0111075,5.61237,5.68516,5.69189,5.80275,5.82538,5.82837,5.85513,-9999,-9999
200410,6.855,0.938844,5.557,1.537,0.967742,8.295,2.534,0.901899,7.364,6.497,2.01,8.346,1.959,6.965,0.938844,5.647,1.567,0.967742,8.432,2.439,0.901899,225.577,88.618,0.997312,91.079,88.278,0.997312,-9999,-9999,303.687,303.687,0.0,296.905,0.936156,318.059,300.164,0.936156,3.651,0.938844,2.433,3.512,0.938844,97.198,97.166,0.55578,2.44,2.597,0.995968,2.221,2.27,0.545027,0.447778063525,0.514112903226,69.1585387361,0.547043010753,168.239449981,0.995967741935,365.298,0.938844,-9999,1.0,20.6323,0.87164,-9999,0.325151,3.03291,0.86828,-9999,0.517391,-9999,-9999,25.6452,22.3548,25.6452,22.3226,-0.271293,0.864919,0.0587935,0.05942,-0.248637,0.864919,0.0587935,0.05942,-0.252749,0.86497,0.00298431,-0.271293,-0.265037,-0.264037,-0.255118,-0.249869,-0.247826,-0.212516,0.864919,0.864919,0.864919,0.864919,0.864919,0.864919,0.862903,1.27266,1.09215,0.87446,0.0771908,0.0849844,-1.94397,2.53978,0.85329,0.0834132,0.0848144,1.30401,1.00604,0.87446,0.0771908,0.0849844,-1.94377,2.53974,0.85329,0.0834132,0.0848144,1.23104,1.24606,1.25345,1.2986,1.31213,1.31717,1.32618,0.873219,0.87446,0.87446,0.87446,0.87446,0.87446,0.875655,-1.98685,-1.9492,-1.94721,-1.94412,-1.92626,-1.9185,-1.81381,0.850602,0.85329,0.85329,0.85329,0.85329,0.854693,0.854693,1.62862,1.63907,1.61924,0.00289245,1.58936,1.5931,1.60101,1.62697,1.63467,1.63596,1.63907,1.88959,1.88771,1.87199,0.00326802,1.82922,1.84506,1.85714,1.88288,1.88762,1.88959,1.89222,0.866115,0.868298,0.904023,0.0123739,0.766547,0.846846,0.848203,0.868163,0.942285,1.00858,1.0458,1.30945,1.30945,1.3249,0.00707374,1.24363,1.30132,1.30235,1.30939,1.34025,1.36924,1.37742,-9999,-9999
