TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
200201,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-8.75,-9.456,2.408,-7.649,2.199,-8.75,0.0,-9.456,2.408,0.0,-7.649,2.199,0.0,130.881,101.991,0.651882,58.741,58.575,0.651882,-9999,-9999,232.431,232.431,0.0,-9999,-9999,218.478,218.478,0.0,-9999,-9999,0.159,0.159,0.0,96.882,96.882,0.0,0.401,0.401,0.0,2.059,2.059,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,17.9039,0.0,-9999,-9999,42.892,0.0,-9999,-9999,-9999,-9999,29.2903,18.7097,0.0,0.0,0.340105,0.0,-9999,-9999,0.34079,0.0,-9999,-9999,0.345206,0.0,0.00168384,0.340105,0.34079,0.34079,0.34079,0.341943,0.362827,0.362827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.469787,0.446517,0.0,-9999,-9999,0.104844,0.209209,0.0,-9999,-9999,0.470869,0.446063,0.0,-9999,-9999,0.104844,0.209209,0.0,-9999,-9999,0.469787,0.470869,0.470869,0.470869,0.472687,0.505663,0.505663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104241,0.104844,0.104844,0.104844,0.104844,0.104844,0.104844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147384,0.131186,0.126244,0.0018223,0.109857,0.11597,0.119185,0.129864,0.131874,0.132951,0.13507,-0.20634,-0.209604,-0.218962,0.00256878,-0.248275,-0.243177,-0.230101,-0.213739,-0.209482,-0.207839,-0.20572,0.153641,0.153635,0.606727,0.0925312,0.153635,0.153635,0.153641,0.153641,1.34525,1.35997,1.36376,0.0,0.0,0.199912,0.0388301,0.0,0.0,0.0,0.0,0.503893,0.510959,0.512779,-9999,-9999
200202,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-6.38,-7.325,2.645,-5.188,2.269,-6.38,0.0,-7.325,2.645,0.0,-5.188,2.269,0.0,194.313,100.829,0.599702,92.746,92.49,0.599702,-9999,-9999,235.369,235.369,0.0,-9999,-9999,221.922,221.922,0.0,-9999,-9999,0.433,0.433,0.0,97.166,97.166,0.0,1.279,1.279,0.0,2.649,2.649,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.176,0.165179,17.8679,0.0,-9999,-9999,43.8171,0.0,-9999,-9999,-9999,-9999,26.7857,21.2143,0.0,0.0,0.306497,0.0,-9999,-9999,0.306707,0.0,-9999,-9999,0.31024,0.0,0.00122383,0.306497,0.30678,0.307436,0.308783,0.30897,0.321183,0.321183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395503,0.308654,0.0,-9999,-9999,0.166177,0.28575,0.0,-9999,-9999,0.395843,0.30772,0.0,-9999,-9999,0.166177,0.28575,0.0,-9999,-9999,0.395503,0.396006,0.397139,0.399536,0.399869,0.420314,0.420314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166177,0.166177,0.166177,0.166177,0.166177,0.166177,0.166177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17378,0.15855,0.153416,0.00180608,0.137674,0.143327,0.146344,0.157286,0.159208,0.160235,0.162248,-0.146725,-0.148157,-0.156823,0.00204669,-0.179437,-0.174442,-0.16438,-0.152571,-0.1493,-0.148549,-0.145188,0.166786,0.166779,0.661657,0.100166,0.166779,0.166779,0.166786,0.166786,1.46034,1.47632,1.48043,0.0,0.0,0.24276,0.0468943,0.0,0.0,0.0,0.0,0.608431,0.616637,0.618751,-9999,-9999
200203,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-8.336,-10.134,2.715,-6.612,3.03,-8.336,0.0,-10.134,2.715,0.0,-6.612,3.03,0.0,286.073,104.314,0.534274,162.618,162.285,0.534274,-9999,-9999,216.878,216.878,0.0,-9999,-9999,200.247,200.247,0.0,-9999,-9999,0.689,0.689,0.0,97.401,97.401,0.0,1.786,1.786,0.0,2.353,2.353,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.593,0.0,17.943,0.0,-9999,-9999,44.9945,0.0,-9999,-9999,-9999,-9999,23.6452,24.3548,0.0,0.0,0.248929,0.0,-9999,-9999,0.247049,0.0,-9999,-9999,0.249466,0.0,0.00126985,0.245184,0.245738,0.246551,0.248929,0.255358,0.255358,0.255358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252585,0.0873573,0.0,-9999,-9999,0.22641,0.323648,0.0,-9999,-9999,0.248893,0.0854412,0.0,-9999,-9999,0.22641,0.323648,0.0,-9999,-9999,0.245342,0.246422,0.246422,0.252585,0.265166,0.265166,0.265166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.226362,0.226362,0.226362,0.22641,0.22641,0.22641,0.22641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153818,0.138904,0.134228,0.0017102,0.119409,0.124697,0.127635,0.137692,0.139536,0.140525,0.142472,-0.111895,-0.108144,-0.115238,0.00128486,-0.125383,-0.12282,-0.117909,-0.11634,-0.113655,-0.10924,-0.104197,0.155331,0.155324,0.6153,0.0933666,0.155324,0.155324,0.155331,0.155331,1.36004,1.37492,1.37875,0.0,0.0,0.316545,0.0607509,0.0,0.0,0.0,0.0,0.787503,0.797527,0.800109,-9999,-9999
200204,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.257,0.036,2.669,3.904,3.341,2.368,0.03125,0.324,2.641,0.0807018,3.904,3.341,0.0,381.568,120.163,0.464583,196.241,196.089,0.464583,-9999,-9999,278.941,278.941,0.0,-9999,-9999,272.995,274.279,0.03125,-9999,-9999,2.003,2.035,0.03125,97.164,97.164,0.0,2.951,2.951,0.0,2.27,2.27,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.28357,0.01875,18.3303,0.030556,28.4452,0.721339,45.2217,0.03125,70.1754,1.91333,1.0,2,20.3,27.7,6.03333,8.6,0.270915,0.0298611,0.0487636,0.0489012,0.270223,0.0298611,0.0479987,0.0481385,0.271033,0.0298611,0.0012852,0.268098,0.268417,0.269662,0.271294,0.275749,0.275749,0.275749,0.0298611,0.0298611,0.0298611,0.0298611,0.0298611,0.0298611,0.0298611,0.267208,0.0830957,0.077193,0.0875518,0.0878739,0.255234,0.331703,0.0,0.051191,0.0511953,0.265085,0.0819049,0.077193,0.0885944,0.0889128,0.255572,0.331754,0.0,0.048282,0.0482866,0.262074,0.262819,0.262819,0.267562,0.277853,0.277853,0.277853,0.077193,0.077193,0.077193,0.077193,0.077193,0.077193,0.077193,0.254234,0.254234,0.254234,0.255572,0.255572,0.255572,0.255572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.284026,0.284029,0.281952,0.000878418,0.276426,0.278514,0.279124,0.284006,0.284055,0.284849,0.286191,0.00917857,0.0138057,0.0109186,0.000612787,0.00775773,0.0082264,0.00827578,0.00944898,0.0119352,0.0138507,0.0162839,0.208716,0.208707,0.856429,0.124622,0.208707,0.208707,0.208716,0.208716,1.82747,1.84746,1.85261,0.0,0.0,0.357483,0.0685396,0.0,0.0,0.0,0.0,0.8883,0.899583,0.902489,-9999,-9999
200205,8.547,0.88172,5.569,3.135,1.0,10.205,4.145,0.810753,7.383,4.967,2.475,8.734,3.403,8.437,0.88172,5.569,3.135,1.0,10.03,4.476,0.810753,453.35,230.514,0.889785,250.508,251.682,0.889785,-9999,-9999,296.521,296.521,0.0,296.284,0.88172,293.602,292.591,0.88172,5.73,0.88172,3.969,5.744,0.88172,97.178,97.09,0.813172,2.254,2.765,0.813844,2.333,2.819,0.785618,0.338950743218,0.754032258065,161.840874651,0.79502688172,491.260253333,0.795698924731,369.964,0.88172,9.747,0.88172,8.09195,0.88172,17.5796,0.882392,27.2801,0.322125,73.7064,0.882392,114.378,1.04327,0.773522,1,17.3226,30.6774,17.3226,30.6129,0.371382,0.877688,0.031983,0.0384506,0.309918,0.876344,0.0346325,0.040681,0.337341,0.876277,0.00301976,0.310935,0.316078,0.323905,0.326981,0.356068,0.358764,0.364242,0.877688,0.877016,0.87836,0.87836,0.875672,0.875672,0.875,0.483946,0.813943,0.998208,0.0690151,0.0748201,0.29308,1.01803,0.805511,0.0283538,0.0347673,0.407919,0.936858,1.0,0.0710087,0.0766629,0.239719,1.11238,0.80232,0.0334127,0.0390031,0.405849,0.419691,0.434187,0.440836,0.462851,0.477483,0.483946,1.0,1.0,1.0,1.0,0.987455,0.989247,0.998208,0.230642,0.243789,0.245108,0.245999,0.278457,0.284029,0.287083,0.80447,0.803328,0.805478,0.805478,0.800336,0.805511,0.802487,0.513603,0.51985,0.555954,0.00404597,0.517841,0.524199,0.538325,0.548206,0.577902,0.581944,0.589046,0.209995,0.209932,0.218604,0.00202081,0.199873,0.203532,0.209995,0.218954,0.225876,0.227592,0.231471,0.60748,0.588443,0.723007,0.0231092,0.583638,0.59499,0.603911,0.60903,0.887417,0.898933,0.925291,0.2767,0.28255,0.349215,0.0140754,0.262991,0.27055,0.273746,0.284797,0.455692,0.461611,0.465945,-9999,-9999
200206,16.871,1.0,13.464,3.421,1.0,18.574,4.218,1.0,17.306,14.997,2.481,18.461,3.215,16.871,1.0,13.464,3.421,1.0,18.574,4.218,1.0,485.449,232.652,1.0,252.756,232.652,1.0,-9999,-9999,364.282,364.282,0.0,373.302,1.0,373.028,373.302,1.0,6.734,1.0,7.186,6.734,1.0,96.973,96.984,1.0,2.394,2.91,1.0,2.166,2.26,0.978472,0.289190736532,0.960416666667,162.046145833,1.0,447.407170833,1.0,367.06,1.0,17.342,1.0,8.05536,1.0,45.367,0.995139,76.9598,0.62331,45.3645,0.994444,76.9555,0.79108,0.99375,1,16.0,32.0,16.0,31.9333,-1.44929,0.983333,0.075992,0.0898468,-1.49772,0.986111,0.0808163,0.0939625,-1.47287,0.984045,0.00795053,-1.51782,-1.50498,-1.49456,-1.48433,-1.44929,-1.40911,-1.39504,0.994444,0.984028,0.985417,0.986806,0.983333,0.971528,0.970833,1.43519,2.2572,0.975,0.152239,0.173635,-2.8125,3.42623,0.9875,0.0791465,0.0839302,1.37369,2.34524,0.98125,0.160662,0.181066,-2.85176,3.45407,0.988542,0.0847661,0.0892491,1.28333,1.3353,1.3729,1.39361,1.4348,1.5023,1.58197,0.979167,1.0,1.0,0.985417,0.975,0.94375,0.94375,-2.86217,-2.86111,-2.85647,-2.8397,-2.8125,-2.80525,-2.78593,0.989583,0.991667,0.989583,0.991667,0.9875,0.983333,0.984375,1.49977,1.58345,1.67844,0.0220367,1.53338,1.55438,1.57193,1.62013,1.77605,1.85586,1.92588,3.09747,3.08117,3.15162,0.0183666,3.03836,3.05266,3.06549,3.09747,3.23077,3.28314,3.36125,1.14955,1.44579,1.59127,0.0688224,1.14009,1.14943,1.16985,1.62783,1.9266,2.01519,2.32753,2.95658,3.20811,3.23428,0.0445534,2.9404,2.95561,2.95753,3.25494,3.43223,3.4954,3.7275,-9999,-9999
200207,21.242,0.834677,17.504,2.678,1.0,23.208,4.335,0.744017,20.499,18.19,1.918,21.723,3.075,20.906,0.834677,17.504,2.678,1.0,22.688,4.163,0.744017,470.038,271.587,0.84543,259.649,272.386,0.84543,-9999,-9999,376.077,376.077,0.0,405.127,0.834677,386.853,398.702,0.834677,7.841,0.834677,8.159,7.823,0.834677,97.174,97.195,0.741935,3.818,2.654,0.741935,1.786,1.926,0.737231,0.28606926165,0.662634408602,193.798719203,0.73185483871,543.930168089,0.731182795699,367.067,0.834677,20.524,0.834677,6.26865,0.834677,70.7533,0.831989,123.113,0.674139,28.2982,0.831317,49.2397,0.524843,0.738575,1,16.5806,31.4194,16.5806,31.3871,-3.83473,0.80578,0.060395,0.179786,-4.15425,0.821237,0.0861703,0.190002,-4.01898,0.814835,0.026209,-4.18018,-4.16541,-4.15383,-4.12282,-3.84562,-3.82673,-3.72701,0.825269,0.821237,0.826613,0.826613,0.794355,0.797715,0.801075,2.10356,1.30667,0.949953,0.0926685,0.651703,-6.75471,5.67218,0.726652,0.0742605,0.124515,1.1792,2.42977,0.982685,0.175316,0.66848,-6.73563,5.59799,0.732733,0.0867605,0.132351,1.12118,1.16107,1.17983,1.2413,2.4294,2.45123,2.49327,0.99407,0.992054,0.988022,0.992054,0.94426,0.94426,0.950071,-7.07327,-6.9284,-6.78041,-6.74984,-6.72872,-6.72851,-6.72101,0.713319,0.717417,0.723563,0.732733,0.734781,0.734781,0.73579,1.53628,1.36872,1.733,0.106219,1.13627,1.1415,1.14606,1.1673,2.48698,2.58147,2.70029,5.3142,5.52297,5.75655,0.0833336,5.28735,5.29648,5.30543,5.33271,6.23435,6.3727,6.72418,1.1926,1.22088,1.4808,0.0434934,1.1926,1.23888,1.25326,1.44539,1.61948,1.67664,2.01012,5.61082,5.60314,5.75759,0.0389286,5.5204,5.52699,5.53027,5.64108,5.93775,5.98647,6.07157,-9999,-9999
200208,17.638,1.0,14.805,2.891,1.0,19.484,3.736,1.0,17.511,15.668,1.793,18.712,2.732,17.638,1.0,14.805,2.891,1.0,19.484,3.736,1.0,411.022,226.918,1.0,218.192,226.918,1.0,-9999,-9999,354.501,354.501,0.0,375.229,1.0,361.562,375.229,1.0,4.801,1.0,5.934,4.801,1.0,97.288,97.297,1.0,3.934,2.81,1.0,2.027,2.074,0.976478,0.286041953632,0.922715053763,155.151323925,1.0,436.379954973,1.0,363.63,1.0,18.368,1.0,0.444107,1.0,63.428,0.99664,117.627,0.74523,19.9194,0.995968,36.9406,0.651512,0.995968,1,18.9032,29.0968,18.9032,29.0968,-2.99365,0.979839,0.0844061,0.316743,-3.44745,0.991935,0.0980258,0.320642,-3.30281,0.986929,0.0434222,-3.57832,-3.55998,-3.53336,-3.48541,-2.99365,-2.9494,-2.89546,0.992608,0.993952,0.994624,0.987903,0.979839,0.978495,0.978495,2.81403,2.24446,0.975637,0.147916,0.70679,-6.58493,5.94371,0.983151,0.0936472,0.111781,1.84843,3.53579,0.994624,0.183398,0.715058,-6.66802,5.88251,0.98983,0.100435,0.117526,1.52589,1.5726,1.64842,1.75036,2.88128,2.95488,3.00113,0.996416,1.0,1.0,0.986559,0.975637,0.975637,0.975637,-6.75889,-6.68257,-6.6811,-6.67435,-6.59684,-6.5605,-6.54299,0.970086,0.987526,0.990942,0.98983,0.983222,0.980963,0.980926,2.57247,2.5805,2.73142,0.0465414,2.40499,2.45407,2.4815,2.57247,3.0588,3.06844,3.10023,6.03762,6.02795,6.03417,0.0167738,5.89394,5.96002,5.96339,6.01486,6.08308,6.12311,6.14572,1.07355,1.44607,1.3338,0.0633167,0.752053,0.96131,1.0497,1.25962,1.55095,1.84983,2.07528,4.95526,4.93628,5.02746,0.0294648,4.76194,4.8926,4.91832,5.00621,5.14752,5.21474,5.25423,-9999,-9999
200209,14.319,1.0,11.699,3.424,1.0,16.559,3.696,1.0,14.324,12.832,1.987,15.614,2.565,14.319,1.0,11.699,3.424,1.0,16.559,3.696,1.0,324.3,160.095,1.0,154.978,160.095,1.0,-9999,-9999,339.243,339.243,0.0,353.991,1.0,343.678,353.991,1.0,4.171,1.0,4.58,4.171,1.0,97.024,97.008,1.0,3.301,3.16,1.0,2.139,2.063,0.996528,0.246604842978,0.920833333333,107.231230556,1.0,307.856399306,1.0,368.66,0.997917,15.75,1.0,-2.46089,1.0,42.5717,0.991667,83.3645,0.548099,13.2533,0.991667,25.9528,0.514616,0.991667,1,22.2,25.8,22.1667,25.7667,-0.689989,0.954167,0.0592737,0.211746,-1.04239,0.963889,0.0679557,0.214338,-0.914284,0.964132,0.0313201,-1.13566,-1.08902,-1.08789,-1.05885,-0.692154,-0.682457,-0.668768,0.966667,0.973611,0.972222,0.978472,0.953472,0.958333,0.934722,2.55433,1.79011,0.928738,0.0917723,0.450321,-3.36124,4.0027,0.976765,0.0711374,0.0766884,1.84809,2.45033,0.947835,0.110942,0.454615,-3.38455,3.97331,0.976817,0.0757054,0.0809438,1.65444,1.741,1.75573,1.81868,2.61248,2.62274,2.66824,0.953896,0.966017,0.967605,0.978211,0.932904,0.924198,0.925647,-3.45263,-3.43003,-3.40862,-3.39158,-3.38609,-3.37274,-3.35983,0.973212,0.980714,0.980714,0.978,0.976765,0.978,0.978,2.42118,2.39329,2.46379,0.0312166,2.26024,2.26705,2.26852,2.37694,2.6635,2.69021,2.72456,3.37022,3.43568,3.37823,0.00843522,3.32199,3.32719,3.33667,3.35945,3.39776,3.434,3.48431,0.870699,1.08132,1.07307,0.0249953,0.837389,0.886546,0.97288,1.05041,1.15526,1.19515,1.36715,2.7023,2.77867,2.76485,0.0119,2.676,2.6953,2.7023,2.73713,2.82774,2.85742,2.882,-9999,-9999
200210,2.694,1.0,1.576,2.842,1.0,3.92,2.372,1.0,1.278,0.404,1.681,2.269,1.553,2.694,1.0,1.576,2.842,1.0,3.92,2.372,1.0,228.758,71.118,0.928763,93.12,78.729,0.928763,-9999,-9999,276.247,276.247,0.0,281.254,0.928763,269.837,280.185,0.928763,1.817,1.0,1.205,1.817,1.0,97.454,97.309,0.999328,2.36,3.239,1.0,2.009,1.948,0.983199,0.267506988419,0.988575268817,51.3053150452,0.999327956989,155.253290833,0.806451612903,357.464,0.99664,6.24,1.0,-8.00802,1.0,13.9198,1.0,25.4236,0.325274,18.5678,1.0,33.9128,0.622517,0.999328,1,25.4839,22.5161,25.4839,22.4839,0.115181,0.989247,0.0597189,0.0601806,0.201847,0.99664,0.0623112,0.0627539,0.188017,0.989819,0.00499533,0.0946371,0.188413,0.191633,0.193253,0.194666,0.203293,0.21942,0.982527,0.975134,0.981183,0.981855,0.997312,0.997312,0.983871,0.447194,2.08143,0.986667,0.0862711,0.087407,-0.249834,1.72444,0.991685,0.0743197,0.0754528,0.590517,2.15607,1.0,0.0903226,0.0914081,-0.227378,1.68176,0.993221,0.0770073,0.0781015,0.410929,0.571056,0.574129,0.578614,0.596284,0.599147,0.625772,0.973763,1.0,1.0,0.982634,0.979946,0.979946,0.979946,-0.265201,-0.252507,-0.251246,-0.227203,-0.226476,-0.226453,-0.224895,0.966223,0.991685,0.985925,0.994565,0.994565,0.994565,0.994565,0.67902,0.638067,0.654901,0.00569558,0.620123,0.621044,0.623378,0.631712,0.688035,0.691042,0.711597,0.428141,0.436221,0.467663,0.00765677,0.420085,0.426378,0.42744,0.438413,0.497316,0.500342,0.580541,0.316028,0.470276,0.509083,0.02176,0.283937,0.309407,0.456297,0.493361,0.593277,0.658433,0.735878,0.261254,0.33048,0.332433,0.00666267,0.255397,0.261254,0.317603,0.332472,0.367646,0.37765,0.385041,-9999,-9999
